,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
30,Bill Cartwright,C,36,CHI,9,189,9.3,.410,.000,.372,12.8,15.9,14.4,9.0,0.9,0.8,10.7,14.2,,0.1,0.2,0.3,.066,,-2.3,-1.5,-3.8,-0.1
31,Sam Cassell,PG,24,HOU,22,478,16.3,.537,.281,.463,4.8,8.8,7.0,31.2,2.3,0.7,19.6,23.3,,0.6,0.5,1.1,.111,,0.4,1.3,1.7,0.4
32,Cedric Ceballos,SF,24,PHO,10,212,16.4,.500,.022,.194,7.9,15.8,11.6,6.1,1.9,0.7,9.8,22.7,,0.2,0.0,0.2,.052,,0.9,-2.4,-1.5,0.0
33,Tom Chambers,PF,34,UTA,16,325,7.9,.424,.072,.299,5.6,10.4,8.0,6.1,0.9,2.1,6.8,17.0,,0.0,0.2,0.2,.034,,-3.5,-0.8,-4.2,-0.2
34,Derrick Coleman,PF,26,NJN,4,173,20.7,.544,.132,.735,12.1,24.0,18.1,14.9,0.6,2.0,16.7,28.3,,0.3,0.3,0.5,.150,,5.4,-0.3,5.1,0.3
35,Bimbo Coles,PG,25,MIA,5,140,19.6,.604,.085,.489,1.5,9.7,5.5,24.3,2.7,0.5,16.1,21.6,,0.4,0.1,0.5,.158,,2.3,2.5,4.8,0.2
36,Lester Conner,PG,34,IND,6,22,12.1,.510,.000,.400,5.7,15.8,11.0,0.0,2.5,0.0,0.0,12.3,,0.0,0.0,0.1,.177,,-2.2,3.7,1.5,0.0
37,Tyrone Corbin,SF,31,UTA,16,413,11.1,.444,.113,.142,6.9,15.3,11.0,5.9,2.8,0.6,8.9,14.0,,0.1,0.5,0.6,.073,,-0.8,1.0,0.2,0.2
38,John Crotty,PG,24,UTA,8,38,14.8,.505,.182,.182,0.0,9.2,4.5,38.9,1.5,0.0,7.8,15.9,,0.1,0.0,0.1,.153,,0.1,0.9,1.0,0.0
39,Terry Cummings,PF,32,SAS,4,72,24.0,.587,.000,.545,14.2,25.5,19.3,5.1,3.8,2.8,12.8,19.5,,0.2,0.1,0.3,.208,,1.9,3.3,5.2,0.1
40,Earl Cureton,PF,36,HOU,10,100,9.9,.827,.000,.200,7.3,24.2,16.4,3.0,0.5,1.4,21.6,6.5,,0.2,0.1,0.3,.144,,-3.8,2.3,-1.5,0.0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lloyd Daniels,SG,26,SAS,4,66,11.4,.527,.400,.100,3.1,13.0,7.6,7.9,0.0,1.0,8.7,15.6,,0.1,0.0,0.1,.059,,0.4,-0.7,-0.3,0.0
43,Antonio Davis,PF,25,IND,16,401,14.9,.568,.011,.764,11.6,20.0,16.0,3.0,1.5,3.5,15.6,16.1,,0.5,0.8,1.3,.151,,-0.1,0.9,0.8,0.3
44,Dale Davis,PF,24,IND,16,578,11.2,.505,.009,.340,13.7,19.3,16.6,3.2,1.7,2.3,19.8,12.0,,0.0,1.1,1.1,.095,,-0.9,0.0,-0.8,0.2
45,Hubert Davis,SG,23,NYK,23,396,5.6,.448,.289,.264,1.5,5.0,3.2,11.7,0.7,0.6,14.5,18.5,,-0.3,0.3,0.1,.011,,-3.6,-1.1,-4.7,-0.3
46,Vinny Del Negro,SG,27,SAS,4,93,12.4,.497,.148,.185,1.1,7.9,4.2,34.0,0.6,0.0,17.0,17.0,,0.1,0.0,0.0,.023,,0.1,-1.5,-1.4,0.0
47,Bison Dele,C,24,DEN,12,289,17.9,.590,.000,.539,13.6,21.7,17.8,7.4,0.8,2.6,15.3,17.7,,0.6,0.3,0.9,.153,,0.8,0.7,1.5,0.2
48,Clyde Drexler*,SG,31,POR,4,157,22.6,.505,.178,.315,6.7,24.0,14.7,21.3,2.6,1.0,9.8,24.7,,0.4,0.0,0.4,.119,,4.2,0.9,5.1,0.3
49,Chris Dudley,C,28,POR,4,81,5.9,.414,.000,.200,6.5,15.0,10.4,0.0,3.8,0.0,8.4,6.2,,0.0,0.0,0.0,.012,,-5.7,0.3,-5.4,-0.1
50,Doug Edwards,PF,23,ATL,1,3,12.3,,,,0.0,0.0,0.0,0.0,0.0,24.5,,0.0,,0.0,0.0,0.0,.083,,1.8,9.3,11.1,0.0
51,Kevin Edwards,SG,28,NJN,4,148,9.6,.436,.040,.280,5.9,5.9,5.9,14.4,1.8,0.5,13.8,19.9,,-0.1,0.1,0.0,.012,,-0.9,-0.5,-1.4,0.0
52,Craig Ehlo,SG,32,ATL,11,317,13.7,.486,.195,.203,3.8,7.0,5.3,22.2,1.9,0.0,9.2,20.5,,0.3,0.3,0.6,.098,,-0.1,0.9,0.9,0.2
53,Mario Elie,SF,30,HOU,23,382,11.9,.529,.302,.443,2.9,8.5,5.9,15.4,1.1,0.5,14.2,18.0,,0.4,0.2,0.6,.076,,-1.3,-0.5,-1.8,0.0
54,Dale Ellis,SF,33,SAS,4,114,9.3,.465,.395,.116,2.7,7.5,4.9,1.6,1.4,0.0,8.1,19.4,,0.0,0.0,0.0,-0.003,,-1.1,-1.5,-2.6,0.0
55,LaPhonso Ellis,PF,23,DEN,12,436,16.6,.534,.042,.380,7.4,18.0,12.8,11.9,1.1,1.7,10.3,19.6,,0.8,0.4,1.2,.131,,1.1,1.0,2.1,0.4
56,Jo Jo English,SG,23,CHI,7,58,7.6,.478,.333,.500,2.2,4.1,3.2,5.4,1.0,1.4,6.4,12.9,,0.0,0.0,0.0,.039,,-1.8,-1.9,-3.6,0.0
57,Patrick Ewing*,C,31,NYK,25,1032,20.6,.495,.023,.339,9.9,24.4,16.9,13.4,1.7,5.7,13.1,28.6,,0.8,2.4,3.2,.150,,2.1,2.3,4.4,1.7
58,Duane Ferrell,SF,28,ATL,11,187,16.8,.495,.063,.571,12.9,5.6,9.4,15.3,1.5,1.2,6.0,20.6,,0.5,0.2,0.6,.165,,1.8,0.7,2.6,0.2
59,Danny Ferry,PF,27,CLE,1,4,-9.6,,,,0.0,0.0,0.0,36.9,0.0,0.0,100.0,11.8,,0.0,0.0,0.0,-0.364,,-12.3,-1.1,-13.3,0.0
60,Vern Fleming,PG,31,IND,16,247,14.7,.560,.066,.263,6.1,4.2,5.1,28.8,2.2,0.3,20.6,19.8,,0.3,0.3,0.6,.119,,1.2,1.1,2.3,0.3
61,Sleepy Floyd,PG,33,SAS,4,37,-5.5,.307,.000,.500,0.0,3.3,1.5,4.2,0.0,0.0,29.1,16.7,,-0.2,0.0,-0.2,-0.252,,-10.7,-4.5,-15.2,-0.1
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Corey Gaines,SG,28,NYK,4,28,-4.1,.000,.250,.000,0.0,8.8,4.3,10.6,0.0,0.0,0.0,6.6,,-0.1,0.0,0.0,-0.074,,-10.0,-4.9,-14.9,-0.1
64,Chris Gatling,C,26,GSW,3,54,22.3,.694,.000,1.000,16.0,21.3,18.7,8.9,1.8,1.1,9.7,15.9,,0.3,-0.1,0.2,.200,,2.4,-0.3,2.1,0.1
65,Matt Geiger,C,24,MIA,2,11,0.7,.174,.000,1.000,0.0,41.2,20.1,0.0,0.0,0.0,0.0,11.6,,0.0,0.0,0.0,-0.076,,-6.0,-2.9,-8.9,0.0
66,Kendall Gill,SG,25,SEA,5,153,15.5,.484,.150,.350,5.1,12.8,8.9,13.3,2.1,0.5,8.0,22.8,,0.1,0.2,0.3,.104,,1.4,0.3,1.7,0.1
67,Armen Gilliam,PF,29,NJN,4,112,15.0,.512,.029,.471,1.0,23.5,12.2,2.2,1.0,4.4,6.8,17.8,,0.1,0.2,0.3,.130,,1.1,1.2,2.3,0.1
68,Paul Graham,SG,26,ATL,1,2,24.4,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,,0.0,0.0,0.0,.066,,7.6,-3.1,4.5,0.0
69,Harvey Grant,SF,28,POR,4,76,16.3,.515,.000,.000,6.9,6.4,6.7,6.3,0.7,2.0,2.9,18.8,,0.2,-0.1,0.1,.055,,1.7,-2.6,-0.8,0.0
70,Horace Grant,PF,28,CHI,10,393,21.2,.585,.008,.350,9.7,13.4,11.6,11.8,1.4,3.6,6.7,18.1,,1.3,0.4,1.7,.206,,4.6,0.8,5.4,0.7
71,Josh Grant,PF,26,GSW,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.118,,-3.2,-3.9,-7.1,0.0
72,Jeff Grayer,SG,28,GSW,3,46,13.7,.563,.000,.150,2.7,12.5,7.8,2.9,1.1,1.3,8.6,21.0,,0.1,-0.1,0.0,-0.004,,-3.6,-3.1,-6.7,-0.1
73,A.C. Green,PF,30,PHO,10,350,16.0,.567,.205,.747,8.7,18.8,13.4,5.2,1.4,0.4,6.0,14.4,,0.9,0.0,0.9,.125,,1.9,-1.0,0.9,0.3
74,Jack Haley,PF,30,SAS,3,11,57.9,.611,.000,.750,27.9,44.5,35.4,54.4,0.0,0.0,0.0,43.5,,0.1,0.0,0.2,.702,,19.1,4.0,23.1,0.1
75,Tom Hammonds,PF,26,DEN,8,49,7.7,.387,.000,.667,12.1,18.3,15.3,6.6,0.0,0.0,7.9,11.9,,0.0,0.0,0.1,.055,,-2.3,-1.8,-4.1,0.0
76,Anfernee Hardaway,PG,22,ORL,3,133,14.3,.515,.220,.200,7.1,11.1,9.1,31.1,2.0,3.2,26.9,24.7,,-0.1,0.1,0.0,.001,,1.4,0.2,1.6,0.1
77,Derek Harper,PG,32,NYK,23,750,14.1,.514,.368,.242,2.0,6.7,4.3,25.4,3.1,0.1,13.8,18.3,,0.8,1.1,2.0,.127,,0.6,2.6,3.1,1.0
