,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,PF,24,BOS,4,68,3.2,.458,.000,.000,3.7,20.6,12.1,2.2,0.0,0.9,27.3,21.9,,-0.2,0.0,-0.2,-0.145,,-8.4,-2.6,-11.0,-0.1
1,Rafael Addison,SF,28,NJN,5,53,9.1,.381,.000,.143,6.8,6.6,6.7,14.4,3.0,0.0,11.8,21.9,,-0.1,0.1,0.0,-0.028,,-3.5,0.5,-3.0,0.0
2,Danny Ainge,SG,33,PHO,24,591,10.3,.521,.471,.229,4.1,7.6,5.9,13.8,1.1,0.2,10.5,15.8,,0.7,0.1,0.8,.067,,-0.3,-1.1,-1.4,0.1
3,Eric Anderson,PF,22,NYK,2,6,-3.5,.500,.000,.000,0.0,20.0,10.0,0.0,0.0,0.0,33.3,22.5,,0.0,0.0,0.0,-0.175,,-15.0,-1.9,-16.8,0.0
4,Willie Anderson,SG,26,SAS,10,219,14.2,.531,.134,.207,2.2,9.6,6.0,19.9,2.1,0.6,11.8,20.5,,0.2,0.2,0.5,.102,,0.2,1.8,2.1,0.2
5,Greg Anthony,PG,25,NYK,15,240,12.7,.446,.233,.233,2.0,13.0,7.5,32.3,2.9,0.3,14.3,14.5,,0.2,0.3,0.5,.101,,-1.8,3.0,1.2,0.2
6,B.J. Armstrong,PG,25,CHI,19,643,13.2,.611,.244,.131,1.1,4.2,2.7,14.2,1.6,0.2,7.3,13.7,,1.5,0.4,1.8,.137,,0.8,0.0,0.8,0.4
7,Vincent Askew,SG,26,SEA,12,103,20.9,.606,.000,.561,10.7,10.9,10.8,15.1,0.5,0.7,12.0,24.9,,0.3,0.0,0.4,.171,,4.5,-0.4,4.1,0.2
8,Stacey Augmon,SG,24,ATL,3,93,11.9,.496,.000,.387,3.4,6.5,4.8,9.1,2.3,0.0,9.9,18.9,,0.0,-0.1,0.0,-0.007,,-1.0,-0.7,-1.7,0.0
9,Isaac Austin,C,23,UTA,1,3,28.5,.500,.000,.000,0.0,38.1,19.2,0.0,0.0,22.0,0.0,31.4,,0.0,0.0,0.0,.207,,-0.9,12.1,11.2,0.0
10,Charles Barkley*,PF,29,PHO,24,1026,24.9,.552,.093,.452,10.9,25.4,18.4,17.5,2.0,1.5,8.0,27.3,,3.3,1.3,4.6,.215,,6.2,0.7,6.9,2.3
11,Dana Barros,PG,25,SEA,16,136,12.8,.544,.340,.170,0.0,11.0,5.2,13.8,2.0,0.0,13.7,19.0,,0.1,0.1,0.2,.064,,0.2,0.0,0.1,0.1
12,John Battle,SG,30,CLE,1,6,-20.0,.000,.000,.000,0.0,20.7,10.3,21.9,0.0,0.0,66.7,23.1,,-0.1,0.0,-0.1,-0.580,,-24.7,-7.2,-31.8,0.0
13,Tony Bennett,PG,23,CHH,8,86,13.1,.580,.320,.080,1.4,11.1,6.2,23.1,1.2,0.7,16.2,15.8,,0.1,0.1,0.2,.108,,1.0,0.1,1.0,0.1
14,David Benoit,SF,24,UTA,5,136,9.1,.396,.220,.317,6.0,14.3,10.2,6.0,1.2,2.9,4.1,16.9,,0.0,0.2,0.1,.047,,-2.8,1.1,-1.6,0.0
15,Rolando Blackman,SG,33,NYK,15,214,3.6,.438,.234,.281,2.3,7.3,4.8,11.2,0.7,0.7,22.6,19.5,,-0.4,0.1,-0.3,-0.061,,-6.3,-1.4,-7.7,-0.3
16,Mookie Blaylock,PG,25,ATL,3,99,8.7,.488,.480,.240,2.1,13.4,7.4,20.1,1.6,2.6,28.5,17.0,,-0.1,0.0,-0.2,-0.083,,-2.0,-0.9,-2.9,0.0
17,Muggsy Bogues,PG,28,CHH,9,346,14.3,.499,.024,.171,2.0,10.3,6.1,29.7,3.6,0.0,16.2,13.4,,0.3,0.5,0.8,.110,,0.1,1.7,1.8,0.3
18,Sam Bowie,C,31,NJN,3,71,7.5,.506,.000,.222,3.4,16.4,10.0,3.9,4.4,0.9,28.8,8.9,,-0.1,0.1,0.1,.054,,-4.1,3.1,-1.0,0.0
19,Terrell Brandon,PG,22,CLE,8,132,13.3,.510,.109,.196,3.7,12.2,7.9,21.1,2.9,1.5,21.9,22.4,,-0.1,0.2,0.1,.020,,-0.4,0.5,0.2,0.1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Randy Breuer,C,32,ATL,1,17,4.0,.250,.000,.000,6.1,7.1,6.6,8.6,0.0,3.7,0.0,10.2,,0.0,0.0,0.0,-0.095,,-3.9,-2.5,-6.4,0.0
22,Scott Brooks,PG,27,HOU,12,197,8.3,.492,.310,.310,0.6,4.8,2.9,22.8,2.4,0.0,21.4,14.1,,0.0,0.2,0.2,.047,,-3.5,0.0,-3.5,-0.1
23,Chucky Brown,SF,24,NJN,4,62,14.1,.478,.000,.318,5.8,11.3,8.6,2.5,2.5,3.1,7.4,20.0,,0.0,0.1,0.1,.080,,-0.3,1.5,1.2,0.1
24,Dee Brown,PG,24,BOS,4,133,10.6,.477,.171,.341,1.9,3.8,2.9,15.6,0.8,1.9,11.3,18.0,,0.1,0.0,0.1,.049,,-1.4,-1.1,-2.5,0.0
25,Mike Brown,C,29,UTA,5,93,10.2,.553,.000,.440,5.0,14.7,9.9,3.8,0.0,0.7,14.4,17.7,,0.0,0.1,0.1,.056,,-2.6,0.1,-2.5,0.0
26,Mark Bryant,C,27,POR,4,83,11.8,.497,.000,.135,11.8,11.4,11.6,0.0,0.0,2.4,13.3,23.2,,0.0,0.1,0.1,.052,,-2.5,-1.0,-3.5,0.0
27,Matt Bullard,PF,25,HOU,12,169,14.2,.683,.667,.143,3.0,11.8,7.8,11.8,1.2,1.8,16.8,14.5,,0.3,0.2,0.5,.142,,3.6,1.2,4.8,0.3
28,Michael Cage,C,31,SEA,19,378,12.3,.518,.000,.225,13.7,21.1,17.2,3.8,1.8,1.4,15.4,12.1,,0.3,0.4,0.7,.084,,-1.4,-0.3,-1.6,0.0
29,Elden Campbell,PF,24,LAL,5,178,13.0,.440,.000,.348,9.6,16.5,12.8,6.2,1.8,4.5,13.1,22.3,,-0.2,0.2,0.0,.011,,-2.3,0.6,-1.7,0.0
30,Tony Campbell,SF,30,NYK,2,33,8.8,.518,.100,.800,7.4,7.3,7.3,9.3,1.6,0.0,18.2,22.5,,0.0,0.0,0.0,.049,,-4.0,-0.2,-4.2,0.0
31,Antoine Carr,PF,31,SAS,8,171,16.4,.536,.000,.135,9.0,16.1,12.7,9.0,0.9,3.5,8.2,22.1,,0.2,0.2,0.4,.120,,0.2,1.2,1.4,0.2
32,Bill Cartwright,C,35,CHI,19,444,11.5,.522,.000,.364,7.7,15.6,11.7,9.2,1.3,0.5,10.2,13.2,,0.6,0.4,1.0,.113,,-0.9,0.6,-0.3,0.2
33,Cedric Ceballos,SF,23,PHO,16,185,21.5,.602,.000,.314,8.4,14.5,11.6,12.2,1.4,2.4,5.9,20.4,,0.6,0.1,0.7,.189,,4.6,0.7,5.3,0.3
34,Tom Chambers,PF,33,PHO,24,376,9.9,.461,.030,.327,7.3,12.5,10.0,5.1,0.8,1.7,12.1,25.5,,-0.3,0.2,-0.1,-0.009,,-4.2,-2.4,-6.6,-0.4
35,Maurice Cheeks*,PG,36,NJN,5,82,12.1,.469,.000,.043,4.4,4.3,4.3,26.1,3.8,0.8,23.0,17.0,,-0.1,0.1,0.0,.025,,-1.7,1.9,0.2,0.0
36,Doug Christie,SG,22,LAL,5,39,7.5,.409,.273,.000,2.6,9.0,5.5,22.1,2.7,3.4,26.7,16.7,,-0.1,0.0,0.0,-0.043,,-5.1,1.2,-3.9,0.0
37,Derrick Coleman,PF,25,NJN,5,225,25.6,.610,.128,.383,6.9,28.0,17.6,18.1,1.4,3.7,10.6,25.0,,0.7,0.4,1.2,.247,,5.6,4.0,9.6,0.7
38,Lester Conner,PG,33,LAC,5,64,20.2,.815,.083,.167,4.8,7.7,6.1,24.5,2.4,1.1,0.0,8.6,,0.3,0.1,0.4,.275,,4.3,5.3,9.6,0.2
39,Duane Cooper,PG,23,LAL,2,4,-25.8,.000,.500,.000,50.2,0.0,27.0,31.3,0.0,0.0,0.0,65.0,,-0.1,0.0,-0.1,-1.165,,-11.1,-20.4,-31.5,0.0
40,Tyrone Corbin,SF,30,UTA,5,161,14.4,.513,.000,.340,11.5,15.6,13.6,10.0,1.0,0.4,10.9,18.9,,0.2,0.2,0.3,.103,,0.9,0.6,1.6,0.1
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,John Crotty,PG,23,UTA,1,3,79.8,1.000,.000,.000,38.6,0.0,19.2,100.0,0.0,0.0,0.0,31.4,,0.0,0.0,0.0,.752,,48.0,9.9,57.9,0.0
43,Terry Cummings,PF,31,SAS,10,138,12.3,.456,.014,.114,14.6,17.6,16.2,6.2,1.1,0.5,9.8,26.2,,-0.1,0.2,0.1,.035,,-3.1,-1.4,-4.5,-0.1
44,Dell Curry,SG,28,CHH,9,222,13.9,.486,.216,.113,5.8,11.3,8.5,13.4,3.1,0.0,11.3,22.8,,0.0,0.3,0.3,.071,,0.5,-0.1,0.4,0.1
45,Lloyd Daniels,SG,25,SAS,8,74,9.3,.429,.233,.200,14.5,8.9,11.6,4.1,2.1,0.0,13.3,22.5,,-0.1,0.1,0.0,.002,,-2.7,-2.1,-4.8,-0.1
46,Brad Daugherty,C,27,CLE,9,356,19.7,.613,.000,.435,8.9,27.5,18.2,15.0,0.9,1.3,16.0,21.2,,0.7,0.4,1.2,.159,,3.3,0.7,4.0,0.5
47,Dale Davis,PF,23,IND,4,117,10.1,.618,.000,.333,4.3,27.9,16.5,5.0,1.8,2.3,17.9,6.8,,0.1,0.2,0.2,.101,,-0.3,1.7,1.4,0.1
48,Hubert Davis,SG,22,NYK,7,96,8.8,.589,.080,.120,1.3,6.2,3.8,8.3,3.3,0.0,25.5,16.5,,-0.1,0.1,0.0,.018,,-3.2,2.9,-0.3,0.0
49,Vinny Del Negro,PG,26,SAS,8,112,15.8,.503,.237,.105,6.4,12.8,9.7,32.5,0.5,0.6,7.0,16.9,,0.3,0.1,0.3,.148,,2.3,0.7,3.0,0.1
50,Vlade Divac*,C,24,LAL,5,167,23.8,.538,.122,.297,10.2,21.1,15.2,29.0,1.9,4.8,11.6,24.6,,0.3,0.3,0.6,.177,,4.8,5.1,9.9,0.5
51,James Donaldson,C,35,UTA,1,5,-7.3,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,,0.0,0.0,0.0,-0.206,,-9.1,-4.8,-13.9,0.0
52,Sherman Douglas,PG,26,BOS,4,166,12.8,.426,.067,.333,9.2,10.7,9.9,31.2,1.3,0.0,18.9,17.3,,0.1,0.0,0.1,.032,,0.0,-1.6,-1.6,0.0
53,Greg Dreiling,C,30,IND,2,4,32.4,1.500,1.000,.000,0.0,29.1,15.1,0.0,0.0,0.0,0.0,11.8,,0.0,0.0,0.0,.247,,15.3,3.6,18.9,0.0
54,Clyde Drexler*,SG,30,POR,3,116,21.1,.550,.279,.465,6.8,11.3,8.8,20.6,2.3,1.7,5.5,20.1,,0.4,0.2,0.6,.232,,6.9,2.8,9.7,0.3
55,Kevin Duckworth,C,28,POR,4,58,3.4,.395,.000,.190,6.8,18.4,12.0,8.3,0.0,1.1,20.9,21.1,,-0.2,0.1,-0.1,-0.069,,-8.7,-0.8,-9.5,-0.1
