,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,PF,23,POR,8,25,8.6,.510,.000,.400,0.0,19.4,9.8,12.9,0.0,0.0,14.5,23.7,,0.0,0.0,0.0,-0.005,,-4.2,-0.4,-4.6,0.0
1,Rafael Addison,SF,27,NJN,1,9,6.6,.357,.286,.000,0.0,0.0,0.0,17.0,0.0,0.0,0.0,31.7,,0.0,0.0,0.0,-0.134,,1.2,-6.3,-5.1,0.0
2,Mark Aguirre,SF,32,DET,5,113,4.8,.409,.104,.333,4.3,4.9,4.6,21.1,1.0,0.6,19.1,29.0,,-0.5,0.1,-0.3,-0.147,,-3.8,-2.1,-5.9,-0.1
3,Danny Ainge,SG,32,POR,21,449,14.3,.585,.308,.278,2.2,8.6,5.4,17.0,1.7,0.2,11.6,20.6,,0.8,0.4,1.2,.124,,1.0,0.5,1.5,0.4
4,Victor Alexander,C,22,GSW,4,24,8.6,.643,.000,.200,4.5,25.6,14.4,5.5,4.0,0.0,26.9,12.7,,0.0,0.0,0.0,.063,,-5.4,2.9,-2.5,0.0
5,Kenny Anderson,PG,21,NJN,3,24,10.1,.405,.000,.222,4.1,9.8,6.7,16.7,2.1,0.0,9.2,18.5,,0.0,0.0,0.0,-0.012,,-2.8,-1.5,-4.2,0.0
6,Greg Anthony,PG,24,NYK,12,213,13.8,.520,.261,.717,2.3,7.5,4.9,31.3,4.3,0.3,17.7,16.1,,0.2,0.5,0.6,.142,,0.0,5.1,5.1,0.4
7,B.J. Armstrong,PG,24,CHI,22,434,11.4,.517,.122,.273,0.6,6.2,3.4,16.5,1.7,0.0,10.4,18.3,,0.3,0.5,0.8,.090,,-0.7,0.1,-0.6,0.2
8,Vincent Askew,SG,25,GSW,4,30,-1.1,.125,.000,.000,10.8,4.1,7.7,19.6,0.0,0.0,20.0,13.7,,-0.1,0.0,-0.1,-0.186,,-5.3,-4.5,-9.8,-0.1
9,Keith Askins,SF,24,MIA,3,48,10.2,.547,.455,.182,9.9,13.2,11.5,9.7,1.1,0.0,7.8,12.0,,0.1,0.0,0.0,.020,,1.0,-0.7,0.3,0.0
10,John Bagley,PG,31,BOS,10,308,13.6,.499,.042,.389,3.0,8.1,5.4,36.0,1.5,0.2,23.9,21.0,,-0.1,0.1,0.0,.001,,0.8,-1.4,-0.6,0.1
11,Dana Barros,PG,24,SEA,7,96,16.5,.650,.425,.000,1.3,7.8,4.5,13.8,2.1,0.0,13.0,20.8,,0.2,0.0,0.2,.119,,4.2,0.5,4.7,0.2
12,John Battle,SG,29,CLE,15,202,8.5,.483,.024,.280,2.5,4.4,3.5,11.8,1.3,0.3,16.3,24.7,,-0.3,0.1,-0.2,-0.036,,-3.3,-2.5,-5.8,-0.2
13,William Bedford,C,28,DET,1,9,22.7,.500,.000,.000,0.0,24.5,12.8,0.0,6.2,0.0,0.0,32.1,,0.0,0.0,0.0,.140,,2.2,1.3,3.5,0.0
14,Benoit Benjamin,C,27,SEA,9,161,15.3,.562,.024,.439,7.6,28.1,17.7,4.6,1.6,5.3,14.1,15.4,,0.1,0.2,0.3,.090,,-0.4,2.0,1.5,0.1
15,David Benoit,SF,23,UTA,13,257,10.7,.501,.155,.131,9.0,15.2,12.2,3.7,1.2,1.3,10.1,17.5,,0.1,0.2,0.3,.055,,-1.4,-0.8,-2.2,0.0
16,Larry Bird*,SF,35,BOS,4,107,16.4,.514,.119,.095,2.2,19.6,10.4,27.8,0.5,1.3,12.1,20.6,,0.1,0.1,0.2,.069,,1.7,0.4,2.2,0.1
17,Lance Blanks,SG,25,DET,1,10,23.5,.500,.000,.000,0.0,11.0,5.8,55.1,16.8,0.0,33.3,14.5,,0.0,0.1,0.0,.207,,-0.8,16.2,15.5,0.0
18,Mookie Blaylock,PG,24,NJN,4,148,10.9,.335,.109,.073,3.3,8.7,5.8,27.6,5.0,0.9,11.0,17.6,,-0.2,0.2,-0.1,-0.017,,-3.0,2.8,-0.2,0.1
19,Sam Bowie,C,30,NJN,4,112,9.9,.483,.061,.364,7.0,11.5,9.0,10.7,1.3,1.7,11.6,15.8,,0.0,0.1,0.1,.031,,-2.8,-0.1,-2.9,0.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Terrell Brandon,PG,21,CLE,12,157,8.7,.414,.055,.073,3.2,12.7,8.2,29.1,1.0,0.4,16.2,19.6,,-0.2,0.2,0.0,-0.012,,-3.4,-1.1,-4.4,-0.1
22,Chucky Brown,SF,23,LAL,3,44,13.5,.439,.053,.316,7.9,23.1,15.2,9.1,0.0,3.1,4.4,23.6,,0.0,0.0,0.0,-0.014,,1.1,-0.9,0.2,0.0
