,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Kenny Anderson,PG,26,POR,4,169,17.1,.620,.413,.435,1.4,11.7,6.3,20.4,2.3,0.5,16.7,18.6,,0.3,0.1,0.4,.121,,2.5,0.8,3.3,0.2
1,Nick Anderson,SG,29,ORL,5,130,8.4,.380,.417,.056,2.6,23.2,12.8,4.4,1.3,6.4,14.0,16.4,,-0.3,0.2,-0.1,-0.040,,-2.6,1.7,-0.9,0.0
2,Shandon Anderson,SG,23,UTA,18,296,11.3,.530,.182,.424,8.4,11.2,9.8,7.3,2.1,0.3,14.2,14.7,,0.2,0.3,0.5,.084,,0.0,0.7,0.7,0.2
3,Willie Anderson,SG,30,MIA,9,120,4.5,.480,.267,.333,2.0,14.2,8.2,8.0,1.9,1.3,25.9,18.5,,-0.3,0.2,0.0,-0.007,,-5.9,2.4,-3.5,0.0
4,Darrell Armstrong,PG,28,ORL,5,143,20.8,.597,.429,.310,2.4,14.6,8.5,24.7,3.2,0.7,12.8,19.0,,0.3,0.2,0.5,.167,,3.3,2.6,5.9,0.3
5,Keith Askins,SF,29,MIA,12,146,10.3,.606,.522,.174,8.8,13.2,11.1,8.8,1.1,1.1,10.8,9.1,,0.3,0.3,0.5,.174,,-0.8,2.8,2.0,0.1
6,Stacey Augmon,SG,28,POR,4,35,5.3,.451,.000,.667,3.5,0.0,1.8,13.7,1.6,0.0,11.4,12.0,,0.0,0.0,0.0,.015,,-3.8,0.0,-3.8,0.0
7,Isaac Austin,C,27,MIA,15,287,10.7,.518,.049,.383,6.5,19.7,13.3,4.3,1.2,2.0,18.9,19.5,,-0.2,0.6,0.4,.073,,-2.6,1.0,-1.6,0.0
8,Charles Barkley*,PF,33,HOU,16,605,20.5,.557,.192,.677,13.0,24.1,18.7,15.2,1.7,0.9,14.3,22.9,,1.5,0.6,2.1,.164,,3.1,0.2,3.3,0.8
9,Brent Barry,SG,25,LAC,3,84,16.3,.565,.407,.333,1.3,10.1,5.2,21.7,2.6,0.0,11.4,20.1,,0.2,0.0,0.1,.065,,1.6,0.7,2.3,0.1
10,Jon Barry,SG,27,ATL,2,9,-13.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,,-0.1,0.0,-0.1,-0.381,,-12.8,-5.3,-18.1,0.0
11,Mookie Blaylock,PG,29,ATL,10,441,16.0,.502,.552,.136,3.5,15.1,9.7,29.2,2.7,0.4,17.7,21.9,,0.2,0.5,0.7,.079,,2.7,2.1,4.8,0.8
12,Corie Blount,PF,28,LAL,3,8,18.8,.798,.000,2.000,0.0,30.5,15.4,23.2,0.0,0.0,0.0,11.3,,0.0,0.0,0.0,.282,,1.6,5.2,6.8,0.0
13,Muggsy Bogues,PG,32,CHH,2,58,19.9,.771,.368,.211,2.1,5.1,3.4,15.2,1.0,0.0,22.4,21.6,,0.2,-0.1,0.1,.103,,6.3,-3.6,2.6,0.1
14,Scott Brooks,PG,31,NYK,4,7,14.0,.615,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,,0.0,0.0,0.0,.159,,0.7,0.0,0.8,0.0
15,Mike Brown,C,33,PHO,4,27,12.1,.646,.000,1.600,8.5,8.2,8.3,5.9,0.0,0.0,10.5,15.6,,0.1,0.0,0.1,.122,,-0.6,-0.5,-1.1,0.0
16,P.J. Brown,PF,27,MIA,15,451,14.0,.483,.000,.515,12.5,20.4,16.5,4.2,1.1,3.6,11.2,15.1,,0.3,1.0,1.3,.141,,-0.1,1.8,1.7,0.4
17,Randy Brown,PG,28,CHI,17,98,4.4,.326,.000,.167,3.4,8.7,6.0,9.7,4.6,1.9,11.0,17.2,,-0.2,0.2,0.0,.007,,-8.8,3.6,-5.2,-0.1
18,Kobe Bryant*,SF,18,LAL,9,133,12.5,.543,.418,.545,0.9,9.2,5.1,16.4,1.3,1.3,17.0,29.8,,0.0,0.1,0.1,.042,,-1.2,-0.5,-1.7,0.0
19,Mark Bryant,PF,31,PHO,4,36,4.0,.486,.000,.300,3.2,9.2,6.3,0.0,0.0,0.0,15.0,16.3,,0.0,0.0,-0.1,-0.088,,-4.6,-3.6,-8.1,-0.1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
