,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Kareem Abdul-Jabbar*,C,41,LAL,15,351,11.9,.503,.000,.293,4.6,14.1,9.7,8.5,0.7,1.9,11.7,23.3,,0.0,0.3,0.3,.038,,-2.6,-0.6,-3.2,-0.1
1,Mark Acres,C,26,BOS,2,2,-9.1,.000,1.000,.000,0.0,57.6,29.0,0.0,0.0,0.0,0.0,22.4,,0.0,0.0,0.0,-0.454,,-12.9,-5.9,-18.8,0.0
2,Michael Adams,PG,26,DEN,2,75,17.9,.595,.611,.222,6.2,16.8,11.2,17.1,1.8,0.0,16.8,24.8,,0.1,0.1,0.1,.083,,4.1,-1.1,3.0,0.1
3,Mark Aguirre,SF,29,DET,17,462,15.2,.538,.159,.209,6.6,12.5,9.5,10.2,0.9,0.5,9.1,21.6,,0.6,0.7,1.3,.133,,1.3,0.2,1.5,0.4
4,Steve Alford,PG,24,GSW,6,52,13.8,.526,.409,.182,3.9,3.7,3.8,13.4,1.8,0.0,4.0,19.0,,0.1,0.0,0.1,.093,,1.4,-0.2,1.2,0.0
5,Richard Anderson,PF,28,POR,3,35,6.6,.417,.667,.000,0.0,10.8,4.7,13.7,0.0,1.9,0.0,7.0,,0.0,0.0,0.0,-0.005,,-1.3,-0.5,-1.7,0.0
6,Ron Anderson,SF,30,PHI,3,109,20.5,.583,.020,.098,7.2,9.1,8.2,20.1,0.5,1.2,3.6,22.3,,0.3,0.1,0.4,.161,,5.1,0.5,5.6,0.2
7,Thurl Bailey,SF,27,UTA,3,122,7.2,.443,.000,.441,8.1,13.1,10.5,3.5,0.4,2.0,18.1,16.1,,-0.1,0.0,-0.1,-0.030,,-3.4,-1.4,-4.8,-0.1
8,Charles Barkley*,PF,25,PHI,3,135,24.3,.691,.111,.689,6.6,22.1,14.4,18.4,1.9,0.9,15.8,22.8,,0.4,0.2,0.6,.213,,6.4,1.9,8.4,0.3
9,John Battle,SG,26,ATL,5,118,12.4,.478,.130,.261,5.2,9.0,7.0,25.2,0.9,0.0,8.9,21.9,,0.1,0.0,0.1,.049,,-0.3,-1.3,-1.6,0.0
10,Walter Berry,PF,24,HOU,4,57,15.1,.559,.000,.308,6.1,12.0,9.0,14.5,1.7,1.1,16.9,25.9,,0.0,0.1,0.1,.066,,-0.6,0.5,-0.2,0.0
11,Otis Birdsong,SG,33,BOS,3,20,-5.7,.200,.400,.000,0.0,11.5,5.8,6.9,2.6,3.1,37.5,17.9,,-0.2,0.0,-0.1,-0.289,,-11.6,0.1,-11.5,0.0
12,Manute Bol,C,26,GSW,8,148,5.4,.230,.611,.194,3.4,17.0,10.3,0.8,0.6,10.9,7.1,11.4,,-0.4,0.2,-0.2,-0.071,,-6.4,2.3,-4.1,-0.1
