,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Tariq Abdul-Wahad,SG,24,SAC,5,99,20.5,.537,.030,.485,6.9,15.7,11.2,8.1,2.2,2.8,7.0,20.0,,0.3,0.1,0.4,.175,,2.6,1.9,4.5,0.2
1,Ray Allen*,SG,23,MIL,3,120,23.7,.635,.404,.277,8.1,14.0,11.1,22.7,1.4,0.8,17.3,25.3,,0.4,-0.1,0.3,.110,,6.8,-0.8,6.0,0.2
2,Nick Anderson,SF,31,ORL,4,152,17.0,.475,.532,.241,5.1,14.7,9.9,15.3,3.3,0.0,10.3,29.0,,0.1,0.1,0.3,.079,,2.9,0.6,3.5,0.2
3,Shandon Anderson,SG,25,UTA,11,297,12.4,.565,.182,.442,3.3,12.7,8.2,8.1,1.1,0.9,13.2,17.1,,0.4,0.3,0.7,.109,,-0.2,1.0,0.8,0.2
4,Greg Anthony,PG,31,POR,13,225,14.0,.479,.564,.618,2.2,5.4,3.9,26.7,3.3,0.4,11.4,17.5,,0.3,0.2,0.5,.102,,0.5,2.4,2.9,0.3
5,B.J. Armstrong,PG,31,ORL,2,3,-26.8,.000,.000,.000,0.0,0.0,0.0,57.7,0.0,0.0,50.0,30.1,,0.0,0.0,0.0,-0.753,,-21.2,-10.6,-31.8,0.0
6,Darrell Armstrong,PG,30,ORL,4,163,12.0,.556,.522,.348,4.1,9.6,6.8,32.4,3.0,0.0,32.0,21.6,,-0.1,0.1,0.0,.003,,-0.5,-0.4,-0.9,0.0
7,Keith Askins,SF,31,MIA,4,27,0.3,.000,.750,.000,9.5,9.2,9.4,0.0,4.4,3.1,0.0,7.8,,-0.1,0.0,0.0,-0.077,,-6.6,3.4,-3.2,0.0
8,Stacey Augmon,SF,30,POR,13,176,12.2,.487,.036,.643,7.2,16.0,11.7,5.1,2.6,1.4,7.7,11.0,,0.2,0.2,0.4,.116,,-1.1,3.0,1.8,0.2
9,Isaac Austin,C,29,ORL,4,112,8.6,.460,.087,.522,7.0,9.0,8.0,14.3,2.0,1.8,22.1,14.6,,0.0,0.0,0.0,-0.002,,-2.7,1.2,-1.5,0.0
10,Thurl Bailey,PF,37,UTA,11,115,9.9,.532,.000,.121,5.3,9.9,7.7,3.4,1.5,4.5,18.7,17.8,,0.0,0.1,0.1,.042,,-3.3,1.5,-1.7,0.0
11,Charles Barkley*,PF,35,HOU,4,157,29.0,.579,.103,.441,9.2,29.5,19.4,20.2,2.0,1.0,9.0,25.6,,0.7,0.1,0.8,.238,,6.3,1.5,7.9,0.4
12,Jon Barry,SG,29,SAC,5,112,12.5,.509,.559,.353,3.1,7.5,5.2,14.9,2.9,0.6,18.6,19.8,,0.0,0.1,0.1,.050,,-0.6,-0.1,-0.7,0.0
13,Travis Best,PG,26,IND,11,150,7.4,.445,.217,.283,5.9,7.7,6.9,24.5,1.5,0.5,21.3,20.8,,0.0,0.1,0.0,.012,,-4.6,-1.6,-6.2,-0.2
14,Mookie Blaylock,PG,31,ATL,9,358,9.7,.399,.378,.111,2.0,10.7,6.2,21.3,2.9,0.4,17.5,23.5,,-0.7,0.4,-0.3,-0.044,,-0.9,0.0,-0.9,0.1
15,Terrell Brandon,PG,28,MIN,4,161,22.4,.515,.072,.188,1.3,20.9,10.6,36.7,3.2,0.9,15.8,25.8,,0.2,0.2,0.5,.139,,3.6,3.0,6.6,0.4
