,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Derek Anderson,SF,23,CLE,4,103,15.1,.643,.000,1.182,0.0,12.7,6.4,23.2,2.8,0.9,26.4,22.2,,0.1,0.1,0.2,.097,,0.1,2.6,2.7,0.1
1,Greg Anderson,C,33,ATL,1,4,-11.0,.000,,,0.0,64.9,31.9,0.0,0.0,19.3,53.2,23.6,,-0.1,0.0,0.0,-0.531,,-23.9,7.0,-16.9,0.0
2,Shandon Anderson,SG,24,UTA,20,378,11.6,.562,.107,.359,8.8,11.2,10.1,9.2,0.7,0.2,20.1,19.4,,0.1,0.5,0.5,.065,,-0.1,-0.8,-0.9,0.1
3,Greg Anthony,PG,30,SEA,9,118,2.5,.368,.475,.200,3.1,7.0,5.1,13.2,2.4,0.7,20.2,21.9,,-0.4,0.0,-0.4,-0.161,,-6.8,-3.2,-10.0,-0.2
4,B.J. Armstrong,PG,30,CHH,9,146,9.4,.423,.119,.095,1.7,6.7,4.3,21.2,2.4,0.0,12.1,17.2,,-0.1,0.1,0.0,.002,,-1.8,0.1,-1.7,0.0
5,Keith Askins,SF,30,MIA,4,58,2.1,.357,.714,.000,2.1,12.5,7.4,2.9,1.9,0.0,12.5,6.9,,-0.1,0.1,0.0,.011,,-4.5,1.1,-3.4,0.0
6,Stacey Augmon,SG,29,POR,4,28,8.2,.512,.000,.500,4.1,9.1,6.5,5.3,3.8,3.0,29.1,10.9,,0.0,0.0,0.0,-0.025,,-2.2,3.2,1.0,0.0
7,Vin Baker,C,26,SEA,10,371,19.5,.524,.000,.284,13.5,16.9,15.2,8.8,2.7,3.3,12.7,22.1,,0.5,0.2,0.6,.082,,1.4,-0.2,1.3,0.3
8,Charles Barkley*,PF,34,HOU,4,87,16.2,.558,.087,.913,6.1,21.6,13.4,9.9,3.1,0.0,15.7,20.8,,0.1,0.2,0.2,.120,,-0.2,1.2,1.0,0.1
9,Drew Barry,PG,24,ATL,2,5,-5.0,.000,1.000,.000,0.0,25.9,12.8,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,-0.180,,-12.5,-2.8,-15.4,0.0
10,Jon Barry,SG,28,LAL,7,18,-13.6,.000,.625,.000,0.0,13.6,6.7,0.0,3.0,0.0,0.0,20.6,,-0.2,0.0,-0.2,-0.426,,-16.5,-3.9,-20.4,-0.1
11,Corey Beck,PG,26,CHH,6,26,19.2,.582,.167,.167,4.8,0.0,2.4,0.0,8.8,0.0,18.9,30.7,,0.0,0.1,0.0,.050,,0.2,5.6,5.7,0.1
12,Mario Bennett,PF,24,LAL,4,10,29.5,.694,.000,1.000,23.8,49.1,36.2,0.0,0.0,7.5,0.0,13.3,,0.1,0.0,0.1,.390,,4.9,2.3,7.2,0.0
