,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Michael Adams,PG,27,DEN,3,105,9.5,.520,.588,.235,0.0,6.0,2.8,22.0,1.7,0.0,17.6,16.8,,0.0,0.0,0.0,-0.017,,-1.8,-2.0,-3.8,0.0
1,Mark Aguirre,SF,30,DET,20,439,15.1,.529,.130,.283,8.3,15.7,12.0,10.2,1.2,0.5,12.7,23.7,,0.4,0.8,1.2,.128,,0.4,0.9,1.4,0.4
2,Steve Alford,PG,25,DAL,3,42,17.7,.569,.333,.278,2.8,5.0,3.9,31.3,1.2,0.0,12.9,23.9,,0.1,0.0,0.1,.110,,4.2,-0.5,3.6,0.1
3,Greg Anderson,PF,25,MIL,4,101,11.3,.656,.000,.737,7.4,23.1,15.1,0.0,0.5,2.6,13.7,13.1,,0.1,0.0,0.1,.067,,-2.8,-0.7,-3.5,0.0
4,Ron Anderson,SF,31,PHI,10,256,11.6,.527,.054,.323,2.7,15.3,8.7,8.6,0.8,0.0,12.4,21.0,,0.1,0.0,0.1,.026,,-1.8,-1.1,-3.0,-0.1
5,Willie Anderson,SG,23,SAS,10,375,16.2,.558,.030,.214,4.7,10.5,7.7,18.8,1.1,0.7,12.4,22.1,,0.6,0.4,1.0,.127,,1.6,0.6,2.2,0.4
6,B.J. Armstrong,PG,22,CHI,16,217,9.3,.441,.065,.387,1.6,9.6,5.5,19.2,2.4,0.0,14.2,17.2,,-0.1,0.3,0.2,.045,,-3.2,0.4,-2.8,0.0
7,John Bagley,PG,29,BOS,5,70,10.5,.567,.067,.267,5.6,1.6,3.5,29.1,2.7,0.8,34.9,15.5,,0.0,0.0,0.0,-0.014,,-1.5,-1.3,-2.8,0.0
8,Thurl Bailey,SF,28,UTA,5,190,17.2,.533,.000,.273,4.5,15.4,9.6,6.0,1.3,2.2,4.8,23.4,,0.3,0.2,0.5,.114,,1.3,0.9,2.2,0.2
9,Charles Barkley*,SF,26,PHI,10,419,25.0,.589,.111,.667,18.0,26.8,22.2,17.7,1.0,1.1,12.5,25.3,,1.3,0.2,1.5,.176,,7.0,-0.6,6.4,0.9
10,Kenny Battle,SG,25,PHO,8,34,-1.1,.335,.000,.077,3.5,12.1,8.1,0.0,0.0,0.0,13.0,19.2,,-0.1,0.0,-0.1,-0.123,,-9.6,-3.7,-13.3,-0.1
11,William Bedford,C,26,DET,5,19,-0.4,.291,.000,.333,0.0,12.1,6.1,0.0,0.0,3.6,0.0,15.9,,0.0,0.0,0.0,-0.017,,-9.6,0.3,-9.3,0.0
12,Winston Bennett,SF,24,CLE,5,135,12.2,.504,.000,.128,13.6,5.5,9.1,5.6,1.1,0.5,7.5,18.2,,0.1,0.1,0.2,.061,,-0.7,-1.8,-2.5,0.0
13,Larry Bird*,SF,33,BOS,5,207,20.7,.539,.192,.323,4.4,21.7,13.6,28.8,1.2,1.4,13.7,26.7,,0.4,0.0,0.4,.103,,4.3,-0.5,3.7,0.3
14,Uwe Blab,C,27,SAS,2,5,13.0,.412,.000,6.000,0.0,41.3,21.4,0.0,0.0,0.0,0.0,28.8,,0.0,0.0,0.0,.059,,-1.9,-2.9,-4.8,0.0
15,Rolando Blackman,SG,30,DAL,3,127,12.4,.514,.093,.185,1.8,5.8,3.9,16.8,2.3,0.9,18.2,24.3,,-0.1,0.1,-0.1,-0.019,,0.1,-0.4,-0.3,0.1
16,Anthony Bowie,SG,26,HOU,2,4,-13.3,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.254,,-16.6,-3.6,-20.2,0.0
17,Frank Brickowski,C,30,SAS,10,161,15.4,.604,.000,.481,11.1,18.0,14.6,8.8,2.3,0.4,18.6,19.8,,0.2,0.3,0.4,.132,,-1.0,1.5,0.5,0.1
18,Scott Brooks,PG,24,PHI,9,99,6.4,.457,.368,.474,2.3,7.7,4.8,22.2,1.6,0.0,23.4,13.4,,-0.1,0.0,0.0,-0.020,,-3.8,-1.6,-5.4,-0.1
19,Mike Brown,C,26,UTA,5,67,6.2,.523,.000,.333,8.0,9.1,8.5,6.1,0.8,1.0,22.5,14.3,,0.0,0.0,0.0,.000,,-4.3,-0.6,-4.8,0.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Raymond Brown,PF,24,UTA,3,6,-5.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.004,,-10.3,0.7,-9.7,0.0
22,Tony Brown,SF,29,MIL,2,13,8.2,.500,.333,.000,0.0,0.0,0.0,0.0,7.8,0.0,0.0,10.5,,0.0,0.0,0.0,.059,,-1.4,6.2,4.8,0.0
23,Mark Bryant,PF,24,POR,13,160,5.9,.575,.000,.242,5.9,14.4,10.0,2.7,0.9,0.8,24.7,12.4,,-0.1,0.2,0.1,.026,,-4.5,0.3,-4.2,-0.1
24,Adrian Caldwell,PF,23,HOU,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-2.8,-0.5,-3.3,0.0
25,Joe Barry Carroll,C,31,DEN,3,46,16.5,.592,.000,.125,2.0,18.1,9.6,9.2,1.0,5.4,5.6,15.1,,0.1,0.0,0.1,.099,,-0.1,2.5,2.4,0.1
26,Bill Cartwright,C,32,CHI,16,462,6.4,.461,.000,.355,6.3,13.3,9.7,5.0,0.6,0.6,15.2,15.7,,-0.3,0.5,0.2,.016,,-3.6,-2.1,-5.7,-0.4
27,Tom Chambers,PF,30,PHO,16,612,14.2,.533,.069,.480,3.9,14.6,9.6,8.0,0.6,0.7,12.8,26.4,,0.4,0.7,1.0,.082,,0.3,-0.9,-0.5,0.2
28,Maurice Cheeks*,PG,33,NYK,10,388,16.2,.544,.038,.298,3.5,8.5,5.9,30.8,2.2,0.3,13.9,15.3,,0.7,0.0,0.7,.091,,1.4,-0.1,1.4,0.3
29,Derrick Chievous,SF,22,CLE,3,28,21.5,.681,.000,.900,9.4,3.8,6.3,11.5,1.8,0.0,17.7,27.8,,0.1,0.0,0.1,.162,,2.2,-0.6,1.6,0.0
30,Michael Cooper,SG,33,LAL,9,173,7.1,.329,.343,.000,7.9,8.6,8.2,18.5,2.1,1.5,16.7,10.7,,-0.1,0.1,0.1,.018,,-1.1,1.2,0.0,0.1
31,Wayne Cooper,C,33,POR,18,248,11.0,.434,.000,.404,10.7,21.4,15.8,2.8,1.0,7.0,8.3,9.9,,0.1,0.4,0.5,.097,,-2.5,2.8,0.3,0.1
32,Lanard Copeland,SG,24,PHI,4,9,-3.7,.333,.000,.000,0.0,14.0,6.7,0.0,0.0,0.0,14.3,34.4,,-0.1,0.0,-0.1,-0.353,,-11.9,-7.0,-18.9,0.0
33,Terry Cummings,PF,28,SAS,10,375,20.1,.571,.026,.267,9.2,17.4,13.4,8.5,0.9,0.7,8.0,25.0,,0.9,0.5,1.4,.183,,3.3,-0.3,3.0,0.5
34,Brad Daugherty,C,24,CLE,5,186,22.3,.632,.000,.657,2.8,25.0,15.1,17.4,0.6,1.4,12.6,25.5,,0.5,0.2,0.7,.171,,3.1,1.5,4.6,0.3
35,Charles Davis,SF,31,CHI,6,20,-0.8,.286,.143,.000,17.5,0.0,9.0,7.2,0.0,0.0,12.5,17.6,,0.0,0.0,0.0,-0.088,,-8.0,-4.6,-12.6,-0.1
36,Walter Davis,SG,35,DEN,3,70,10.6,.441,.022,.133,5.2,7.5,6.3,13.3,0.6,0.0,9.5,29.1,,-0.1,0.0,-0.1,-0.100,,-1.4,-4.7,-6.1,-0.1
37,Johnny Dawkins,PG,26,PHI,10,386,15.7,.530,.061,.374,1.5,5.6,3.4,36.9,2.3,0.3,17.8,18.7,,0.4,0.1,0.5,.066,,1.8,-0.2,1.7,0.4
38,Vlade Divac*,C,21,LAL,9,175,23.1,.783,.045,.432,11.3,20.9,16.3,8.7,2.3,5.4,19.9,16.4,,0.5,0.3,0.8,.231,,3.4,4.3,7.7,0.4
39,James Donaldson,C,32,DAL,3,74,12.4,.724,.000,.385,9.5,14.1,11.9,4.0,1.3,0.0,20.8,11.2,,0.1,0.0,0.2,.102,,0.4,0.3,0.7,0.1
40,Larry Drew,PG,31,LAL,7,51,5.1,.564,.500,.750,0.0,4.5,2.3,10.0,3.0,0.0,27.3,12.6,,0.0,0.0,0.0,.018,,-5.2,0.7,-4.4,0.0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Clyde Drexler*,SG,27,POR,21,853,19.0,.505,.105,.318,7.8,11.9,9.8,29.2,3.0,1.3,13.1,24.5,,1.0,1.2,2.2,.123,,4.2,2.2,6.3,1.8
43,Kevin Duckworth,C,25,POR,15,453,9.0,.475,.000,.246,6.5,15.0,10.6,5.7,0.5,1.2,13.7,21.7,,-0.4,0.4,0.1,.007,,-3.1,-0.9,-3.9,-0.2
44,Joe Dumars*,SG,26,DET,20,754,15.2,.545,.067,.398,2.8,4.0,3.4,20.1,1.5,0.0,13.9,22.6,,1.1,1.0,2.1,.133,,1.2,0.5,1.8,0.7
45,T.R. Dunn,SF,34,DEN,3,31,9.3,,,,3.0,20.2,11.0,7.1,5.7,1.6,100.0,1.2,,0.0,0.0,0.0,.062,,-3.0,5.1,2.1,0.0
46,Mark Eaton,C,33,UTA,5,128,9.1,.495,.000,.294,6.7,20.9,13.4,0.0,1.2,7.6,17.2,7.8,,0.0,0.2,0.2,.058,,-3.8,3.1,-0.7,0.0
47,Blue Edwards,SF,24,UTA,5,94,13.1,.610,.115,.308,9.2,13.0,10.9,12.3,3.8,1.5,28.9,19.0,,0.0,0.1,0.1,.048,,-1.8,3.0,1.2,0.1
48,James Edwards,C,34,DET,20,536,12.8,.523,.004,.416,5.3,10.1,7.7,4.1,0.5,1.4,10.2,25.0,,0.3,0.8,1.1,.096,,-1.8,0.1,-1.7,0.0
49,Craig Ehlo,SG,28,CLE,5,196,12.5,.490,.242,.306,4.7,13.5,9.6,23.2,1.6,0.0,14.6,19.3,,0.0,0.2,0.2,.047,,-1.2,-0.1,-1.3,0.0
50,Sean Elliott,SF,21,SAS,10,291,13.0,.584,.010,.302,4.2,10.7,7.5,7.9,1.5,1.3,12.1,16.8,,0.4,0.4,0.7,.118,,-0.5,1.1,0.6,0.2
51,Alex English*,SF,36,DEN,3,76,23.4,.604,.000,.250,3.6,8.2,5.8,20.6,1.2,0.7,3.9,25.9,,0.2,0.0,0.2,.149,,5.6,-0.2,5.4,0.1
52,Patrick Ewing*,C,27,NYK,10,395,25.4,.579,.009,.361,6.0,26.0,15.7,14.2,1.7,3.2,9.6,30.9,,1.0,0.3,1.3,.155,,4.3,0.8,5.2,0.7
53,Vern Fleming,PG,27,IND,3,113,14.1,.527,.059,.265,4.6,9.6,7.1,27.1,1.0,0.5,17.4,19.3,,0.1,0.0,0.1,.033,,2.8,-1.2,1.6,0.1
