,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
552,Dontonio Wingfield,SF,21,POR,44,2,487,4.4,11.6,.382,1.4,4.7,.302,3.0,6.9,.436,1.9,2.5,.765,3.3,4.4,7.7,2.1,1.5,0.4,2.3,5.4,12.2
553,Joe Wolf,PF,31,TOT,64,8,1065,4.6,8.9,.513,0.0,0.2,.000,4.6,8.7,.525,0.7,1.0,.724,1.7,4.7,6.3,2.1,0.5,0.2,1.4,5.5,9.8
554,Joe Wolf,PF,31,CHH,1,0,18,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,0.0,0.0,,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0
555,Joe Wolf,PF,31,ORL,63,8,1047,4.6,9.0,.515,0.0,0.2,.000,4.6,8.8,.527,0.7,1.0,.724,1.7,4.7,6.4,2.2,0.4,0.2,1.4,5.5,10.0
556,David Wood,PF,31,TOT,62,0,772,3.5,8.1,.431,0.9,2.9,.323,2.6,5.2,.491,1.8,2.3,.760,2.4,4.8,7.2,1.6,0.9,0.5,1.1,7.0,9.7
557,David Wood,PF,31,GSW,21,0,96,2.6,5.2,.500,0.4,1.1,.333,2.3,4.1,.545,2.6,3.0,.875,2.6,3.4,6.0,1.9,0.7,0.4,1.1,8.6,8.2
558,David Wood,PF,31,PHO,4,0,34,1.1,6.4,.167,0.0,0.0,,1.1,6.4,.167,2.1,2.1,1.000,2.1,3.2,5.3,2.1,1.1,0.0,2.1,9.5,4.2
559,David Wood,PF,31,DAL,37,0,642,3.8,8.6,.435,1.1,3.3,.322,2.7,5.3,.505,1.6,2.2,.725,2.4,5.1,7.5,1.5,0.9,0.5,1.1,6.6,10.2
560,Randy Woods,PG,25,DEN,8,0,72,3.0,11.0,.273,2.5,10.5,.238,0.5,0.5,1.000,1.0,1.0,1.000,1.5,1.5,3.0,6.0,3.0,0.5,2.5,6.5,9.5
561,Haywoode Workman,PG,30,IND,77,4,1164,3.1,8.0,.390,0.7,2.2,.324,2.4,5.8,.415,1.7,2.3,.740,0.8,3.0,3.8,6.6,2.0,0.1,2.9,4.7,8.6
562,Sharone Wright,C,23,TOT,57,38,1434,6.2,12.9,.484,0.0,0.1,.333,6.2,12.8,.485,4.2,6.5,.645,3.7,5.2,8.9,1.0,0.8,1.2,2.7,4.1,16.7
563,Sharone Wright,C,23,PHI,46,32,1136,5.8,12.2,.477,0.0,0.0,,5.8,12.2,.477,3.7,5.9,.629,3.9,5.5,9.5,0.9,0.8,1.2,2.6,4.0,15.3
564,Sharone Wright,C,23,TOR,11,6,298,7.9,15.5,.508,0.1,0.4,.333,7.7,15.1,.512,6.0,8.8,.685,2.9,4.0,6.9,1.3,0.7,1.2,3.4,4.6,21.9
565,George Zídek,C,22,CHH,71,21,888,4.3,10.1,.423,0.0,0.0,,4.3,10.1,.423,2.9,3.8,.763,2.8,4.6,7.4,0.6,0.4,0.3,1.5,6.9,11.4
