,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Shareef Abdur-Rahim,PF,29.0,SAC,6.0,129.0,11.3,0.5539999999999999,0.07,0.349,7.1,22.9,14.2,10.2,0.8,0.0,20.8,22.8,,0.0,0.0,-0.1,-0.03,,-3.5,-1.9,-5.4,-0.1,2006
1,Malik Allen,PF,27.0,CHI,6.0,116.0,6.1,0.46,0.0,0.033,5.1,12.9,9.0,10.3,0.9,4.5,24.7,15.9,,-0.2,0.1,-0.1,-0.031,,-4.6,1.9,-2.7,0.0,2006
2,Derek Anderson,SG,31.0,MIA,8.0,66.0,8.8,0.51,0.7,0.4,0.0,15.5,8.1,12.0,1.6,0.0,11.3,19.1,,0.0,0.1,0.1,0.105,,-2.4,1.2,-1.2,0.0,2006
3,Shandon Anderson,SF,32.0,MIA,13.0,90.0,1.7,0.41600000000000004,0.231,0.462,4.2,11.4,7.9,6.6,0.0,0.9,27.7,11.4,,-0.1,0.1,0.0,-0.02,,-3.9,-0.6,-4.5,-0.1,2006
4,Carmelo Anthony,SF,21.0,DEN,5.0,193.0,10.7,0.431,0.04,0.525,6.2,14.4,9.7,14.3,1.1,0.4,11.0,31.2,,-0.3,0.3,0.0,-0.009000000000000001,,-0.1,-1.4,-1.5,0.0,2006
5,Gilbert Arenas,PG,24.0,WAS,6.0,284.0,26.4,0.597,0.32899999999999996,0.5,2.8,11.2,6.9,23.4,2.4,1.0,10.5,31.4,,1.0,0.3,1.3,0.217,,7.4,0.8,8.2,0.7,2006
6,Darrell Armstrong,PG,37.0,DAL,11.0,47.0,1.6,0.252,0.467,0.133,2.5,15.9,9.0,6.3,3.4,1.8,5.9,16.7,,-0.1,0.1,-0.1,-0.057999999999999996,,-8.2,2.0,-6.2,-0.1,2006
7,Chucky Atkins,PG,31.0,MEM,4.0,103.0,10.2,0.48100000000000004,0.297,0.21600000000000003,0.0,3.6,1.9,25.1,1.1,0.0,9.0,22.4,,0.0,0.0,0.0,-0.015,,-0.4,-0.5,-0.8,0.0,2006
8,Leandro Barbosa,SG,23.0,PHO,20.0,632.0,13.6,0.579,0.315,0.265,1.0,5.0,3.0,13.1,1.2,0.5,10.6,20.4,,0.8,0.1,0.9,0.069,,0.1,-0.5,-0.4,0.2,2006
9,Brent Barry,SG,34.0,SAS,13.0,301.0,15.6,0.7190000000000001,0.557,0.344,1.4,11.6,6.8,11.6,1.6,0.8,11.4,12.8,,0.8,0.1,1.0,0.153,,2.5,1.6,4.1,0.5,2006
10,Shane Battier,SF,27.0,MEM,4.0,129.0,6.8,0.53,0.35,0.3,7.1,15.4,11.4,2.9,1.8,1.2,26.1,12.3,,-0.1,0.1,-0.1,-0.023,,-2.5,0.6,-1.9,0.0,2006
11,Charlie Bell,SG,26.0,MIL,5.0,108.0,10.9,0.499,0.256,0.163,2.2,1.2,1.7,10.3,1.5,1.6,8.0,21.6,,0.1,-0.1,0.0,-0.017,,-0.1,-1.3,-1.4,0.0,2006
12,Raja Bell,SG,29.0,PHO,17.0,673.0,12.1,0.634,0.521,0.248,1.4,7.0,4.3,7.9,0.8,0.4,5.2,13.5,,1.4,0.1,1.4,0.10300000000000001,,0.6,0.0,0.6,0.4,2006
13,Mike Bibby,PG,27.0,SAC,6.0,255.0,12.3,0.475,0.28300000000000003,0.326,2.7,9.4,5.7,20.8,1.9,0.0,14.6,22.7,,0.0,-0.1,-0.1,-0.022000000000000002,,0.7,-2.2,-1.5,0.0,2006
