,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
26,Carlos Boozer,PF,25.0,UTA,17.0,654.0,24.2,0.5760000000000001,0.0,0.341,9.6,27.6,18.6,15.1,1.4,0.7,12.8,27.3,,1.7,0.8,2.5,0.18100000000000002,,4.7,0.4,5.1,1.2,2007
27,Chris Bosh,C,22.0,TOR,6.0,222.0,18.0,0.48700000000000004,0.055,0.418,3.9,25.4,14.9,13.1,1.2,4.6,10.0,26.0,,0.1,0.3,0.3,0.07400000000000001,,0.1,0.3,0.4,0.1,2007
28,Bruce Bowen,SF,35.0,SAS,20.0,689.0,8.5,0.534,0.622,0.05,2.1,11.6,6.9,5.7,2.2,0.4,10.3,9.3,,0.4,0.8,1.2,0.086,,-1.7,2.9,1.2,0.6,2007
29,Ronnie Brewer,SG,21.0,UTA,8.0,41.0,17.1,0.604,0.0,1.3,5.7,11.5,8.6,8.0,1.3,0.0,11.3,19.4,,0.1,0.0,0.1,0.138,,1.1,-0.3,0.8,0.0,2007
30,Dee Brown,PG,22.0,UTA,8.0,52.0,4.5,0.34600000000000003,0.353,0.235,2.2,4.5,3.4,27.1,0.0,0.0,17.6,19.6,,-0.1,0.0,-0.1,-0.11199999999999999,,-3.1,-3.6,-6.7,-0.1,2007
31,Kwame Brown,C,24.0,LAL,5.0,133.0,11.2,0.5379999999999999,0.0,0.25,10.4,13.9,12.0,1.2,0.4,2.4,18.4,16.0,,0.1,0.0,0.0,0.005,,-2.4,-0.8,-3.2,0.0,2007
32,P.J. Brown,PF,37.0,CHI,10.0,228.0,15.2,0.5379999999999999,0.0,0.34299999999999997,8.8,15.2,12.0,9.9,1.9,0.7,9.4,17.3,,0.4,0.3,0.7,0.151,,-0.7,2.8,2.1,0.2,2007
33,Shannon Brown,SG,21.0,CLE,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-5.6,0.3,-5.2,0.0,2007
34,Kobe Bryant,SG,28.0,LAL,5.0,215.0,24.1,0.561,0.215,0.285,0.5,14.3,6.9,20.0,1.2,0.7,13.1,33.9,,0.6,-0.1,0.5,0.121,,6.0,0.1,6.1,0.4,2007
35,Greg Buckner,SG,30.0,DAL,6.0,44.0,-3.0,0.063,0.5710000000000001,0.28600000000000003,5.0,10.3,7.6,6.4,2.3,2.1,20.2,9.8,,-0.2,0.0,-0.2,-0.17,,-9.6,0.2,-9.4,-0.1,2007
36,Pat Burke,C,33.0,PHO,3.0,7.0,6.8,0.5,0.0,0.0,0.0,15.7,8.3,0.0,0.0,10.9,0.0,12.9,,0.0,0.0,0.0,0.091,,-10.7,5.2,-5.5,0.0,2007
37,Andrew Bynum,C,19.0,LAL,5.0,55.0,16.9,0.515,0.0,0.667,15.4,33.6,23.8,0.0,0.0,2.9,9.3,16.9,,0.1,0.0,0.1,0.08199999999999999,,0.1,-2.0,-1.9,0.0,2007
38,José Calderón,PG,25.0,TOR,6.0,146.0,20.1,0.544,0.174,0.087,1.7,6.6,4.2,50.1,1.8,0.0,17.3,28.7,,0.2,0.1,0.2,0.075,,2.7,-1.7,1.0,0.1,2007
39,Marcus Camby,C,32.0,DEN,5.0,184.0,13.7,0.39899999999999997,0.0,0.133,7.6,38.1,23.1,8.9,1.2,6.7,17.3,14.5,,-0.2,0.4,0.2,0.055999999999999994,,-1.4,3.4,2.0,0.2,2007
40,Anthony Carter,PG,31.0,DEN,1.0,14.0,25.5,0.9009999999999999,0.0,0.25,0.0,8.1,4.1,34.5,0.0,0.0,18.4,18.0,,0.1,0.0,0.1,0.221,,5.0,2.8,7.9,0.0,2007
42,Vince Carter,SG,30.0,NJN,12.0,487.0,16.9,0.49,0.23,0.374,4.3,15.7,10.1,26.9,1.2,1.2,12.2,30.8,,0.1,0.8,0.9,0.091,,2.0,-0.5,1.5,0.4,2007
43,Jarron Collins,C,28.0,UTA,13.0,110.0,7.0,0.455,0.0,1.889,8.5,12.9,10.7,6.3,1.9,0.0,5.7,7.1,,0.1,0.1,0.2,0.09,,-3.0,1.5,-1.5,0.0,2007
44,Jason Collins,PF,28.0,NJN,12.0,329.0,1.8,0.542,0.0,0.524,5.9,8.6,7.3,0.9,1.2,0.8,38.2,6.1,,-0.2,0.4,0.2,0.03,,-6.2,0.6,-5.5,-0.3,2007
45,Brian Cook,PF,26.0,LAL,5.0,51.0,4.5,0.466,0.389,0.16699999999999998,4.2,9.7,6.7,0.0,0.0,1.5,9.4,18.1,,0.0,0.0,0.0,-0.019,,-6.0,-2.3,-8.3,-0.1,2007
46,Austin Croshere,PF,31.0,DAL,3.0,34.0,10.7,0.545,0.33299999999999996,0.33299999999999996,9.7,10.0,9.8,0.0,0.0,0.0,12.7,20.2,,0.1,0.0,0.0,0.047,,-1.0,-3.1,-4.1,0.0,2007
47,Erick Dampier,C,31.0,DAL,5.0,38.0,7.9,0.644,0.0,0.667,25.9,24.0,25.0,4.0,0.0,0.0,50.8,9.0,,0.0,0.0,0.0,0.004,,-3.9,-2.9,-6.8,0.0,2007
48,Antonio Daniels,SG,31.0,WAS,4.0,176.0,20.5,0.561,0.132,0.5529999999999999,1.2,11.3,5.7,43.3,1.5,0.4,12.9,14.6,,0.5,0.0,0.5,0.141,,3.8,0.6,4.5,0.3,2007
49,Baron Davis,PG,27.0,GSW,11.0,445.0,26.8,0.622,0.35100000000000003,0.387,2.7,10.1,6.3,30.3,3.6,1.2,12.5,25.4,,2.0,0.3,2.3,0.247,,5.8,2.8,8.6,1.2,2007
50,Dale Davis,C,37.0,DET,8.0,51.0,6.0,0.41,0.0,0.5,11.6,16.5,14.0,3.2,2.2,3.2,17.0,11.1,,0.0,0.1,0.1,0.078,,-6.2,1.7,-4.5,0.0,2007
51,Carlos Delfino,SG,24.0,DET,16.0,135.0,9.6,0.467,0.43200000000000005,0.162,5.3,13.3,9.3,10.6,2.1,0.6,15.0,16.7,,0.0,0.2,0.2,0.054000000000000006,,-1.8,0.8,-1.0,0.0,2007
52,Luol Deng,SF,21.0,CHI,10.0,410.0,21.7,0.575,0.006,0.33899999999999997,8.6,16.1,12.4,12.7,1.3,1.4,10.6,24.4,,1.1,0.5,1.6,0.188,,3.6,1.8,5.4,0.8,2007
53,Boris Diaw,PF,24.0,PHO,10.0,235.0,11.4,0.503,0.102,0.254,6.8,8.9,7.9,18.4,1.5,0.7,20.6,15.9,,0.1,0.2,0.3,0.052000000000000005,,-0.9,0.5,-0.4,0.1,2007
54,Yakhouba Diawara,SG,24.0,DEN,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.021,,-3.9,-1.0,-4.9,0.0,2007
55,DeSagana Diop,C,25.0,DAL,6.0,140.0,12.0,0.581,0.0,0.467,12.5,20.3,16.3,2.2,1.1,6.7,18.1,6.9,,0.2,0.1,0.2,0.078,,-1.7,1.7,0.0,0.1,2007
56,Juan Dixon,SG,28.0,TOR,6.0,63.0,3.5,0.429,0.381,0.0,0.0,7.6,3.9,8.7,5.9,0.0,32.3,23.8,,-0.3,0.1,-0.2,-0.182,,-8.1,1.3,-6.7,-0.1,2007
57,Michael Doleac,C,29.0,MIA,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-2.8,-0.5,-3.4,0.0,2007
58,Keyon Dooling,SG,26.0,ORL,4.0,65.0,16.9,0.525,0.12,0.24,1.9,10.9,6.4,14.4,1.7,1.3,6.7,22.0,,0.1,0.0,0.1,0.08,,0.2,1.8,2.0,0.1,2007
59,Chris Duhon,PG,24.0,CHI,9.0,172.0,7.5,0.452,0.613,0.32299999999999995,2.1,8.7,5.4,19.5,0.9,0.5,16.5,11.4,,0.0,0.1,0.2,0.055,,-2.2,0.3,-1.9,0.0,2007
60,Tim Duncan,C,30.0,SAS,20.0,736.0,27.4,0.556,0.0,0.446,12.0,24.5,18.4,17.7,1.0,6.3,12.9,29.5,,1.9,1.4,3.3,0.214,,3.8,3.0,6.9,1.7,2007
61,Monta Ellis,SG,21.0,GSW,11.0,238.0,8.6,0.466,0.11,0.341,3.6,8.2,5.9,6.8,2.1,0.7,17.5,21.2,,-0.3,0.1,-0.2,-0.040999999999999995,,-4.2,-1.1,-5.3,-0.2,2007
63,Francisco Elson,C,30.0,SAS,20.0,230.0,11.8,0.625,0.023,0.455,11.6,20.1,15.9,1.4,1.9,2.0,26.5,14.8,,0.1,0.4,0.5,0.10300000000000001,,-4.1,1.4,-2.7,0.0,2007
64,Maurice Evans,SG,28.0,LAL,5.0,82.0,11.0,0.48100000000000004,0.5,0.0,3.9,7.5,5.6,5.5,1.2,0.0,0.0,13.7,,0.1,0.0,0.1,0.05,,1.1,-0.8,0.3,0.0,2007
65,Jordan Farmar,PG,20.0,LAL,5.0,114.0,11.6,0.515,0.35700000000000004,0.25,0.9,14.0,7.0,10.2,2.7,0.7,13.9,13.7,,0.1,0.0,0.1,0.038,,-2.3,2.6,0.3,0.1,2007
66,Michael Finley,SF,33.0,SAS,20.0,538.0,15.0,0.5760000000000001,0.59,0.21899999999999997,1.8,10.7,6.4,6.8,1.1,0.6,6.2,18.3,,1.2,0.5,1.6,0.146,,2.3,0.8,3.1,0.7,2007
67,Derek Fisher,SG,32.0,UTA,16.0,445.0,11.5,0.54,0.264,0.37200000000000005,1.0,5.6,3.3,14.7,1.9,0.4,11.9,16.1,,0.7,0.2,0.9,0.09699999999999999,,-1.2,1.1,0.0,0.2,2007
68,T.J. Ford,PG,23.0,TOR,6.0,136.0,27.3,0.563,0.132,0.276,4.6,4.4,4.5,43.6,2.7,1.4,14.1,35.2,,0.3,0.1,0.4,0.146,,7.2,0.2,7.4,0.3,2007
69,Adonal Foyle,C,31.0,GSW,3.0,6.0,20.0,1.0,0.0,0.0,0.0,38.5,18.6,0.0,0.0,0.0,0.0,7.4,,0.0,0.0,0.0,0.215,,6.4,1.7,8.2,0.0,2007
70,Devean George,SF,29.0,DAL,6.0,109.0,4.4,0.35700000000000004,0.48,0.4,4.0,14.6,9.2,5.5,2.8,1.7,19.2,14.5,,-0.2,0.0,-0.2,-0.07200000000000001,,-5.2,0.9,-4.2,-0.1,2007
71,Daniel Gibson,PG,20.0,CLE,20.0,402.0,16.8,0.611,0.569,0.371,2.6,6.8,4.7,9.7,1.7,0.8,6.3,17.2,,1.2,0.5,1.8,0.21100000000000002,,2.7,2.7,5.4,0.8,2007
72,Manu Ginóbili,SG,29.0,SAS,20.0,602.0,21.9,0.5589999999999999,0.401,0.47,3.2,17.8,10.7,21.6,3.0,0.5,12.4,26.8,,1.6,1.0,2.6,0.204,,3.3,2.6,6.0,1.2,2007
73,Gordan Giriček,SG,29.0,UTA,17.0,307.0,7.0,0.53,0.28600000000000003,0.17600000000000002,1.5,9.2,5.4,8.8,0.5,0.6,18.3,17.5,,0.0,0.1,0.1,0.009000000000000001,,-2.3,-1.0,-3.3,-0.1,2007
74,Drew Gooden,PF,25.0,CLE,20.0,605.0,15.7,0.523,0.01,0.19399999999999998,9.5,21.7,15.5,6.6,0.9,1.3,11.0,19.5,,0.7,1.0,1.7,0.13699999999999998,,-0.9,0.7,-0.3,0.3,2007
75,Ben Gordon,SG,23.0,CHI,10.0,395.0,16.0,0.584,0.374,0.429,2.7,8.5,5.6,18.4,1.2,0.2,16.3,24.4,,0.7,0.4,1.1,0.132,,1.8,0.3,2.1,0.4,2007
76,Joey Graham,SF,24.0,TOR,6.0,109.0,1.8,0.345,0.048,0.23800000000000002,1.1,20.9,11.2,2.9,2.0,0.0,20.5,12.9,,-0.3,0.1,-0.2,-0.087,,-7.4,-0.7,-8.1,-0.2,2007
77,Adrian Griffin,SF,32.0,CHI,4.0,9.0,-19.0,0.0,0.0,0.0,13.1,0.0,6.5,0.0,6.0,0.0,0.0,30.8,,-0.1,0.0,-0.1,-0.569,,-19.2,-6.9,-26.0,-0.1,2007
78,Richard Hamilton,SG,28.0,DET,16.0,638.0,16.4,0.517,0.079,0.353,5.9,7.0,6.4,18.7,1.2,0.3,9.6,24.3,,1.3,0.6,1.8,0.138,,2.0,-0.6,1.4,0.6,2007
79,Matt Harpring,SF,30.0,UTA,17.0,433.0,12.5,0.504,0.028999999999999998,0.34600000000000003,8.9,13.3,11.1,8.7,0.9,0.7,12.3,18.5,,0.4,0.2,0.6,0.07,,-0.1,-1.0,-1.0,0.1,2007
80,Al Harrington,PF,26.0,GSW,11.0,262.0,12.8,0.504,0.38799999999999996,0.306,7.0,15.0,10.9,3.8,1.0,2.1,8.3,20.5,,0.3,0.1,0.4,0.068,,-0.6,-1.6,-2.2,0.0,2007
81,Devin Harris,PG,23.0,DAL,6.0,163.0,18.5,0.5539999999999999,0.159,0.302,0.7,7.7,4.1,35.3,1.9,0.6,11.2,21.4,,0.5,0.0,0.4,0.124,,1.4,1.2,2.6,0.2,2007
