,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Arron Afflalo,SG,23.0,DET,4.0,66.0,8.4,0.539,0.47600000000000003,0.23800000000000002,1.9,4.1,3.0,3.0,0.0,2.8,11.5,20.1,,0.0,0.0,0.0,-0.016,,-1.7,0.0,-1.7,0.0,2009
1,LaMarcus Aldridge,PF,23.0,POR,6.0,237.0,18.6,0.519,0.038,0.192,4.4,20.9,11.9,7.0,0.7,3.6,8.1,26.3,,0.2,0.2,0.3,0.069,,1.5,-0.6,0.9,0.2,2009
2,Ray Allen,SG,33.0,BOS,14.0,565.0,14.2,0.5529999999999999,0.485,0.282,2.7,9.0,5.8,11.0,1.4,0.7,9.7,21.0,,0.7,0.5,1.2,0.10400000000000001,,1.8,-0.4,1.4,0.4,2009
3,Tony Allen,SG,27.0,BOS,10.0,60.0,7.9,0.5329999999999999,0.0,0.125,1.9,16.2,8.9,7.4,1.8,0.0,10.6,7.3,,0.0,0.1,0.1,0.077,,-3.7,1.6,-2.1,0.0,2009
4,Rafer Alston,PG,32.0,ORL,23.0,740.0,11.8,0.47100000000000003,0.405,0.158,0.5,8.9,4.8,22.4,2.4,0.4,11.8,22.1,,-0.2,0.9,0.7,0.043,,-1.2,0.9,-0.3,0.3,2009
5,Chris Andersen,C,30.0,DEN,15.0,328.0,18.4,0.6609999999999999,0.019,0.815,10.5,24.4,17.4,4.1,0.8,8.4,9.8,11.3,,0.9,0.5,1.4,0.203,,0.5,2.4,3.0,0.4,2009
6,Carmelo Anthony,SF,24.0,DEN,16.0,612.0,24.3,0.564,0.205,0.447,5.0,13.3,9.1,19.8,2.4,1.4,8.8,31.5,,1.9,0.6,2.6,0.201,,4.5,0.5,5.0,1.1,2009
7,Joel Anthony,C,26.0,MIA,6.0,88.0,13.6,0.85,0.0,0.4,14.0,13.4,13.6,3.7,0.0,6.9,14.5,4.0,,0.2,0.1,0.3,0.18100000000000002,,-0.1,2.8,2.6,0.1,2009
8,Trevor Ariza,SF,23.0,LAL,23.0,722.0,14.7,0.61,0.45399999999999996,0.34600000000000003,3.6,12.0,7.8,11.6,2.6,1.2,15.1,15.9,,1.0,1.1,2.2,0.14300000000000002,,1.3,2.5,3.8,1.0,2009
9,Hilton Armstrong,C,24.0,NOH,4.0,53.0,2.3,0.431,0.0,0.769,6.6,12.0,9.2,4.0,4.0,1.6,25.6,21.0,,-0.2,0.0,-0.2,-0.17,,-10.0,0.0,-10.0,-0.1,2009
10,Renaldo Balkman,PF,24.0,DEN,8.0,20.0,16.0,0.33299999999999996,0.16699999999999998,0.0,11.9,12.1,12.0,7.4,10.4,0.0,0.0,13.7,,0.0,0.1,0.1,0.139,,-1.5,5.8,4.2,0.0,2009
11,J.J. Barea,SG,24.0,DAL,10.0,221.0,13.5,0.495,0.225,0.183,1.7,9.1,5.6,25.6,0.7,0.0,7.3,17.8,,0.3,0.0,0.3,0.062,,0.6,-1.8,-1.1,0.0,2009
12,Brent Barry,SG,37.0,HOU,4.0,35.0,12.0,0.65,0.8,0.0,0.0,13.1,6.8,15.2,3.1,0.0,28.6,19.2,,0.0,0.1,0.0,0.049,,-1.1,2.6,1.5,0.0,2009
13,Brandon Bass,C,23.0,DAL,10.0,192.0,22.8,0.638,0.0,0.517,8.7,17.2,13.1,6.4,1.9,1.7,5.2,19.2,,0.8,0.1,0.9,0.22,,3.1,0.4,3.5,0.3,2009
