,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Steven Adams,C,22.0,OKC,18.0,553.0,16.8,0.636,0.009000000000000001,0.6579999999999999,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,,1.5,0.6,2.1,0.179,,1.5,0.3,1.8,0.5,2016
1,Cole Aldrich,C,27.0,LAC,6.0,77.0,21.4,0.652,0.0,0.4,10.4,28.1,19.3,6.0,4.0,3.3,10.2,11.4,,0.2,0.2,0.4,0.254,,1.1,3.3,4.4,0.1,2016
2,LaMarcus Aldridge,PF,30.0,SAS,10.0,337.0,25.0,0.579,0.012,0.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,,1.0,0.5,1.6,0.223,,3.5,0.2,3.6,0.5,2016
3,Lavoy Allen,PF,26.0,IND,6.0,51.0,7.1,0.3,0.0,0.0,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,,0.0,0.1,0.0,0.031,,-2.1,-0.4,-2.4,0.0,2016
4,Tony Allen,SG,34.0,MEM,4.0,94.0,6.7,0.387,0.212,0.39399999999999996,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,,-0.2,0.0,-0.2,-0.10300000000000001,,-4.1,-0.7,-4.8,-0.1,2016
5,Al-Farouq Aminu,SF,25.0,POR,11.0,372.0,15.5,0.5720000000000001,0.547,0.22699999999999998,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,,0.5,0.3,0.8,0.1,,2.1,0.5,2.7,0.4,2016
6,Chris Andersen,C,37.0,MEM,4.0,79.0,14.7,0.483,0.0,0.667,16.5,31.0,22.7,6.3,1.4,3.3,24.4,11.9,,0.0,0.0,0.0,0.021,,-0.3,-1.0,-1.3,0.0,2016
7,Justin Anderson,SF,22.0,DAL,5.0,95.0,19.2,0.544,0.35100000000000003,0.37799999999999995,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,,0.2,0.0,0.1,0.057999999999999996,,2.0,0.7,2.7,0.1,2016
8,Kyle Anderson,SF,22.0,SAS,10.0,129.0,7.7,0.41,0.12,0.28,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,,-0.1,0.2,0.1,0.055,,-4.5,2.0,-2.4,0.0,2016
9,Trevor Ariza,SF,30.0,HOU,5.0,181.0,1.8,0.313,0.5489999999999999,0.078,3.9,8.7,6.1,3.6,3.5,0.5,18.5,14.7,,-0.5,0.1,-0.4,-0.11599999999999999,,-6.1,-0.5,-6.6,-0.2,2016
10,Jeff Ayres,C,28.0,LAC,2.0,2.0,68.8,1.042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,,0.0,0.0,0.0,0.768,,23.2,6.1,29.3,0.0,2016
11,Leandro Barbosa,SG,33.0,GSW,23.0,254.0,18.4,0.6629999999999999,0.318,0.239,4.8,6.7,5.8,9.7,2.1,0.3,10.2,18.7,,0.7,0.2,0.9,0.172,,1.7,1.6,3.3,0.3,2016
12,J.J. Barea,PG,31.0,DAL,4.0,100.0,2.0,0.358,0.235,0.059000000000000004,0.0,7.3,3.5,31.9,0.0,0.0,24.0,21.2,,-0.3,-0.2,-0.5,-0.24100000000000002,,-5.6,-6.3,-11.8,-0.3,2016
13,Harrison Barnes,SF,23.0,GSW,24.0,743.0,8.6,0.474,0.35700000000000004,0.16,4.0,12.2,8.2,5.8,1.1,0.4,7.3,14.5,,0.2,0.6,0.7,0.047,,-1.8,-0.7,-2.4,-0.1,2016
14,Matt Barnes,SF,35.0,MEM,4.0,139.0,7.0,0.42700000000000005,0.391,0.217,3.6,23.5,12.1,14.3,1.6,0.6,20.5,21.0,,-0.3,0.0,-0.3,-0.107,,-3.5,-0.9,-4.4,-0.1,2016
15,Nicolas Batum,SF,27.0,CHO,5.0,144.0,12.1,0.53,0.489,0.444,1.5,13.6,7.1,12.7,0.7,0.0,12.9,20.4,,0.0,0.1,0.1,0.031,,-0.1,-2.3,-2.4,0.0,2016
16,Aron Baynes,C,29.0,DET,4.0,44.0,5.9,0.484,0.0,0.33299999999999996,8.6,13.4,11.1,6.9,0.0,0.0,22.5,15.2,,0.0,0.0,-0.1,-0.081,,-4.7,-2.8,-7.4,-0.1,2016
17,Kent Bazemore,SF,26.0,ATL,10.0,325.0,11.9,0.455,0.504,0.182,2.8,18.3,10.9,9.4,2.2,1.7,7.1,19.4,,-0.1,0.5,0.3,0.049,,-1.0,0.7,-0.3,0.1,2016
