,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Tariq Abdul-Wahad,SG,28.0,DAL,8.0,79.0,12.6,0.373,0.067,0.267,15.2,15.4,15.3,13.0,0.0,0.0,2.9,19.7,,0.1,0.0,0.1,0.034,,0.8,-3.0,-2.2,0.0,2003
1,Courtney Alexander,PG,25.0,NOH,5.0,39.0,14.4,0.507,0.063,0.25,6.3,6.3,6.3,4.9,2.8,0.0,5.3,22.4,,0.1,0.0,0.1,0.09699999999999999,,-1.5,0.3,-1.2,0.0,2003
2,John Amaechi,C,32.0,UTA,2.0,16.0,-2.2,0.34700000000000003,0.0,1.0,0.0,7.8,3.8,0.0,0.0,0.0,0.0,16.1,,0.0,0.0,0.0,-0.105,,-8.5,-2.3,-10.9,0.0,2003
3,Derek Anderson,PG,28.0,POR,2.0,22.0,-4.1,0.225,0.25,0.25,5.3,0.0,2.7,0.0,0.0,0.0,18.4,11.2,,-0.1,0.0,-0.1,-0.19699999999999998,,-7.9,-5.3,-13.2,-0.1,2003
4,Kenny Anderson,PG,32.0,NOH,5.0,51.0,7.7,0.413,0.0,0.25,0.0,4.8,2.4,28.2,3.2,0.0,23.1,15.8,,0.0,0.0,0.0,-0.016,,-4.5,1.0,-3.5,0.0,2003
5,Darrell Armstrong,PG,34.0,ORL,7.0,226.0,11.5,0.615,0.409,0.5,3.7,5.2,4.5,20.6,1.4,0.0,24.1,15.0,,0.3,0.1,0.3,0.069,,0.6,-0.8,-0.2,0.1,2003
6,Carlos Arroyo,PG,23.0,UTA,3.0,27.0,14.1,0.418,0.0,0.444,9.0,0.0,4.5,31.2,0.0,0.0,0.0,17.8,,0.1,0.0,0.0,0.05,,3.0,-4.1,-1.2,0.0,2003
7,Chucky Atkins,PG,28.0,DET,17.0,312.0,9.9,0.503,0.5379999999999999,0.28600000000000003,0.7,7.0,3.8,16.0,3.0,0.0,14.9,18.6,,0.0,0.4,0.4,0.061,,-2.6,1.2,-1.5,0.0,2003
8,Stacey Augmon,SG,34.0,NOH,4.0,69.0,7.7,0.45899999999999996,0.0,0.5329999999999999,1.8,16.0,8.9,6.9,2.4,0.0,13.9,14.5,,0.0,0.1,0.0,0.03,,-4.2,1.4,-2.9,0.0,2003
9,Jon Barry,SG,33.0,DET,14.0,172.0,19.3,0.604,0.611,0.16699999999999998,3.3,13.4,8.2,23.8,2.6,0.4,10.8,18.2,,0.5,0.3,0.7,0.20199999999999999,,4.0,2.0,6.0,0.3,2003
10,Tony Battie,C,26.0,BOS,10.0,213.0,13.2,0.564,0.055,0.145,7.1,19.1,13.2,4.4,1.0,5.2,10.7,14.6,,0.2,0.4,0.6,0.127,,-2.8,1.6,-1.2,0.0,2003
11,Raja Bell,SG,26.0,DAL,17.0,305.0,13.9,0.593,0.17800000000000002,0.27399999999999997,4.6,13.8,9.2,13.3,0.8,0.0,6.8,12.9,,0.8,0.0,0.8,0.121,,0.8,1.5,2.3,0.3,2003
12,Jonathan Bender,SF,22.0,IND,3.0,34.0,17.5,0.48200000000000004,0.6,0.4,9.6,13.5,11.5,0.0,0.0,5.4,0.0,23.9,,0.1,0.0,0.1,0.11699999999999999,,6.0,-2.3,3.7,0.0,2003
13,Mike Bibby,PG,24.0,SAC,12.0,404.0,14.5,0.507,0.289,0.252,2.2,6.2,4.2,22.4,1.8,0.9,10.7,18.2,,0.6,0.1,0.7,0.08199999999999999,,1.0,0.1,1.0,0.3,2003
14,Chauncey Billups,PG,26.0,DET,14.0,485.0,17.9,0.5489999999999999,0.442,0.474,1.0,10.8,5.7,28.6,1.0,0.3,12.9,26.2,,1.0,0.5,1.5,0.14400000000000002,,3.0,-0.5,2.5,0.5,2003
