,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Mahmoud Abdul-Rauf,PG,24.0,DEN,12.0,339.0,11.8,0.462,0.24,0.201,1.1,5.0,3.1,18.0,0.8,0.2,7.7,24.8,,0.2,0.1,0.3,0.042,,-0.8,-1.9,-2.7,-0.1,1994
1,Danny Ainge,SG,34.0,PHO,10.0,230.0,14.7,0.63,0.6779999999999999,0.35600000000000004,3.2,8.3,5.6,12.9,1.3,0.3,6.8,13.7,,0.7,0.0,0.6,0.135,,1.9,0.6,2.6,0.3,1994
2,Kenny Anderson,PG,23.0,NJN,4.0,181.0,13.1,0.46,0.185,0.611,1.2,6.0,3.6,34.0,2.7,0.0,11.6,19.4,,0.1,0.2,0.3,0.075,,1.5,0.2,1.7,0.2,1994
3,Nick Anderson,SG,26.0,ORL,3.0,120.0,13.7,0.547,0.588,0.353,2.0,8.2,5.0,14.7,2.3,1.2,11.3,16.3,,0.2,0.0,0.3,0.111,,2.4,0.9,3.3,0.2,1994
4,Willie Anderson,SG,27.0,SAS,4.0,106.0,11.7,0.41200000000000003,0.027000000000000003,0.18899999999999997,2.9,5.8,4.2,20.0,2.6,1.3,9.1,18.7,,0.0,0.0,0.0,0.006,,-0.8,0.7,-0.1,0.1,1994
5,Greg Anthony,PG,26.0,NYK,25.0,436.0,8.6,0.44,0.47700000000000004,0.188,2.4,5.1,3.7,23.7,2.4,1.4,18.3,18.0,,-0.2,0.6,0.4,0.04,,-2.1,1.4,-0.7,0.1,1994
6,B.J. Armstrong,PG,26.0,CHI,10.0,360.0,16.7,0.61,0.113,0.415,0.7,7.3,4.1,12.2,1.3,0.0,6.7,17.9,,1.1,0.1,1.3,0.168,,1.9,-0.4,1.5,0.3,1994
7,Vincent Askew,SG,27.0,SEA,5.0,95.0,12.9,0.495,0.036000000000000004,0.679,2.3,4.9,3.6,17.1,1.1,0.0,5.2,18.7,,0.2,0.1,0.3,0.127,,0.1,-0.3,-0.1,0.0,1994
8,Keith Askins,SF,26.0,MIA,1.0,6.0,-17.7,0.0,0.0,0.0,18.0,0.0,9.2,0.0,0.0,0.0,66.7,22.2,,-0.1,0.0,-0.1,-0.622,,-15.9,-8.0,-23.9,0.0,1994
9,Stacey Augmon,SG,25.0,ATL,11.0,324.0,13.4,0.563,0.0,0.42700000000000005,4.4,5.7,5.1,14.8,1.2,0.5,12.4,17.1,,0.5,0.2,0.8,0.11199999999999999,,0.0,0.5,0.5,0.2,1994
10,Anthony Avent,PF,24.0,ORL,2.0,40.0,21.7,0.575,0.0,0.615,23.6,9.2,16.6,4.8,0.0,0.0,5.7,19.3,,0.2,0.0,0.2,0.21100000000000002,,5.6,-2.6,3.0,0.1,1994
11,Charles Barkley,PF,30.0,PHO,10.0,425.0,27.8,0.575,0.185,0.255,8.4,27.0,17.1,20.0,3.0,1.5,10.1,27.0,,1.5,0.4,1.8,0.20800000000000002,,7.0,1.9,8.8,1.1,1994
12,John Battle,SG,31.0,CLE,1.0,8.0,16.2,1.0,0.0,0.0,0.0,34.2,15.7,0.0,0.0,0.0,0.0,5.9,,0.0,0.0,0.0,0.12300000000000001,,0.4,0.5,1.0,0.0,1994
13,Benoit Benjamin,C,29.0,NJN,4.0,108.0,8.3,0.512,0.0,0.47100000000000003,5.1,16.2,10.7,1.9,1.0,5.2,19.6,10.7,,0.0,0.2,0.2,0.071,,-3.2,1.9,-1.3,0.0,1994
14,David Benoit,SF,25.0,UTA,16.0,357.0,10.0,0.43200000000000005,0.131,0.205,7.3,14.4,10.8,4.8,1.1,2.3,10.7,19.6,,-0.2,0.3,0.1,0.013999999999999999,,-2.6,-0.6,-3.2,-0.1,1994
15,Rolando Blackman,SG,34.0,NYK,6.0,34.0,2.7,0.364,0.364,0.0,3.4,7.2,5.3,15.1,0.0,0.0,8.3,16.4,,0.0,0.0,0.0,0.005,,-3.8,-1.7,-5.5,0.0,1994
16,Mookie Blaylock,PG,26.0,ATL,11.0,415.0,17.0,0.46399999999999997,0.45399999999999996,0.213,4.2,10.9,7.5,38.6,3.1,0.9,17.2,20.6,,0.3,0.6,0.9,0.105,,2.8,1.7,4.5,0.7,1994
17,Walter Bond,SG,24.0,UTA,4.0,13.0,-3.6,0.174,0.5,1.0,0.0,9.0,4.4,0.0,4.3,0.0,0.0,10.4,,0.0,0.0,0.0,-0.068,,-13.0,2.2,-10.8,0.0,1994
18,Anthony Bonner,SF,25.0,NYK,13.0,118.0,5.7,0.48700000000000004,0.0,0.591,14.8,13.5,14.2,2.9,2.3,0.0,31.9,16.0,,-0.2,0.2,0.0,0.001,,-5.7,0.5,-5.2,-0.1,1994
19,Anthony Bowie,SG,30.0,ORL,2.0,13.0,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,,0.0,0.0,0.0,-0.10400000000000001,,-12.2,-3.7,-15.9,0.0,1994
21,Terrell Brandon,PG,23.0,CLE,3.0,56.0,21.1,0.64,0.0,0.158,2.1,7.3,4.5,19.3,1.0,0.0,4.7,17.9,,0.2,0.0,0.2,0.14300000000000002,,4.2,-0.4,3.9,0.1,1994
22,Kevin Brooks,SF,24.0,DEN,2.0,5.0,15.5,0.317,0.14300000000000002,0.28600000000000003,23.8,22.4,23.1,0.0,0.0,0.0,0.0,72.8,,0.0,0.0,0.0,-0.299,,-3.0,-12.5,-15.5,0.0,1994
23,Scott Brooks,PG,28.0,HOU,5.0,23.0,22.8,0.8540000000000001,0.16699999999999998,0.16699999999999998,5.3,4.6,4.9,24.2,0.0,0.0,0.0,13.0,,0.1,0.0,0.1,0.27699999999999997,,4.7,2.4,7.1,0.0,1994
24,P.J. Brown,C,24.0,NJN,4.0,56.0,5.4,0.479,0.0,0.889,7.9,7.8,7.8,10.6,0.0,2.5,19.3,12.6,,0.0,0.0,0.1,0.053,,-4.6,0.5,-4.1,0.0,1994
