,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Shareef Abdur-Rahim,PF,29.0,SAC,6.0,0.0,129.0,6.4,12.0,0.535,0.0,0.8,0.0,6.4,11.2,0.575,2.5,4.2,0.6,2.2,5.9,8.1,2.0,0.6,0.0,3.6,7.5,15.3,2006
1,Malik Allen,PF,27.0,CHI,6.0,6.0,116.0,4.3,9.3,0.467,0.0,0.0,,4.3,9.3,0.467,0.0,0.3,0.0,1.6,4.0,5.6,2.2,0.6,1.9,3.1,5.0,8.7,2006
2,Derek Anderson,SG,31.0,MIA,8.0,0.0,66.0,3.3,10.9,0.3,2.7,7.6,0.35700000000000004,0.5,3.3,0.16699999999999998,3.8,4.4,0.875,0.0,4.9,4.9,2.7,1.1,0.0,1.6,7.1,13.1,2006
3,Shandon Anderson,SF,32.0,MIA,13.0,0.0,90.0,1.6,5.2,0.308,0.4,1.2,0.33299999999999996,1.2,4.0,0.3,1.6,2.4,0.667,1.2,3.6,4.8,1.6,0.0,0.4,2.4,3.2,5.2,2006
4,Carmelo Anthony,SF,21.0,DEN,5.0,5.0,193.0,6.2,18.5,0.33299999999999996,0.0,0.7,0.0,6.2,17.7,0.34700000000000003,7.3,9.7,0.75,2.2,3.9,6.2,2.6,0.7,0.2,2.8,3.7,19.6,2006
5,Gilbert Arenas,PG,24.0,WAS,6.0,6.0,284.0,8.2,17.7,0.46399999999999997,2.5,5.8,0.435,5.7,11.9,0.479,6.8,8.9,0.7709999999999999,0.9,3.3,4.2,4.1,1.6,0.5,2.5,2.7,25.9,2006
6,Darrell Armstrong,PG,37.0,DAL,11.0,0.0,47.0,2.3,11.5,0.2,0.0,5.4,0.0,2.3,6.1,0.375,1.5,1.5,1.0,0.8,4.6,5.4,1.5,2.3,0.8,0.8,6.9,6.1,2006
7,Chucky Atkins,PG,31.0,MEM,4.0,4.0,103.0,5.2,12.9,0.405,1.4,3.8,0.364,3.8,9.1,0.423,1.7,2.8,0.625,0.0,1.0,1.0,4.2,0.7,0.0,1.4,5.2,13.6,2006
8,Leandro Barbosa,SG,23.0,PHO,20.0,3.0,632.0,5.9,12.5,0.47,1.5,3.9,0.391,4.3,8.5,0.507,2.8,3.3,0.862,0.3,1.5,1.8,3.1,0.9,0.2,1.7,3.8,16.1,2006
9,Brent Barry,SG,34.0,SAS,13.0,2.0,301.0,4.1,7.3,0.557,2.0,4.1,0.5,2.0,3.2,0.63,1.9,2.5,0.762,0.4,3.5,3.8,2.6,1.1,0.4,1.1,3.5,12.1,2006
10,Shane Battier,SF,27.0,MEM,4.0,4.0,129.0,2.8,5.6,0.5,0.6,2.0,0.28600000000000003,2.2,3.6,0.615,0.6,1.7,0.33299999999999996,2.0,4.5,6.4,0.6,1.1,0.6,2.2,4.5,6.7,2006
11,Charlie Bell,SG,26.0,MIL,5.0,0.0,108.0,5.7,14.3,0.395,1.7,3.7,0.455,4.0,10.7,0.375,2.3,2.3,1.0,0.7,0.3,1.0,2.3,1.0,0.7,1.3,5.0,15.3,2006
12,Raja Bell,SG,29.0,PHO,17.0,17.0,673.0,4.2,8.8,0.479,2.1,4.6,0.465,2.1,4.2,0.494,1.8,2.2,0.8290000000000001,0.4,2.1,2.6,2.0,0.6,0.2,0.5,3.7,12.4,2006
13,Mike Bibby,PG,27.0,SAC,6.0,6.0,255.0,4.5,13.0,0.348,1.3,3.7,0.34600000000000003,3.2,9.3,0.348,3.8,4.2,0.9,0.8,2.4,3.2,4.4,1.3,0.0,2.5,2.4,14.1,2006
14,Chauncey Billups,PG,29.0,DET,18.0,18.0,705.0,4.7,11.7,0.406,1.6,4.8,0.34,3.1,6.9,0.452,5.4,5.9,0.905,0.4,2.8,3.1,6.0,1.1,0.1,2.2,2.2,16.5,2006
15,Andrew Bogut,PF,21.0,MIL,5.0,5.0,172.0,4.2,9.6,0.435,0.0,0.0,,4.2,9.6,0.435,0.6,1.7,0.375,1.9,4.6,6.5,3.6,0.6,0.0,1.7,4.4,9.0,2006
16,Bruce Bowen,SF,34.0,SAS,13.0,13.0,442.0,2.6,5.0,0.525,1.2,2.4,0.5,1.4,2.5,0.5479999999999999,0.1,0.2,0.5,0.5,1.8,2.3,1.3,0.9,0.7,0.7,3.4,6.5,2006
17,Earl Boykins,PG,29.0,DEN,5.0,0.0,140.0,4.9,15.2,0.322,1.0,4.9,0.21100000000000002,3.9,10.3,0.375,3.3,4.4,0.765,0.8,1.0,1.8,5.1,1.0,0.0,0.8,1.5,14.1,2006
18,Elton Brand,PF,26.0,LAC,12.0,12.0,517.0,8.6,15.7,0.551,0.0,0.1,0.0,8.6,15.6,0.5539999999999999,4.0,5.3,0.75,3.6,5.0,8.6,3.3,0.8,2.2,2.0,2.4,21.2,2006
19,Kwame Brown,C,23.0,LAL,7.0,7.0,225.0,5.4,10.4,0.523,0.0,0.0,,5.4,10.4,0.523,3.5,5.0,0.71,2.7,4.6,7.4,1.1,0.3,1.0,1.9,3.4,14.4,2006
21,Kobe Bryant,SG,27.0,LAL,7.0,7.0,314.0,8.3,16.6,0.49700000000000005,1.6,4.0,0.4,6.6,12.6,0.527,4.2,5.5,0.7709999999999999,0.5,4.6,5.0,4.1,0.9,0.3,3.8,2.9,22.4,2006
22,Greg Buckner,SG,29.0,DEN,5.0,4.0,137.0,6.0,14.5,0.418,2.6,8.4,0.313,3.4,6.0,0.565,1.8,2.1,0.875,0.8,2.9,3.7,1.6,0.8,0.3,0.3,3.2,16.6,2006
23,Pat Burke,C,32.0,PHO,3.0,0.0,7.0,10.3,20.6,0.5,5.1,10.3,0.5,5.1,10.3,0.5,0.0,5.1,0.0,5.1,10.3,15.4,0.0,0.0,5.1,0.0,0.0,25.7,2006
24,Antonio Burks,PG,25.0,MEM,2.0,0.0,13.0,2.8,2.8,1.0,0.0,0.0,,2.8,2.8,1.0,2.8,5.5,0.5,0.0,2.8,2.8,5.5,2.8,0.0,0.0,5.5,8.3,2006
25,Caron Butler,SF,25.0,WAS,6.0,6.0,262.0,5.8,13.9,0.41600000000000004,0.4,1.9,0.214,5.4,12.0,0.44799999999999995,3.3,4.0,0.828,2.2,6.5,8.7,2.2,1.6,0.5,1.9,4.3,15.3,2006
26,Andrew Bynum,C,18.0,LAL,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
27,Marcus Camby,C,31.0,DEN,5.0,5.0,175.0,5.3,12.8,0.419,0.0,0.0,,5.3,12.8,0.419,1.0,1.9,0.556,2.7,8.6,11.3,2.3,0.8,2.9,0.8,2.9,11.7,2006
28,Brian Cardinal,PF,28.0,MEM,3.0,0.0,22.0,1.6,3.3,0.5,1.6,3.3,0.5,0.0,0.0,,0.0,0.0,,1.6,4.9,6.5,1.6,1.6,0.0,0.0,3.3,4.9,2006
29,Vince Carter,SG,29.0,NJN,11.0,11.0,450.0,9.0,19.5,0.46299999999999997,1.1,4.6,0.24100000000000002,7.9,14.9,0.532,6.9,8.6,0.7959999999999999,1.3,4.9,6.2,4.6,1.6,0.5,2.1,2.7,26.1,2006
30,Sam Cassell,PG,36.0,LAC,12.0,12.0,404.0,6.5,14.9,0.43700000000000006,1.3,3.8,0.349,5.2,11.0,0.46799999999999997,4.9,6.1,0.809,0.8,3.5,4.3,6.1,0.7,0.2,2.5,3.1,19.2,2006
31,Kelvin Cato,C,31.0,DET,4.0,0.0,15.0,7.2,12.0,0.6,0.0,0.0,,7.2,12.0,0.6,0.0,0.0,,7.2,9.6,16.8,0.0,0.0,0.0,0.0,4.8,14.4,2006
32,Tyson Chandler,C,23.0,CHI,6.0,0.0,104.0,1.4,2.1,0.667,0.0,0.0,,1.4,2.1,0.667,1.0,3.5,0.3,2.8,6.6,9.3,1.0,0.7,0.7,2.1,10.0,3.8,2006
33,Jason Collins,C,27.0,NJN,11.0,11.0,302.0,1.1,3.0,0.36,0.0,0.0,,1.1,3.0,0.36,1.5,2.6,0.591,2.4,4.2,6.6,0.4,0.6,0.2,1.1,6.6,3.7,2006
34,Brian Cook,PF,25.0,LAL,7.0,0.0,78.0,8.3,21.2,0.391,1.8,5.1,0.364,6.5,16.2,0.4,1.8,1.8,1.0,5.1,5.1,10.2,3.7,0.5,0.0,1.4,6.9,20.3,2006
