,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Alaa Abdelnaby,PF,23.0,POR,8.0,0.0,25.0,7.2,14.4,0.5,0.0,0.0,,7.2,14.4,0.5,2.9,5.8,0.5,0.0,5.8,5.8,2.9,0.0,0.0,2.9,5.8,17.3,1992
1,Rafael Addison,SF,27.0,NJN,1.0,0.0,9.0,8.0,28.0,0.28600000000000003,4.0,8.0,0.5,4.0,20.0,0.2,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0,1992
2,Mark Aguirre,SF,32.0,DET,5.0,0.0,113.0,5.1,15.3,0.33299999999999996,0.3,1.6,0.2,4.8,13.7,0.349,3.8,5.1,0.75,1.3,1.6,2.9,3.8,0.6,0.3,4.1,2.9,14.3,1992
3,Danny Ainge,SG,32.0,POR,21.0,0.0,449.0,6.5,13.6,0.479,1.7,4.2,0.40399999999999997,4.8,9.4,0.513,3.1,3.8,0.83,0.6,2.6,3.2,3.9,1.2,0.1,2.0,4.7,17.8,1992
4,Victor Alexander,C,22.0,GSW,4.0,0.0,24.0,4.5,7.5,0.6,0.0,0.0,,4.5,7.5,0.6,1.5,1.5,1.0,1.5,7.5,9.0,1.5,3.0,0.0,3.0,12.0,10.5,1992
5,Kenny Anderson,PG,21.0,NJN,3.0,0.0,24.0,4.5,13.5,0.33299999999999996,0.0,0.0,,4.5,13.5,0.33299999999999996,3.0,3.0,1.0,1.5,3.0,4.5,4.5,1.5,0.0,1.5,1.5,12.0,1992
6,Greg Anthony,PG,24.0,NYK,12.0,0.0,213.0,3.2,7.8,0.413,0.8,2.0,0.41700000000000004,2.4,5.7,0.41200000000000003,3.4,5.6,0.606,0.7,2.2,2.9,6.9,2.7,0.2,2.2,4.7,10.6,1992
7,B.J. Armstrong,PG,24.0,CHI,22.0,0.0,434.0,5.2,11.5,0.45299999999999996,0.4,1.4,0.294,4.8,10.1,0.475,2.5,3.2,0.789,0.2,1.8,2.0,3.9,1.2,0.0,1.5,2.7,13.4,1992
8,Vincent Askew,SG,25.0,GSW,4.0,0.0,30.0,1.2,9.6,0.125,0.0,0.0,,1.2,9.6,0.125,0.0,0.0,,3.6,1.2,4.8,6.0,0.0,0.0,2.4,3.6,2.4,1992
9,Keith Askins,SF,24.0,MIA,3.0,0.0,48.0,3.7,8.2,0.455,2.3,3.7,0.6,1.5,4.5,0.33299999999999996,0.0,1.5,0.0,3.0,3.7,6.8,2.3,0.7,0.0,0.7,5.2,9.7,1992
10,John Bagley,PG,31.0,BOS,10.0,10.0,308.0,4.9,11.1,0.442,0.1,0.5,0.25,4.8,10.6,0.451,3.0,4.3,0.703,0.9,2.2,3.2,9.9,1.1,0.1,4.1,2.0,13.0,1992
11,Dana Barros,PG,24.0,SEA,7.0,0.0,96.0,7.9,15.0,0.525,3.7,6.4,0.588,4.1,8.6,0.478,0.0,0.0,,0.4,2.3,2.6,3.0,1.5,0.0,2.3,4.1,19.5,1992
12,John Battle,SG,29.0,CLE,15.0,0.0,202.0,6.1,14.6,0.415,0.0,0.4,0.0,6.1,14.3,0.425,3.7,4.1,0.9129999999999999,0.7,1.4,2.1,2.7,0.9,0.2,3.2,2.0,15.9,1992
13,William Bedford,C,28.0,DET,1.0,0.0,9.0,12.0,24.0,0.5,0.0,0.0,,12.0,24.0,0.5,0.0,0.0,,0.0,8.0,8.0,0.0,4.0,0.0,0.0,4.0,24.0,1992
14,Benoit Benjamin,C,27.0,SEA,9.0,4.0,161.0,5.1,9.2,0.561,0.0,0.2,0.0,5.1,8.9,0.575,2.0,4.0,0.5,2.2,8.0,10.3,1.1,1.1,2.9,1.8,4.5,12.3,1992
15,David Benoit,SF,23.0,UTA,13.0,9.0,257.0,5.0,11.8,0.429,0.8,1.8,0.462,4.2,9.9,0.423,1.5,1.5,1.0,2.5,4.5,7.0,0.8,0.8,0.7,1.4,4.2,12.5,1992
16,Larry Bird,SF,35.0,BOS,4.0,2.0,107.0,7.1,14.1,0.5,0.0,1.7,0.0,7.1,12.4,0.568,1.0,1.3,0.75,0.7,5.4,6.1,7.1,0.3,0.7,2.0,2.4,15.1,1992
17,Lance Blanks,SG,25.0,DET,1.0,0.0,10.0,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,0.0,0.0,,0.0,3.6,3.6,10.8,10.8,0.0,3.6,7.2,7.2,1992
18,Mookie Blaylock,PG,24.0,NJN,4.0,4.0,148.0,4.1,13.4,0.309,0.2,1.5,0.16699999999999998,3.9,11.9,0.327,0.7,1.0,0.75,1.2,2.7,3.9,7.5,3.6,0.5,1.7,3.9,9.2,1992
19,Sam Bowie,C,30.0,NJN,4.0,4.0,112.0,4.5,10.6,0.424,0.3,0.6,0.5,4.2,10.0,0.419,2.6,3.9,0.667,2.6,3.5,6.1,2.9,1.0,1.0,1.6,6.1,11.9,1992
21,Terrell Brandon,PG,21.0,CLE,12.0,0.0,157.0,5.0,12.6,0.4,0.0,0.7,0.0,5.0,11.9,0.423,0.7,0.9,0.75,0.9,4.1,5.0,6.9,0.7,0.2,2.5,3.9,10.8,1992
22,Chucky Brown,SF,23.0,LAL,3.0,0.0,44.0,6.5,15.5,0.42100000000000004,0.0,0.8,0.0,6.5,14.7,0.444,2.5,4.9,0.5,2.5,6.5,9.0,1.6,0.0,1.6,0.8,2.5,15.5,1992
23,Dee Brown,PG,23.0,BOS,6.0,0.0,120.0,6.6,13.2,0.5,0.0,0.9,0.0,6.6,12.3,0.537,1.2,1.8,0.667,0.9,2.7,3.6,9.3,0.3,1.2,2.1,4.8,14.4,1992
24,Mike Brown,C,28.0,UTA,16.0,0.0,274.0,3.9,9.9,0.4,0.0,0.0,,3.9,9.9,0.4,4.2,5.4,0.78,2.9,5.6,8.5,1.4,0.3,0.3,2.1,5.6,12.1,1992
25,Tony Brown,SF,31.0,SEA,5.0,0.0,22.0,3.3,9.8,0.33299999999999996,1.6,6.5,0.25,1.6,3.3,0.5,6.5,11.5,0.5710000000000001,0.0,3.3,3.3,3.3,0.0,0.0,0.0,4.9,14.7,1992
26,Mark Bryant,PF,26.0,POR,12.0,0.0,116.0,3.1,9.0,0.345,0.0,0.0,,3.1,9.0,0.345,0.9,1.2,0.75,3.4,5.6,9.0,0.3,0.9,0.0,2.8,6.8,7.1,1992
27,Steve Burtt,SG,29.0,PHO,8.0,0.0,104.0,5.5,13.2,0.42100000000000004,0.0,0.7,0.0,5.5,12.5,0.444,6.2,7.3,0.857,1.0,3.1,4.2,4.8,1.7,0.0,2.8,6.2,17.3,1992
28,Michael Cage,PF,30.0,SEA,9.0,4.0,197.0,3.5,6.2,0.5589999999999999,0.0,0.0,,3.5,6.2,0.5589999999999999,0.2,0.2,1.0,3.3,6.0,9.3,0.7,1.1,1.5,1.5,4.0,7.1,1992
29,Elden Campbell,C,23.0,LAL,4.0,2.0,117.0,4.3,11.4,0.37799999999999995,0.0,0.0,,4.3,11.4,0.37799999999999995,3.7,5.5,0.667,2.8,4.9,7.7,1.8,0.9,1.8,1.2,4.3,12.3,1992
30,Antoine Carr,PF,30.0,SAS,3.0,3.0,109.0,7.9,14.5,0.545,0.3,0.7,0.5,7.6,13.9,0.5479999999999999,3.3,5.3,0.625,2.6,5.0,7.6,1.0,0.7,3.6,1.3,4.6,19.5,1992
31,Bill Cartwright,C,34.0,CHI,22.0,22.0,612.0,3.2,6.8,0.474,0.0,0.0,,3.2,6.8,0.474,0.8,1.8,0.419,1.7,4.1,5.8,2.2,0.6,0.2,1.6,4.1,7.2,1992
32,Cedric Ceballos,SF,22.0,PHO,8.0,8.0,188.0,8.4,15.3,0.55,0.0,0.0,,8.4,15.3,0.55,3.8,5.7,0.667,3.8,5.9,9.8,2.3,1.1,1.1,2.1,2.7,20.7,1992
33,Tom Chambers,PF,32.0,PHO,7.0,0.0,194.0,7.2,15.8,0.45899999999999996,0.7,1.3,0.5710000000000001,6.5,14.5,0.449,5.0,5.9,0.8440000000000001,1.5,4.3,5.8,3.5,0.4,0.9,2.8,4.6,20.2,1992
34,Derrick Coleman,PF,24.0,NJN,4.0,4.0,162.0,8.0,16.4,0.486,0.2,1.3,0.16699999999999998,7.8,15.1,0.515,3.6,4.7,0.762,2.9,7.1,10.0,4.7,1.6,0.9,2.4,2.7,19.8,1992
35,Bimbo Coles,PG,23.0,MIA,3.0,0.0,45.0,5.6,8.0,0.7,0.8,0.8,1.0,4.8,7.2,0.667,6.4,8.0,0.8,1.6,4.0,5.6,4.8,2.4,0.0,4.0,4.0,18.4,1992
36,Marty Conlon,C,24.0,SEA,1.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,,0.0,36.0,0.0,72.0,72.0,1.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,72.0,1992
37,Wayne Cooper,C,35.0,POR,3.0,0.0,27.0,2.7,5.3,0.5,0.0,0.0,,2.7,5.3,0.5,0.0,0.0,,1.3,9.3,10.7,0.0,0.0,4.0,1.3,5.3,5.3,1992
38,Tyrone Corbin,SF,29.0,UTA,16.0,0.0,447.0,5.6,11.0,0.504,0.0,0.2,0.0,5.6,10.9,0.511,3.4,4.3,0.778,3.1,3.9,7.1,1.4,1.0,0.2,1.4,3.6,14.5,1992
39,Corey Crowder,SF,22.0,UTA,4.0,0.0,12.0,15.0,27.0,0.556,0.0,6.0,0.0,15.0,21.0,0.7140000000000001,0.0,3.0,0.0,3.0,3.0,6.0,3.0,3.0,0.0,6.0,3.0,30.0,1992
40,Terry Cummings,PF,30.0,SAS,3.0,3.0,122.0,10.0,19.5,0.515,0.0,0.3,0.0,10.0,19.2,0.523,3.0,5.9,0.5,4.4,5.6,10.0,2.1,1.2,1.2,2.1,2.7,23.0,1992
42,Brad Daugherty,C,26.0,CLE,17.0,17.0,687.0,6.5,12.3,0.528,0.0,0.1,0.0,6.5,12.3,0.53,6.2,7.6,0.8140000000000001,1.9,7.2,9.1,3.0,0.6,0.9,1.9,2.5,19.2,1992
43,Dale Davis,PF,22.0,IND,3.0,0.0,69.0,2.1,5.2,0.4,0.0,0.0,,2.1,5.2,0.4,0.0,0.0,,2.6,7.3,9.9,1.0,0.0,2.6,0.5,4.2,4.2,1992
44,Vlade Divac,C,23.0,LAL,4.0,4.0,143.0,3.8,10.8,0.349,0.0,0.5,0.0,3.8,10.3,0.366,2.3,2.5,0.9,1.5,4.0,5.5,3.8,1.3,0.8,4.5,4.3,9.8,1992
