,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Álex Abrines,SG,24.0,OKC,6.0,0.0,110.0,2.6,6.5,0.4,2.0,4.3,0.462,0.7,2.3,0.28600000000000003,0.7,0.7,1.0,1.0,4.3,5.2,0.7,1.6,0.7,0.3,3.6,7.9,2018
1,Steven Adams,C,24.0,OKC,6.0,6.0,200.0,4.9,8.3,0.5870000000000001,0.0,0.0,,4.9,8.3,0.5870000000000001,1.6,2.3,0.6920000000000001,3.4,4.7,8.1,1.6,0.7,0.7,0.7,2.7,11.3,2018
2,Bam Adebayo,C,20.0,MIA,5.0,0.0,77.0,3.3,7.0,0.467,0.0,0.5,0.0,3.3,6.5,0.5,1.4,6.5,0.214,4.2,5.1,9.4,0.0,0.0,0.9,0.9,3.7,7.9,2018
3,LaMarcus Aldridge,C,32.0,SAS,5.0,5.0,177.0,7.5,16.3,0.46299999999999997,0.6,1.0,0.6,6.9,15.3,0.45299999999999996,8.3,8.5,0.976,2.6,6.7,9.4,2.4,0.6,0.4,1.8,1.8,24.0,2018
4,Al-Farouq Aminu,PF,27.0,POR,4.0,4.0,131.0,7.4,14.3,0.519,3.6,8.2,0.433,3.8,6.0,0.636,0.5,0.5,1.0,3.3,6.6,9.9,1.4,1.1,0.5,1.6,2.2,19.0,2018
5,Justin Anderson,SF,24.0,PHI,7.0,0.0,33.0,3.3,8.7,0.375,2.2,7.6,0.28600000000000003,1.1,1.1,1.0,0.0,0.0,,1.1,8.7,9.8,0.0,1.1,0.0,2.2,8.7,8.7,2018
6,Kyle Anderson,SF,24.0,SAS,5.0,1.0,73.0,5.9,9.9,0.6,0.0,2.0,0.0,5.9,7.9,0.75,1.5,2.0,0.75,2.5,3.9,6.4,1.5,3.0,0.5,1.5,4.9,13.3,2018
7,Ryan Anderson,PF,29.0,HOU,11.0,0.0,95.0,2.7,7.6,0.35,1.9,5.7,0.33299999999999996,0.8,1.9,0.4,0.0,0.0,,1.5,3.4,4.9,2.3,1.1,0.4,1.1,3.8,7.2,2018
8,Giannis Antetokounmpo,PF,23.0,MIL,7.0,7.0,280.0,8.9,15.6,0.57,0.5,1.8,0.28600000000000003,8.4,13.8,0.607,4.9,7.1,0.691,1.0,7.6,8.6,5.7,1.3,0.8,2.2,3.6,23.1,2018
9,Carmelo Anthony,PF,33.0,OKC,6.0,6.0,194.0,5.0,13.4,0.375,1.1,5.2,0.214,3.9,8.2,0.47700000000000004,2.0,2.8,0.733,0.6,5.8,6.3,0.4,1.9,0.7,1.1,2.6,13.2,2018
10,OG Anunoby,SF,20.0,TOR,10.0,10.0,238.0,4.4,7.9,0.5579999999999999,2.0,4.4,0.44799999999999995,2.4,3.5,0.696,1.2,1.7,0.727,1.4,1.8,3.2,1.1,0.9,0.6,0.9,3.5,11.9,2018
11,Trevor Ariza,SF,32.0,HOU,17.0,17.0,582.0,3.1,8.6,0.36,1.6,5.6,0.28600000000000003,1.5,3.0,0.5,1.4,1.9,0.742,0.6,3.5,4.0,1.4,1.2,0.1,0.6,2.7,9.2,2018
12,Luke Babbitt,SF,28.0,MIA,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
13,Wade Baldwin,PG,21.0,POR,4.0,0.0,19.0,1.9,7.6,0.25,1.9,1.9,1.0,0.0,5.7,0.0,1.9,3.8,0.5,0.0,5.7,5.7,5.7,1.9,1.9,5.7,1.9,7.6,2018
14,Jerryd Bayless,SG,29.0,PHI,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
15,Aron Baynes,C,31.0,BOS,19.0,12.0,389.0,4.2,8.2,0.506,1.0,2.1,0.478,3.1,6.1,0.515,1.2,1.7,0.722,4.2,6.8,10.9,1.8,0.4,1.0,0.7,4.0,10.6,2018
16,Bradley Beal,SG,24.0,WAS,6.0,6.0,216.0,8.2,18.0,0.45399999999999996,3.5,7.5,0.467,4.7,10.5,0.444,3.3,3.8,0.87,0.3,3.0,3.3,2.8,1.2,0.3,2.5,3.2,23.2,2018
17,Marco Belinelli,SG,31.0,PHI,10.0,0.0,273.0,5.7,14.0,0.406,2.1,6.1,0.348,3.6,7.9,0.45,3.6,4.1,0.871,0.1,2.6,2.8,2.6,0.9,0.0,0.5,2.6,17.0,2018
18,Jordan Bell,C,23.0,GSW,17.0,0.0,173.0,3.5,6.7,0.531,0.0,0.2,0.0,3.5,6.5,0.5479999999999999,1.5,2.9,0.5,3.1,6.7,9.8,3.1,1.2,1.9,1.2,3.7,8.5,2018
19,Dāvis Bertāns,PF,25.0,SAS,5.0,0.0,82.0,1.3,7.9,0.16699999999999998,1.3,7.0,0.188,0.0,0.9,0.0,3.5,4.8,0.727,0.4,4.4,4.8,2.6,0.9,0.0,0.4,4.4,7.5,2018
21,Nemanja Bjelica,PF,29.0,MIN,5.0,0.0,47.0,5.4,12.3,0.43799999999999994,3.1,5.4,0.5710000000000001,2.3,6.9,0.33299999999999996,3.8,5.4,0.7140000000000001,3.1,8.4,11.5,2.3,2.3,0.0,0.8,4.6,17.6,2018
22,Tarik Black,C,26.0,HOU,7.0,0.0,19.0,1.9,7.6,0.25,0.0,0.0,,1.9,7.6,0.25,0.0,0.0,,3.8,7.6,11.4,3.8,0.0,1.9,1.9,9.5,3.8,2018
23,Eric Bledsoe,PG,28.0,MIL,7.0,7.0,225.0,5.9,13.4,0.44,1.1,3.5,0.318,4.8,9.9,0.484,2.2,3.2,0.7,0.5,3.5,4.0,4.2,1.1,1.0,2.4,3.0,15.2,2018
24,Bojan Bogdanović,SF,28.0,IND,7.0,7.0,238.0,4.8,12.3,0.395,2.6,6.8,0.37799999999999995,2.3,5.4,0.41700000000000004,0.9,1.5,0.6,0.2,3.5,3.6,2.0,0.9,0.0,2.0,3.5,13.2,2018
25,Trevor Booker,PF,30.0,IND,7.0,0.0,64.0,3.4,5.6,0.6,0.0,0.6,0.0,3.4,5.1,0.667,3.4,3.9,0.857,2.8,7.3,10.1,0.0,0.6,0.6,0.6,6.8,10.1,2018
26,Tony Bradley,C,20.0,UTA,1.0,0.0,2.0,18.0,36.0,0.5,0.0,0.0,,18.0,36.0,0.5,0.0,0.0,,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,36.0,2018
27,Corey Brewer,SG,31.0,OKC,6.0,6.0,151.0,3.1,6.0,0.52,1.2,2.6,0.455,1.9,3.3,0.5710000000000001,1.4,1.4,1.0,1.0,2.1,3.1,1.2,1.7,1.2,0.5,4.1,8.8,2018
28,Malcolm Brogdon,PG,25.0,MIL,7.0,5.0,186.0,4.6,10.6,0.436,1.0,3.7,0.263,3.7,7.0,0.528,1.5,1.9,0.8,0.6,4.1,4.6,3.3,0.2,0.0,2.3,2.7,11.8,2018
29,Aaron Brooks,PG,33.0,MIN,2.0,0.0,3.0,24.0,36.0,0.667,0.0,12.0,0.0,24.0,24.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2018
30,Jaylen Brown,SG,21.0,BOS,18.0,15.0,583.0,7.7,16.4,0.466,2.7,6.9,0.39299999999999996,4.9,9.5,0.519,2.0,3.1,0.64,1.0,4.4,5.4,1.6,0.9,0.6,1.4,3.6,20.0,2018
31,Lorenzo Brown,PG,27.0,TOR,4.0,0.0,29.0,3.7,12.4,0.3,2.5,6.2,0.4,1.2,6.2,0.2,1.2,2.5,0.5,1.2,6.2,7.4,2.5,0.0,1.2,1.2,2.5,11.2,2018
32,Sterling Brown,SG,22.0,MIL,3.0,0.0,13.0,8.3,13.8,0.6,2.8,8.3,0.33299999999999996,5.5,5.5,1.0,0.0,0.0,,2.8,2.8,5.5,0.0,2.8,0.0,0.0,5.5,19.4,2018
33,Alec Burks,SG,26.0,UTA,9.0,0.0,120.0,9.0,19.2,0.469,2.7,6.0,0.45,6.3,13.2,0.47700000000000004,3.9,4.5,0.867,0.6,6.6,7.2,5.1,1.2,0.3,2.4,2.7,24.6,2018
34,Jimmy Butler,SG,28.0,MIN,5.0,5.0,170.0,5.9,13.3,0.444,1.7,3.6,0.47100000000000003,4.2,9.7,0.435,3.2,3.8,0.833,0.6,5.7,6.4,4.2,0.8,0.2,1.1,1.9,16.7,2018
35,José Calderón,PG,36.0,CLE,13.0,3.0,104.0,3.1,9.0,0.34600000000000003,1.4,6.2,0.222,1.7,2.8,0.625,0.7,0.7,1.0,0.7,3.1,3.8,3.1,1.7,0.0,1.7,5.2,8.3,2018
36,Clint Capela,C,23.0,HOU,17.0,17.0,520.0,6.6,10.0,0.66,0.0,0.0,,6.6,10.0,0.66,1.8,3.8,0.473,4.2,9.4,13.6,1.5,1.0,2.5,1.0,2.6,15.0,2018
37,Ian Clark,SG,26.0,NOP,9.0,0.0,190.0,5.3,12.5,0.424,1.9,5.3,0.35700000000000004,3.4,7.2,0.474,0.8,0.8,1.0,0.4,1.5,1.9,2.1,1.5,0.4,1.7,3.8,13.3,2018
38,Jordan Clarkson,SG,25.0,CLE,19.0,0.0,286.0,4.7,15.5,0.301,1.4,5.8,0.239,3.3,9.7,0.33799999999999997,0.6,0.8,0.833,1.1,2.9,4.0,1.6,1.0,0.4,1.6,2.6,11.3,2018
39,Zach Collins,C,20.0,POR,4.0,0.0,70.0,5.7,15.4,0.36700000000000005,1.5,7.2,0.214,4.1,8.2,0.5,1.5,2.1,0.75,1.5,4.6,6.2,3.1,1.5,1.0,1.0,5.1,14.4,2018
40,Darren Collison,PG,30.0,IND,7.0,7.0,214.0,5.2,11.4,0.456,1.3,3.9,0.348,3.9,7.6,0.511,1.5,2.0,0.75,0.2,3.4,3.5,5.6,1.2,0.0,1.5,1.2,13.3,2018
42,Pat Connaughton,SG,25.0,POR,4.0,0.0,59.0,3.7,9.2,0.4,1.2,6.1,0.2,2.4,3.1,0.8,1.2,1.2,1.0,1.2,1.2,2.4,3.7,0.6,0.6,0.6,5.5,9.8,2018
43,Quinn Cook,PG,24.0,GSW,17.0,0.0,175.0,6.2,13.8,0.44799999999999995,1.4,6.4,0.226,4.7,7.4,0.639,2.9,3.5,0.8240000000000001,0.4,4.3,4.7,2.3,0.8,0.4,1.0,2.7,16.7,2018
44,Robert Covington,SF,27.0,PHI,10.0,8.0,281.0,3.5,10.6,0.325,1.9,6.1,0.313,1.5,4.5,0.34299999999999997,1.5,2.0,0.75,1.5,5.3,6.8,3.2,1.4,1.2,1.4,3.8,10.4,2018
45,Jamal Crawford,SG,37.0,MIN,5.0,0.0,123.0,6.1,13.8,0.447,2.0,5.0,0.41200000000000003,4.1,8.8,0.467,2.9,3.8,0.769,0.3,3.5,3.8,3.5,1.5,0.0,1.5,1.8,17.3,2018
46,Jordan Crawford,SG,29.0,NOP,2.0,0.0,15.0,19.2,31.2,0.615,7.2,19.2,0.375,12.0,12.0,1.0,0.0,0.0,,0.0,9.6,9.6,2.4,2.4,0.0,7.2,2.4,45.6,2018
47,Jae Crowder,SF,27.0,UTA,11.0,2.0,323.0,3.9,12.0,0.324,2.5,7.4,0.33299999999999996,1.4,4.7,0.31,2.0,3.1,0.643,0.4,5.8,6.2,2.1,1.7,0.2,1.6,2.8,12.3,2018
48,Stephen Curry,PG,29.0,GSW,15.0,14.0,555.0,8.9,19.7,0.451,4.2,10.5,0.395,4.7,9.2,0.514,2.9,3.0,0.9570000000000001,0.6,5.3,5.9,5.3,1.7,0.7,2.8,2.5,24.8,2018
49,Anthony Davis,PF,24.0,NOP,9.0,9.0,358.0,10.7,20.5,0.52,0.6,2.2,0.273,10.1,18.3,0.5489999999999999,5.3,6.4,0.828,2.4,9.8,12.2,1.5,1.8,2.1,2.3,3.0,27.3,2018
50,Ed Davis,C,28.0,POR,4.0,0.0,71.0,2.5,5.1,0.5,0.0,0.0,,2.5,5.1,0.5,0.5,2.0,0.25,2.5,13.7,16.2,0.0,0.0,0.5,2.0,3.5,5.6,2018
51,Matthew Dellavedova,PG,27.0,MIL,6.0,0.0,78.0,1.8,5.5,0.33299999999999996,0.9,4.2,0.222,0.9,1.4,0.667,0.9,0.9,1.0,0.5,1.8,2.3,7.4,0.9,0.0,2.8,2.8,5.5,2018
52,DeMar DeRozan,SG,28.0,TOR,10.0,10.0,354.0,8.8,20.2,0.43700000000000006,1.0,3.6,0.28600000000000003,7.8,16.7,0.47,4.4,5.4,0.8109999999999999,0.6,3.1,3.7,4.1,0.5,0.6,2.3,2.4,23.1,2018
53,Cheick Diallo,PF,21.0,NOP,7.0,0.0,48.0,3.7,9.0,0.41700000000000004,0.0,0.0,,3.7,9.0,0.41700000000000004,0.0,0.0,,3.0,3.7,6.8,0.0,0.7,0.7,0.7,6.8,7.5,2018
54,Gorgui Dieng,C,28.0,MIN,5.0,0.0,70.0,3.1,9.3,0.33299999999999996,1.0,2.6,0.4,2.1,6.7,0.308,1.5,2.1,0.75,1.5,7.7,9.3,2.1,1.0,2.1,0.5,3.1,8.7,2018
55,Goran Dragić,PG,31.0,MIA,5.0,5.0,156.0,8.1,17.3,0.467,1.8,4.8,0.381,6.2,12.5,0.5,3.5,5.1,0.682,0.7,2.3,3.0,5.3,1.2,0.0,3.5,3.5,21.5,2018
56,Kevin Durant,SF,29.0,GSW,21.0,21.0,807.0,9.5,19.4,0.48700000000000004,2.1,6.2,0.341,7.4,13.2,0.556,6.1,6.8,0.9009999999999999,0.6,6.7,7.3,4.4,0.7,1.1,2.2,1.9,27.1,2018
57,Wayne Ellington,SG,30.0,MIA,5.0,0.0,101.0,4.3,12.5,0.34299999999999997,4.3,10.7,0.4,0.0,1.8,0.0,1.1,1.1,1.0,0.4,2.5,2.9,1.1,0.7,0.7,1.1,3.2,13.9,2018
58,Joel Embiid,C,23.0,PHI,8.0,8.0,278.0,7.8,17.9,0.435,1.0,3.8,0.276,6.7,14.1,0.47700000000000004,5.6,7.9,0.705,3.0,10.1,13.1,3.1,0.9,1.8,3.8,4.0,22.1,2018
59,Dante Exum,PG,22.0,UTA,10.0,0.0,114.0,6.3,12.9,0.488,0.6,2.2,0.28600000000000003,5.7,10.7,0.529,2.8,3.8,0.75,1.3,3.2,4.4,3.2,0.3,0.3,4.7,4.7,16.1,2018
60,Derrick Favors,C,26.0,UTA,11.0,9.0,286.0,5.3,8.6,0.618,0.3,0.6,0.4,5.0,7.9,0.635,2.0,4.2,0.485,2.5,4.7,7.2,1.6,1.0,1.4,1.3,2.1,12.8,2018
61,Raymond Felton,PG,33.0,OKC,6.0,0.0,79.0,5.5,14.1,0.387,3.2,6.4,0.5,2.3,7.7,0.294,0.0,0.9,0.0,0.9,5.0,5.9,4.1,1.8,0.9,2.3,3.2,14.1,2018
63,Terrance Ferguson,SG,19.0,OKC,3.0,0.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,0.0,0.0,,0.0,0.0,,6.0,0.0,6.0,6.0,0.0,0.0,0.0,12.0,18.0,2018
64,Bryn Forbes,SG,24.0,SAS,4.0,0.0,54.0,3.3,11.3,0.294,1.3,6.0,0.222,2.0,5.3,0.375,3.3,4.7,0.7140000000000001,0.7,1.3,2.0,1.3,0.0,0.0,0.0,2.0,11.3,2018
65,Tim Frazier,PG,27.0,WAS,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,6.0,18.0,6.0,0.0,0.0,12.0,0.0,2018
66,Markelle Fultz,SG,19.0,PHI,3.0,0.0,23.0,1.6,11.0,0.14300000000000002,0.0,0.0,,1.6,11.0,0.14300000000000002,4.7,6.3,0.75,0.0,4.7,4.7,7.8,3.1,0.0,1.6,6.3,7.8,2018
67,Pau Gasol,C,37.0,SAS,5.0,0.0,90.0,4.0,8.0,0.5,0.4,1.2,0.33299999999999996,3.6,6.8,0.529,3.6,4.0,0.9,0.8,8.8,9.6,5.6,0.0,0.4,2.4,2.0,12.0,2018
68,Rudy Gay,PF,31.0,SAS,5.0,4.0,160.0,5.9,14.6,0.4,0.9,4.1,0.222,5.0,10.6,0.46799999999999997,1.1,2.0,0.556,2.0,4.3,6.3,2.5,1.8,0.2,1.4,3.6,13.7,2018
69,Paul George,SF,27.0,OKC,6.0,6.0,251.0,7.0,17.2,0.408,2.7,7.5,0.365,4.3,9.8,0.441,4.4,5.2,0.861,0.6,4.6,5.2,2.3,1.1,0.6,3.4,2.4,21.2,2018
70,Marcus Georges-Hunt,SG,23.0,MIN,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
71,Taj Gibson,PF,32.0,MIN,5.0,5.0,123.0,4.1,6.4,0.636,0.0,0.0,,4.1,6.4,0.636,0.9,0.9,1.0,2.0,3.8,5.9,0.6,0.3,0.6,1.2,2.3,9.1,2018
72,Manu Ginóbili,SG,40.0,SAS,5.0,0.0,107.0,5.0,12.4,0.405,2.0,6.1,0.33299999999999996,3.0,6.4,0.474,3.0,3.7,0.818,0.3,4.7,5.0,5.4,2.4,0.3,2.4,4.4,15.1,2018
73,Rudy Gobert,C,25.0,UTA,11.0,11.0,383.0,5.2,7.9,0.655,0.0,0.0,,5.2,7.9,0.655,3.3,5.5,0.603,4.0,7.0,11.1,1.0,0.9,2.3,2.0,3.2,13.6,2018
74,Eric Gordon,SG,29.0,HOU,17.0,2.0,549.0,5.5,14.5,0.38,2.8,8.5,0.331,2.7,6.0,0.451,3.3,4.0,0.836,0.6,2.4,3.0,1.8,0.7,0.5,1.6,1.9,17.2,2018
75,Marcin Gortat,C,33.0,WAS,6.0,6.0,160.0,5.4,9.7,0.5579999999999999,0.0,0.0,,5.4,9.7,0.5579999999999999,0.9,1.6,0.5710000000000001,2.9,5.6,8.6,1.4,0.0,0.5,1.4,3.4,11.7,2018
76,Jerami Grant,PF,23.0,OKC,6.0,0.0,133.0,4.9,9.5,0.514,0.5,2.2,0.25,4.3,7.3,0.593,1.4,3.0,0.455,2.2,3.2,5.4,1.6,1.1,0.8,1.6,4.1,11.6,2018
77,Danny Green,SG,30.0,SAS,5.0,5.0,103.0,2.8,10.5,0.267,1.7,7.0,0.25,1.0,3.5,0.3,0.0,0.0,,1.4,2.4,3.8,0.3,0.3,1.4,0.7,2.8,7.3,2018
78,Draymond Green,PF,27.0,GSW,21.0,21.0,819.0,3.6,8.4,0.43200000000000005,0.9,3.5,0.266,2.7,5.0,0.5489999999999999,1.7,2.2,0.7959999999999999,1.8,7.9,9.8,7.5,1.8,1.4,2.8,3.3,9.9,2018
79,Gerald Green,SG,32.0,HOU,17.0,0.0,272.0,4.9,12.4,0.39399999999999996,3.6,9.5,0.375,1.3,2.9,0.455,0.8,0.9,0.857,0.8,5.8,6.6,0.1,0.5,0.9,1.3,3.6,14.2,2018
80,Jeff Green,PF,31.0,CLE,22.0,2.0,523.0,4.0,9.8,0.408,1.4,4.8,0.3,2.5,5.0,0.514,2.3,3.2,0.7170000000000001,0.5,3.2,3.6,2.2,0.5,1.0,1.2,2.5,11.7,2018
81,James Harden,SG,28.0,HOU,17.0,17.0,621.0,9.2,22.3,0.41,3.0,10.1,0.299,6.1,12.2,0.502,6.8,7.7,0.887,0.8,4.3,5.2,6.7,2.2,0.6,3.8,2.7,28.2,2018
82,Maurice Harkless,SF,24.0,POR,2.0,1.0,53.0,4.8,8.8,0.5379999999999999,1.4,4.1,0.33299999999999996,3.4,4.8,0.7140000000000001,0.0,0.0,,2.0,3.4,5.4,2.7,0.0,0.7,0.7,2.7,10.9,2018
84,John Henson,C,27.0,MIL,2.0,2.0,74.0,4.4,6.3,0.6920000000000001,0.0,0.0,,4.4,6.3,0.6920000000000001,0.5,1.0,0.5,1.9,3.9,5.8,2.4,0.0,3.4,1.9,1.9,9.2,2018
85,Nenê,C,35.0,HOU,11.0,0.0,107.0,4.0,6.7,0.6,0.0,0.0,,4.0,6.7,0.6,2.4,3.7,0.636,2.0,7.4,9.4,1.7,0.7,1.7,2.7,6.1,10.4,2018
86,George Hill,PG,31.0,CLE,19.0,18.0,557.0,3.8,8.5,0.45,1.0,3.3,0.314,2.8,5.2,0.5379999999999999,2.6,3.4,0.774,0.8,1.8,2.6,2.7,0.6,0.5,1.4,3.4,11.3,2018
87,Solomon Hill,SF,26.0,NOP,9.0,0.0,114.0,2.8,7.9,0.36,1.9,5.1,0.375,0.9,2.8,0.33299999999999996,2.8,3.2,0.9,1.9,3.5,5.4,2.2,0.3,0.3,1.9,5.4,10.4,2018
88,Jrue Holiday,SG,27.0,NOP,9.0,9.0,348.0,9.1,17.6,0.518,1.7,5.2,0.32,7.4,12.4,0.6,2.2,3.1,0.7,0.9,4.3,5.3,5.9,1.0,0.5,2.4,2.3,22.0,2018
89,Richaun Holmes,C,24.0,PHI,3.0,0.0,11.0,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,3.3,3.3,0.0,0.0,0.0,9.8,0.0,2018
90,Rodney Hood,SG,25.0,CLE,17.0,1.0,260.0,5.4,12.7,0.424,0.6,3.3,0.16699999999999998,4.8,9.4,0.515,1.2,1.7,0.75,1.0,3.3,4.3,2.5,0.7,0.6,1.8,4.2,12.6,2018
91,Al Horford,C,31.0,BOS,19.0,19.0,679.0,5.9,10.8,0.544,0.8,2.3,0.349,5.1,8.5,0.596,3.3,4.0,0.8270000000000001,1.7,6.6,8.3,3.3,1.0,1.2,1.7,2.1,15.9,2018
92,Josh Huestis,PF,26.0,OKC,4.0,0.0,19.0,1.9,3.8,0.5,0.0,0.0,,1.9,3.8,0.5,1.9,3.8,0.5,0.0,5.7,5.7,0.0,1.9,1.9,0.0,5.7,5.7,2018
93,Serge Ibaka,PF,28.0,TOR,10.0,9.0,260.0,4.2,10.0,0.41700000000000004,1.2,3.3,0.375,2.9,6.6,0.43799999999999994,2.5,3.0,0.818,1.8,6.4,8.2,1.5,0.1,1.8,2.2,2.9,12.0,2018
94,Andre Iguodala,SF,34.0,GSW,15.0,12.0,401.0,3.8,7.6,0.494,1.3,3.3,0.37799999999999995,2.5,4.3,0.583,2.2,3.1,0.706,1.0,5.1,6.1,3.7,1.9,0.6,1.3,2.6,11.0,2018
95,Ersan İlyasova,PF,30.0,PHI,10.0,1.0,233.0,5.6,13.0,0.429,1.4,4.8,0.29,4.2,8.2,0.509,1.9,3.2,0.5710000000000001,4.0,7.7,11.7,2.0,1.1,0.6,1.5,3.9,14.4,2018
96,Joe Ingles,SF,30.0,UTA,11.0,11.0,382.0,5.4,11.4,0.47100000000000003,3.3,7.3,0.455,2.1,4.1,0.5,1.0,1.6,0.647,0.5,4.1,4.5,3.5,0.6,0.2,2.5,2.7,15.1,2018
97,Aaron Jackson,PG,31.0,HOU,7.0,0.0,17.0,4.2,8.5,0.5,0.0,4.2,0.0,4.2,4.2,1.0,2.1,4.2,0.5,4.2,4.2,8.5,4.2,0.0,0.0,4.2,4.2,10.6,2018
98,LeBron James,PF,33.0,CLE,22.0,22.0,922.0,10.7,19.9,0.539,1.5,4.5,0.342,9.2,15.5,0.596,6.2,8.3,0.746,1.2,6.6,7.8,7.7,1.2,0.9,3.7,2.0,29.2,2018
99,Brandon Jennings,PG,28.0,MIL,1.0,0.0,5.0,0.0,14.4,0.0,0.0,14.4,0.0,0.0,0.0,,14.4,14.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,14.4,2018
100,Jonas Jerebko,PF,30.0,UTA,10.0,0.0,79.0,3.6,8.7,0.42100000000000004,0.5,2.7,0.16699999999999998,3.2,5.9,0.5379999999999999,0.9,0.9,1.0,1.8,5.5,7.3,1.4,1.4,0.0,0.5,4.1,8.7,2018
101,Amir Johnson,C,30.0,PHI,8.0,1.0,94.0,4.2,8.0,0.524,0.0,0.0,,4.2,8.0,0.524,1.5,1.9,0.8,5.4,3.4,8.8,3.4,0.8,0.4,1.1,3.8,10.0,2018
102,Dakari Johnson,C,22.0,OKC,2.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
103,James Johnson,PF,30.0,MIA,5.0,5.0,161.0,5.1,9.4,0.5479999999999999,1.6,2.9,0.5379999999999999,3.6,6.5,0.552,2.0,3.1,0.643,0.7,6.0,6.7,5.4,1.3,1.3,2.2,3.8,13.9,2018
105,Joe Johnson,SF,36.0,HOU,8.0,0.0,54.0,4.0,11.3,0.353,0.0,2.0,0.0,4.0,9.3,0.429,0.0,0.0,,0.0,6.7,6.7,2.0,0.0,0.7,2.0,2.7,8.0,2018
106,Tyler Johnson,PG,25.0,MIA,5.0,5.0,81.0,6.2,11.6,0.5379999999999999,2.7,4.4,0.6,3.6,7.1,0.5,2.7,3.1,0.857,0.4,3.1,3.6,1.8,0.9,0.0,0.9,6.2,17.8,2018
