,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
128,Will Perdue,C,30.0,SAS,10.0,2.0,242.0,4.3,6.2,0.69,0.0,0.0,,4.3,6.2,0.69,2.4,3.0,0.8,3.9,7.9,11.8,0.7,0.3,0.6,1.6,3.6,11.0,1996
129,Sam Perkins,PF,34.0,SEA,21.0,1.0,654.0,5.0,10.8,0.45899999999999996,1.8,4.8,0.368,3.2,6.0,0.532,2.5,3.4,0.754,1.2,3.8,5.0,1.9,0.8,0.3,1.7,2.4,14.2,1996
130,Elliot Perry,PG,26.0,PHO,4.0,0.0,51.0,4.9,9.9,0.5,0.0,0.0,,4.9,9.9,0.5,0.0,0.7,0.0,0.0,1.4,1.4,8.5,1.4,0.0,0.0,2.1,9.9,1996
131,Chuck Person,SF,31.0,SAS,10.0,0.0,284.0,5.2,9.8,0.532,3.2,6.0,0.532,2.0,3.8,0.5329999999999999,1.8,2.2,0.8240000000000001,0.6,4.4,5.1,2.0,0.3,0.4,1.4,4.1,15.3,1996
132,Wesley Person,SG,24.0,PHO,4.0,4.0,183.0,4.3,11.0,0.39299999999999996,1.8,5.7,0.31,2.6,5.3,0.48100000000000004,0.8,1.0,0.8,1.6,3.0,4.5,0.6,0.6,0.2,1.0,1.4,11.2,1996
133,Bobby Phills,SG,26.0,CLE,3.0,3.0,96.0,4.9,13.1,0.371,0.7,3.7,0.2,4.1,9.4,0.44,0.4,1.5,0.25,1.9,3.4,5.2,2.3,0.7,0.4,1.9,1.5,10.9,1996
134,Ricky Pierce,SG,36.0,IND,5.0,4.0,133.0,4.3,12.7,0.34,0.5,2.2,0.25,3.8,10.6,0.359,4.6,5.4,0.85,0.8,0.3,1.1,4.1,2.2,0.3,3.2,3.5,13.8,1996
135,Scottie Pippen,SF,30.0,CHI,18.0,18.0,742.0,5.4,13.9,0.39,1.5,5.1,0.28600000000000003,4.0,8.8,0.451,2.5,3.9,0.638,3.0,4.4,7.4,5.2,2.3,0.8,2.0,2.5,14.8,1996
136,Olden Polynice,C,31.0,SAC,4.0,4.0,141.0,6.1,11.7,0.522,0.3,0.3,1.0,5.9,11.5,0.511,1.5,2.3,0.667,4.1,8.2,12.3,0.8,0.3,1.8,0.8,3.8,14.0,1996
137,Theo Ratliff,C,22.0,DET,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
138,Eldridge Recasner,SG,28.0,HOU,1.0,0.0,8.0,0.0,13.5,0.0,0.0,4.5,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,4.5,4.5,9.0,0.0,0.0,4.5,0.0,0.0,1996
139,Don Reid,PF,22.0,DET,3.0,0.0,26.0,1.4,4.2,0.33299999999999996,0.0,0.0,,1.4,4.2,0.33299999999999996,1.4,4.2,0.33299999999999996,0.0,1.4,1.4,1.4,0.0,2.8,1.4,11.1,4.2,1996
140,J.R. Reid,PF,27.0,NYK,1.0,0.0,7.0,5.1,5.1,1.0,0.0,0.0,,5.1,5.1,1.0,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,5.1,10.3,10.3,1996
141,Mitch Richmond,SG,30.0,SAC,4.0,4.0,146.0,5.9,13.3,0.444,2.0,5.7,0.348,3.9,7.6,0.516,6.9,8.6,0.8,0.7,3.5,4.2,3.0,0.7,0.0,3.7,2.7,20.7,1996
142,Doc Rivers,PG,34.0,SAS,2.0,0.0,20.0,1.8,5.4,0.33299999999999996,1.8,3.6,0.5,0.0,1.8,0.0,0.0,0.0,,0.0,1.8,1.8,0.0,0.0,0.0,1.8,5.4,5.4,1996
143,Fred Roberts,C,35.0,LAL,1.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,,24.0,12.0,36.0,0.0,0.0,0.0,12.0,0.0,0.0,1996
144,Clifford Robinson,SF,29.0,POR,5.0,5.0,181.0,4.2,12.1,0.344,1.2,4.6,0.261,3.0,7.6,0.395,5.6,7.4,0.757,0.8,2.8,3.6,1.6,1.4,1.0,3.2,3.8,15.1,1996
145,David Robinson,C,30.0,SAS,10.0,10.0,353.0,8.5,16.4,0.516,0.0,0.0,,8.5,16.4,0.516,7.1,10.7,0.667,3.8,6.5,10.3,2.4,1.5,2.5,2.4,3.9,24.1,1996
147,James Robinson,PG,25.0,POR,2.0,0.0,26.0,4.2,13.8,0.3,2.8,8.3,0.33299999999999996,1.4,5.5,0.25,0.0,0.0,,0.0,1.4,1.4,4.2,1.4,1.4,4.2,5.5,11.1,1996
148,Rumeal Robinson,PG,29.0,POR,5.0,0.0,43.0,6.7,15.9,0.42100000000000004,3.3,7.5,0.444,3.3,8.4,0.4,0.8,3.3,0.25,0.0,1.7,1.7,2.5,2.5,0.0,2.5,6.7,17.6,1996
149,Dennis Rodman,PF,34.0,CHI,18.0,15.0,620.0,2.9,6.0,0.485,0.0,0.0,,2.9,6.0,0.485,2.0,3.4,0.593,5.7,8.7,14.3,2.1,0.8,0.5,2.4,4.4,7.8,1996
150,Lou Roe,SF,23.0,DET,2.0,0.0,7.0,0.0,5.1,0.0,0.0,0.0,,0.0,5.1,0.0,0.0,0.0,,5.1,5.1,10.3,0.0,5.1,0.0,0.0,5.1,0.0,1996
151,Sean Rooks,C,26.0,ATL,10.0,0.0,140.0,4.1,7.2,0.5710000000000001,0.0,0.0,,4.1,7.2,0.5710000000000001,3.3,5.4,0.619,3.3,3.6,6.9,1.8,1.0,1.0,2.3,9.0,11.6,1996
152,Donald Royal,SF,29.0,ORL,7.0,0.0,92.0,2.7,4.7,0.583,0.0,0.0,,2.7,4.7,0.583,4.3,6.3,0.688,1.6,2.7,4.3,0.4,0.0,0.4,0.8,2.7,9.8,1996
153,Bryon Russell,SF,25.0,UTA,18.0,0.0,459.0,4.5,9.7,0.46799999999999997,2.0,4.2,0.47200000000000003,2.6,5.6,0.465,2.4,3.0,0.816,1.3,4.5,5.9,1.7,1.8,0.7,0.8,3.3,13.5,1996
