,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Mahmoud Abdul-Rauf,PG,27.0,SAC,75.0,2131.0,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,0.06,,-0.8,-1.8,-2.6,-0.4,1997
1,Shareef Abdur-Rahim,PF,20.0,VAN,80.0,2802.0,17.4,0.518,0.022000000000000002,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,0.049,,0.3,-2.1,-1.8,0.2,1997
2,Rafael Addison,SF,32.0,CHH,41.0,355.0,10.6,0.47600000000000003,0.16399999999999998,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,0.048,,-2.6,-1.7,-4.4,-0.2,1997
3,Cory Alexander,PG,23.0,SAS,80.0,1454.0,14.3,0.528,0.514,0.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,0.035,,0.3,-0.8,-0.6,0.5,1997
4,Jerome Allen,SG,24.0,TOT,76.0,943.0,8.7,0.451,0.42100000000000004,0.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,,-0.3,0.8,0.4,0.021,,-2.5,-0.2,-2.6,-0.1,1997
7,Ray Allen,SG,21.0,MIL,82.0,2532.0,14.6,0.541,0.32799999999999996,0.27399999999999997,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,0.092,,0.8,-0.9,-0.1,1.2,1997
8,Derrick Alston,C,24.0,ATL,2.0,11.0,-9.0,0.0,0.0,0.4,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,-0.1,-0.415,,-9.5,-12.1,-21.6,-0.1,1997
9,Ashraf Amaya,PF,25.0,WSB,31.0,144.0,8.8,0.382,0.025,0.7,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,,-0.2,0.3,0.1,0.019,,-6.2,-0.9,-7.1,-0.2,1997
10,Greg Anderson,C,32.0,SAS,82.0,1659.0,11.4,0.531,0.004,0.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,,0.7,1.5,2.2,0.064,,-3.6,0.1,-3.5,-0.6,1997
11,Kenny Anderson,PG,26.0,POR,82.0,3081.0,19.5,0.54,0.322,0.38299999999999995,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,,8.0,4.4,12.4,0.193,,3.2,1.2,4.4,5.0,1997
12,Nick Anderson,SG,29.0,ORL,63.0,2163.0,13.8,0.494,0.5589999999999999,0.13,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,,1.3,2.9,4.2,0.09300000000000001,,0.2,1.6,1.8,2.1,1997
