,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Jeff Adrien,PF,25.0,HOU,8.0,63.0,11.2,0.493,0.0,0.75,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,,0.1,0.1,0.1,0.106,,-4.0,-0.2,-4.3,0.0,2012
1,Arron Afflalo,SG,26.0,DEN,62.0,2086.0,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,,4.7,0.6,5.3,0.121,,1.4,-1.2,0.1,1.1,2012
2,Blake Ahearn,PG,27.0,UTA,4.0,30.0,-7.3,0.35700000000000004,0.643,0.0,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,,-0.2,0.0,-0.2,-0.315,,-12.7,-6.8,-19.5,-0.1,2012
3,Solomon Alabi,C,23.0,TOR,14.0,122.0,14.2,0.418,0.0,0.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,,0.0,0.2,0.2,0.083,,-2.9,0.7,-2.2,0.0,2012
4,Cole Aldrich,C,23.0,OKC,26.0,173.0,17.7,0.5920000000000001,0.0,0.33299999999999996,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,0.17600000000000002,,-1.3,2.2,1.0,0.1,2012
5,LaMarcus Aldridge,PF,26.0,POR,55.0,1994.0,22.7,0.56,0.012,0.29100000000000004,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,,5.4,1.6,7.0,0.16899999999999998,,3.4,-0.4,3.0,2.5,2012
6,Lavoy Allen,PF,22.0,PHI,41.0,624.0,12.7,0.488,0.0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,0.124,,-2.8,1.0,-1.7,0.0,2012
7,Ray Allen,SG,36.0,BOS,46.0,1565.0,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,,2.5,2.2,4.7,0.145,,1.5,0.7,2.2,1.6,2012
8,Tony Allen,SG,30.0,MEM,58.0,1525.0,15.7,0.541,0.057999999999999996,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,,1.7,2.5,4.2,0.131,,-0.6,2.3,1.7,1.4,2012
9,Morris Almond,SG,26.0,WAS,4.0,67.0,8.7,0.382,0.17600000000000002,0.17600000000000002,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,,-0.1,0.1,0.0,0.032,,-6.0,4.2,-1.8,0.0,2012
10,Al-Farouq Aminu,SF,21.0,NOH,66.0,1477.0,10.6,0.48100000000000004,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,,-0.4,1.8,1.4,0.044000000000000004,,-2.9,0.6,-2.2,-0.1,2012
11,Lou Amundson,PF,29.0,IND,60.0,753.0,11.5,0.43799999999999994,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,,-0.3,1.3,1.0,0.062,,-4.0,0.1,-4.0,-0.4,2012
12,Chris Andersen,C,33.0,DEN,32.0,486.0,18.9,0.583,0.0,0.759,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,,1.0,0.8,1.9,0.183,,0.5,1.8,2.3,0.5,2012
13,Alan Anderson,SF,29.0,TOR,17.0,461.0,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,,0.1,0.2,0.3,0.032,,-1.7,-1.3,-3.0,-0.1,2012
14,James Anderson,SG,22.0,SAS,51.0,603.0,8.8,0.483,0.391,0.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,0.04,,-2.7,-1.4,-4.1,-0.3,2012
15,Ryan Anderson,PF,23.0,ORL,61.0,1964.0,21.2,0.589,0.557,0.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,,7.0,1.9,8.9,0.21899999999999997,,5.2,-1.1,4.0,3.0,2012
16,Carmelo Anthony,SF,27.0,NYK,55.0,1876.0,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,,3.7,2.6,6.2,0.16,,3.8,-0.2,3.6,2.7,2012
17,Joel Anthony,C,29.0,MIA,64.0,1349.0,10.3,0.598,0.0,0.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,,1.2,2.2,3.4,0.122,,-2.0,1.6,-0.5,0.5,2012
18,Gilbert Arenas,PG,30.0,MEM,17.0,211.0,9.9,0.526,0.609,0.156,1.1,9.0,5.0,13.4,2.8,0.4,14.9,17.3,,0.1,0.3,0.4,0.08800000000000001,,-3.3,2.0,-1.3,0.0,2012
19,Trevor Ariza,SF,26.0,NOH,41.0,1350.0,14.2,0.496,0.21600000000000003,0.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,,0.5,1.7,2.2,0.078,,-0.4,1.7,1.3,1.1,2012
21,Ömer Aşık,C,25.0,CHI,66.0,971.0,13.4,0.509,0.0,0.66,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,,0.1,2.5,2.6,0.129,,-3.2,2.5,-0.7,0.3,2012
22,D.J. Augustin,PG,24.0,CHA,48.0,1408.0,14.1,0.493,0.368,0.24600000000000002,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,,0.7,-0.2,0.5,0.018000000000000002,,0.7,-3.2,-2.5,-0.2,2012
23,Gustavo Ayón,PF,26.0,NOH,54.0,1088.0,16.7,0.552,0.004,0.24100000000000002,9.6,19.3,14.5,11.5,2.6,3.5,13.7,14.5,,1.5,1.7,3.2,0.142,,0.0,2.5,2.5,1.2,2012
24,Jeff Ayres,C,24.0,IND,20.0,106.0,13.4,0.435,0.0,0.19399999999999998,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,,0.1,0.2,0.3,0.115,,-1.9,-1.0,-2.8,0.0,2012
25,Kelenna Azubuike,SG,28.0,DAL,3.0,18.0,-3.4,0.43799999999999994,0.375,0.0,0.0,0.0,0.0,0.0,2.9,0.0,33.3,30.9,,-0.1,0.0,-0.1,-0.325,,-10.3,-3.7,-14.0,-0.1,2012
26,Luke Babbitt,SF,22.0,POR,40.0,537.0,11.3,0.556,0.578,0.11599999999999999,3.4,17.5,10.3,4.8,1.0,0.6,12.9,17.8,,0.4,0.3,0.7,0.064,,-0.6,-1.8,-2.3,0.0,2012
27,Renaldo Balkman,SF,27.0,NYK,14.0,115.0,14.3,0.57,0.281,0.344,6.0,20.3,13.1,7.2,1.8,2.1,14.0,16.7,,0.1,0.2,0.3,0.142,,-1.3,0.8,-0.5,0.0,2012
28,Leandro Barbosa,SG,29.0,TOT,64.0,1382.0,14.0,0.512,0.267,0.195,2.8,7.9,5.3,13.3,2.2,0.4,12.0,26.5,,0.5,1.2,1.7,0.06,,-0.6,-0.6,-1.2,0.3,2012
31,J.J. Barea,PG,27.0,MIN,41.0,1032.0,14.9,0.502,0.342,0.23399999999999999,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,,0.8,0.4,1.2,0.055999999999999994,,1.1,-2.1,-1.0,0.3,2012
32,Andrea Bargnani,C,26.0,TOR,31.0,1032.0,17.9,0.5379999999999999,0.23800000000000002,0.35700000000000004,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,,1.3,0.9,2.2,0.10400000000000001,,2.4,-1.3,1.1,0.8,2012
33,Matt Barnes,SF,31.0,LAL,63.0,1440.0,15.5,0.5539999999999999,0.35700000000000004,0.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,,2.4,1.8,4.3,0.142,,0.4,1.3,1.6,1.3,2012
34,Earl Barron,C,30.0,GSW,2.0,9.0,4.7,0.5,0.0,0.0,12.6,0.0,6.3,0.0,0.0,0.0,0.0,20.5,,0.0,0.0,0.0,0.054000000000000006,,-11.5,-4.8,-16.3,0.0,2012
35,Brandon Bass,PF,26.0,BOS,59.0,1868.0,14.1,0.524,0.0,0.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,,1.5,3.2,4.7,0.122,,-1.3,0.3,-1.0,0.5,2012
