,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Tariq Abdul-Wahad,SG,24.0,SAC,49.0,1205.0,11.8,0.486,0.052000000000000005,0.33399999999999996,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,0.057999999999999996,,-2.5,-0.5,-3.0,-0.3,1999
1,Shareef Abdur-Rahim,SF,22.0,VAN,50.0,2021.0,20.7,0.53,0.04,0.49200000000000005,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,,3.7,0.9,4.6,0.10800000000000001,,2.9,-0.9,2.0,2.1,1999
2,Cory Alexander,PG,25.0,DEN,36.0,778.0,11.0,0.467,0.40399999999999997,0.16899999999999998,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,,-0.2,0.0,-0.3,-0.016,,-2.1,-1.3,-3.4,-0.3,1999
3,Ray Allen,SG,23.0,MIL,50.0,1719.0,18.9,0.564,0.309,0.29,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,0.146,,3.5,-1.0,2.4,1.9,1999
4,Peter Aluma,C,25.0,SAC,2.0,5.0,3.1,0.5,0.0,0.0,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.20600000000000002,,-26.4,6.6,-19.8,0.0,1999
5,Derek Anderson,SG,24.0,CLE,38.0,978.0,16.5,0.529,0.22,0.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,,1.1,1.0,2.1,0.105,,1.3,0.3,1.6,0.9,1999
6,Kenny Anderson,PG,28.0,BOS,34.0,1010.0,16.7,0.513,0.067,0.28300000000000003,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,,1.8,0.6,2.4,0.11599999999999999,,1.1,-1.0,0.1,0.5,1999
7,Nick Anderson,SF,31.0,ORL,47.0,1581.0,15.3,0.493,0.433,0.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,,1.3,2.6,3.9,0.11800000000000001,,1.5,0.6,2.1,1.7,1999
8,Shandon Anderson,SG,25.0,UTA,50.0,1072.0,12.8,0.511,0.113,0.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,0.08800000000000001,,-1.0,-0.1,-1.2,0.3,1999
9,Chris Anstey,C,24.0,DAL,41.0,470.0,9.2,0.418,0.05,0.345,8.3,14.9,11.6,9.3,2.1,2.0,14.0,18.2,,-0.2,0.4,0.3,0.027000000000000003,,-4.7,0.3,-4.4,-0.3,1999
10,Greg Anthony,PG,31.0,POR,50.0,806.0,16.6,0.55,0.498,0.355,2.1,6.8,4.5,21.1,4.4,0.3,15.9,19.6,,1.3,1.5,2.8,0.165,,0.9,3.1,4.1,1.2,1999
11,B.J. Armstrong,PG,31.0,TOT,32.0,358.0,12.9,0.54,0.17,0.239,0.7,12.0,6.4,29.2,1.8,0.0,20.5,15.8,,0.4,0.4,0.7,0.1,,-1.6,0.4,-1.2,0.1,1999
14,Darrell Armstrong,PG,30.0,ORL,50.0,1502.0,22.2,0.575,0.36200000000000004,0.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,0.205,,4.2,2.4,6.7,3.3,1999
15,Keith Askins,SF,31.0,MIA,33.0,415.0,3.5,0.40399999999999997,0.46799999999999997,0.129,3.1,9.2,6.4,3.9,2.3,0.5,16.6,9.4,,-0.3,0.5,0.2,0.028999999999999998,,-5.3,1.7,-3.6,-0.2,1999
16,Stacey Augmon,SF,30.0,POR,48.0,874.0,13.0,0.501,0.011000000000000001,0.43700000000000006,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,,1.0,1.6,2.6,0.142,,-1.0,3.8,2.7,1.0,1999
17,Isaac Austin,C,29.0,ORL,49.0,1259.0,12.0,0.457,0.015,0.34700000000000003,7.5,14.5,10.9,12.8,2.0,2.1,17.9,22.9,,-0.9,2.1,1.2,0.045,,-2.6,0.8,-1.8,0.1,1999
18,Anthony Avent,PF,29.0,UTA,5.0,44.0,1.3,0.324,0.0,0.154,23.9,10.3,16.6,3.8,2.5,0.0,33.5,22.7,,-0.2,0.1,-0.1,-0.153,,-9.2,-3.2,-12.4,-0.1,1999
19,Thurl Bailey,PF,37.0,UTA,43.0,543.0,11.5,0.47600000000000003,0.011000000000000001,0.19399999999999998,8.7,12.1,10.6,8.7,0.9,3.9,12.4,19.1,,0.2,0.7,0.9,0.083,,-2.9,0.3,-2.6,-0.1,1999
20,Toby Bailey,SG,23.0,PHO,27.0,249.0,11.3,0.425,0.057999999999999996,0.151,11.0,14.3,12.6,8.6,1.9,0.6,10.7,19.0,,0.0,0.2,0.2,0.040999999999999995,,-2.6,-1.6,-4.2,-0.1,1999
21,Mark Baker,PG,29.0,TOR,1.0,2.0,-46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.4,,-0.1,0.0,-0.1,-1.2890000000000001,,-39.4,-24.3,-63.7,0.0,1999
23,Vin Baker,PF,27.0,SEA,34.0,1162.0,12.5,0.461,0.006999999999999999,0.366,8.4,12.6,10.5,8.7,1.5,2.2,13.0,22.8,,-0.2,0.6,0.4,0.016,,-2.4,-1.4,-3.8,-0.5,1999
24,Charles Barkley,PF,35.0,HOU,42.0,1526.0,23.1,0.546,0.05,0.532,13.7,25.1,19.8,22.1,1.5,0.6,13.9,22.2,,4.8,2.0,6.8,0.215,,4.3,0.3,4.5,2.5,1999
25,Dana Barros,PG,31.0,BOS,50.0,1156.0,17.7,0.5760000000000001,0.431,0.19699999999999998,1.5,8.9,5.1,29.9,2.4,0.3,17.9,19.0,,2.5,0.9,3.4,0.139,,2.5,-0.5,2.0,1.2,1999
26,Brent Barry,SG,27.0,CHI,37.0,1181.0,12.9,0.514,0.483,0.284,3.7,11.0,7.2,19.0,1.9,0.7,15.2,18.8,,0.7,0.9,1.6,0.065,,-0.3,-0.2,-0.5,0.4,1999
27,Drew Barry,SG,25.0,SEA,17.0,183.0,9.0,0.49,0.75,0.406,1.9,10.8,6.3,23.6,2.0,0.4,24.1,12.3,,0.1,0.1,0.2,0.048,,-3.1,0.4,-2.7,0.0,1999
28,Jon Barry,SG,29.0,SAC,43.0,736.0,15.9,0.609,0.5720000000000001,0.609,3.6,10.1,6.9,21.6,3.6,0.4,21.2,12.9,,1.6,0.8,2.4,0.156,,0.3,2.5,2.8,0.9,1999
29,Tony Battie,C,22.0,BOS,50.0,1121.0,15.5,0.541,0.011000000000000001,0.21600000000000003,9.4,21.1,15.0,7.7,1.4,4.6,12.7,14.1,,1.7,1.6,3.3,0.139,,-0.9,1.2,0.2,0.6,1999
30,Corey Beck,PG,27.0,TOT,24.0,180.0,10.1,0.493,0.026000000000000002,0.385,4.1,13.9,9.2,18.7,2.7,0.8,22.2,15.4,,0.0,0.2,0.2,0.051,,-4.5,1.1,-3.4,-0.1,1999
33,Benoit Benjamin,C,34.0,PHI,6.0,33.0,-1.5,0.28600000000000003,0.0,0.0,10.4,18.0,14.1,4.9,0.0,0.0,30.0,13.7,,-0.1,0.0,-0.1,-0.1,,-9.1,-2.6,-11.7,-0.1,1999
34,Corey Benjamin,PG,20.0,CHI,31.0,320.0,8.3,0.43799999999999994,0.12,0.342,5.3,9.7,7.4,6.3,1.9,1.9,13.5,22.9,,-0.4,0.3,-0.2,-0.023,,-5.1,-0.9,-6.0,-0.3,1999
35,Mario Bennett,PF,25.0,CHI,3.0,19.0,10.9,0.451,0.0,0.667,11.9,19.6,15.6,0.0,2.9,0.0,11.4,21.7,,0.0,0.0,0.0,0.065,,-4.3,0.8,-3.5,0.0,1999
36,Travis Best,PG,26.0,IND,49.0,1043.0,14.1,0.507,0.193,0.272,2.2,6.8,4.6,27.3,2.2,0.3,15.4,18.5,,1.5,0.6,2.1,0.09699999999999999,,-0.1,-0.1,-0.3,0.5,1999
37,Mike Bibby,PG,20.0,VAN,50.0,1758.0,14.8,0.48700000000000004,0.122,0.27899999999999997,2.0,7.2,4.6,35.1,2.4,0.2,17.7,21.5,,1.1,0.2,1.3,0.035,,-0.2,-1.6,-1.8,0.1,1999
38,Chauncey Billups,SG,22.0,DEN,45.0,1488.0,15.1,0.547,0.475,0.34700000000000003,1.8,5.8,3.7,20.4,2.1,0.7,14.7,20.3,,2.8,-0.5,2.3,0.075,,1.1,-1.6,-0.6,0.5,1999
39,Mookie Blaylock,PG,31.0,ATL,48.0,1763.0,16.7,0.46299999999999997,0.386,0.14,3.0,11.8,7.4,31.7,3.2,0.4,14.3,21.5,,1.5,3.2,4.7,0.127,,2.1,1.9,4.0,2.7,1999
40,Corie Blount,PF,30.0,TOT,34.0,530.0,9.5,0.40399999999999997,0.01,0.54,13.6,21.7,17.7,3.8,2.0,2.4,14.5,13.0,,-0.1,0.7,0.7,0.059000000000000004,,-3.7,-0.4,-4.1,-0.3,1999
43,Muggsy Bogues,PG,34.0,GSW,36.0,714.0,15.3,0.539,0.039,0.23399999999999999,2.3,8.7,5.5,30.9,3.3,0.1,21.7,13.5,,0.9,0.8,1.7,0.11699999999999999,,-0.7,2.2,1.5,0.6,1999
44,Etdrick Bohannon,SF,25.0,WAS,2.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.017,,-3.0,-1.6,-4.6,0.0,1999
45,Keith Booth,SF,24.0,CHI,39.0,432.0,7.0,0.354,0.066,0.278,6.5,19.5,12.7,16.8,2.8,1.9,18.7,22.7,,-1.4,0.6,-0.8,-0.08800000000000001,,-6.5,0.5,-6.0,-0.4,1999
46,Bruce Bowen,SF,27.0,BOS,30.0,494.0,5.0,0.33799999999999997,0.28,0.258,3.3,8.7,5.9,8.2,2.2,1.3,11.2,10.5,,-0.4,0.4,0.0,0.001,,-4.5,0.7,-3.8,-0.2,1999
48,Earl Boykins,PG,22.0,TOT,22.0,221.0,7.2,0.405,0.228,0.038,4.0,5.6,4.7,28.4,1.5,0.0,19.9,21.5,,-0.4,0.1,-0.3,-0.07,,-4.0,-2.4,-6.5,-0.3,1999
51,Shawn Bradley,C,26.0,DAL,49.0,1294.0,19.6,0.527,0.011000000000000001,0.33,11.2,22.9,17.0,5.2,1.5,8.9,12.3,16.1,,2.1,2.2,4.2,0.157,,0.0,2.3,2.3,1.4,1999
52,Terrell Brandon,PG,28.0,TOT,36.0,1217.0,19.5,0.46299999999999997,0.09300000000000001,0.154,2.5,10.6,6.4,44.0,2.8,0.6,12.0,23.0,,1.9,1.2,3.2,0.126,,2.6,0.6,3.2,1.6,1999
55,Chucky Brown,PF,30.0,CHH,48.0,1192.0,11.6,0.51,0.107,0.158,3.7,13.1,8.6,8.9,0.7,1.2,8.7,17.4,,0.9,0.7,1.6,0.066,,-1.1,-1.2,-2.4,-0.1,1999
56,Dee Brown,PG,30.0,TOR,49.0,1377.0,13.9,0.529,0.705,0.111,1.2,7.5,4.3,18.8,2.2,0.4,13.4,19.7,,1.8,0.6,2.5,0.086,,2.0,-1.3,0.7,1.0,1999
57,Gerald Brown,SG,23.0,PHO,33.0,236.0,7.3,0.42,0.11199999999999999,0.157,2.4,8.5,5.4,21.7,1.1,0.3,18.8,22.9,,-0.4,0.1,-0.3,-0.06,,-4.4,-2.4,-6.7,-0.3,1999
58,P.J. Brown,PF,29.0,MIA,50.0,1611.0,15.8,0.527,0.0,0.306,9.3,16.2,13.0,7.7,1.6,2.2,11.3,18.7,,2.6,2.6,5.1,0.153,,0.1,0.8,0.8,1.2,1999
59,Randy Brown,PG,30.0,CHI,39.0,1139.0,12.6,0.469,0.031,0.32299999999999995,2.7,11.4,6.8,25.1,3.3,0.5,18.0,18.4,,-0.3,1.3,1.0,0.040999999999999995,,-2.9,1.5,-1.4,0.2,1999
60,Rick Brunson,PG,26.0,NYK,17.0,95.0,6.2,0.294,0.23800000000000002,0.857,3.9,8.4,6.2,33.2,5.2,0.0,29.3,20.7,,-0.4,0.2,-0.2,-0.105,,-5.8,2.5,-3.3,0.0,1999
