,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
32,Jon Barry,SG,24.0,MIL,72.0,1242.0,14.6,0.511,0.301,0.319,3.2,10.8,6.8,21.0,4.2,0.9,16.0,18.1,,0.8,1.3,2.1,0.08,,-1.2,1.8,0.6,0.8,1994
33,John Battle,SG,31.0,CLE,51.0,814.0,12.2,0.535,0.07,0.355,1.0,4.6,2.8,16.2,1.4,0.1,11.5,19.6,,0.9,0.5,1.4,0.084,,-1.6,-1.1,-2.7,-0.1,1994
34,Benoit Benjamin,C,29.0,NJN,77.0,1817.0,14.2,0.525,0.0,0.363,7.7,21.5,14.5,3.8,1.0,3.1,12.4,18.1,,1.4,2.6,4.1,0.107,,-2.0,0.0,-2.1,0.0,1994
35,Tony Bennett,PG,24.0,CHH,74.0,983.0,9.9,0.46,0.285,0.057,1.9,8.1,5.1,22.2,2.0,0.1,12.9,13.4,,0.5,0.5,0.9,0.045,,-1.9,-0.2,-2.1,0.0,1994
36,David Benoit,SF,25.0,UTA,55.0,1070.0,10.9,0.44799999999999995,0.163,0.244,9.7,18.2,14.0,3.2,1.1,2.4,8.5,18.1,,0.1,1.5,1.6,0.07200000000000001,,-2.5,-1.1,-3.6,-0.4,1994
37,Rolando Blackman,SG,34.0,NYK,55.0,969.0,11.3,0.51,0.228,0.14400000000000002,2.7,8.0,5.4,12.7,1.3,0.4,10.1,19.7,,0.9,1.5,2.4,0.11800000000000001,,-1.8,0.4,-1.5,0.1,1994
38,Mookie Blaylock,PG,26.0,ATL,81.0,2915.0,19.6,0.48700000000000004,0.316,0.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,,4.9,5.3,10.2,0.168,,3.4,2.3,5.7,5.7,1994
39,Corie Blount,PF,25.0,CHI,67.0,690.0,12.3,0.478,0.0,0.431,12.9,20.0,16.5,11.4,1.4,3.3,20.1,16.6,,0.0,1.2,1.2,0.085,,-3.2,1.0,-2.3,0.0,1994
40,Muggsy Bogues,PG,29.0,CHH,77.0,2746.0,16.2,0.51,0.016,0.20600000000000002,3.2,9.2,6.3,39.2,2.4,0.0,17.3,15.4,,4.8,1.7,6.4,0.11199999999999999,,1.4,-0.4,1.0,2.1,1994
41,Manute Bol,C,31.0,TOT,14.0,116.0,3.1,0.21100000000000002,0.158,0.0,2.9,14.6,8.7,1.1,0.9,8.8,20.8,8.9,,-0.3,0.1,-0.2,-0.066,,-7.5,1.2,-6.3,-0.1,1994
45,Walter Bond,SG,24.0,UTA,56.0,559.0,9.1,0.507,0.34600000000000003,0.256,4.2,8.3,6.3,8.0,1.5,1.5,8.9,15.1,,0.5,0.6,1.0,0.08900000000000001,,-2.7,0.3,-2.4,0.0,1994
46,Anthony Bonner,SF,25.0,NYK,73.0,1402.0,12.6,0.56,0.0,0.365,12.4,15.4,13.9,9.4,2.8,0.7,21.0,13.2,,0.9,3.2,4.1,0.14,,-1.4,2.4,1.0,1.1,1994
47,Anthony Bowie,SG,30.0,ORL,70.0,948.0,11.5,0.515,0.062,0.17,3.5,10.7,7.1,15.4,1.7,0.8,15.7,16.6,,0.6,0.7,1.3,0.065,,-1.9,0.2,-1.7,0.1,1994
48,Sam Bowie,C,32.0,LAL,25.0,556.0,13.6,0.535,0.023,0.483,5.1,21.2,12.8,12.1,0.4,3.2,17.1,19.1,,0.4,0.4,0.8,0.073,,-1.8,0.0,-1.8,0.0,1994
49,Shawn Bradley,C,21.0,PHI,49.0,1385.0,11.6,0.446,0.006,0.342,7.7,16.5,12.1,11.1,1.6,6.4,20.8,22.4,,-2.7,1.6,-1.1,-0.039,,-5.1,1.7,-3.4,-0.5,1994
51,Terrell Brandon,PG,23.0,CLE,73.0,1548.0,15.0,0.489,0.057999999999999996,0.29600000000000004,2.8,9.1,6.0,27.9,2.8,0.7,15.2,21.1,,1.1,1.8,2.9,0.091,,-0.5,0.8,0.3,0.9,1994
52,Randy Breuer,C,33.0,SAC,26.0,247.0,5.4,0.295,0.038,0.5379999999999999,6.5,18.5,12.4,4.2,1.2,4.9,21.9,7.0,,-0.3,0.3,0.0,-0.006999999999999999,,-5.6,0.9,-4.7,-0.2,1994
53,Frank Brickowski,C,34.0,TOT,71.0,2094.0,14.3,0.54,0.027000000000000003,0.337,4.5,17.9,11.0,17.2,1.9,0.8,17.3,21.5,,1.0,1.7,2.7,0.062,,-1.3,-0.1,-1.5,0.3,1994
56,Kevin Brooks,SF,24.0,DEN,34.0,190.0,5.3,0.41100000000000003,0.23199999999999998,0.10099999999999999,3.0,9.1,6.1,2.6,0.0,0.7,10.4,25.9,,-0.4,0.1,-0.2,-0.062,,-6.0,-3.7,-9.6,-0.4,1994
57,Scott Brooks,PG,28.0,HOU,73.0,1225.0,12.2,0.584,0.21100000000000002,0.294,1.0,7.9,4.6,17.6,2.1,0.1,14.4,13.8,,1.8,1.6,3.3,0.131,,-1.6,1.5,-0.1,0.6,1994
58,Chucky Brown,SF,25.0,DAL,1.0,10.0,10.8,1.042,0.0,1.0,0.0,12.1,5.6,0.0,0.0,0.0,0.0,6.1,,0.0,0.0,0.0,0.183,,-0.8,0.0,-0.9,0.0,1994
59,Dee Brown,SG,25.0,BOS,77.0,2867.0,16.0,0.5329999999999999,0.094,0.214,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,,4.1,2.3,6.4,0.10800000000000001,,0.4,1.2,1.5,2.5,1994
60,Mike Brown,C,30.0,MIN,82.0,1921.0,7.2,0.479,0.008,0.45399999999999996,7.4,19.6,13.6,5.4,1.3,1.0,19.4,8.8,,0.0,1.6,1.5,0.038,,-3.6,0.2,-3.4,-0.7,1994
