,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Quincy Acy,PF,25.0,SAC,59.0,876.0,14.7,0.629,0.22899999999999998,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,,1.8,0.7,2.5,0.13699999999999998,,-0.2,0.2,-0.1,0.4,2016
1,Jordan Adams,SG,21.0,MEM,2.0,15.0,17.3,0.42700000000000005,0.16699999999999998,0.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,,0.0,0.0,0.0,0.015,,-2.5,9.4,6.9,0.0,2016
2,Steven Adams,C,22.0,OKC,80.0,2014.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.0,0.2,0.2,1.1,2016
3,Arron Afflalo,SG,30.0,NYK,71.0,2371.0,10.9,0.531,0.298,0.16399999999999998,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,0.055,,-1.3,-1.6,-2.9,-0.5,2016
4,Alexis Ajinça,C,27.0,NOP,59.0,861.0,13.8,0.514,0.003,0.19699999999999998,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1.0,0.057999999999999996,,-3.4,-0.6,-4.0,-0.4,2016
5,Cole Aldrich,C,27.0,LAC,60.0,800.0,21.3,0.626,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,0.209,,-0.9,3.4,2.4,0.9,2016
6,LaMarcus Aldridge,PF,30.0,SAS,74.0,2261.0,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,0.215,,2.0,0.3,2.3,2.5,2016
7,Cliff Alexander,PF,20.0,POR,8.0,36.0,11.6,0.5,0.0,0.0,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,0.052000000000000005,,-0.5,0.5,0.0,0.0,2016
8,Lavoy Allen,PF,26.0,IND,79.0,1599.0,12.4,0.532,0.0,0.19699999999999998,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,,1.6,2.1,3.7,0.11,,-1.7,0.1,-1.6,0.2,2016
9,Tony Allen,SG,34.0,MEM,64.0,1620.0,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,,0.5,1.9,2.4,0.07200000000000001,,-2.2,1.2,-1.0,0.4,2016
10,Al-Farouq Aminu,SF,25.0,POR,82.0,2341.0,12.7,0.5329999999999999,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,,1.7,2.3,4.0,0.08199999999999999,,-0.2,0.2,0.1,1.2,2016
11,Lou Amundson,PF,33.0,NYK,29.0,204.0,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,,-0.3,0.2,-0.1,-0.013999999999999999,,-6.7,-0.2,-6.9,-0.3,2016
12,Chris Andersen,C,37.0,TOT,27.0,402.0,15.3,0.598,0.19399999999999998,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,,0.8,0.4,1.3,0.149,,0.7,0.0,0.7,0.3,2016
15,Alan Anderson,SG,33.0,WAS,13.0,192.0,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,,0.2,0.2,0.3,0.078,,-2.4,0.1,-2.3,0.0,2016
16,James Anderson,SG,26.0,SAC,51.0,721.0,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.6,-4.5,-0.5,2016
17,Justin Anderson,SF,22.0,DAL,55.0,647.0,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,0.083,,-1.1,1.4,0.3,0.4,2016
18,Kyle Anderson,SF,22.0,SAS,78.0,1245.0,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,,0.7,2.8,3.5,0.133,,-1.7,3.1,1.4,1.1,2016
19,Ryan Anderson,PF,27.0,NOP,66.0,2008.0,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,,3.1,0.8,3.9,0.092,,2.2,-2.4,-0.2,0.9,2016
20,Giannis Antetokounmpo,PG,21.0,MIL,80.0,2823.0,18.8,0.5660000000000001,0.10800000000000001,0.40399999999999997,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,,4.2,2.9,7.1,0.121,,1.3,0.7,2.1,2.9,2016
21,Thanasis Antetokounmpo,SF,23.0,NYK,2.0,6.0,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,0.29100000000000004,,3.7,2.2,5.9,0.0,2016
23,Carmelo Anthony,SF,31.0,NYK,72.0,2530.0,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,0.121,,3.8,-0.5,3.3,3.4,2016
24,Joel Anthony,C,33.0,DET,19.0,96.0,14.1,0.6659999999999999,0.0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,,0.2,0.2,0.4,0.177,,-2.9,3.3,0.4,0.1,2016
25,Keith Appling,PG,23.0,ORL,5.0,27.0,-4.8,0.33799999999999997,0.375,0.25,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,,-0.1,0.0,-0.1,-0.19899999999999998,,-13.2,-2.0,-15.1,-0.1,2016
26,Trevor Ariza,SF,30.0,HOU,81.0,2859.0,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,,3.1,2.3,5.4,0.09,,0.1,0.3,0.4,1.7,2016
27,Darrell Arthur,PF,27.0,DEN,70.0,1516.0,12.5,0.514,0.239,0.10800000000000001,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,,1.0,1.3,2.3,0.07200000000000001,,-1.3,0.5,-0.8,0.4,2016
28,Ömer Aşık,C,29.0,NOP,68.0,1178.0,11.0,0.551,0.0,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,,0.7,1.0,1.7,0.07,,-2.8,-1.0,-3.8,-0.5,2016
29,D.J. Augustin,PG,28.0,TOT,62.0,1178.0,13.9,0.575,0.48,0.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,,2.0,0.6,2.6,0.106,,0.6,-1.1,-0.4,0.4,2016
32,Jeff Ayres,C,28.0,LAC,17.0,107.0,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,,0.1,0.1,0.2,0.077,,-5.6,-0.5,-6.1,-0.1,2016
33,Luke Babbitt,SF,26.0,NOP,47.0,845.0,11.6,0.526,0.377,0.17300000000000001,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,,0.8,0.3,1.1,0.064,,-1.0,-1.5,-2.5,-0.1,2016
34,Cameron Bairstow,C,25.0,CHI,18.0,103.0,6.8,0.391,0.125,0.2,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,,-0.1,0.1,0.0,-0.004,,-6.7,-0.9,-7.5,-0.1,2016
35,Leandro Barbosa,SG,33.0,GSW,68.0,1079.0,11.7,0.545,0.297,0.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,,0.9,1.2,2.1,0.092,,-1.9,-0.1,-2.0,0.0,2016
36,J.J. Barea,PG,31.0,DAL,74.0,1667.0,15.4,0.536,0.366,0.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,,2.1,0.7,2.8,0.08199999999999999,,1.6,-1.6,0.0,0.9,2016
37,Andrea Bargnani,C,30.0,BRK,46.0,634.0,11.8,0.5,0.057,0.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,,0.1,0.0,0.2,0.013000000000000001,,-2.6,-2.6,-5.1,-0.5,2016
38,Harrison Barnes,SF,23.0,GSW,66.0,2042.0,12.3,0.5589999999999999,0.33799999999999997,0.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,,3.1,1.9,4.9,0.11599999999999999,,-0.2,-1.1,-1.3,0.3,2016
39,Matt Barnes,SF,35.0,MEM,76.0,2190.0,11.7,0.503,0.534,0.19899999999999998,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,,0.4,2.2,2.6,0.055999999999999994,,-1.1,0.2,-0.9,0.6,2016
40,Will Barton,SG,25.0,DEN,82.0,2353.0,16.0,0.535,0.331,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,,2.4,1.9,4.3,0.08800000000000001,,1.2,-0.4,0.8,1.7,2016
41,Brandon Bass,PF,30.0,LAL,66.0,1342.0,17.4,0.619,0.006,0.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,,3.4,0.7,4.1,0.146,,0.6,0.0,0.6,0.9,2016
42,Nicolas Batum,SF,27.0,CHO,70.0,2448.0,15.6,0.546,0.457,0.22,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,,2.0,2.9,5.0,0.09699999999999999,,1.1,0.1,1.2,2.0,2016
43,Jerryd Bayless,SG,27.0,MIL,52.0,1505.0,12.4,0.568,0.529,0.20600000000000002,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,,1.8,0.6,2.4,0.075,,0.2,-1.0,-0.8,0.4,2016
44,Aron Baynes,C,29.0,DET,81.0,1233.0,17.8,0.563,0.005,0.43,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,,2.4,1.7,4.1,0.158,,-0.5,0.3,-0.2,0.6,2016
46,Kent Bazemore,SF,26.0,ATL,75.0,2083.0,13.4,0.551,0.42100000000000004,0.20800000000000002,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,,0.3,3.8,4.1,0.094,,-1.2,1.5,0.3,1.2,2016
47,Bradley Beal,SG,22.0,WAS,55.0,1708.0,15.5,0.547,0.33899999999999997,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,,1.4,1.3,2.7,0.076,,1.2,-0.9,0.3,1.0,2016
48,Michael Beasley,PF,27.0,HOU,20.0,363.0,22.5,0.563,0.044000000000000004,0.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,,0.6,0.3,1.0,0.128,,2.2,-1.2,0.9,0.3,2016
49,Marco Belinelli,SG,29.0,SAC,68.0,1672.0,9.4,0.5,0.46799999999999997,0.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,0.013999999999999999,,-2.1,-1.7,-3.8,-0.8,2016
50,Anthony Bennett,PF,22.0,TOR,19.0,84.0,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,,0.0,0.1,0.1,0.054000000000000006,,-2.9,-1.1,-3.9,0.0,2016
51,Patrick Beverley,PG,27.0,HOU,71.0,2041.0,13.0,0.5529999999999999,0.522,0.14800000000000002,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,,3.1,1.3,4.4,0.102,,0.0,0.1,0.2,1.1,2016
52,Bismack Biyombo,C,23.0,TOR,82.0,1808.0,14.9,0.586,0.003,0.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,,2.8,3.1,5.9,0.156,,-1.3,1.1,-0.2,0.8,2016
53,Nemanja Bjelica,PF,27.0,MIN,60.0,1075.0,11.2,0.594,0.532,0.23399999999999999,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,,1.4,0.6,1.9,0.087,,-0.9,0.2,-0.7,0.3,2016
54,Tarik Black,C,24.0,LAL,39.0,496.0,12.3,0.537,0.0,0.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,,0.3,0.4,0.7,0.07200000000000001,,-3.1,-0.2,-3.3,-0.2,2016
55,DeJuan Blair,C,26.0,WAS,29.0,218.0,5.4,0.414,0.015,0.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,,-0.3,0.3,-0.1,-0.015,,-8.1,-0.7,-8.9,-0.4,2016
56,Steve Blake,PG,35.0,DET,58.0,986.0,9.8,0.51,0.629,0.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,,0.3,0.8,1.1,0.053,,-1.7,-0.7,-2.4,-0.1,2016
57,Eric Bledsoe,PG,26.0,PHO,31.0,1059.0,20.0,0.557,0.262,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,,1.6,1.0,2.5,0.11599999999999999,,2.5,0.8,3.3,1.4,2016
58,Bojan Bogdanović,SF,26.0,BRK,79.0,2115.0,10.7,0.55,0.451,0.17600000000000002,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,,0.9,0.0,0.9,0.021,,-1.0,-2.6,-3.5,-0.8,2016
59,Andrew Bogut,C,31.0,GSW,70.0,1451.0,15.9,0.623,0.004,0.179,9.5,26.0,18.3,14.8,1.1,5.8,21.6,11.4,,2.6,2.9,5.4,0.18,,-0.9,3.2,2.4,1.6,2016
60,Matt Bonner,C,35.0,SAS,30.0,206.0,14.1,0.647,0.596,0.07,1.7,12.8,7.5,6.3,1.5,0.4,4.9,13.7,,0.4,0.3,0.8,0.18100000000000002,,1.2,1.0,2.2,0.2,2016
61,Devin Booker,SG,19.0,PHO,76.0,2108.0,11.9,0.535,0.33299999999999996,0.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,,1.2,0.7,1.9,0.043,,-1.2,-1.7,-2.8,-0.5,2016
62,Trevor Booker,PF,28.0,UTA,79.0,1632.0,14.4,0.5329999999999999,0.106,0.273,11.9,20.4,16.2,8.2,1.9,2.1,15.7,14.6,,1.8,2.6,4.3,0.128,,-1.0,1.0,0.0,0.8,2016
