,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Arron Afflalo,SG,23.0,DET,4.0,0.0,16.5,2.5,5.3,0.47600000000000003,0.5,2.5,0.2,2.0,2.8,0.727,0.524,0.8,1.3,0.6,0.3,0.5,0.8,0.3,0.0,0.5,0.8,2.3,6.3,2009
1,LaMarcus Aldridge,PF,23.0,POR,6.0,6.0,39.5,8.5,17.3,0.49,0.2,0.7,0.25,8.3,16.7,0.5,0.495,2.3,3.3,0.7,1.5,6.0,7.5,1.3,0.5,1.7,1.7,2.7,19.5,2009
2,Ray Allen,SG,33.0,BOS,14.0,14.0,40.4,5.9,14.7,0.40299999999999997,2.5,7.1,0.35,3.4,7.6,0.45299999999999996,0.488,3.9,4.1,0.948,0.9,3.0,3.9,2.6,1.1,0.4,1.8,2.5,18.3,2009
3,Tony Allen,SG,27.0,BOS,10.0,0.0,6.0,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.2,0.0,0.1,0.4,0.9,2009
4,Rafer Alston,PG,32.0,ORL,23.0,23.0,32.2,4.6,12.1,0.38,1.6,4.9,0.319,3.0,7.2,0.42200000000000004,0.444,1.4,1.9,0.75,0.1,2.3,2.4,4.1,1.4,0.2,1.7,2.3,12.2,2009
5,Chris Andersen,C,30.0,DEN,15.0,0.0,21.9,2.3,3.6,0.63,0.0,0.1,0.0,2.3,3.5,0.642,0.63,1.9,2.9,0.659,1.9,4.4,6.3,0.6,0.3,2.1,0.5,2.8,6.5,2009
6,Carmelo Anthony,SF,24.0,DEN,16.0,16.0,38.3,9.1,20.1,0.45299999999999996,1.5,4.1,0.364,7.6,16.0,0.47700000000000004,0.491,7.4,9.0,0.826,1.6,4.2,5.8,4.1,1.8,0.6,2.3,3.8,27.2,2009
7,Joel Anthony,C,26.0,MIA,6.0,2.0,14.7,0.7,0.8,0.8,0.0,0.0,,0.7,0.8,0.8,0.8,0.3,0.3,1.0,1.5,1.7,3.2,0.3,0.0,1.2,0.2,1.5,1.7,2009
8,Trevor Ariza,SF,23.0,LAL,23.0,23.0,31.4,4.0,8.0,0.49700000000000005,1.7,3.7,0.47600000000000003,2.3,4.4,0.515,0.605,1.6,2.8,0.563,1.0,3.3,4.2,2.3,1.6,0.4,1.7,3.2,11.3,2009
9,Hilton Armstrong,C,24.0,NOH,4.0,1.0,13.3,1.5,3.3,0.462,0.0,0.0,,1.5,3.3,0.462,0.462,0.8,2.5,0.3,0.8,1.3,2.0,0.3,1.0,0.3,1.5,3.8,3.8,2009
