,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Steven Adams,C,20.0,OKC,18.0,0.0,18.4,1.7,2.5,0.6890000000000001,0.0,0.0,,1.7,2.5,0.6890000000000001,0.6890000000000001,0.4,1.3,0.348,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,2014
1,LaMarcus Aldridge,PF,28.0,POR,11.0,11.0,40.1,10.3,22.7,0.452,0.2,0.3,0.667,10.1,22.5,0.449,0.456,5.5,6.8,0.8,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,2014
2,Lavoy Allen,PF,24.0,IND,4.0,0.0,3.8,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,1.0,2014
3,Ray Allen,SG,38.0,MIA,20.0,1.0,26.4,3.0,7.2,0.413,1.7,4.3,0.38799999999999996,1.3,2.9,0.44799999999999995,0.528,1.7,1.9,0.919,0.7,2.7,3.4,1.6,0.7,0.2,1.2,2.1,9.3,2014
4,Tony Allen,SG,32.0,MEM,7.0,1.0,32.9,5.0,10.3,0.486,0.0,1.0,0.0,5.0,9.3,0.5379999999999999,0.486,2.3,3.0,0.762,3.3,4.4,7.7,1.4,1.7,0.1,1.7,3.3,12.3,2014
5,Chris Andersen,C,35.0,MIA,18.0,0.0,17.6,1.8,3.2,0.579,0.0,0.1,0.0,1.8,3.1,0.589,0.579,1.4,2.1,0.684,1.4,4.5,5.9,0.3,0.3,1.0,0.5,1.9,5.1,2014
6,Alan Anderson,SF,31.0,BRK,12.0,2.0,21.8,2.1,5.2,0.40299999999999997,0.8,2.6,0.29,1.3,2.6,0.516,0.47600000000000003,1.0,1.5,0.667,0.8,1.8,2.7,1.3,0.8,0.0,0.8,2.7,5.9,2014
7,Pero Antić,C,31.0,ATL,7.0,7.0,24.3,1.0,6.0,0.16699999999999998,0.4,3.6,0.12,0.6,2.4,0.235,0.20199999999999999,0.7,1.1,0.625,1.4,2.4,3.9,0.7,0.7,0.4,1.1,3.7,3.1,2014
8,Trevor Ariza,SF,28.0,WAS,11.0,11.0,37.0,4.7,9.8,0.48100000000000004,2.3,5.1,0.446,2.5,4.7,0.519,0.597,1.9,2.5,0.778,1.9,7.0,8.9,1.7,1.5,0.4,1.3,2.4,13.6,2014
9,Hilton Armstrong,C,29.0,GSW,7.0,0.0,2.4,0.6,1.1,0.5,0.0,0.1,0.0,0.6,1.0,0.5710000000000001,0.5,0.0,0.3,0.0,0.4,0.1,0.6,0.3,0.0,0.3,0.6,0.9,1.1,2014
