,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Steven Adams,C,25.0,OKC,5.0,5.0,31.8,5.6,8.4,0.667,0.0,0.2,0.0,5.6,8.2,0.6829999999999999,0.667,0.6,1.6,0.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,2019
1,LaMarcus Aldridge,C,33.0,SAS,7.0,7.0,34.9,7.9,17.3,0.455,0.4,1.6,0.273,7.4,15.7,0.473,0.467,3.9,4.7,0.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0,2019
2,Grayson Allen,SG,23.0,UTA,2.0,0.0,7.0,1.0,3.5,0.28600000000000003,0.0,1.5,0.0,1.0,2.0,0.5,0.28600000000000003,2.5,3.5,0.7140000000000001,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,2019
3,Jarrett Allen,C,20.0,BRK,5.0,5.0,22.0,3.8,6.4,0.594,0.0,0.0,,3.8,6.4,0.594,0.594,3.4,4.0,0.85,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0,2019
4,Al-Farouq Aminu,PF,28.0,POR,16.0,16.0,24.9,2.4,6.8,0.349,0.9,3.2,0.294,1.4,3.6,0.397,0.41700000000000004,1.7,2.3,0.75,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4,2019
5,Giannis Antetokounmpo,PF,24.0,MIL,15.0,15.0,34.3,8.6,17.5,0.49200000000000005,1.2,3.7,0.327,7.4,13.8,0.536,0.527,7.1,11.2,0.637,2.5,9.8,12.3,4.9,1.1,2.0,3.3,3.2,25.5,2019
6,D.J. Augustin,PG,31.0,ORL,5.0,5.0,28.2,4.0,8.2,0.488,2.0,4.2,0.47600000000000003,2.0,4.0,0.5,0.61,2.8,3.2,0.875,0.2,1.4,1.6,3.8,0.4,0.2,1.4,1.4,12.8,2019
7,Will Barton,SF,28.0,DEN,14.0,3.0,23.4,3.4,9.6,0.348,1.1,3.9,0.273,2.3,5.7,0.4,0.40399999999999997,1.3,1.9,0.6920000000000001,1.1,3.7,4.8,1.7,0.3,0.6,0.9,1.4,9.1,2019
8,Aron Baynes,C,32.0,BOS,9.0,5.0,12.8,0.9,1.6,0.5710000000000001,0.2,0.7,0.33299999999999996,0.7,0.9,0.75,0.643,0.1,0.2,0.5,0.7,2.1,2.8,0.3,0.3,0.3,0.6,2.2,2.1,2019
9,Malik Beasley,SG,22.0,DEN,14.0,0.0,20.1,2.6,6.6,0.387,1.4,3.4,0.40399999999999997,1.2,3.3,0.37,0.489,1.6,2.2,0.71,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1,2019
10,Marco Belinelli,SG,32.0,SAS,7.0,0.0,18.7,2.0,5.4,0.368,1.1,3.0,0.381,0.9,2.4,0.353,0.474,0.7,0.9,0.833,0.0,1.9,1.9,1.1,0.0,0.3,0.3,1.0,5.9,2019
11,Jordan Bell,C,24.0,GSW,15.0,2.0,7.1,1.1,2.1,0.5479999999999999,0.0,0.0,,1.1,2.1,0.5479999999999999,0.5479999999999999,0.5,0.7,0.7,0.5,0.8,1.3,0.7,0.3,0.5,0.1,0.9,2.7,2019
12,Dāvis Bertāns,PF,26.0,SAS,5.0,0.0,15.8,1.0,3.0,0.33299999999999996,0.6,2.2,0.273,0.4,0.8,0.5,0.433,0.6,1.0,0.6,0.0,1.6,1.6,1.0,0.0,0.2,0.2,2.0,3.2,2019
13,Patrick Beverley,PG,30.0,LAC,6.0,6.0,32.5,3.3,7.8,0.426,2.2,5.0,0.433,1.2,2.8,0.41200000000000003,0.564,1.0,1.3,0.75,1.3,6.7,8.0,4.7,1.0,1.0,1.7,3.5,9.8,2019
14,Khem Birch,C,26.0,ORL,5.0,0.0,18.4,2.0,3.6,0.556,0.0,0.0,,2.0,3.6,0.556,0.556,1.2,1.4,0.857,1.8,4.4,6.2,0.8,0.2,1.0,1.2,1.6,5.2,2019
