,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Kareem Abdul-Jabbar,C,41.0,LAL,15.0,15.0,23.4,4.5,9.8,0.46299999999999997,0.0,0.0,,4.5,9.8,0.46299999999999997,0.46299999999999997,2.1,2.9,0.721,0.9,3.1,3.9,1.3,0.3,0.7,1.5,2.9,11.1,1989
1,Mark Acres,C,26.0,BOS,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1989
2,Michael Adams,PG,26.0,DEN,2.0,1.0,37.5,7.5,18.0,0.41700000000000004,5.0,11.0,0.455,2.5,7.0,0.35700000000000004,0.556,3.5,4.0,0.875,2.5,6.0,8.5,4.5,1.5,0.0,4.0,3.0,23.5,1989
3,Mark Aguirre,SF,29.0,DET,17.0,17.0,27.2,5.2,10.7,0.489,0.5,1.7,0.276,4.8,9.0,0.529,0.511,1.6,2.2,0.737,1.5,2.9,4.4,1.6,0.5,0.2,1.2,2.2,12.6,1989
4,Steve Alford,PG,24.0,GSW,6.0,0.0,8.7,1.5,3.7,0.409,0.7,1.5,0.444,0.8,2.2,0.385,0.5,0.5,0.7,0.75,0.3,0.3,0.7,0.8,0.3,0.0,0.2,1.2,4.2,1989
5,Richard Anderson,PF,28.0,POR,3.0,0.0,11.7,0.7,2.0,0.33299999999999996,0.3,1.3,0.25,0.3,0.7,0.5,0.41700000000000004,0.0,0.0,,0.0,1.0,1.0,1.3,0.0,0.3,0.0,0.7,1.7,1989
6,Ron Anderson,SF,30.0,PHI,3.0,0.0,36.3,9.7,17.0,0.569,0.0,0.3,0.0,9.7,16.7,0.58,0.569,1.3,1.7,0.8,2.3,3.0,5.3,4.3,0.3,0.7,0.7,3.3,20.7,1989
7,Thurl Bailey,SF,27.0,UTA,3.0,2.0,40.7,4.0,11.3,0.353,0.0,0.0,,4.0,11.3,0.353,0.353,4.0,5.0,0.8,3.3,5.0,8.3,1.0,0.3,1.3,3.0,3.7,12.0,1989
8,Charles Barkley,PF,25.0,PHI,3.0,3.0,45.0,9.7,15.0,0.644,0.3,1.7,0.2,9.3,13.3,0.7,0.6559999999999999,7.3,10.3,0.71,2.7,9.0,11.7,5.3,1.7,0.7,3.7,3.0,27.0,1989
9,John Battle,SG,26.0,ATL,5.0,0.0,23.6,4.0,9.2,0.435,0.0,1.2,0.0,4.0,8.0,0.5,0.435,1.8,2.4,0.75,1.0,1.6,2.6,3.2,0.4,0.0,1.0,2.6,9.8,1989
10,Walter Berry,PF,24.0,HOU,4.0,0.0,14.3,3.3,6.5,0.5,0.0,0.0,,3.3,6.5,0.5,0.5,1.8,2.0,0.875,0.8,1.5,2.3,1.3,0.5,0.3,1.5,2.0,8.3,1989
11,Otis Birdsong,SG,33.0,BOS,3.0,1.0,6.7,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.33299999999999996,0.2,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.3,1.0,1.0,0.7,1989
12,Manute Bol,C,26.0,GSW,8.0,0.0,18.5,0.9,4.5,0.19399999999999998,0.3,2.8,0.091,0.6,1.8,0.35700000000000004,0.222,0.3,0.9,0.28600000000000003,0.6,3.3,3.9,0.1,0.3,3.6,0.4,2.6,2.3,1989
13,Sam Bowie,C,27.0,POR,3.0,1.0,22.3,4.0,9.3,0.429,0.3,0.7,0.5,3.7,8.7,0.423,0.446,2.0,2.7,0.75,3.3,3.3,6.7,1.0,0.0,2.3,1.0,2.7,10.3,1989
14,Adrian Branch,SF,25.0,POR,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1989
15,Randy Breuer,C,28.0,MIL,9.0,1.0,18.0,1.9,3.6,0.531,0.0,0.0,,1.9,3.6,0.531,0.531,0.6,1.4,0.385,1.0,3.4,4.4,0.6,0.2,0.7,0.2,1.9,4.3,1989
16,Scott Brooks,PG,23.0,PHI,3.0,0.0,7.0,0.3,2.0,0.16699999999999998,0.3,0.7,0.5,0.0,1.3,0.0,0.25,0.7,0.7,1.0,0.0,1.3,1.3,1.7,0.0,0.0,0.3,1.3,1.7,1989
17,Mike Brown,C,25.0,UTA,2.0,1.0,5.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,1989
18,Tony Brown,SF,28.0,MIL,6.0,0.0,11.5,0.7,1.8,0.364,0.0,0.2,0.0,0.7,1.7,0.4,0.364,0.5,0.7,0.75,0.3,0.8,1.2,1.0,0.3,0.0,0.2,1.5,1.8,1989
19,Michael Cage,PF,27.0,SEA,8.0,0.0,21.9,3.0,5.0,0.6,0.0,0.1,0.0,3.0,4.9,0.615,0.6,1.1,2.8,0.409,2.8,3.0,5.8,0.6,0.9,0.4,1.0,1.8,7.1,1989
21,Tony Campbell,SF,26.0,LAL,9.0,1.0,11.8,2.1,3.4,0.613,0.2,0.4,0.5,1.9,3.0,0.63,0.645,1.8,2.4,0.727,0.4,0.9,1.3,0.7,0.3,0.0,1.0,2.9,6.2,1989
22,Antoine Carr,PF,27.0,ATL,5.0,0.0,16.2,2.6,4.2,0.619,0.0,0.0,,2.6,4.2,0.619,0.619,1.6,2.2,0.727,1.0,0.6,1.6,1.4,0.0,0.8,0.8,2.6,6.8,1989
23,Bill Cartwright,C,31.0,CHI,17.0,17.0,34.3,4.2,8.7,0.486,0.0,0.0,,4.2,8.7,0.486,0.486,3.3,4.7,0.7,1.9,5.2,7.1,1.2,0.5,0.7,2.4,4.1,11.8,1989
24,Tom Chambers,PF,29.0,PHO,12.0,12.0,41.3,9.8,21.4,0.45899999999999996,0.8,1.8,0.409,9.1,19.6,0.46399999999999997,0.47700000000000004,5.6,6.5,0.8590000000000001,1.8,9.1,10.9,3.8,1.1,1.3,3.3,3.7,26.0,1989
25,Maurice Cheeks,PG,32.0,PHI,3.0,3.0,42.7,7.0,13.7,0.512,0.0,0.3,0.0,7.0,13.3,0.525,0.512,3.7,4.3,0.846,1.0,2.7,3.7,13.0,2.3,0.3,1.0,1.3,17.7,1989
26,Derrick Chievous,SF,21.0,HOU,4.0,0.0,10.0,1.3,4.3,0.294,0.0,0.0,,1.3,4.3,0.294,0.294,2.0,2.5,0.8,1.3,0.3,1.5,0.5,0.3,0.3,0.8,1.8,4.5,1989
27,Ben Coleman,PF,27.0,PHI,3.0,0.0,7.7,2.0,2.7,0.75,0.0,0.0,,2.0,2.7,0.75,0.75,0.7,0.7,1.0,0.7,1.0,1.7,0.0,0.3,0.0,0.3,2.7,4.7,1989
28,Darwin Cook,SG,30.0,DEN,3.0,3.0,22.0,4.0,8.0,0.5,0.3,0.7,0.5,3.7,7.3,0.5,0.521,2.0,2.0,1.0,0.7,3.7,4.3,3.7,1.0,0.0,1.3,4.0,10.3,1989
29,Michael Cooper,SG,32.0,LAL,15.0,4.0,27.6,2.5,5.9,0.41600000000000004,1.4,3.7,0.382,1.1,2.3,0.47100000000000003,0.534,1.3,1.6,0.833,0.6,2.1,2.7,4.7,0.6,0.5,1.1,2.5,7.7,1989
30,Wayne Cooper,C,32.0,DEN,3.0,3.0,14.7,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,1.3,3.0,4.3,0.7,0.3,0.7,0.0,3.3,4.0,1989
31,Tyrone Corbin,SF,26.0,PHO,12.0,12.0,25.8,3.8,7.2,0.523,0.0,0.0,,3.8,7.2,0.523,0.523,1.6,2.1,0.76,3.6,3.5,7.1,2.2,2.0,0.3,1.2,3.1,9.1,1989
32,Dave Corzine,C,32.0,CHI,16.0,0.0,13.7,1.7,4.0,0.42200000000000004,0.0,0.0,,1.7,4.0,0.42200000000000004,0.42200000000000004,0.7,1.1,0.647,0.9,1.7,2.6,0.6,0.3,0.4,0.7,1.7,4.1,1989
33,Terry Cummings,SF,27.0,MIL,5.0,4.0,24.8,5.0,13.8,0.36200000000000004,0.0,0.2,0.0,5.0,13.6,0.368,0.36200000000000004,2.8,3.2,0.875,3.8,2.8,6.6,1.4,0.6,0.0,0.8,3.2,12.8,1989
34,Brad Daugherty,C,23.0,CLE,5.0,5.0,33.4,3.4,9.4,0.36200000000000004,0.0,0.2,0.0,3.4,9.2,0.37,0.36200000000000004,4.2,7.0,0.6,2.4,6.8,9.2,2.4,1.2,1.0,1.2,3.6,11.0,1989
35,Charles Davis,SF,30.0,CHI,17.0,0.0,11.2,1.1,2.8,0.40399999999999997,0.1,0.4,0.16699999999999998,1.1,2.4,0.439,0.415,0.4,0.5,0.778,0.9,1.6,2.5,0.3,0.2,0.1,0.8,1.7,2.7,1989
36,Walter Davis,SG,34.0,DEN,3.0,0.0,31.3,10.3,20.0,0.517,0.0,1.3,0.0,10.3,18.7,0.5539999999999999,0.517,5.0,5.0,1.0,0.7,1.0,1.7,1.3,1.0,0.0,2.7,3.7,25.7,1989
