,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Malik Allen,PF,25.0,MIA,10.0,0.0,13.8,2.2,4.9,0.449,0.0,0.0,,2.2,4.9,0.449,0.449,0.6,0.9,0.667,1.2,1.8,3.0,0.4,0.2,0.9,0.4,2.1,5.0,2004
1,Rafer Alston,PG,27.0,MIA,13.0,0.0,22.7,2.2,7.0,0.319,0.9,4.0,0.231,1.3,3.0,0.436,0.385,1.6,1.9,0.84,0.3,1.9,2.2,1.7,0.4,0.1,0.8,1.7,7.0,2004
2,Chris Andersen,PF,25.0,DEN,5.0,0.0,6.8,0.6,1.8,0.33299999999999996,0.0,0.0,,0.6,1.8,0.33299999999999996,0.33299999999999996,0.0,0.0,,1.2,1.6,2.8,0.4,0.2,0.4,0.4,0.6,1.2,2004
3,Kenny Anderson,PG,33.0,IND,4.0,0.0,4.8,0.5,1.8,0.28600000000000003,0.0,0.0,,0.5,1.8,0.28600000000000003,0.28600000000000003,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,1.3,0.8,1.0,2004
4,Shandon Anderson,SG,30.0,NYK,4.0,4.0,29.3,1.8,6.8,0.259,0.5,1.8,0.28600000000000003,1.3,5.0,0.25,0.29600000000000004,0.3,0.5,0.5,1.3,1.0,2.3,2.8,1.0,0.3,2.0,4.8,4.3,2004
5,Carmelo Anthony,SF,19.0,DEN,4.0,4.0,35.8,5.3,16.0,0.32799999999999996,0.5,2.8,0.182,4.8,13.3,0.358,0.344,4.0,5.0,0.8,1.8,6.5,8.3,2.8,1.3,0.0,4.3,2.8,15.0,2004
6,Brandon Armstrong,SG,23.0,NJN,8.0,0.0,4.0,0.4,1.5,0.25,0.0,0.1,0.0,0.4,1.4,0.273,0.25,0.0,0.0,,0.1,0.1,0.3,0.4,0.1,0.0,0.0,0.5,0.8,2004
7,Darrell Armstrong,PG,35.0,NOH,7.0,0.0,21.4,1.1,4.9,0.235,0.7,3.6,0.2,0.4,1.3,0.33299999999999996,0.309,0.4,0.4,1.0,0.9,1.3,2.1,2.3,0.9,0.0,1.9,1.4,3.4,2004
8,Chucky Atkins,PG,29.0,BOS,4.0,4.0,33.3,4.3,9.8,0.436,0.8,2.5,0.3,3.5,7.3,0.483,0.474,4.3,4.8,0.895,0.8,2.8,3.5,3.8,0.8,0.0,2.5,0.5,13.5,2004
9,Stacey Augmon,SF,35.0,NOH,7.0,0.0,24.0,2.6,6.9,0.375,0.0,0.1,0.0,2.6,6.7,0.38299999999999995,0.375,2.3,2.6,0.889,0.6,2.1,2.7,1.0,0.9,0.1,1.9,1.9,7.4,2004
10,Vin Baker,PF,32.0,NYK,4.0,0.0,14.3,2.0,3.5,0.5710000000000001,0.0,0.0,,2.0,3.5,0.5710000000000001,0.5710000000000001,1.5,2.3,0.667,1.5,1.5,3.0,0.3,0.8,0.5,0.5,2.0,5.5,2004
11,Marcus Banks,PG,22.0,BOS,4.0,0.0,15.0,1.8,4.0,0.43799999999999994,0.5,1.3,0.4,1.3,2.8,0.455,0.5,1.0,1.0,1.0,0.3,1.5,1.8,1.8,0.5,0.3,0.8,2.3,5.0,2004
12,Dana Barros,SG,36.0,BOS,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004
13,Jon Barry,SG,34.0,DEN,5.0,1.0,20.0,1.6,4.8,0.33299999999999996,0.6,1.8,0.33299999999999996,1.0,3.0,0.33299999999999996,0.396,0.4,0.6,0.667,0.8,2.8,3.6,2.0,0.6,0.0,0.8,0.8,4.2,2004
14,Shane Battier,SF,25.0,MEM,4.0,0.0,17.3,1.5,3.8,0.4,0.8,1.8,0.429,0.8,2.0,0.375,0.5,1.0,1.5,0.667,1.5,1.5,3.0,0.3,0.0,0.3,1.0,4.3,4.8,2004
15,Jonathan Bender,SF,23.0,IND,16.0,0.0,12.5,1.8,4.3,0.406,0.6,1.6,0.36,1.2,2.8,0.43200000000000005,0.47100000000000003,0.8,1.0,0.75,0.6,1.1,1.8,0.4,0.1,0.9,0.8,1.2,4.8,2004
16,Mike Bibby,PG,25.0,SAC,12.0,12.0,41.4,7.0,16.3,0.429,2.0,4.6,0.436,5.0,11.8,0.426,0.49,4.0,4.6,0.873,0.8,3.4,4.2,7.0,1.9,0.4,2.9,3.3,20.0,2004
17,Chauncey Billups,PG,27.0,DET,23.0,23.0,38.3,4.8,12.4,0.385,1.6,4.7,0.34600000000000003,3.2,7.8,0.408,0.449,5.3,5.9,0.89,0.6,2.4,3.0,5.9,1.3,0.1,2.6,2.5,16.4,2004
18,Mark Blount,C,28.0,BOS,4.0,4.0,36.3,4.3,8.8,0.486,0.0,0.0,,4.3,8.8,0.486,0.486,3.5,4.8,0.737,2.5,6.8,9.3,1.0,1.5,2.0,2.3,4.3,12.0,2004
