,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
138,Ed Pinckney,PF,26.0,BOS,4.0,0.0,6.3,1.5,1.8,0.857,0.0,0.0,,1.5,1.8,0.857,0.857,1.8,2.3,0.778,0.5,1.0,1.5,0.0,0.0,0.0,0.5,0.8,4.8,1990
139,Scottie Pippen,SF,24.0,CHI,15.0,14.0,40.8,6.9,14.0,0.495,0.7,2.1,0.32299999999999995,6.3,11.9,0.525,0.519,4.7,6.7,0.71,2.2,5.0,7.2,5.5,2.1,1.3,3.3,4.1,19.3,1990
140,Terry Porter,PG,26.0,POR,21.0,21.0,38.8,6.0,13.0,0.46399999999999997,1.9,4.9,0.392,4.1,8.2,0.506,0.536,6.6,7.9,0.8420000000000001,0.4,2.5,2.9,7.4,1.3,0.1,3.0,2.4,20.6,1990
141,Paul Pressey,SG,31.0,MIL,4.0,2.0,32.3,4.8,11.0,0.43200000000000005,0.0,0.8,0.0,4.8,10.3,0.46299999999999997,0.43200000000000005,5.3,6.5,0.8079999999999999,2.0,3.3,5.3,7.5,1.5,0.3,1.8,3.5,14.8,1990
142,Mark Price,PG,25.0,CLE,5.0,5.0,38.4,6.4,12.2,0.525,1.2,3.4,0.353,5.2,8.8,0.591,0.574,6.0,6.0,1.0,0.0,2.8,2.8,8.8,1.8,0.2,3.0,1.8,20.0,1990
143,Brian Quinnett,SG,23.0,NYK,3.0,0.0,5.3,0.7,1.3,0.5,0.3,0.3,1.0,0.3,1.0,0.33299999999999996,0.625,0.0,0.0,,1.7,1.0,2.7,0.7,0.0,0.0,0.3,0.7,1.7,1990
144,Kurt Rambis,PF,31.0,PHO,16.0,16.0,24.1,1.5,3.4,0.444,0.0,0.1,0.0,1.5,3.3,0.45299999999999996,0.444,1.2,1.8,0.679,2.4,5.3,7.7,1.4,0.5,0.5,1.1,3.2,4.2,1990
145,Blair Rasmussen,C,27.0,DEN,3.0,0.0,28.0,6.3,16.0,0.396,0.0,0.0,,6.3,16.0,0.396,0.396,3.0,3.3,0.9,2.7,6.0,8.7,0.3,0.7,1.3,0.7,3.3,15.7,1990
147,Fred Roberts,PF,29.0,MIL,4.0,4.0,19.8,3.3,5.0,0.65,0.0,0.3,0.0,3.3,4.8,0.684,0.65,3.3,4.0,0.813,1.3,0.8,2.0,0.8,0.0,0.3,1.3,2.3,9.8,1990
148,Alvin Robertson,SG,27.0,MIL,4.0,4.0,38.8,8.8,16.8,0.522,0.0,0.3,0.0,8.8,16.5,0.53,0.522,6.0,8.5,0.706,2.5,3.3,5.8,4.8,2.3,0.0,3.8,4.0,23.5,1990
149,Clifford Robinson,PF,23.0,POR,21.0,6.0,18.6,2.6,7.2,0.358,0.0,0.2,0.0,2.6,7.0,0.36700000000000005,0.358,1.4,2.5,0.5579999999999999,1.5,2.6,4.1,1.1,0.9,1.1,1.2,3.4,6.5,1990
150,David Robinson,C,24.0,SAS,10.0,10.0,37.5,8.9,16.7,0.5329999999999999,0.0,0.0,,8.9,16.7,0.5329999999999999,0.5329999999999999,6.5,9.6,0.677,3.6,8.4,12.0,2.3,1.1,4.0,2.4,3.5,24.3,1990
151,Dennis Rodman,SF,28.0,DET,19.0,17.0,29.5,2.8,5.0,0.568,0.0,0.0,,2.8,5.0,0.568,0.568,0.9,1.8,0.514,2.9,5.6,8.5,0.9,0.5,0.7,1.6,3.3,6.6,1990
152,Tree Rollins,C,34.0,CLE,3.0,0.0,12.7,0.3,1.0,0.33299999999999996,0.0,0.0,,0.3,1.0,0.33299999999999996,0.33299999999999996,2.0,2.7,0.75,0.0,2.7,2.7,0.3,0.7,0.3,1.0,2.3,2.7,1990
153,Delaney Rudd,PG,27.0,UTA,5.0,0.0,9.0,1.6,4.6,0.348,0.2,1.4,0.14300000000000002,1.4,3.2,0.43799999999999994,0.37,0.2,0.4,0.5,0.2,0.4,0.6,2.6,0.2,0.0,0.6,2.0,3.6,1990
154,John Salley,PF,25.0,DET,20.0,0.0,27.4,2.9,6.1,0.475,0.0,0.0,,2.9,6.1,0.475,0.475,3.7,4.9,0.755,2.9,3.0,5.9,1.0,0.5,1.7,1.1,3.8,9.5,1990
155,Jeff Sanders,PF,24.0,CHI,3.0,0.0,1.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1990
156,Mike Sanders,SF,29.0,IND,3.0,0.0,8.0,1.7,3.7,0.455,0.3,0.3,1.0,1.3,3.3,0.4,0.5,0.0,0.0,,1.7,0.3,2.0,0.7,0.0,0.0,0.7,1.3,3.7,1990
157,Detlef Schrempf,PF,27.0,IND,3.0,3.0,41.7,7.7,15.7,0.489,0.0,1.0,0.0,7.7,14.7,0.523,0.489,5.0,5.3,0.938,1.7,5.7,7.3,1.7,0.7,0.3,3.3,4.3,20.3,1990
158,Byron Scott,SG,28.0,LAL,9.0,9.0,36.1,5.4,11.8,0.462,1.4,3.8,0.382,4.0,8.0,0.5,0.524,1.1,1.4,0.769,0.8,3.3,4.1,2.6,2.2,0.3,1.4,3.6,13.4,1990
159,Jack Sikma,C,34.0,MIL,4.0,4.0,29.3,1.5,5.8,0.261,0.5,1.8,0.28600000000000003,1.0,4.0,0.25,0.304,1.5,2.0,0.75,0.0,3.5,3.5,1.8,0.5,1.0,3.0,4.8,5.0,1990
160,Charles Smith,PG,22.0,BOS,3.0,0.0,3.0,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.0,0.0,,0.3,0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.7,1990
161,Derek Smith,SF,28.0,PHI,1.0,0.0,15.0,5.0,8.0,0.625,0.0,1.0,0.0,5.0,7.0,0.7140000000000001,0.625,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,11.0,1990
162,Larry Smith,PF,32.0,HOU,4.0,0.0,18.3,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.0,,1.8,1.5,3.3,1.3,1.0,0.0,1.3,2.8,3.0,1990
163,Michael Smith,PF,24.0,BOS,4.0,0.0,4.0,1.3,2.0,0.625,0.0,0.5,0.0,1.3,1.5,0.833,0.625,1.8,1.8,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,4.3,1990
164,Rik Smits,C,23.0,IND,3.0,3.0,32.0,4.7,9.3,0.5,0.0,0.0,,4.7,9.3,0.5,0.5,3.0,3.7,0.818,1.3,4.0,5.3,1.0,0.7,1.3,1.7,4.0,12.3,1990
165,John Stockton,PG,27.0,UTA,5.0,5.0,38.8,5.8,13.8,0.42,0.2,2.6,0.077,5.6,11.2,0.5,0.428,3.2,4.0,0.8,0.8,2.4,3.2,15.0,1.2,0.0,2.8,4.0,15.0,1990
166,Rod Strickland,PG,23.0,SAS,10.0,10.0,38.4,5.4,12.7,0.425,0.0,0.7,0.0,5.4,12.0,0.45,0.425,1.5,2.7,0.556,2.2,3.1,5.3,11.2,1.4,0.0,3.4,3.0,12.3,1990
168,Roy Tarpley,PF,25.0,DAL,3.0,3.0,43.0,7.3,15.3,0.478,0.0,0.3,0.0,7.3,15.0,0.489,0.478,2.0,4.0,0.5,3.0,12.3,15.3,0.3,2.3,3.3,3.0,4.0,16.7,1990
169,Isiah Thomas,PG,28.0,DET,20.0,20.0,37.9,7.4,16.0,0.46299999999999997,1.6,3.4,0.47100000000000003,5.8,12.6,0.46,0.513,4.1,5.1,0.794,1.1,4.4,5.5,8.2,2.2,0.4,3.6,3.3,20.5,1990
170,LaSalle Thompson,C,28.0,IND,3.0,0.0,18.0,2.3,5.0,0.467,0.0,0.0,,2.3,5.0,0.467,0.467,1.3,1.3,1.0,2.0,3.0,5.0,0.7,0.0,0.3,2.3,4.3,6.0,1990
171,Mychal Thompson,C,35.0,LAL,9.0,8.0,25.0,2.3,4.9,0.47700000000000004,0.0,0.0,,2.3,4.9,0.47700000000000004,0.47700000000000004,1.8,2.9,0.615,1.7,2.7,4.3,0.2,0.2,1.4,1.9,2.9,6.4,1990
172,Bob Thornton,PF,27.0,PHI,9.0,0.0,9.9,0.8,2.0,0.389,0.0,0.0,,0.8,2.0,0.389,0.389,0.6,1.1,0.5,1.2,0.4,1.7,0.4,0.2,0.1,0.2,2.4,2.1,1990
173,Otis Thorpe,PF,27.0,HOU,4.0,4.0,41.0,6.8,11.3,0.6,0.0,0.0,,6.8,11.3,0.6,0.6,6.5,9.5,0.684,3.5,4.8,8.3,1.8,1.3,0.0,2.3,3.0,20.0,1990
174,Trent Tucker,SG,30.0,NYK,10.0,0.0,17.8,2.2,5.5,0.4,1.0,2.7,0.37,1.2,2.8,0.429,0.491,0.6,0.6,1.0,0.5,0.9,1.4,2.0,1.0,0.0,0.6,1.9,6.0,1990
