,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Arron Afflalo,SG,22.0,DET,12.0,0.0,7.0,0.6,1.5,0.389,0.0,0.2,0.0,0.6,1.3,0.43799999999999994,0.389,0.0,0.0,,0.0,0.4,0.4,0.5,0.3,0.0,0.1,0.4,1.2,2008
1,Malik Allen,PF,29.0,DAL,3.0,0.0,6.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2008
2,Ray Allen,SG,32.0,BOS,26.0,26.0,38.0,5.1,12.0,0.428,2.1,5.3,0.396,3.0,6.6,0.45299999999999996,0.516,3.2,3.5,0.9129999999999999,1.0,2.8,3.8,2.7,0.9,0.3,1.5,2.4,15.6,2008
3,Tony Allen,SG,26.0,BOS,15.0,0.0,4.3,0.6,1.1,0.563,0.0,0.1,0.0,0.6,1.0,0.6,0.563,0.1,0.3,0.4,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.3,1.3,2008
4,Rafer Alston,PG,31.0,HOU,4.0,4.0,31.5,5.3,12.0,0.43799999999999994,2.8,6.3,0.44,2.5,5.8,0.435,0.552,1.0,1.3,0.8,0.5,1.0,1.5,4.5,1.0,0.0,1.5,1.8,14.3,2008
5,Lou Amundson,PF,25.0,PHI,2.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.5,1.0,3.5,0.0,0.0,0.0,0.0,1.0,2.5,2008
6,Carmelo Anthony,SF,23.0,DEN,4.0,4.0,36.5,8.0,22.0,0.364,0.5,2.0,0.25,7.5,20.0,0.375,0.375,6.0,7.3,0.828,4.8,4.8,9.5,2.0,0.5,0.3,3.0,4.3,22.5,2008
7,Gilbert Arenas,PG,26.0,WAS,4.0,2.0,23.5,3.5,9.0,0.389,1.3,3.0,0.41700000000000004,2.3,6.0,0.375,0.45799999999999996,2.5,3.0,0.833,0.0,1.8,1.8,2.8,0.5,0.0,2.0,3.3,10.8,2008
8,Trevor Ariza,SF,22.0,LAL,8.0,0.0,5.6,0.9,1.5,0.583,0.1,0.5,0.25,0.8,1.0,0.75,0.625,0.3,0.5,0.5,0.4,1.0,1.4,0.1,0.1,0.1,0.1,0.9,2.1,2008
9,Hilton Armstrong,C,23.0,NOH,8.0,0.0,9.0,1.0,1.6,0.615,0.0,0.0,,1.0,1.6,0.615,0.615,0.6,1.3,0.5,1.1,1.4,2.5,0.0,0.0,0.8,0.5,1.5,2.6,2008
10,Carlos Arroyo,PG,28.0,ORL,4.0,0.0,7.5,0.5,1.0,0.5,0.0,0.3,0.0,0.5,0.8,0.667,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.8,1.0,1.5,2008
11,Chucky Atkins,SG,33.0,DEN,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
12,James Augustine,PF,23.0,ORL,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2008
13,Leandro Barbosa,SG,25.0,PHO,5.0,1.0,28.6,3.8,11.0,0.345,0.8,3.6,0.222,3.0,7.4,0.405,0.382,2.0,2.2,0.909,0.4,3.6,4.0,1.8,0.6,0.0,0.8,2.0,10.4,2008
14,J.J. Barea,PG,23.0,DAL,1.0,0.0,5.0,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,2008
15,Andrea Bargnani,PF,22.0,TOR,5.0,5.0,20.8,2.6,7.8,0.33299999999999996,0.8,3.2,0.25,1.8,4.6,0.391,0.385,0.4,0.4,1.0,0.2,1.2,1.4,0.4,0.8,0.6,0.4,3.0,6.4,2008
16,Brent Barry,SF,36.0,SAS,16.0,0.0,14.2,1.6,3.3,0.491,1.2,2.6,0.46299999999999997,0.4,0.8,0.583,0.67,0.8,0.9,0.8,0.1,1.0,1.1,1.1,0.4,0.1,0.6,1.4,5.2,2008
17,Brandon Bass,C,22.0,DAL,5.0,0.0,26.6,3.4,7.2,0.47200000000000003,0.0,0.2,0.0,3.4,7.0,0.486,0.47200000000000003,4.8,5.0,0.96,4.0,2.8,6.8,0.4,0.6,0.6,0.6,2.4,11.6,2008
18,Maceo Baston,PF,32.0,TOR,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2008
19,Shane Battier,SF,29.0,HOU,6.0,6.0,41.0,3.3,7.5,0.444,2.0,4.2,0.48,1.3,3.3,0.4,0.578,1.3,1.8,0.727,1.2,2.7,3.8,0.5,1.0,0.8,1.3,3.2,10.0,2008
21,Raja Bell,SG,31.0,PHO,5.0,5.0,43.0,4.2,7.4,0.568,2.6,4.0,0.65,1.6,3.4,0.47100000000000003,0.743,2.6,3.2,0.813,1.2,4.4,5.6,2.2,0.4,0.2,1.0,3.8,13.6,2008
22,Mike Bibby,PG,29.0,ATL,7.0,7.0,36.0,3.1,9.3,0.33799999999999997,1.0,3.4,0.292,2.1,5.9,0.366,0.392,3.0,4.6,0.6559999999999999,0.4,2.7,3.1,3.1,0.6,0.3,1.9,1.7,10.3,2008
23,Chauncey Billups,PG,31.0,DET,15.0,15.0,32.0,4.6,11.5,0.401,1.6,4.3,0.375,3.0,7.2,0.41700000000000004,0.47100000000000003,5.3,6.3,0.8320000000000001,0.4,2.5,2.9,5.5,0.8,0.1,1.3,2.1,16.1,2008
24,Andray Blatche,PF,21.0,WAS,6.0,0.0,14.8,1.5,3.5,0.429,0.0,0.2,0.0,1.5,3.3,0.45,0.429,0.7,2.0,0.33299999999999996,1.2,2.2,3.3,0.2,0.3,1.0,0.8,2.5,3.7,2008
25,Keith Bogans,SG,27.0,ORL,10.0,0.0,29.3,2.5,6.8,0.368,1.5,4.5,0.33299999999999996,1.0,2.3,0.435,0.478,0.8,1.1,0.727,0.4,3.8,4.2,1.1,0.4,0.0,0.7,2.6,7.3,2008
26,Matt Bonner,PF,27.0,SAS,2.0,0.0,4.5,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2008
27,Carlos Boozer,PF,26.0,UTA,12.0,12.0,36.8,6.3,15.3,0.415,0.0,0.0,,6.3,15.3,0.415,0.415,3.3,4.7,0.7140000000000001,3.5,8.8,12.3,2.8,0.5,0.2,3.0,3.9,16.0,2008
28,Chris Bosh,C,23.0,TOR,5.0,5.0,39.8,8.4,17.8,0.47200000000000003,0.2,1.4,0.14300000000000002,8.2,16.4,0.5,0.478,7.0,8.4,0.833,4.0,5.0,9.0,3.6,1.6,0.4,2.6,3.8,24.0,2008
29,Bruce Bowen,SF,36.0,SAS,17.0,17.0,29.9,2.2,5.5,0.39799999999999996,1.3,3.2,0.40700000000000003,0.9,2.3,0.385,0.516,0.5,0.6,0.727,0.1,1.8,1.9,1.4,0.6,0.4,0.5,2.4,6.1,2008
30,Ryan Bowen,SF,32.0,NOH,9.0,0.0,4.3,0.1,0.7,0.16699999999999998,0.0,0.1,0.0,0.1,0.6,0.2,0.16699999999999998,0.2,0.2,1.0,0.3,1.2,1.6,0.2,0.1,0.0,0.1,0.1,0.4,2008
31,Ronnie Brewer,SG,22.0,UTA,12.0,12.0,25.4,4.3,8.2,0.52,0.1,0.5,0.16699999999999998,4.2,7.7,0.5429999999999999,0.526,1.6,2.1,0.76,1.4,1.8,3.2,1.6,1.0,0.3,0.3,2.4,10.2,2008
32,Aaron Brooks,PG,23.0,HOU,6.0,0.0,8.3,1.3,4.2,0.32,0.0,1.7,0.0,1.3,2.5,0.5329999999999999,0.32,1.5,1.8,0.818,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.8,4.2,2008
33,Devin Brown,SG,29.0,CLE,8.0,0.0,11.5,1.1,4.3,0.265,0.6,2.1,0.294,0.5,2.1,0.235,0.33799999999999997,1.3,1.9,0.667,1.0,1.4,2.4,1.1,0.3,0.0,1.1,1.3,4.1,2008
