,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,24,BOS,4,4,68,5.8,12.7,.458,0.0,0.0,,5.8,12.7,.458,0.0,0.0,,1.1,5.8,6.9,0.5,0.0,0.5,4.8,3.7,11.6
1,Rafael Addison,SF,28,NJN,5,0,53,4.8,14.3,.333,0.0,0.0,,4.8,14.3,.333,2.0,2.0,1.000,2.0,2.0,4.1,3.4,2.0,0.0,2.0,2.0,11.5
2,Danny Ainge,SG,33,PHO,24,0,591,3.9,10.4,.376,2.0,4.9,.413,1.9,5.5,.344,2.1,2.4,.872,1.2,2.4,3.7,3.4,0.7,0.1,1.3,3.7,11.9
3,Eric Anderson,PF,22,NYK,2,0,6,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,6.0,12.0,12.0
4,Willie Anderson,SG,26,SAS,10,0,219,6.1,13.5,.451,1.0,1.8,.545,5.1,11.7,.437,2.5,2.8,.882,0.7,3.1,3.8,4.6,1.5,0.3,2.0,3.8,15.6
5,Greg Anthony,PG,25,NYK,15,0,240,3.6,9.0,.400,0.5,2.1,.214,3.2,6.9,.457,1.2,2.1,.571,0.6,3.9,4.5,7.8,1.9,0.1,1.6,3.9,8.8
6,B.J. Armstrong,PG,25,CHI,19,19,643,4.9,9.4,.524,1.2,2.3,.512,3.8,7.1,.528,1.1,1.2,.909,0.3,1.2,1.6,3.5,1.1,0.1,0.8,2.7,12.1
7,Vincent Askew,SG,26,SEA,12,0,103,8.0,14.3,.561,0.0,0.0,,8.0,14.3,.561,5.6,8.0,.696,3.5,3.1,6.6,3.1,0.3,0.3,2.4,4.2,21.7
8,Stacey Augmon,SG,24,ATL,3,3,93,5.4,12.0,.452,0.0,0.0,,5.4,12.0,.452,3.1,4.6,.667,1.2,1.9,3.1,1.9,1.5,0.0,1.5,2.7,13.9
9,Isaac Austin,C,23,UTA,1,0,3,12.0,24.0,.500,0.0,0.0,,12.0,24.0,.500,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,12.0,0.0,12.0,24.0
10,Charles Barkley*,PF,29,PHO,24,24,1026,8.1,16.9,.477,0.4,1.6,.222,7.7,15.3,.503,5.9,7.6,.771,3.3,8.2,11.4,3.6,1.4,0.9,1.8,2.6,22.4
11,Dana Barros,PG,25,SEA,16,0,136,5.8,12.4,.468,1.3,4.2,.313,4.5,8.2,.548,1.6,2.1,.750,0.0,3.2,3.2,3.2,1.3,0.0,2.1,1.6,14.6
12,John Battle,SG,30,CLE,1,0,6,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,12.0,12.0,0.0
13,Tony Bennett,PG,23,CHH,8,0,86,5.0,10.5,.480,1.7,3.3,.500,3.3,7.1,.471,0.8,0.8,1.000,0.4,3.3,3.8,5.4,0.8,0.4,2.1,3.3,12.6
14,David Benoit,SF,24,UTA,5,5,136,3.4,10.9,.317,0.5,2.4,.222,2.9,8.5,.344,2.4,3.4,.692,1.9,4.5,6.4,1.3,0.8,1.6,0.5,4.5,9.8
15,Rolando Blackman,SG,33,NYK,15,0,214,3.7,10.8,.344,0.7,2.5,.267,3.0,8.2,.367,2.5,3.0,.833,0.7,2.2,2.9,2.7,0.5,0.3,3.5,3.7,10.6
16,Mookie Blaylock,PG,25,ATL,3,3,99,3.3,9.1,.360,1.5,4.4,.333,1.8,4.7,.385,1.8,2.2,.833,0.7,4.0,4.7,4.7,1.1,1.5,4.0,3.3,9.8
17,Muggsy Bogues,PG,28,CHH,9,9,346,4.1,8.5,.476,0.0,0.2,.000,4.1,8.3,.488,1.0,1.5,.714,0.6,3.1,3.7,7.3,2.5,0.0,1.8,2.2,9.2
18,Sam Bowie,C,31,NJN,3,3,71,2.0,4.6,.444,0.0,0.0,,2.0,4.6,.444,1.0,1.0,1.000,1.0,5.1,6.1,1.0,3.0,0.5,2.0,4.6,5.1
19,Terrell Brandon,PG,22,CLE,8,0,132,5.5,12.5,.435,0.5,1.4,.400,4.9,11.2,.439,2.5,2.5,1.000,1.1,3.5,4.6,4.6,1.9,0.8,3.8,1.6,13.9
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Randy Breuer,C,32,ATL,1,0,17,2.1,8.5,.250,0.0,0.0,,2.1,8.5,.250,0.0,0.0,,2.1,2.1,4.2,2.1,0.0,2.1,0.0,4.2,4.2
22,Scott Brooks,PG,27,HOU,12,0,197,2.9,7.7,.381,0.9,2.4,.385,2.0,5.3,.379,1.8,2.4,.769,0.2,1.6,1.8,5.7,1.6,0.0,2.4,3.8,8.6
23,Chucky Brown,SF,24,NJN,4,0,62,5.2,12.8,.409,0.0,0.0,,5.2,12.8,.409,3.5,4.1,.857,1.7,3.5,5.2,0.6,1.7,1.7,1.2,1.2,13.9
24,Dee Brown,PG,24,BOS,4,3,133,4.1,11.1,.366,0.3,1.9,.143,3.8,9.2,.412,3.8,3.8,1.000,0.5,1.1,1.6,4.1,0.5,1.1,1.6,3.0,12.2
25,Mike Brown,C,29,UTA,5,0,93,5.0,9.7,.520,0.0,0.0,,5.0,9.7,.520,2.7,4.3,.636,1.5,4.6,6.2,0.8,0.0,0.4,1.9,3.5,12.8
