,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,20,OKC,18,0,331,3.4,4.9,.689,0.0,0.0,,3.4,4.9,.689,0.9,2.5,.348,2.4,5.7,8.0,0.4,0.1,2.6,1.1,5.2,7.6
1,LaMarcus Aldridge,PF,28,POR,11,11,441,9.2,20.4,.452,0.2,0.2,.667,9.1,20.2,.449,4.9,6.1,.800,2.4,7.1,9.6,1.3,0.6,1.5,1.6,3.3,23.5
2,Lavoy Allen,PF,24,IND,4,0,15,4.8,9.6,.500,0.0,0.0,,4.8,9.6,.500,0.0,0.0,,2.4,9.6,12.0,2.4,0.0,0.0,0.0,2.4,9.6
3,Ray Allen*,SG,38,MIA,20,1,527,4.0,9.8,.413,2.3,5.8,.388,1.8,4.0,.448,2.3,2.5,.919,0.9,3.7,4.6,2.2,1.0,0.3,1.6,2.8,12.6
4,Tony Allen,SG,32,MEM,7,1,230,5.5,11.3,.486,0.0,1.1,.000,5.5,10.2,.538,2.5,3.3,.762,3.6,4.9,8.5,1.6,1.9,0.2,1.9,3.6,13.5
5,Chris Andersen,C,35,MIA,18,0,317,3.7,6.5,.579,0.0,0.1,.000,3.7,6.4,.589,3.0,4.3,.684,3.0,9.2,12.2,0.6,0.6,2.0,1.0,3.9,10.4
6,Alan Anderson,SF,31,BRK,12,2,261,3.4,8.6,.403,1.2,4.3,.290,2.2,4.3,.516,1.7,2.5,.667,1.4,3.0,4.4,2.1,1.4,0.0,1.4,4.4,9.8
7,Pero Antić,C,31,ATL,7,7,170,1.5,8.9,.167,0.6,5.3,.120,0.8,3.6,.235,1.1,1.7,.625,2.1,3.6,5.7,1.1,1.1,0.6,1.7,5.5,4.7
8,Trevor Ariza,SF,28,WAS,11,11,407,4.6,9.6,.481,2.2,5.0,.446,2.4,4.6,.519,1.9,2.4,.778,1.9,6.8,8.7,1.7,1.5,0.4,1.2,2.3,13.3
9,Hilton Armstrong,C,29,GSW,7,0,17,8.5,16.9,.500,0.0,2.1,.000,8.5,14.8,.571,0.0,4.2,.000,6.4,2.1,8.5,4.2,0.0,4.2,8.5,12.7,16.9
10,Ömer Aşık,C,27,HOU,6,4,163,3.5,7.3,.485,0.0,0.0,,3.5,7.3,.485,0.7,0.7,1.000,4.6,6.2,10.8,0.9,0.7,0.9,2.4,6.4,7.7
11,D.J. Augustin,PG,26,CHI,5,0,141,5.4,18.4,.292,1.8,6.6,.269,3.6,11.7,.304,4.3,4.9,.895,1.0,1.0,2.0,6.1,0.8,0.0,2.3,4.1,16.9
12,Jeff Ayres,PF,26,SAS,17,0,65,3.3,7.2,.462,0.0,0.0,,3.3,7.2,.462,2.8,4.4,.625,3.3,7.2,10.5,2.8,0.0,0.0,0.6,3.3,9.4
13,Harrison Barnes,SF,21,GSW,7,0,156,4.4,11.1,.396,1.8,4.8,.381,2.5,6.2,.407,2.1,3.7,.563,1.6,4.8,6.5,1.8,0.2,0.7,1.2,3.0,12.7
14,Matt Barnes,SF,33,LAC,13,13,404,4.0,9.5,.421,1.7,5.3,.317,2.3,4.2,.553,1.2,1.7,.684,2.0,3.2,5.2,2.0,1.1,0.3,1.5,3.7,10.9
15,Will Barton,SG,23,POR,7,0,81,7.6,15.1,.500,2.7,4.9,.545,4.9,10.2,.478,2.2,2.7,.833,2.2,3.1,5.3,1.3,0.4,0.9,2.7,3.1,20.0
16,Shane Battier,SF,35,MIA,16,6,202,2.1,4.6,.462,1.6,3.6,.450,0.5,1.1,.500,0.7,0.9,.800,0.2,1.6,1.8,0.9,0.9,0.2,0.9,4.1,6.6
17,Nicolas Batum,SF,25,POR,11,11,459,5.3,11.1,.472,1.6,4.7,.350,3.6,6.4,.561,0.9,1.2,.800,0.8,5.8,6.6,4.2,1.1,0.4,2.2,1.6,13.1
18,Aron Baynes,C,27,SAS,14,0,101,4.3,8.6,.500,0.0,0.4,.000,4.3,8.2,.522,2.9,3.6,.800,4.3,6.8,11.0,0.0,1.1,0.0,2.5,5.3,11.4
19,Bradley Beal,SG,20,WAS,11,11,458,5.9,13.9,.424,1.7,4.2,.415,4.2,9.7,.427,3.1,3.9,.796,1.2,3.1,4.3,3.9,1.4,0.6,1.8,2.4,16.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Michael Beasley,SF,25,MIA,4,0,23,7.8,15.7,.500,0.0,0.0,,7.8,15.7,.500,1.6,4.7,.333,3.1,3.1,6.3,3.1,0.0,0.0,1.6,4.7,17.2
22,Marco Belinelli,SF,27,SAS,23,0,356,4.4,10.0,.444,1.6,3.8,.421,2.8,6.2,.459,2.1,2.2,.955,0.4,4.9,5.3,1.9,0.3,0.0,1.2,2.3,12.6
23,Patrick Beverley,PG,25,HOU,6,6,202,3.4,8.9,.380,1.2,3.9,.318,2.1,5.0,.429,1.2,1.8,.700,2.3,2.1,4.5,2.0,0.5,0.4,0.7,3.7,9.3
24,Bismack Biyombo,C,21,CHA,3,1,48,2.3,3.7,.600,0.0,0.0,,2.3,3.7,.600,1.5,4.5,.333,3.7,4.5,8.2,0.7,0.0,1.5,0.0,3.0,6.0
25,DeJuan Blair,PF,24,DAL,6,0,81,7.1,12.0,.593,0.0,0.0,,7.1,12.0,.593,3.6,5.8,.615,6.2,10.2,16.4,0.4,5.3,0.0,2.2,6.2,17.8
26,Steve Blake,PG,33,GSW,6,0,45,3.2,9.6,.333,2.4,8.0,.300,0.8,1.6,.500,0.0,0.8,.000,0.8,2.4,3.2,1.6,0.0,0.0,1.6,1.6,8.8
27,Andray Blatche,PF,27,BRK,12,0,172,5.4,12.1,.448,0.0,0.4,.000,5.4,11.7,.464,5.2,6.3,.833,5.2,7.3,12.6,0.8,1.3,0.4,2.1,4.6,16.1
