,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Álex Abrines,SG,23,OKC,5,0,80,3.6,10.4,.348,2.3,7.7,.294,1.4,2.7,.500,1.4,1.8,.750,0.9,3.2,4.1,1.8,0.0,0.0,0.0,3.6,10.8
1,Steven Adams,C,23,OKC,5,5,157,4.1,6.4,.643,0.0,0.0,,4.1,6.4,.643,0.9,2.5,.364,3.9,3.9,7.8,1.6,1.4,2.1,0.9,3.2,9.2
2,LaMarcus Aldridge,PF,31,SAS,16,16,537,7.4,16.1,.458,0.1,0.9,.143,7.2,15.2,.478,2.8,3.7,.764,2.9,5.1,8.0,1.6,0.7,1.1,1.9,2.7,17.7
3,Lavoy Allen,PF,27,IND,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.5,6.5,0.0,0.0,0.0,3.3,0.0,0.0
4,Al-Farouq Aminu,PF,26,POR,4,0,113,5.4,11.8,.459,2.2,5.4,.412,3.2,6.4,.500,2.2,3.5,.636,1.6,6.7,8.3,1.3,1.0,1.3,2.9,2.9,15.3
5,Kyle Anderson,SF,23,SAS,15,1,195,6.6,11.8,.563,0.6,1.8,.300,6.1,10.0,.611,1.5,2.0,.727,2.2,6.3,8.5,4.6,1.8,0.4,1.3,1.5,15.3
6,Ryan Anderson,PF,28,HOU,11,9,336,3.9,9.9,.391,1.8,6.4,.283,2.0,3.4,.594,1.5,1.7,.875,1.6,4.5,6.1,0.7,0.4,0.2,1.0,2.6,11.0
7,Giannis Antetokounmpo,SF,22,MIL,6,6,243,8.9,16.6,.536,0.6,1.5,.400,8.3,15.1,.549,3.7,6.8,.543,1.5,7.0,8.4,3.6,1.9,1.5,3.0,3.1,22.1
8,Joel Anthony,C,34,SAS,3,0,15,7.2,9.6,.750,0.0,0.0,,7.2,9.6,.750,0.0,2.4,.000,4.8,4.8,9.6,0.0,0.0,4.8,2.4,4.8,14.4
9,Trevor Ariza,SF,31,HOU,11,11,413,3.6,8.5,.423,2.0,5.3,.377,1.6,3.1,.500,1.1,1.2,.929,0.7,4.2,4.9,2.0,1.2,0.2,0.8,2.2,10.3
10,Wade Baldwin,PG,20,MEM,3,0,12,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,6.0,6.0,1.000,3.0,9.0,12.0,6.0,0.0,0.0,0.0,9.0,6.0
11,Matt Barnes,SF,36,GSW,12,0,61,2.4,8.9,.267,0.6,4.7,.125,1.8,4.1,.429,0.0,0.0,,0.0,5.3,5.3,4.1,1.2,0.0,1.8,5.3,5.3
12,Brandon Bass,PF,31,LAC,1,0,4,9.0,27.0,.333,0.0,0.0,,9.0,27.0,.333,0.0,0.0,,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,18.0
13,Kent Bazemore,SF,27,ATL,6,0,150,5.0,12.7,.396,1.7,5.8,.292,3.4,7.0,.483,2.4,3.4,.714,1.0,4.6,5.5,4.8,1.0,1.2,3.8,3.6,14.2
14,Bradley Beal,SG,23,WAS,13,13,505,8.7,18.5,.471,2.1,7.2,.287,6.6,11.3,.589,3.6,4.3,.820,1.1,2.1,3.1,2.5,1.5,0.6,1.9,2.7,23.0
15,Michael Beasley,PF,28,MIL,4,0,48,5.2,15.0,.350,2.3,3.7,.600,3.0,11.3,.267,0.0,3.0,.000,1.5,5.2,6.8,0.7,0.7,0.7,1.5,6.0,12.7
16,Dāvis Bertāns,PF,24,SAS,13,0,112,3.9,8.7,.444,2.6,6.4,.400,1.3,2.3,.571,1.3,1.9,.667,1.6,4.8,6.4,1.0,1.0,1.3,1.9,2.3,11.6
