,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Victor Alexander,C,32,DET,1,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Derek Anderson,SG,27,POR,3,0,76,6.2,14.2,.433,0.9,2.8,.333,5.2,11.4,.458,7.6,8.5,.889,1.4,1.9,3.3,3.3,0.9,0.0,2.8,0.5,20.8
2,Kenny Anderson,PG,31,BOS,16,16,560,5.3,12.7,.416,0.0,0.0,,5.3,12.7,.416,1.8,2.3,.800,0.8,2.4,3.2,4.9,1.4,0.0,1.8,3.7,12.3
3,Darrell Armstrong,PG,33,ORL,4,4,158,4.6,9.6,.476,0.9,3.9,.235,3.6,5.7,.640,3.9,4.8,.810,0.7,1.8,2.5,3.0,1.1,0.0,1.6,3.2,13.9
4,Chucky Atkins,PG,27,DET,10,10,294,5.3,14.4,.364,1.7,4.8,.359,3.6,9.7,.367,1.6,2.1,.765,0.6,2.3,2.9,4.2,0.7,0.1,1.7,3.1,13.8
5,Stacey Augmon,SG,33,CHH,9,0,152,3.8,9.7,.390,0.0,0.0,,3.8,9.7,.390,3.8,5.0,.762,1.7,4.7,6.4,3.1,2.4,0.2,2.8,5.0,11.4
6,Vin Baker,C,30,SEA,5,4,144,7.2,14.5,.500,0.2,0.2,1.000,7.0,14.2,.491,1.7,2.3,.778,2.7,3.5,6.2,1.0,0.7,1.5,1.0,5.7,16.5
7,Dana Barros,PG,34,DET,4,0,6,6.0,18.0,.333,0.0,6.0,.000,6.0,12.0,.500,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,12.0
8,Brent Barry,SG,30,SEA,5,5,149,3.4,8.2,.412,1.7,3.9,.438,1.7,4.3,.389,1.0,1.0,1.000,1.4,4.1,5.6,3.4,0.7,1.0,2.2,2.9,9.4
9,Jon Barry,SG,32,DET,10,0,177,5.9,12.4,.475,3.5,7.7,.447,2.4,4.7,.522,1.0,1.6,.625,0.8,3.3,4.1,4.3,1.0,0.2,3.9,2.8,16.3
10,Tony Battie,C,25,BOS,16,16,443,3.4,7.0,.488,0.0,0.0,,3.4,7.0,.488,1.1,1.7,.619,3.2,6.7,9.8,1.1,0.8,2.4,0.9,4.1,7.9
11,Raja Bell,SG,25,PHI,3,0,8,4.5,13.5,.333,0.0,9.0,.000,4.5,4.5,1.000,0.0,0.0,,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,9.0
12,Jonathan Bender,SF,21,IND,5,0,45,2.4,4.8,.500,0.0,0.8,.000,2.4,4.0,.600,0.0,0.0,,0.0,3.2,3.2,1.6,1.6,2.4,4.0,4.8,4.8
13,Mike Bibby,PG,23,SAC,16,16,661,6.2,14.0,.444,1.4,3.2,.424,4.8,10.8,.449,3.9,4.7,.826,0.8,2.5,3.3,4.4,1.3,0.2,2.0,1.6,17.6
14,Chauncey Billups,PG,25,MIN,3,3,134,6.2,13.7,.451,1.6,4.0,.400,4.6,9.7,.472,3.8,5.4,.700,0.3,3.8,4.0,4.6,0.8,0.3,2.4,3.8,17.7
15,Corie Blount,PF,33,PHI,5,0,88,0.8,3.3,.250,0.0,0.0,,0.8,3.3,.250,1.2,1.6,.750,4.1,1.6,5.7,0.8,0.8,0.8,1.6,3.7,2.9
16,Mark Blount,C,26,BOS,4,0,39,1.8,3.7,.500,0.0,0.0,,1.8,3.7,.500,1.8,1.8,1.000,2.8,3.7,6.5,0.9,1.8,1.8,0.9,6.5,5.5
17,Bruce Bowen,SF,30,SAS,10,10,345,2.6,6.4,.410,1.1,2.6,.440,1.5,3.8,.389,0.7,1.5,.500,0.9,2.5,3.4,1.5,1.1,0.7,0.7,2.9,7.1
18,Michael Bradley,PF,22,TOR,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0
19,Shawn Bradley,C,29,DAL,7,0,25,4.3,8.6,.500,0.0,0.0,,4.3,8.6,.500,0.0,0.0,,1.4,5.8,7.2,0.0,0.0,1.4,1.4,13.0,8.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jamison Brewer,SG,21,IND,2,0,6,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,6.0,12.0,.500,12.0,12.0,24.0,6.0,0.0,0.0,6.0,18.0,6.0
22,Chucky Brown,SF,33,SAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0
23,Kedrick Brown,SF,20,BOS,2,0,3,24.0,24.0,1.000,12.0,12.0,1.000,12.0,12.0,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,60.0
24,P.J. Brown,C,32,CHH,9,9,331,3.5,8.2,.427,0.0,0.0,,3.5,8.2,.427,3.0,4.0,.757,3.2,6.2,9.4,1.5,0.7,1.3,0.9,4.0,10.0
25,Rick Brunson,PG,29,POR,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Kobe Bryant*,SG,23,LAL,19,19,833,8.1,18.6,.434,1.0,2.5,.379,7.1,16.1,.442,4.8,6.3,.759,1.2,3.6,4.8,3.8,1.2,0.7,2.3,2.8,21.9
27,Mark Bryant,PF,36,SAS,9,4,91,3.6,7.9,.450,0.0,0.0,,3.6,7.9,.450,1.2,2.4,.500,3.2,1.6,4.7,0.4,0.4,0.8,0.4,5.5,8.3
28,Greg Buckner,SG,25,DAL,7,0,105,4.1,8.6,.480,0.0,0.3,.000,4.1,8.2,.500,1.0,1.4,.750,4.5,4.5,8.9,1.4,1.0,0.3,1.0,5.1,9.3
29,Jud Buechler,SF,33,ORL,2,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.6,3.6,3.6,3.6,0.0,0.0,0.0,0.0
30,Elden Campbell,PF,33,CHH,9,9,254,6.9,15.6,.445,0.0,0.1,.000,6.9,15.4,.450,3.4,4.8,.706,2.0,6.5,8.5,2.3,0.9,3.3,2.4,4.8,17.3
31,Chris Childs,PG,34,TOR,5,4,163,4.6,11.9,.389,1.8,3.8,.471,2.9,8.2,.351,2.0,2.2,.900,0.4,3.8,4.2,8.2,0.9,0.0,4.4,3.3,13.0
32,Doug Christie,SG,31,SAC,16,16,644,3.0,7.4,.409,1.0,3.6,.266,2.1,3.8,.544,2.9,3.6,.800,1.1,4.1,5.1,4.4,1.8,0.5,2.5,3.6,9.9
33,Keon Clark,C,26,TOR,5,5,174,5.4,9.9,.542,0.0,0.0,,5.4,9.9,.542,3.1,3.3,.938,2.9,5.4,8.3,1.7,0.4,1.7,2.9,3.9,13.9
34,Speedy Claxton,PG,23,PHI,5,0,49,2.9,8.8,.333,0.0,0.7,.000,2.9,8.1,.364,2.9,4.4,.667,0.7,0.0,0.7,10.3,3.7,0.0,2.2,5.9,8.8
35,Derrick Coleman,PF,34,PHI,5,5,191,4.1,7.9,.524,0.8,2.5,.308,3.4,5.5,.621,3.0,3.8,.800,2.8,5.8,8.7,1.9,0.2,1.3,0.9,1.9,12.1
36,Jarron Collins,C,23,UTA,4,4,47,7.7,13.8,.556,0.0,0.0,,7.7,13.8,.556,1.5,1.5,1.000,3.1,2.3,5.4,0.0,0.0,0.0,3.1,8.4,16.9
37,Jason Collins,C,23,NJN,17,0,227,1.9,5.2,.364,0.0,0.0,,1.9,5.2,.364,4.0,6.0,.658,3.8,2.7,6.5,1.1,0.8,1.0,1.9,7.6,7.8
38,Austin Croshere,PF,26,IND,4,0,59,4.9,12.2,.400,1.2,3.7,.333,3.7,8.5,.429,3.7,4.9,.750,2.4,6.1,8.5,1.2,0.6,0.6,3.7,4.3,14.6
39,Vonteego Cummings,PG,25,PHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Dell Curry,SG,37,TOR,4,0,59,6.1,15.3,.400,2.4,3.1,.800,3.7,12.2,.300,2.4,2.4,1.000,0.0,3.1,3.1,2.4,3.1,1.2,1.8,2.4,17.1
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Michael Curry,SG,33,DET,10,10,221,3.6,6.4,.564,0.8,2.1,.385,2.8,4.2,.654,1.3,1.8,.727,0.2,2.1,2.3,2.0,0.7,0.0,0.8,5.2,9.3
43,Antonio Daniels,SG,26,SAS,10,0,224,5.6,12.4,.455,1.0,2.6,.375,4.7,9.8,.475,3.1,3.5,.864,0.5,3.9,4.3,2.4,1.1,0.5,0.8,2.1,15.3
44,Antonio Davis,PF,33,TOR,5,5,202,6.1,13.4,.453,0.0,0.0,,6.1,13.4,.453,3.0,5.0,.607,2.9,6.6,9.4,1.2,0.4,0.9,1.8,3.0,15.1
45,Baron Davis,PG,22,CHH,9,9,401,6.4,16.9,.378,1.9,5.6,.339,4.5,11.3,.397,3.6,6.0,.597,1.4,4.2,5.7,6.4,2.9,0.4,2.4,3.2,18.2
46,Dale Davis,C,32,POR,3,3,70,1.5,5.7,.273,0.0,0.0,,1.5,5.7,.273,0.5,1.0,.500,3.1,7.2,10.3,2.1,2.1,1.5,1.0,8.2,3.6
47,Andrew DeClercq,C,28,ORL,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0
48,Tony Delk,SG,28,BOS,14,0,227,3.6,10.3,.354,2.1,5.2,.394,1.6,5.1,.313,1.1,1.9,.583,1.3,4.1,5.4,2.5,1.3,0.8,2.4,2.1,10.5
49,Vlade Divac*,C,33,SAC,16,16,535,4.7,10.2,.464,0.1,0.5,.286,4.6,9.7,.472,5.0,6.6,.755,3.1,6.9,10.0,1.8,1.2,1.3,2.5,5.1,14.5
50,Bryce Drew,PG,27,CHH,2,0,5,7.2,7.2,1.000,0.0,0.0,,7.2,7.2,1.000,0.0,0.0,,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,14.4
51,Predrag Drobnjak,C,26,SEA,3,1,38,3.8,11.4,.333,0.0,0.0,,3.8,11.4,.333,1.9,3.8,.500,2.8,4.7,7.6,1.9,0.9,0.0,0.9,1.9,9.5
52,Chris Dudley,C,36,POR,2,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,0.0,,0.0,24.0,24.0,0.0,0.0,0.0,12.0,12.0,0.0
53,Tim Duncan*,PF,25,SAS,9,9,380,7.8,17.1,.453,0.1,0.3,.333,7.7,16.9,.455,7.9,9.6,.822,2.7,9.7,12.3,4.3,0.6,3.7,3.5,2.1,23.5
54,Evan Eschmeyer,C,26,DAL,3,0,8,0.0,4.5,.000,0.0,0.0,,0.0,4.5,.000,0.0,0.0,,4.5,4.5,9.0,4.5,0.0,4.5,0.0,9.0,0.0
55,Patrick Ewing*,C,39,ORL,4,0,67,4.3,13.4,.320,0.0,0.5,.000,4.3,12.9,.333,5.4,9.1,.588,2.7,9.1,11.8,2.1,0.5,2.1,1.1,6.4,14.0
56,Danny Ferry,SF,35,SAS,10,0,155,2.3,7.7,.303,1.6,4.6,.350,0.7,3.0,.231,0.2,0.9,.250,1.2,3.5,4.6,1.9,0.0,0.2,0.5,4.4,6.5
57,Michael Finley,SF,28,DAL,8,8,373,6.7,14.3,.466,1.4,3.6,.378,5.3,10.7,.495,4.3,4.8,.900,1.3,3.6,4.8,1.7,1.2,0.4,1.4,2.3,19.0
58,Derek Fisher,PG,27,LAL,19,19,649,3.3,9.3,.357,1.6,4.5,.358,1.7,4.8,.356,2.4,3.1,.786,0.6,2.9,3.4,2.9,1.1,0.1,1.1,2.7,10.7
59,Jeff Foster,C,25,IND,5,0,78,3.2,6.0,.538,0.9,1.8,.500,2.3,4.2,.556,1.8,4.2,.444,2.3,8.8,11.1,3.2,1.4,0.5,4.2,6.0,9.2
60,Rick Fox,SF,32,LAL,19,19,652,3.7,7.7,.482,0.8,2.4,.349,2.9,5.3,.542,2.0,2.7,.755,1.3,4.3,5.6,3.5,1.2,0.3,2.5,3.9,10.3
61,Lawrence Funderburke,PF,31,SAC,5,0,20,3.6,5.4,.667,0.0,0.0,,3.6,5.4,.667,3.6,3.6,1.000,1.8,1.8,3.6,0.0,0.0,0.0,0.0,9.0,10.8
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kevin Garnett*,PF,25,MIN,3,3,130,6.6,15.5,.429,0.3,0.6,.500,6.4,15.0,.426,6.4,8.9,.719,4.4,11.1,15.5,4.2,1.4,1.4,3.3,3.0,19.9
64,Pat Garrity,PF,25,ORL,4,4,147,2.9,7.8,.375,1.7,4.4,.389,1.2,3.4,.357,0.7,1.0,.750,1.0,6.4,7.3,2.2,0.5,0.2,0.7,4.4,8.3
65,Devean George,SF,24,LAL,19,0,327,4.2,11.4,.365,0.9,3.9,.229,3.3,7.6,.435,1.2,1.7,.733,2.6,4.8,7.5,1.2,1.2,1.1,1.3,5.6,10.5
66,Horace Grant,C,36,ORL,4,4,127,2.3,6.2,.364,0.0,0.0,,2.3,6.2,.364,0.6,0.6,1.000,2.3,6.5,8.8,2.6,0.9,0.3,0.6,2.0,5.1
67,Adrian Griffin,SG,27,DAL,4,1,57,6.3,10.7,.588,0.0,1.3,.000,6.3,9.5,.667,0.0,1.3,.000,1.3,4.4,5.7,2.5,1.3,0.6,1.9,3.8,12.6
68,Matt Harpring,SF,25,PHI,5,5,119,6.7,13.3,.500,0.0,0.0,,6.7,13.3,.500,2.1,2.7,.778,3.9,3.9,7.9,2.1,1.5,0.0,1.5,3.6,15.4
69,Lucious Harris,SG,31,NJN,20,0,418,5.6,11.5,.489,0.7,1.9,.364,4.9,9.6,.514,3.4,4.0,.830,1.1,3.5,4.7,1.6,1.1,0.0,1.4,2.5,15.2
70,Kirk Haston,PF,22,CHH,2,0,4,9.0,9.0,1.000,0.0,0.0,,9.0,9.0,1.000,0.0,0.0,,0.0,9.0,9.0,0.0,9.0,0.0,0.0,9.0,18.0
71,Robert Horry,PF,31,LAL,19,14,703,3.1,7.0,.449,1.2,3.2,.387,1.9,3.8,.500,1.5,1.9,.789,1.8,6.0,7.9,3.1,1.7,0.8,1.5,3.4,9.0
72,Troy Hudson,PG,25,ORL,4,0,106,6.1,16.3,.375,0.0,1.7,.000,6.1,14.6,.419,5.1,5.4,.938,0.0,1.4,1.4,2.0,0.0,0.0,2.7,1.4,17.3
73,Lindsey Hunter,PG,31,LAL,18,0,132,3.8,12.3,.311,2.2,7.9,.276,1.6,4.4,.375,0.0,0.0,,0.5,1.4,1.9,2.7,0.5,0.0,1.4,5.2,9.8
74,Allen Iverson*,SG,26,PHI,5,5,209,7.8,20.3,.381,1.6,4.7,.333,6.2,15.7,.396,8.8,10.9,.810,0.2,2.9,3.1,3.6,2.2,0.0,2.1,1.4,25.8
75,Bobby Jackson,PG,28,SAC,16,1,374,6.3,14.1,.445,1.1,4.1,.256,5.2,9.9,.524,3.3,4.1,.791,1.4,3.6,5.0,3.1,1.3,0.3,1.7,3.0,16.8
76,Jaren Jackson,SG,34,ORL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,7.2,21.6,0.0
77,Jermaine Jackson,SG,25,TOR,4,0,12,6.0,9.0,.667,0.0,0.0,,6.0,9.0,.667,6.0,18.0,.333,0.0,3.0,3.0,0.0,0.0,0.0,9.0,6.0,18.0
78,Marc Jackson,C,27,MIN,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
79,Jerome James,C,26,SEA,5,1,70,4.6,11.8,.391,0.0,0.0,,4.6,11.8,.391,0.0,1.0,.000,2.1,4.1,6.2,2.1,0.0,2.6,2.1,9.3,9.3
80,Richard Jefferson,SF,21,NJN,20,0,441,4.3,9.3,.465,0.0,0.2,.000,4.3,9.1,.473,2.7,4.9,.550,1.3,6.2,7.5,2.0,0.9,0.7,2.1,3.3,11.3
81,Anthony Johnson,SG,27,NJN,19,0,161,4.5,11.9,.377,0.2,2.2,.100,4.2,9.6,.442,2.0,2.5,.818,0.4,2.7,3.1,4.7,1.3,0.0,1.8,5.4,11.2
