,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Arron Afflalo,SG,23,DET,4,0,66,5.5,11.5,.476,1.1,5.5,.200,4.4,6.0,.727,1.6,2.7,.600,0.5,1.1,1.6,0.5,0.0,1.1,1.6,4.9,13.6
1,LaMarcus Aldridge,PF,23,POR,6,6,237,7.7,15.8,.490,0.2,0.6,.250,7.6,15.2,.500,2.1,3.0,.700,1.4,5.5,6.8,1.2,0.5,1.5,1.5,2.4,17.8
2,Ray Allen*,SG,33,BOS,14,14,565,5.3,13.1,.403,2.2,6.4,.350,3.1,6.8,.453,3.5,3.7,.948,0.8,2.7,3.5,2.4,1.0,0.3,1.6,2.2,16.3
3,Tony Allen,SG,27,BOS,10,0,60,2.4,4.8,.500,0.0,0.0,,2.4,4.8,.500,0.6,0.6,1.000,0.6,4.8,5.4,1.8,1.2,0.0,0.6,2.4,5.4
4,Rafer Alston,PG,32,ORL,23,23,740,5.2,13.6,.380,1.8,5.5,.319,3.4,8.1,.422,1.6,2.1,.750,0.1,2.6,2.7,4.6,1.6,0.2,1.9,2.6,13.7
5,Chris Andersen,C,30,DEN,15,0,328,3.7,5.9,.630,0.0,0.1,.000,3.7,5.8,.642,3.2,4.8,.659,3.2,7.2,10.4,1.0,0.5,3.5,0.9,4.6,10.6
6,Carmelo Anthony,SF,24,DEN,16,16,612,8.6,18.9,.453,1.4,3.9,.364,7.2,15.1,.477,7.0,8.5,.826,1.5,3.9,5.5,3.8,1.6,0.6,2.2,3.5,25.6
7,Joel Anthony,C,26,MIA,6,2,88,1.6,2.0,.800,0.0,0.0,,1.6,2.0,.800,0.8,0.8,1.000,3.7,4.1,7.8,0.8,0.0,2.9,0.4,3.7,4.1
8,Trevor Ariza,SF,23,LAL,23,23,722,4.6,9.2,.497,2.0,4.2,.476,2.6,5.0,.515,1.8,3.2,.563,1.1,3.7,4.8,2.7,1.8,0.5,1.9,3.6,13.0
9,Hilton Armstrong,C,24,NOH,4,1,53,4.1,8.8,.462,0.0,0.0,,4.1,8.8,.462,2.0,6.8,.300,2.0,3.4,5.4,0.7,2.7,0.7,4.1,10.2,10.2
10,Renaldo Balkman,PF,24,DEN,8,0,20,3.6,10.8,.333,0.0,1.8,.000,3.6,9.0,.400,0.0,0.0,,3.6,3.6,7.2,1.8,7.2,0.0,0.0,5.4,7.2
11,J.J. Barea,SG,24,DAL,10,4,221,5.0,11.6,.437,0.8,2.6,.313,4.2,9.0,.473,1.5,2.1,.692,0.5,2.8,3.3,5.5,0.5,0.0,1.0,2.1,12.4
12,Brent Barry,SG,37,HOU,4,0,35,5.1,10.3,.500,3.1,8.2,.375,2.1,2.1,1.000,0.0,0.0,,0.0,4.1,4.1,3.1,2.1,0.0,4.1,3.1,13.4
13,Brandon Bass,C,23,DAL,10,0,192,6.2,11.3,.550,0.0,0.0,,6.2,11.3,.550,5.2,5.8,.903,2.4,5.2,7.7,1.3,1.3,0.7,0.7,4.1,17.6
14,Tony Battie,PF,32,ORL,21,0,128,5.9,12.7,.467,0.0,0.0,,5.9,12.7,.467,0.8,1.4,.600,2.0,3.7,5.6,0.6,0.0,0.8,0.6,3.4,12.7
15,Shane Battier,SG,30,HOU,13,13,496,2.4,5.9,.407,1.2,3.9,.315,1.2,2.0,.593,1.6,1.7,.957,1.5,3.1,4.6,2.3,1.0,0.7,1.1,2.4,7.6
16,Nicolas Batum,SF,20,POR,6,5,63,2.9,5.1,.556,1.1,2.3,.500,1.7,2.9,.600,0.0,0.0,,0.6,1.1,1.7,0.6,0.6,1.1,1.7,4.0,6.9
17,Jerryd Bayless,PG,20,POR,2,0,11,6.5,19.6,.333,0.0,3.3,.000,6.5,16.4,.400,6.5,9.8,.667,0.0,3.3,3.3,0.0,0.0,3.3,3.3,0.0,19.6
18,Michael Beasley,PF,20,MIA,7,0,178,6.9,17.8,.386,0.8,2.6,.308,6.1,15.2,.400,2.6,3.4,.765,2.0,8.3,10.3,1.4,0.4,1.4,2.2,2.8,17.2
19,Mike Bibby,PG,30,ATL,11,11,390,4.5,9.8,.462,2.4,4.4,.542,2.1,5.4,.397,1.9,2.0,.955,0.6,2.9,3.4,4.2,0.9,0.2,2.2,3.1,13.4
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Chauncey Billups,PG,32,DEN,16,16,619,5.2,11.5,.457,2.6,5.5,.468,2.7,6.0,.447,6.2,6.8,.906,0.3,3.3,3.5,6.3,1.2,0.2,1.8,2.2,19.2
