,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Hassan Adams,SG,22,NJN,6,0,9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0
1,Maurice Ager,SG,22,DAL,3,0,24,7.5,13.5,.556,3.0,4.5,.667,4.5,9.0,.500,4.5,9.0,.500,1.5,3.0,4.5,0.0,0.0,0.0,0.0,4.5,22.5
2,Malik Allen,PF,28,CHI,5,0,34,2.1,12.7,.167,0.0,0.0,,2.1,12.7,.167,0.0,0.0,,4.2,3.2,7.4,1.1,1.1,1.1,3.2,7.4,4.2
3,Rafer Alston,PG,30,HOU,7,7,309,2.9,8.6,.338,1.9,5.8,.320,1.0,2.8,.375,1.2,1.5,.769,0.7,4.9,5.6,4.1,1.5,0.3,2.0,2.7,8.9
4,Carmelo Anthony,SF,22,DEN,5,5,210,8.1,16.8,.480,1.5,3.1,.500,6.5,13.7,.475,5.3,6.7,.795,3.1,4.3,7.4,1.0,0.9,0.0,3.3,2.1,23.0
5,Rafael Araújo,C,26,UTA,5,0,28,3.9,10.3,.375,0.0,0.0,,3.9,10.3,.375,6.4,15.4,.417,3.9,10.3,14.1,1.3,1.3,0.0,0.0,10.3,14.1
6,Trevor Ariza,SG,21,ORL,4,0,47,3.8,12.3,.313,0.0,0.0,,3.8,12.3,.313,0.8,3.1,.250,3.8,3.1,6.9,3.8,0.8,0.0,3.1,6.9,8.4
7,Carlos Arroyo,PG,27,ORL,3,0,40,4.5,12.6,.357,0.0,1.8,.000,4.5,10.8,.417,1.8,1.8,1.000,1.8,2.7,4.5,5.4,0.9,0.0,0.9,3.6,10.8
8,Kelenna Azubuike,SG,23,GSW,6,0,15,2.4,7.2,.333,0.0,2.4,.000,2.4,4.8,.500,4.8,4.8,1.000,2.4,7.2,9.6,0.0,2.4,0.0,0.0,2.4,9.6
9,Marcus Banks,PG,25,PHO,2,0,7,0.0,10.3,.000,0.0,5.1,.000,0.0,5.1,.000,10.3,10.3,1.000,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,10.3
10,Leandro Barbosa,SG,24,PHO,11,1,349,6.6,16.3,.405,1.9,6.1,.305,4.7,10.2,.465,2.9,4.0,.718,0.7,3.2,3.9,2.5,1.2,0.2,2.3,3.1,17.9
11,J.J. Barea,PG,22,DAL,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Andrea Bargnani,PF,21,TOR,6,3,181,4.4,9.1,.478,1.4,3.4,.412,3.0,5.8,.517,3.0,3.8,.789,0.6,4.2,4.8,1.2,1.0,0.6,1.4,3.2,13.1
13,Matt Barnes,PF,26,GSW,11,3,330,4.9,10.9,.450,2.1,4.9,.422,2.8,6.0,.473,1.4,2.0,.722,2.8,4.0,6.9,2.8,1.7,0.4,2.2,4.8,13.3
14,Brent Barry,SG,35,SAS,19,0,225,3.4,9.6,.350,2.4,7.8,.306,1.0,1.8,.545,0.3,0.3,1.000,0.6,3.4,4.0,3.4,0.6,0.3,1.8,2.7,9.4
15,Tony Battie,PF,30,ORL,4,4,87,2.9,7.4,.389,0.0,0.0,,2.9,7.4,.389,0.4,1.7,.250,1.2,5.4,6.6,0.4,0.0,0.0,0.0,5.0,6.2
16,Shane Battier,SF,28,HOU,7,7,272,3.0,6.8,.451,2.5,5.7,.442,0.5,1.1,.500,0.9,1.1,.875,0.4,2.0,2.4,2.0,1.6,0.9,1.1,2.6,9.5
17,Raja Bell,SG,30,PHO,11,11,438,3.3,7.2,.460,1.6,3.7,.444,1.6,3.5,.476,1.0,1.2,.857,0.5,2.2,2.7,1.6,0.8,0.2,1.2,3.3,9.2
18,Andris Biedriņš,C,20,GSW,11,8,267,3.6,5.0,.730,0.0,0.0,,3.6,5.0,.730,2.2,4.0,.533,2.6,6.7,9.3,0.7,1.1,2.3,1.2,3.9,9.4
19,Chauncey Billups,PG,30,DET,16,16,649,4.7,10.7,.435,1.9,5.0,.389,2.7,5.7,.476,5.2,6.3,.832,0.4,2.6,2.9,5.0,1.1,0.1,2.6,2.2,16.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Steve Blake,PG,26,DEN,5,5,180,2.8,6.2,.452,1.6,3.2,.500,1.2,3.0,.400,0.0,0.0,,0.2,2.2,2.4,4.6,0.6,0.0,2.0,1.6,7.2
22,Andray Blatche,PF,20,WAS,2,0,25,5.8,8.6,.667,0.0,0.0,,5.8,8.6,.667,1.4,1.4,1.000,4.3,5.8,10.1,0.0,0.0,0.0,1.4,2.9,13.0
23,Matt Bonner,PF,26,SAS,9,0,25,2.9,10.1,.286,1.4,5.8,.250,1.4,4.3,.333,2.9,2.9,1.000,2.9,1.4,4.3,0.0,2.9,0.0,4.3,8.6,10.1
24,Josh Boone,PF,22,NJN,12,0,118,3.7,7.3,.500,0.0,0.0,,3.7,7.3,.500,3.7,7.3,.500,2.1,3.7,5.8,0.9,0.3,0.9,0.9,4.9,11.0
25,Calvin Booth,C,30,WAS,1,0,18,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,0.0,0.0,,4.0,4.0,8.0,2.0,2.0,0.0,2.0,6.0,8.0
26,Carlos Boozer,PF,25,UTA,17,17,654,8.9,16.6,.536,0.0,0.0,,8.9,16.6,.536,4.2,5.7,.738,3.0,8.4,11.4,2.8,0.9,0.3,2.8,2.9,22.0
27,Chris Bosh,C,22,TOR,6,6,222,5.8,14.8,.396,0.2,0.8,.200,5.7,13.9,.407,5.2,6.2,.842,1.1,7.6,8.8,2.4,0.8,1.8,1.9,3.1,17.0
28,Bruce Bowen,SF,35,SAS,20,20,689,2.5,6.2,.395,1.7,3.9,.446,0.7,2.4,.311,0.2,0.3,.500,0.6,3.6,4.2,1.4,1.5,0.2,0.7,2.8,6.8
29,Ronnie Brewer,SG,21,UTA,8,0,41,5.3,8.8,.600,0.0,0.0,,5.3,8.8,.600,6.1,11.4,.538,1.8,3.5,5.3,1.8,0.9,0.0,1.8,2.6,16.7
30,Dee Brown,PG,22,UTA,8,0,52,4.2,11.8,.353,0.0,4.2,.000,4.2,7.6,.545,0.7,2.8,.250,0.7,1.4,2.1,6.2,0.0,0.0,2.8,0.7,9.0
31,Kwame Brown,C,24,LAL,5,5,133,5.1,9.7,.528,0.0,0.0,,5.1,9.7,.528,1.4,2.4,.556,3.5,4.1,7.6,0.3,0.3,1.1,2.4,4.3,11.6
32,P.J. Brown,PF,37,CHI,10,10,228,5.2,10.6,.493,0.0,0.0,,5.2,10.6,.493,2.7,3.6,.739,2.7,4.7,7.4,1.9,1.3,0.3,1.3,4.6,13.1
33,Shannon Brown,SG,21,CLE,1,0,0,,,,,,,,,,,,,,,,,,,,,
34,Kobe Bryant*,SG,28,LAL,5,5,215,10.0,21.8,.462,1.7,4.7,.357,8.4,17.1,.490,5.7,6.2,.919,0.2,4.2,4.4,3.7,0.8,0.3,3.7,1.7,27.5
35,Greg Buckner,SG,30,DAL,6,0,44,0.0,5.7,.000,0.0,3.3,.000,0.0,2.5,.000,0.8,1.6,.500,1.6,3.3,4.9,1.6,1.6,0.8,1.6,5.7,0.8
36,Pat Burke,C,33,PHO,3,0,7,5.1,10.3,.500,0.0,0.0,,5.1,10.3,.500,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,5.1,0.0,15.4,10.3
37,Andrew Bynum,C,19,LAL,5,0,55,5.2,9.8,.533,0.0,0.0,,5.2,9.8,.533,2.6,6.5,.400,5.2,9.8,15.1,0.0,0.0,1.3,1.3,4.6,13.1
38,José Calderón,PG,25,TOR,6,1,146,8.6,17.0,.507,0.7,3.0,.250,7.9,14.1,.561,1.2,1.5,.833,0.5,2.0,2.5,7.9,1.2,0.0,3.7,3.0,19.2
39,Marcus Camby,C,32,DEN,5,5,184,3.3,8.8,.378,0.0,0.0,,3.3,8.8,.378,0.8,1.2,.667,2.3,12.1,14.5,2.0,0.8,3.1,2.0,2.7,7.4
40,Anthony Carter,PG,31,DEN,1,0,14,10.3,10.3,1.000,0.0,0.0,,10.3,10.3,1.000,0.0,2.6,.000,0.0,2.6,2.6,5.1,0.0,0.0,2.6,5.1,20.6
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Vince Carter,SG,30,NJN,12,12,487,6.9,17.4,.396,1.6,4.0,.389,5.3,13.4,.398,4.5,6.5,.693,1.3,4.8,6.1,4.7,0.8,0.5,2.8,2.6,19.8
43,Jarron Collins,C,28,UTA,13,0,110,1.0,2.9,.333,0.0,0.0,,1.0,2.9,.333,2.9,5.6,.529,2.6,3.9,6.5,1.6,1.3,0.0,0.3,6.9,4.9
44,Jason Collins,PF,28,NJN,12,12,329,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,0.4,1.2,.364,1.8,2.6,4.4,0.2,0.8,0.3,1.8,4.9,3.1
45,Brian Cook,PF,26,LAL,5,0,51,4.2,12.7,.333,2.1,4.9,.429,2.1,7.8,.273,2.1,2.1,1.000,1.4,2.8,4.2,0.0,0.0,0.7,1.4,9.2,12.7
46,Austin Croshere,PF,31,DAL,3,0,34,4.2,12.7,.333,3.2,4.2,.750,1.1,8.5,.125,4.2,4.2,1.000,3.2,3.2,6.4,0.0,0.0,0.0,2.1,5.3,15.9
47,Erick Dampier,C,31,DAL,5,2,38,1.9,2.8,.667,0.0,0.0,,1.9,2.8,.667,0.9,1.9,.500,8.5,7.6,16.1,0.9,0.0,0.0,3.8,8.5,4.7
48,Antonio Daniels,SG,31,WAS,4,4,176,3.5,7.8,.447,0.2,1.0,.200,3.3,6.8,.485,3.7,4.3,.857,0.4,3.3,3.7,9.6,1.0,0.2,1.4,0.8,10.8
49,Baron Davis,PG,27,GSW,11,11,445,7.9,15.5,.513,2.0,5.4,.373,5.9,10.0,.589,4.6,6.0,.770,0.9,3.2,4.0,5.8,2.6,0.6,2.6,3.7,22.5
50,Dale Davis,C,37,DET,8,0,51,2.1,5.6,.375,0.0,0.0,,2.1,5.6,.375,1.4,2.8,.500,3.5,4.9,8.5,0.7,1.4,1.4,1.4,9.9,5.6
51,Carlos Delfino,SG,24,DET,16,0,135,4.0,9.9,.405,0.8,4.3,.188,3.2,5.6,.571,1.1,1.6,.667,1.6,4.0,5.6,2.1,1.3,0.3,1.9,3.5,9.9
52,Luol Deng,SF,21,CHI,10,10,410,7.7,14.8,.524,0.0,0.1,.000,7.7,14.7,.527,4.0,5.0,.807,2.6,5.0,7.6,2.1,0.9,0.6,2.0,1.9,19.5
53,Boris Diaw,PF,24,PHO,10,0,235,4.3,9.0,.475,0.0,0.9,.000,4.3,8.1,.528,1.5,2.3,.667,2.0,2.9,4.9,4.6,1.1,0.3,2.6,2.8,10.1
54,Yakhouba Diawara,SG,24,DEN,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,DeSagana Diop,C,25,DAL,6,3,140,2.3,3.9,.600,0.0,0.0,,2.3,3.9,.600,0.8,1.8,.429,4.1,6.4,10.5,0.5,0.8,2.6,1.0,5.4,5.4
56,Juan Dixon,SG,28,TOR,6,0,63,4.6,12.0,.381,1.1,4.6,.250,3.4,7.4,.462,0.0,0.0,,0.0,2.3,2.3,1.7,4.0,0.0,5.7,3.4,10.3
57,Michael Doleac,C,29,MIA,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Keyon Dooling,SG,26,ORL,4,0,65,6.6,13.8,.480,0.6,1.7,.333,6.1,12.2,.500,2.2,3.3,.667,0.6,3.3,3.9,2.8,1.1,0.6,1.1,3.9,16.1
59,Chris Duhon,PG,24,CHI,9,0,172,1.9,6.5,.290,1.3,4.0,.316,0.6,2.5,.250,1.7,2.1,.800,0.6,2.7,3.3,4.4,0.6,0.2,1.5,2.5,6.7
60,Tim Duncan*,C,30,SAS,20,20,736,8.5,16.3,.521,0.0,0.0,,8.5,16.3,.521,4.7,7.3,.644,3.6,7.6,11.2,3.2,0.6,3.0,2.9,2.9,21.7
61,Monta Ellis,SG,21,GSW,11,6,238,4.8,12.4,.390,0.2,1.4,.111,4.7,11.0,.425,3.5,4.2,.821,1.2,2.6,3.8,1.5,1.5,0.3,3.0,3.5,13.3
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Francisco Elson,C,30,SAS,20,8,230,4.1,6.9,.591,0.0,0.2,.000,4.1,6.7,.605,2.2,3.1,.700,3.4,6.3,9.7,0.3,1.3,0.9,3.0,6.4,10.3
64,Maurice Evans,SG,28,LAL,5,0,82,4.4,11.4,.385,2.2,5.7,.385,2.2,5.7,.385,0.0,0.0,,1.3,2.2,3.5,1.3,0.9,0.0,0.0,1.8,11.0
65,Jordan Farmar,PG,20,LAL,5,5,114,3.8,8.8,.429,0.6,3.2,.200,3.2,5.7,.556,1.9,2.2,.857,0.3,4.1,4.4,2.5,1.9,0.3,1.6,2.8,10.1
66,Michael Finley,SF,33,SAS,20,20,538,4.9,11.9,.410,2.9,7.0,.419,1.9,4.9,.397,2.3,2.6,.897,0.5,3.3,3.9,1.5,0.7,0.3,0.9,1.9,15.1
67,Derek Fisher,SG,32,UTA,16,14,445,4.0,9.8,.405,1.0,2.6,.375,3.0,7.2,.416,3.4,3.6,.933,0.3,1.7,2.0,3.4,1.3,0.2,1.5,4.1,12.3
68,T.J. Ford,PG,23,TOR,6,5,136,9.8,20.1,.487,1.3,2.6,.500,8.5,17.5,.485,4.5,5.6,.810,1.3,1.3,2.6,6.4,1.9,0.5,3.7,1.9,25.4
69,Adonal Foyle,C,31,GSW,3,0,6,6.0,6.0,1.000,0.0,0.0,,6.0,6.0,1.000,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
70,Devean George,SF,29,DAL,6,1,109,1.7,8.3,.200,1.0,4.0,.250,0.7,4.3,.154,2.6,3.3,.800,1.3,4.6,5.9,1.3,2.0,0.7,2.3,4.0,6.9
71,Daniel Gibson,PG,20,CLE,20,2,402,4.5,10.4,.431,2.4,5.9,.409,2.1,4.5,.460,3.4,3.9,.884,0.8,2.1,2.9,1.9,1.1,0.4,0.8,3.0,14.8
72,Manu Ginóbili,SG,29,SAS,20,0,602,5.9,14.8,.401,2.3,5.9,.384,3.6,8.9,.412,5.8,6.9,.836,1.0,5.6,6.5,4.4,2.0,0.2,2.5,3.6,19.9
73,Gordan Giriček,SG,29,UTA,17,3,307,4.5,10.7,.418,1.6,3.0,.538,2.8,7.6,.369,1.6,1.9,.875,0.5,2.8,3.3,2.0,0.4,0.2,2.6,4.3,12.2
74,Drew Gooden,PF,25,CLE,20,20,605,5.9,12.0,.493,0.0,0.1,.000,5.9,11.8,.497,1.8,2.3,.769,2.9,6.6,9.5,1.2,0.6,0.5,1.6,3.7,13.6
75,Ben Gordon,SG,23,CHI,10,10,395,5.6,13.4,.415,2.2,5.0,.436,3.4,8.4,.402,5.3,5.7,.921,0.8,2.6,3.5,3.5,0.8,0.1,3.1,3.1,18.6
76,Joey Graham,SF,24,TOR,6,3,109,2.0,6.9,.286,0.0,0.3,.000,2.0,6.6,.300,1.3,1.7,.800,0.3,6.3,6.6,0.7,1.3,0.0,2.0,4.0,5.3
77,Adrian Griffin,SF,32,CHI,4,0,9,0.0,24.0,.000,0.0,0.0,,0.0,24.0,.000,0.0,0.0,,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0
78,Richard Hamilton,SG,28,DET,16,16,638,6.1,14.2,.429,0.5,1.1,.400,5.6,13.1,.431,4.3,5.0,.865,1.8,2.1,3.9,3.4,0.8,0.1,1.7,3.4,17.0
79,Matt Harpring,SF,30,UTA,17,0,433,5.2,11.3,.456,0.0,0.3,.000,5.2,11.0,.470,2.8,3.9,.723,2.7,4.1,6.8,1.9,0.6,0.2,1.8,3.4,13.1
80,Al Harrington,PF,26,GSW,11,5,262,5.4,13.5,.398,2.1,5.2,.395,3.3,8.2,.400,2.6,4.1,.633,2.3,4.7,7.0,0.8,0.7,1.0,1.4,5.5,15.4
81,Devin Harris,PG,23,DAL,6,6,163,6.8,13.9,.492,0.7,2.2,.300,6.2,11.7,.528,3.1,4.2,.737,0.2,2.4,2.7,6.6,1.3,0.2,2.0,5.1,17.4
82,Udonis Haslem,PF,26,MIA,4,4,103,4.2,8.7,.480,0.0,0.0,,4.2,8.7,.480,2.1,2.8,.750,1.4,5.9,7.3,1.4,0.3,0.7,0.7,4.9,10.5
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Chuck Hayes,PF,23,HOU,7,7,197,2.2,3.1,.706,0.0,0.2,.000,2.2,2.9,.750,0.4,0.9,.400,2.6,5.7,8.2,0.5,1.6,0.5,1.3,4.0,4.8
85,Jarvis Hayes,SF,25,WAS,4,4,139,3.9,11.9,.326,1.8,4.9,.368,2.1,7.0,.296,1.6,1.8,.857,1.0,2.6,3.6,1.0,0.5,0.3,0.0,3.1,11.1
