,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,22,OKC,18,18,553,4.4,7.2,.613,0.0,0.1,.000,4.4,7.2,.618,3.0,4.8,.630,4.0,7.1,11.1,0.8,0.6,0.9,1.1,3.6,11.8
1,Cole Aldrich,C,27,LAC,6,0,77,4.7,7.0,.667,0.0,0.0,,4.7,7.0,.667,1.4,2.8,.500,3.7,10.3,14.0,1.4,2.8,1.4,0.9,5.1,10.8
2,LaMarcus Aldridge,PF,30,SAS,10,10,337,9.4,18.1,.521,0.2,0.2,1.000,9.2,17.8,.515,4.4,4.9,.891,2.4,6.5,8.9,1.1,0.4,1.5,1.2,1.9,23.4
3,Lavoy Allen,PF,26,IND,6,3,51,2.1,7.1,.300,0.0,0.0,,2.1,7.1,.300,0.0,0.0,,2.8,7.1,9.9,1.4,0.7,0.7,0.7,1.4,4.2
4,Tony Allen,SG,34,MEM,4,2,94,3.8,12.6,.303,0.4,2.7,.143,3.4,10.0,.346,3.4,5.0,.692,2.3,1.9,4.2,1.1,1.9,0.8,2.3,4.2,11.5
5,Al-Farouq Aminu,SF,25,POR,11,11,372,5.4,12.4,.438,2.7,6.8,.400,2.7,5.6,.483,2.0,2.8,.724,2.2,7.0,9.2,1.9,0.8,1.0,2.0,3.0,15.6
6,Chris Andersen,C,37,MEM,4,2,79,2.3,5.5,.417,0.0,0.0,,2.3,5.5,.417,2.3,3.6,.625,5.9,8.2,14.1,1.4,0.9,1.4,2.3,1.8,6.8
7,Justin Anderson,SF,22,DAL,5,1,95,6.4,14.0,.459,1.5,4.9,.308,4.9,9.1,.542,3.4,5.3,.643,3.4,4.2,7.6,2.7,1.5,1.1,1.9,4.5,17.8
8,Kyle Anderson,SF,22,SAS,10,0,129,2.2,7.0,.320,0.3,0.8,.333,2.0,6.1,.318,1.7,2.0,.857,0.6,6.1,6.7,2.0,1.7,0.8,1.1,3.1,6.4
9,Trevor Ariza,SF,30,HOU,5,5,181,2.6,10.1,.255,0.8,5.6,.143,1.8,4.6,.391,0.6,0.8,.750,1.4,2.8,4.2,0.8,2.6,0.2,2.4,3.2,6.6
10,Jeff Ayres,C,28,LAC,2,0,2,18.0,18.0,1.000,0.0,0.0,,18.0,18.0,1.000,18.0,18.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
11,Leandro Barbosa,SG,33,GSW,23,0,254,7.2,12.5,.580,1.6,4.0,.393,5.7,8.5,.667,2.3,3.0,.762,1.6,2.3,3.8,2.1,1.6,0.1,1.6,3.4,18.3
12,J.J. Barea,PG,31,DAL,4,2,100,4.0,12.2,.324,0.4,2.9,.125,3.6,9.4,.385,0.7,0.7,1.000,0.0,2.2,2.2,7.2,0.0,0.0,4.0,2.9,9.0
13,Harrison Barnes,SF,23,GSW,24,23,743,4.0,10.3,.385,1.3,3.7,.342,2.7,6.6,.409,1.3,1.6,.765,1.3,4.1,5.4,1.5,0.8,0.2,0.9,2.2,10.5
14,Matt Barnes,SF,35,MEM,4,4,139,4.1,11.9,.348,0.8,4.7,.167,3.4,7.3,.464,2.1,2.6,.800,1.3,6.2,7.5,2.8,1.0,0.3,3.4,3.4,11.1
15,Nicolas Batum,SF,27,CHO,5,2,144,4.2,11.3,.378,1.5,5.5,.273,2.7,5.7,.478,4.2,5.0,.850,0.5,4.0,4.5,2.5,0.5,0.0,2.0,1.5,14.2
16,Aron Baynes,C,29,DET,4,0,44,3.3,7.4,.444,0.0,0.0,,3.3,7.4,.444,1.6,2.5,.667,2.5,4.1,6.5,1.6,0.0,0.0,2.5,3.3,8.2
17,Kent Bazemore,SF,26,ATL,10,10,325,4.9,13.4,.364,1.8,6.8,.262,3.1,6.6,.467,1.7,2.4,.682,0.9,6.4,7.3,2.1,1.7,0.7,1.1,1.6,13.2
18,Michael Beasley,PF,27,HOU,5,0,80,9.9,20.7,.478,0.9,2.7,.333,9.0,18.0,.500,2.7,3.2,.857,1.8,7.7,9.5,1.4,0.5,0.0,3.2,3.6,23.4
19,Patrick Beverley,PG,27,HOU,5,5,129,2.8,10.3,.270,0.8,3.9,.214,2.0,6.4,.304,1.7,1.7,1.000,1.1,5.0,6.1,3.1,0.6,0.6,1.1,4.7,8.1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bismack Biyombo,C,23,TOR,20,10,506,2.8,4.9,.580,0.0,0.0,,2.8,4.9,.580,3.1,5.1,.597,3.8,9.5,13.3,0.6,0.6,1.9,1.5,3.4,8.8
22,Steve Blake,PG,35,DET,4,0,43,0.8,4.2,.200,0.8,1.7,.500,0.0,2.5,.000,0.8,1.7,.500,0.0,3.3,3.3,8.4,0.0,0.0,4.2,5.9,3.3
23,Andrew Bogut,C,31,GSW,22,22,365,4.7,7.6,.623,0.0,0.2,.000,4.7,7.4,.640,0.5,1.4,.357,4.6,7.7,12.3,3.0,1.4,3.5,1.9,7.1,10.0
24,Avery Bradley,SG,25,BOS,1,1,33,7.6,17.5,.438,1.1,7.6,.143,6.5,9.8,.667,3.3,3.3,1.000,2.2,1.1,3.3,1.1,1.1,1.1,1.1,2.2,19.6
25,Corey Brewer,SF,29,HOU,5,1,77,3.3,12.6,.259,0.5,4.7,.100,2.8,7.9,.353,3.3,3.7,.875,1.4,1.9,3.3,3.7,0.0,0.5,2.8,6.1,10.3
26,Reggie Bullock,SF,24,DET,2,0,22,8.2,9.8,.833,3.3,4.9,.667,4.9,4.9,1.000,0.0,0.0,,0.0,3.3,3.3,4.9,1.6,0.0,0.0,3.3,19.6
27,Kentavious Caldwell-Pope,SG,22,DET,4,4,161,4.9,11.2,.440,2.7,6.0,.444,2.2,5.1,.435,1.1,1.6,.714,0.4,3.4,3.8,2.5,1.6,0.2,0.4,1.6,13.6
28,Clint Capela,C,21,HOU,5,0,43,2.5,7.5,.333,0.0,0.0,,2.5,7.5,.333,1.7,4.2,.400,6.7,10.0,16.7,1.7,2.5,1.7,2.5,4.2,6.7
29,DeMarre Carroll,SF,29,TOR,20,19,596,3.7,9.6,.390,1.6,4.8,.329,2.2,4.8,.450,1.6,2.2,.750,1.4,3.5,4.9,1.0,1.1,0.4,1.1,3.7,10.7
