,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Adams,PG,27,DEN,3,3,105,4.5,11.7,.382,2.1,6.9,.300,2.4,4.8,.500,2.4,2.7,.875,0.0,2.1,2.1,6.2,1.4,0.0,2.7,3.4,13.4
1,Mark Aguirre,SF,30,DET,20,3,439,7.1,15.1,.467,0.7,2.0,.333,6.4,13.1,.488,3.2,4.3,.750,2.5,4.9,7.5,2.2,0.8,0.2,2.5,4.2,18.0
2,Steve Alford,PG,25,DAL,3,0,42,6.9,15.4,.444,1.7,5.1,.333,5.1,10.3,.500,4.3,4.3,1.000,0.9,1.7,2.6,6.9,0.9,0.0,2.6,3.4,19.7
3,Greg Anderson,PF,25,MIL,4,0,101,4.6,6.8,.684,0.0,0.0,,4.6,6.8,.684,2.5,5.0,.500,2.1,6.4,8.6,0.0,0.4,1.4,1.4,6.8,11.8
4,Ron Anderson,SF,31,PHI,10,0,256,5.6,13.1,.430,0.4,0.7,.600,5.2,12.4,.420,4.1,4.2,.967,0.8,4.4,5.2,2.0,0.6,0.0,2.1,3.1,15.8
5,Willie Anderson,SG,23,SAS,10,10,375,8.4,16.1,.518,0.2,0.5,.400,8.2,15.6,.521,2.8,3.5,.806,1.5,3.6,5.2,5.0,0.9,0.4,2.5,3.8,19.7
6,B.J. Armstrong,PG,22,CHI,16,0,217,3.5,10.3,.339,0.0,0.7,.000,3.5,9.6,.362,3.6,4.0,.917,0.5,2.8,3.3,4.8,1.7,0.0,2.0,3.6,10.6
7,John Bagley,PG,29,BOS,5,0,70,4.1,7.7,.533,0.0,0.5,.000,4.1,7.2,.571,1.5,2.1,.750,1.5,0.5,2.1,8.7,2.1,0.5,4.6,4.6,9.8
8,Thurl Bailey,SF,28,UTA,5,5,190,8.1,16.7,.489,0.0,0.0,,8.1,16.7,.489,3.6,4.5,.792,1.5,4.5,6.1,1.3,0.9,1.1,0.9,3.6,19.9
9,Charles Barkley*,SF,26,PHI,10,10,419,7.6,13.9,.543,0.5,1.5,.333,7.0,12.4,.569,5.6,9.3,.602,5.7,7.6,13.3,3.7,0.7,0.6,2.6,3.1,21.2
10,Kenny Battle,SG,25,PHO,8,0,34,4.2,13.8,.308,0.0,0.0,,4.2,13.8,.308,1.1,1.1,1.000,1.1,4.2,5.3,0.0,0.0,0.0,2.1,5.3,9.5
11,William Bedford,C,26,DET,5,0,19,1.9,11.4,.167,0.0,0.0,,1.9,11.4,.167,3.8,3.8,1.000,0.0,3.8,3.8,0.0,0.0,1.9,0.0,7.6,7.6
12,Winston Bennett,SF,24,CLE,5,5,135,6.1,12.5,.489,0.0,0.0,,6.1,12.5,.489,1.1,1.6,.667,3.7,1.9,5.6,1.3,0.8,0.3,1.1,2.9,13.3
13,Larry Bird*,SF,33,BOS,5,5,207,7.7,17.2,.444,0.9,3.3,.263,6.8,13.9,.488,5.0,5.6,.906,1.2,6.8,8.0,7.7,0.9,0.9,3.1,1.7,21.2
14,Uwe Blab,C,27,SAS,2,0,5,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,21.6,43.2,.500,0.0,14.4,14.4,0.0,0.0,0.0,0.0,0.0,21.6
15,Rolando Blackman,SG,30,DAL,3,3,127,6.8,15.3,.444,0.6,1.4,.400,6.2,13.9,.449,2.8,2.8,1.000,0.6,2.0,2.6,3.7,1.7,0.6,3.7,2.0,17.0
16,Anthony Bowie,SG,26,HOU,2,0,4,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
17,Frank Brickowski,C,30,SAS,10,0,161,6.9,12.1,.574,0.0,0.0,,6.9,12.1,.574,3.8,5.8,.654,3.6,6.3,9.8,2.5,1.8,0.2,3.4,6.9,17.7
18,Scott Brooks,PG,24,PHI,9,0,99,2.2,6.9,.316,1.1,2.5,.429,1.1,4.4,.250,2.2,3.3,.667,0.7,2.2,2.9,5.8,1.1,0.0,2.5,4.7,7.6
19,Mike Brown,C,26,UTA,5,0,67,3.8,8.1,.467,0.0,0.0,,3.8,8.1,.467,2.1,2.7,.800,2.7,2.7,5.4,1.6,0.5,0.5,2.7,5.9,9.7
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Raymond Brown,PF,24,UTA,3,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
22,Tony Brown,SF,29,MIL,2,0,13,2.8,8.3,.333,2.8,2.8,1.000,0.0,5.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,5.5,0.0,0.0,8.3,8.3
23,Mark Bryant,PF,24,POR,13,0,160,4.1,7.4,.545,0.0,0.0,,4.1,7.4,.545,1.4,1.8,.750,2.0,4.5,6.5,0.7,0.7,0.5,2.7,6.1,9.5
24,Adrian Caldwell,PF,23,HOU,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Joe Barry Carroll,C,31,DEN,3,3,46,7.0,12.5,.563,0.0,0.0,,7.0,12.5,.563,1.6,1.6,1.000,0.8,6.3,7.0,2.3,0.8,3.9,0.8,4.7,15.7
26,Bill Cartwright,C,32,CHI,16,16,462,3.9,9.4,.413,0.0,0.0,,3.9,9.4,.413,2.3,3.4,.674,1.9,3.9,5.8,1.2,0.4,0.3,1.9,4.1,10.1
27,Tom Chambers,PF,30,PHO,16,16,612,6.9,16.2,.425,0.3,1.1,.263,6.6,15.1,.438,6.8,7.8,.879,1.2,5.1,6.3,1.8,0.4,0.4,2.9,3.2,20.9
28,Maurice Cheeks*,PG,33,NYK,10,10,388,4.6,9.6,.481,0.0,0.4,.000,4.6,9.3,.500,2.6,2.9,.903,1.1,2.5,3.6,7.9,1.6,0.2,1.8,1.9,11.9
29,Derrick Chievous,SF,22,CLE,3,0,28,7.7,12.9,.600,0.0,0.0,,7.7,12.9,.600,9.0,11.6,.778,2.6,1.3,3.9,2.6,1.3,0.0,3.9,2.6,24.4
30,Michael Cooper,SG,33,LAL,9,0,173,2.1,7.3,.286,0.6,2.5,.250,1.5,4.8,.304,0.0,0.0,,2.3,2.7,5.0,5.2,1.5,0.8,1.5,4.4,4.8
31,Wayne Cooper,C,33,POR,18,0,248,2.8,6.8,.404,0.0,0.0,,2.8,6.8,.404,1.5,2.8,.526,3.6,6.7,10.3,0.7,0.7,4.2,0.7,5.8,7.0
