,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Cedric Ceballos,SF,25,LAL,10,10,340,5.1,13.3,.381,1.9,5.3,.360,3.2,8.0,.395,3.0,4.0,.737,1.2,5.3,6.5,1.9,1.3,0.7,2.2,2.2,15.0
31,Tom Chambers,PF,35,UTA,5,0,60,6.6,13.2,.500,0.6,1.8,.333,6.0,11.4,.526,5.4,7.8,.692,1.8,6.0,7.8,1.2,1.2,0.0,1.8,10.8,19.2
32,Pete Chilcutt,PF,26,HOU,20,15,323,3.5,7.1,.484,1.6,4.0,.389,1.9,3.1,.607,1.6,1.9,.824,1.7,4.8,6.5,2.0,0.8,0.4,1.2,4.3,10.0
33,Doug Christie,SG,24,NYK,2,0,6,0.0,24.0,.000,0.0,0.0,,0.0,24.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0
34,Steve Colter,PG,32,CLE,4,0,43,4.2,8.4,.500,0.0,0.8,.000,4.2,7.5,.556,1.7,3.3,.500,0.8,0.0,0.8,1.7,0.8,0.0,0.0,1.7,10.0
35,Tyrone Corbin,SF,32,ATL,3,2,79,5.5,11.8,.462,0.9,2.7,.333,4.6,9.1,.500,3.6,4.1,.889,2.7,1.8,4.6,0.9,0.9,0.5,0.9,4.6,15.5
36,John Crotty,PG,25,UTA,3,0,24,3.0,4.5,.667,0.0,0.0,,3.0,4.5,.667,4.5,7.5,.600,0.0,0.0,0.0,9.0,1.5,0.0,0.0,3.0,10.5
37,Terry Cummings,PF,33,SAS,15,2,135,4.8,12.8,.375,0.0,0.3,.000,4.8,12.5,.383,5.9,8.0,.733,3.2,5.1,8.3,1.1,1.3,0.3,1.9,6.7,15.5
38,Dell Curry,SG,30,CHH,4,0,107,5.4,11.4,.471,3.0,7.1,.429,2.4,4.4,.538,3.4,3.7,.909,1.7,1.3,3.0,2.0,0.0,0.0,2.0,3.7,17.2
39,Antonio Davis,PF,26,IND,17,0,367,3.1,7.0,.451,0.0,0.0,,3.1,7.0,.451,3.6,5.8,.627,3.7,5.8,9.5,0.7,0.9,1.1,2.3,6.0,9.9
40,Dale Davis,PF,25,IND,17,17,490,4.1,7.7,.533,0.0,0.0,,4.1,7.7,.533,1.7,3.5,.489,3.9,6.1,10.0,0.4,0.5,1.0,1.6,4.1,9.9
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hubert Davis,SG,24,NYK,11,0,184,3.3,9.4,.354,2.0,5.3,.370,1.4,4.1,.333,0.4,0.4,1.000,0.0,1.4,1.4,1.8,0.2,1.0,1.8,3.9,9.0
43,Vinny Del Negro,SG,28,SAS,15,15,382,4.8,11.1,.432,0.8,1.9,.450,4.0,9.2,.429,1.9,2.3,.833,0.4,2.6,3.0,3.5,0.8,0.2,1.5,2.2,12.3
44,Bison Dele,C,25,DEN,3,0,44,8.2,14.7,.556,0.0,0.0,,8.2,14.7,.556,3.3,3.3,1.000,4.1,10.6,14.7,1.6,0.0,0.8,8.2,12.3,19.6
45,Vlade Divac*,C,26,LAL,10,10,388,5.3,11.3,.467,0.2,0.8,.222,5.1,10.5,.487,3.7,5.8,.645,3.2,4.7,7.9,2.9,0.7,1.2,2.6,4.1,14.5
46,James Donaldson,C,37,UTA,5,5,76,2.4,2.8,.833,0.0,0.0,,2.4,2.8,.833,1.9,1.9,1.000,1.4,2.8,4.3,0.0,0.0,1.4,0.9,3.8,6.6
47,Sherman Douglas,PG,28,BOS,4,4,168,5.1,14.6,.353,0.9,2.6,.333,4.3,12.0,.357,1.7,2.4,.727,0.9,3.4,4.3,7.1,0.9,0.2,3.6,2.6,12.9
48,Greg Dreiling,C,32,CLE,1,0,7,0.0,10.3,.000,0.0,0.0,,0.0,10.3,.000,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,10.3,0.0
49,Clyde Drexler*,SG,32,HOU,22,22,849,6.6,13.7,.481,1.3,4.2,.303,5.3,9.5,.561,4.7,5.9,.786,1.9,4.6,6.5,4.7,1.4,0.6,1.9,2.9,19.1
50,Chris Dudley,C,29,POR,3,3,59,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,1.8,4.9,.375,3.7,5.5,9.2,0.6,0.0,0.6,1.8,4.9,4.3
51,Richard Dumas,SF,25,PHO,3,0,5,7.2,28.8,.250,0.0,0.0,,7.2,28.8,.250,0.0,0.0,,7.2,0.0,7.2,0.0,0.0,0.0,7.2,0.0,14.4
52,Acie Earl,C,24,BOS,1,0,10,3.6,10.8,.333,0.0,0.0,,3.6,10.8,.333,0.0,7.2,.000,3.6,3.6,7.2,0.0,0.0,3.6,0.0,14.4,7.2
53,Blue Edwards,SF,29,UTA,4,0,33,4.4,13.1,.333,1.1,1.1,1.000,3.3,12.0,.273,0.0,0.0,,1.1,5.5,6.5,3.3,2.2,0.0,3.3,3.3,9.8
54,James Edwards,C,39,POR,1,0,4,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Craig Ehlo,SG,33,ATL,3,0,49,1.5,8.8,.167,0.7,4.4,.167,0.7,4.4,.167,2.9,2.9,1.000,0.0,5.1,5.1,2.2,1.5,0.0,2.9,0.0,6.6
56,Mario Elie,SF,31,HOU,22,6,635,3.9,7.8,.504,1.6,3.7,.431,2.3,4.1,.569,2.0,2.5,.795,1.1,2.4,3.5,3.1,1.2,0.1,1.2,3.1,11.4
57,Sean Elliott,SF,26,SAS,15,15,574,5.5,12.5,.435,1.3,3.4,.364,4.2,9.1,.462,4.1,5.3,.776,1.4,3.1,4.5,2.5,0.6,0.4,1.7,2.4,16.3
58,Dale Ellis,SF,34,DEN,3,0,73,4.9,13.8,.357,2.0,6.4,.308,3.0,7.4,.400,5.9,6.4,.923,3.0,3.9,6.9,1.5,1.0,0.5,1.0,3.0,17.8
59,Pervis Ellison,C,27,BOS,4,0,68,5.8,10.1,.579,0.0,0.0,,5.8,10.1,.579,1.1,1.1,1.000,5.8,3.2,9.0,1.1,1.1,2.6,2.1,9.0,12.7
60,Patrick Ewing*,C,32,NYK,11,11,399,7.2,14.1,.513,0.1,0.3,.333,7.1,13.8,.516,4.3,6.3,.686,1.5,8.0,9.6,2.4,0.5,2.3,2.7,4.6,18.9
61,Duane Ferrell,SF,29,IND,10,0,85,3.4,10.2,.333,0.4,0.8,.500,3.0,9.3,.318,4.2,6.8,.625,3.4,1.3,4.7,5.5,0.0,0.8,4.2,4.2,11.4
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Danny Ferry,PF,28,CLE,4,0,67,7.0,13.4,.520,4.3,8.1,.533,2.7,5.4,.500,2.1,3.2,.667,0.0,1.6,1.6,3.2,1.1,0.0,0.0,4.8,20.4
64,Vern Fleming,PG,32,IND,3,0,8,4.5,13.5,.333,0.0,4.5,.000,4.5,9.0,.500,0.0,13.5,.000,4.5,4.5,9.0,9.0,0.0,0.0,0.0,0.0,9.0
65,Kenny Gattison,PF,30,CHH,4,0,58,3.1,5.0,.625,0.0,0.0,,3.1,5.0,.625,3.1,5.0,.625,3.1,4.3,7.4,1.2,1.2,0.0,3.1,9.9,9.3
