,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Arron Afflalo,SG,26,DEN,7,7,229,4.7,11.6,.405,0.6,3.1,.200,4.1,8.5,.481,1.9,2.4,.800,0.8,3.1,3.9,3.0,0.8,0.3,1.4,2.2,11.9
1,Blake Ahearn,PG,27,UTA,3,0,8,9.0,13.5,.667,4.5,4.5,1.000,4.5,9.0,.500,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,22.5
2,Cole Aldrich,C,23,OKC,5,0,25,5.8,13.0,.444,0.0,0.0,,5.8,13.0,.444,2.9,5.8,.500,7.2,11.5,18.7,0.0,0.0,0.0,0.0,4.3,14.4
3,Lavoy Allen,PF,22,PHI,12,1,236,5.2,9.3,.557,0.0,0.0,,5.2,9.3,.557,1.1,1.8,.583,3.2,5.8,9.0,0.5,1.5,1.7,0.8,4.6,11.4
4,Ray Allen*,SG,36,BOS,18,10,616,3.9,9.8,.395,1.6,5.4,.304,2.2,4.4,.507,1.9,2.6,.711,0.5,3.9,4.3,1.1,1.0,0.1,1.0,2.4,11.2
5,Tony Allen,SG,30,MEM,7,7,170,3.8,9.5,.400,0.0,1.1,.000,3.8,8.5,.450,2.5,3.6,.706,1.7,3.0,4.7,1.1,1.9,1.5,2.1,4.4,10.2
6,Lou Amundson,PF,29,IND,11,0,94,4.6,8.8,.522,0.0,0.0,,4.6,8.8,.522,1.1,2.3,.500,2.3,6.5,8.8,0.8,0.8,1.9,1.5,6.1,10.3
7,James Anderson,SG,22,SAS,8,0,31,4.6,10.5,.444,2.3,4.6,.500,2.3,5.8,.400,1.2,2.3,.500,0.0,5.8,5.8,3.5,1.2,0.0,0.0,1.2,12.8
8,Ryan Anderson,PF,23,ORL,5,5,172,3.1,9.2,.341,2.5,6.3,.400,0.6,2.9,.214,1.3,1.5,.857,1.9,2.9,4.8,0.8,0.6,0.4,1.9,4.6,10.0
9,Carmelo Anthony,SF,27,NYK,5,5,204,9.2,21.9,.419,0.7,3.2,.222,8.5,18.7,.453,5.5,7.2,.756,2.3,4.9,7.2,1.9,1.1,0.2,2.5,3.7,24.5
10,Joel Anthony,C,29,MIA,17,1,329,1.9,3.2,.586,0.0,0.0,,1.9,3.2,.586,2.2,2.7,.800,2.4,3.6,6.0,0.2,0.5,1.8,0.9,4.5,5.9
11,Gilbert Arenas,PG,30,MEM,6,0,23,3.1,12.5,.250,0.0,6.3,.000,3.1,6.3,.500,0.0,0.0,,0.0,1.6,1.6,1.6,0.0,0.0,1.6,9.4,6.3
12,Ömer Aşık,C,25,CHI,6,3,128,2.0,3.9,.500,0.0,0.0,,2.0,3.9,.500,1.7,4.8,.353,2.3,5.6,7.9,2.3,0.3,2.8,2.3,3.9,5.6
13,Jeff Ayres,C,24,IND,4,0,9,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0
14,Kelenna Azubuike,SG,28,DAL,1,0,5,7.2,21.6,.333,7.2,7.2,1.000,0.0,14.4,.000,0.0,0.0,,7.2,0.0,7.2,0.0,7.2,0.0,7.2,0.0,21.6
15,Leandro Barbosa,SG,29,IND,11,0,223,4.4,11.8,.370,0.5,3.2,.150,3.9,8.6,.453,1.0,1.9,.500,0.8,3.1,3.9,2.3,0.8,0.2,2.1,3.7,10.2
16,Matt Barnes,SF,31,LAL,11,0,185,3.1,11.5,.271,1.0,6.0,.161,2.1,5.4,.393,0.4,0.8,.500,1.8,5.3,7.0,3.1,1.9,1.0,2.9,5.6,7.6
17,Brandon Bass,PF,26,BOS,20,20,608,4.8,10.4,.463,0.0,0.0,,4.8,10.4,.463,3.5,3.8,.922,1.5,4.7,6.2,0.9,0.8,0.6,0.9,3.0,13.1
18,Shane Battier,SF,33,MIA,23,16,768,2.5,6.6,.379,2.0,5.2,.382,0.5,1.4,.367,0.6,0.7,.813,0.7,2.8,3.5,1.3,1.0,0.7,0.7,3.2,7.5
19,Rodrigue Beaubois,PG,23,DAL,2,0,12,0.0,6.0,.000,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mike Bibby,PG,33,NYK,5,1,118,2.7,7.0,.391,2.1,5.2,.412,0.6,1.8,.333,0.6,0.9,.667,0.9,5.5,6.4,4.0,0.3,0.0,1.2,2.1,8.2
22,DeJuan Blair,PF,22,SAS,10,0,76,8.1,12.8,.630,0.0,0.0,,8.1,12.8,.630,1.4,2.8,.500,3.3,7.6,10.9,0.9,1.4,0.5,0.5,4.7,17.5
23,Steve Blake,PG,31,LAL,12,0,306,3.1,7.3,.419,2.1,5.1,.419,0.9,2.2,.421,0.6,0.8,.714,0.9,3.1,4.0,3.2,0.9,0.2,1.8,2.5,8.8
24,Eric Bledsoe,PG,22,LAC,11,0,189,7.0,12.0,.587,0.6,1.3,.429,6.5,10.7,.607,1.9,3.0,.625,2.3,2.7,5.0,4.4,2.5,0.8,2.9,4.4,16.6
25,Matt Bonner,PF,31,SAS,13,0,165,2.2,7.0,.313,1.7,5.0,.348,0.4,2.0,.222,0.7,1.1,.600,0.4,5.0,5.5,2.0,0.4,0.9,0.7,5.2,6.8
26,Carlos Boozer,PF,30,CHI,6,6,200,6.8,16.2,.422,0.0,0.0,,6.8,16.2,.422,0.9,1.3,.714,1.8,8.8,10.6,3.2,0.9,0.4,4.1,3.6,14.6
27,Chris Bosh,PF,27,MIA,14,10,439,6.0,12.1,.493,0.6,1.1,.538,5.4,11.1,.489,3.5,4.3,.827,3.0,6.0,8.9,0.7,0.5,1.1,1.6,1.6,16.1
28,Avery Bradley,PG,21,BOS,10,10,248,3.6,9.9,.368,0.7,3.2,.227,2.9,6.7,.435,1.7,2.6,.667,0.4,2.5,2.9,1.2,1.2,0.9,1.5,2.9,9.7
29,Elton Brand,C,32,PHI,13,13,356,4.7,10.0,.465,0.0,0.0,,4.7,10.0,.465,2.0,3.2,.625,2.2,4.1,6.4,0.7,1.1,2.0,0.7,3.6,11.3
30,Corey Brewer,SF,25,DEN,7,0,116,7.1,16.8,.426,1.9,6.2,.300,5.3,10.6,.500,1.9,2.5,.750,1.9,2.5,4.3,1.9,2.2,0.6,0.6,3.4,18.0
31,Ronnie Brewer,SG,26,CHI,5,0,83,1.7,6.9,.250,0.0,0.0,,1.7,6.9,.250,0.0,1.3,.000,1.7,6.5,8.2,3.9,1.7,0.4,2.6,2.2,3.5
32,Kobe Bryant*,SG,33,LAL,12,12,476,10.0,22.8,.439,1.3,4.5,.283,8.7,18.2,.477,6.0,7.2,.832,1.2,3.2,4.4,3.9,1.2,0.2,2.6,2.5,27.2
33,Alec Burks,SG,20,UTA,4,0,63,4.0,16.0,.250,0.0,1.1,.000,4.0,14.9,.269,6.9,8.0,.857,2.9,3.4,6.3,1.7,1.1,0.0,1.7,2.3,14.9
34,Caron Butler,SF,31,LAC,10,10,268,4.4,12.4,.359,1.1,4.2,.258,3.4,8.2,.410,1.6,2.1,.750,0.5,3.5,4.0,1.3,0.8,0.3,2.1,3.0,11.6
35,Jimmy Butler,SG,22,CHI,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
36,Andrew Bynum,C,24,LAL,12,12,451,5.8,12.2,.477,0.0,0.0,,5.8,12.2,.477,4.3,5.5,.783,3.7,6.9,10.6,1.4,0.4,3.0,1.3,1.7,16.0
37,Brian Cardinal,SF,34,DAL,2,0,9,4.0,8.0,.500,4.0,4.0,1.000,0.0,4.0,.000,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
38,DeMarre Carroll,SF,25,UTA,4,0,73,4.4,9.4,.474,0.5,2.5,.200,3.9,6.9,.571,0.0,0.0,,3.5,3.9,7.4,1.5,1.0,0.5,1.5,4.4,9.4
39,Vince Carter,SG,35,DAL,4,0,107,4.0,13.8,.293,1.0,3.4,.300,3.0,10.4,.290,2.0,2.7,.750,1.7,5.7,7.4,0.3,1.7,0.7,2.0,3.7,11.1
40,Mario Chalmers,PG,25,MIA,23,23,819,4.0,9.1,.442,1.5,4.0,.359,2.6,5.1,.509,1.9,2.6,.717,0.5,3.2,3.7,4.0,1.2,0.3,1.8,3.0,11.4
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tyson Chandler,C,29,NYK,5,5,167,2.4,5.4,.440,0.0,0.0,,2.4,5.4,.440,1.9,3.2,.600,3.9,5.8,9.7,0.9,1.5,1.5,3.2,3.9,6.7
43,Earl Clark,PF,24,ORL,5,0,88,3.3,7.4,.444,0.0,0.0,,3.3,7.4,.444,1.6,2.9,.571,3.3,10.2,13.5,0.4,0.8,2.0,1.6,2.5,8.2
44,Norris Cole,PG,23,MIA,19,0,170,2.5,7.8,.324,0.6,2.5,.250,1.9,5.3,.360,1.5,1.9,.778,0.2,1.9,2.1,2.5,1.5,0.0,1.1,5.1,7.2
45,Jason Collins,C,33,ATL,5,4,85,2.5,4.7,.545,0.0,0.0,,2.5,4.7,.545,0.0,0.0,,1.7,3.4,5.1,0.0,0.4,0.0,4.2,6.8,5.1
46,Darren Collison,PG,24,IND,11,0,205,6.3,12.3,.514,0.7,1.9,.364,5.6,10.4,.542,3.5,4.0,.870,0.5,1.9,2.5,5.8,2.5,0.0,1.9,1.9,16.9
47,Nick Collison,PF,31,OKC,20,0,332,3.6,5.5,.647,0.0,0.0,,3.6,5.5,.647,0.3,0.8,.429,3.3,4.0,7.3,2.1,1.3,0.5,1.3,5.5,7.5
48,Mike Conley,PG,24,MEM,7,7,277,4.2,9.9,.421,1.4,2.9,.500,2.7,7.0,.389,3.1,4.2,.750,0.5,2.5,3.0,6.5,0.8,0.0,2.1,2.5,12.9
49,Daequan Cook,SG,24,OKC,16,0,109,4.6,12.2,.378,2.6,7.9,.333,2.0,4.3,.462,0.0,0.7,.000,0.0,3.0,3.0,1.3,1.0,0.0,0.0,2.3,11.9
50,Dante Cunningham,PF,24,MEM,7,0,49,2.9,8.1,.364,0.0,0.0,,2.9,8.1,.364,0.0,0.0,,4.4,3.7,8.1,0.0,0.7,1.5,0.7,2.2,5.9
51,Erick Dampier,C,36,ATL,4,0,55,4.6,8.5,.538,0.0,0.0,,4.6,8.5,.538,1.3,2.0,.667,4.6,4.6,9.2,0.0,0.0,0.7,2.0,3.9,10.5
52,Marquis Daniels,SG,31,BOS,15,0,92,4.3,7.4,.579,0.0,0.8,.000,4.3,6.7,.647,3.1,3.9,.800,0.4,3.5,3.9,1.2,0.8,0.4,0.8,5.1,11.7
53,Baron Davis,PG,32,NYK,4,4,97,4.1,8.5,.478,1.5,5.2,.286,2.6,3.3,.778,1.9,1.9,1.000,0.0,1.1,1.1,4.8,0.0,0.0,4.8,5.6,11.5
54,Glen Davis,PF,26,ORL,5,5,190,7.4,16.9,.438,0.0,0.0,,7.4,16.9,.438,3.2,4.2,.773,4.4,4.4,8.7,0.8,0.6,1.1,1.7,1.9,18.0
55,Luol Deng,SF,26,CHI,6,6,228,5.7,12.5,.456,1.3,3.5,.364,4.4,9.0,.491,0.6,1.1,.571,1.3,6.6,7.9,1.4,0.8,1.4,1.6,1.6,13.3
56,Boris Diaw,PF,29,SAS,14,14,346,3.7,7.3,.514,0.9,1.9,.500,2.8,5.4,.519,0.6,0.8,.750,2.9,4.7,7.6,3.6,1.1,0.4,1.6,3.0,9.1
57,Keyon Dooling,SG,31,BOS,20,0,212,3.6,8.2,.438,1.9,4.8,.393,1.7,3.4,.500,0.3,0.5,.667,0.3,2.2,2.5,2.4,1.0,0.7,0.5,5.1,9.3
58,Toney Douglas,PG,25,NYK,1,0,8,4.5,4.5,1.000,0.0,0.0,,4.5,4.5,1.000,0.0,0.0,,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,9.0
59,Chris Duhon,PG,29,ORL,5,0,61,0.6,3.0,.200,0.6,1.8,.333,0.0,1.2,.000,0.0,1.2,.000,0.0,4.1,4.1,5.3,3.0,0.6,4.1,3.0,1.8
60,Tim Duncan*,C,35,SAS,14,14,463,7.9,15.9,.495,0.0,0.1,.000,7.9,15.8,.498,3.2,4.5,.707,2.5,7.7,10.2,3.0,0.8,2.3,1.6,2.3,18.9
61,Kevin Durant,SF,23,OKC,20,20,837,8.5,16.5,.517,1.8,4.7,.373,6.8,11.7,.575,5.7,6.6,.864,0.6,5.8,6.4,3.2,1.2,1.0,2.7,2.2,24.5
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Devin Ebanks,SG,22,LAL,9,6,126,4.6,11.1,.410,0.0,0.9,.000,4.6,10.3,.444,1.4,2.3,.625,2.0,3.7,5.7,1.7,0.9,2.0,0.6,3.7,10.6
64,Jeremy Evans,SF,24,UTA,2,0,7,0.0,5.1,.000,0.0,0.0,,0.0,5.1,.000,10.3,10.3,1.000,0.0,15.4,15.4,5.1,5.1,0.0,0.0,5.1,10.3
65,Reggie Evans,PF,31,LAC,11,0,198,1.5,2.7,.533,0.0,0.0,,1.5,2.7,.533,3.1,7.3,.425,3.6,10.9,14.5,0.2,1.6,1.1,1.6,5.6,6.0
66,Christian Eyenga,SF,22,LAL,3,0,9,8.0,12.0,.667,0.0,0.0,,8.0,12.0,.667,0.0,4.0,.000,4.0,4.0,8.0,4.0,4.0,4.0,4.0,12.0,16.0
67,Kenneth Faried,PF,22,DEN,7,7,192,6.0,11.3,.533,0.0,0.0,,6.0,11.3,.533,1.7,2.3,.750,4.7,8.4,13.1,0.7,0.9,1.5,2.6,3.7,13.7
68,Derrick Favors,PF,20,UTA,4,1,116,4.7,11.2,.417,0.0,0.0,,4.7,11.2,.417,5.3,9.0,.586,4.3,7.4,11.8,0.6,1.6,1.9,1.6,3.4,14.6
69,Landry Fields,SG,23,NYK,5,4,115,4.7,9.7,.484,0.3,1.6,.200,4.4,8.1,.538,1.6,2.2,.714,1.3,3.4,4.7,2.2,0.9,0.0,2.8,1.6,11.3
