,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,24,DEN,12,12,339,6.1,16.4,.370,1.3,3.9,.324,4.8,12.4,.385,3.1,3.3,.935,0.3,1.6,1.9,3.2,0.5,0.1,1.5,3.1,16.5
1,Danny Ainge,SG,34,PHO,10,0,230,4.2,9.2,.458,2.7,6.3,.425,1.6,3.0,.526,2.3,3.3,.714,1.1,2.5,3.6,3.3,0.9,0.2,0.8,4.1,13.5
2,Kenny Anderson,PG,23,NJN,4,4,181,3.8,10.7,.352,0.6,2.0,.300,3.2,8.8,.364,4.4,6.6,.667,0.4,2.0,2.4,5.4,1.8,0.0,1.8,2.2,12.5
3,Nick Anderson,SG,26,ORL,3,3,120,3.9,10.2,.382,2.4,6.0,.400,1.5,4.2,.357,2.7,3.6,.750,0.6,2.4,3.0,3.0,1.5,0.6,1.5,2.4,12.9
4,Willie Anderson,SG,27,SAS,4,4,106,4.8,12.6,.378,0.3,0.3,1.000,4.4,12.2,.361,1.4,2.4,.571,1.0,1.7,2.7,4.1,1.7,0.7,1.4,2.4,11.2
5,Greg Anthony,PG,26,NYK,25,3,436,3.7,10.6,.352,1.5,5.0,.295,2.2,5.5,.403,1.2,2.0,.583,0.7,1.5,2.2,4.9,1.6,0.7,2.6,4.5,10.1
6,B.J. Armstrong,PG,26,CHI,10,10,360,5.5,10.6,.519,0.7,1.2,.583,4.8,9.4,.511,3.6,4.4,.818,0.2,2.2,2.4,2.5,0.8,0.0,0.9,2.1,15.3
7,Vincent Askew,SG,27,SEA,5,0,95,3.8,10.6,.357,0.0,0.4,.000,3.8,10.2,.370,6.1,7.2,.842,0.8,1.5,2.3,3.4,0.8,0.0,0.8,3.8,13.6
8,Keith Askins,SF,26,MIA,1,0,6,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,0.0,0.0,,6.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0
9,Stacey Augmon,SG,25,ATL,11,11,324,5.1,9.9,.517,0.0,0.0,,5.1,9.9,.517,3.0,4.2,.711,1.4,1.8,3.2,3.1,0.8,0.2,1.7,2.9,13.2
10,Anthony Avent,PF,24,ORL,2,0,40,5.4,11.7,.462,0.0,0.0,,5.4,11.7,.462,6.3,7.2,.875,7.2,2.7,9.9,0.9,0.0,0.0,0.9,1.8,17.1
11,Charles Barkley*,PF,30,PHO,10,10,425,9.3,18.3,.509,1.2,3.4,.350,8.1,14.9,.545,3.6,4.7,.764,2.9,8.1,11.0,4.1,2.1,0.8,2.3,2.2,23.4
12,John Battle,SG,31,CLE,1,0,8,4.5,4.5,1.000,0.0,0.0,,4.5,4.5,1.000,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0
13,Benoit Benjamin,C,29,NJN,4,4,108,2.3,5.7,.412,0.0,0.0,,2.3,5.7,.412,2.3,2.7,.875,1.7,5.3,7.0,0.3,0.7,2.7,1.7,5.3,7.0
14,David Benoit,SF,25,UTA,16,5,357,4.8,12.3,.393,0.3,1.6,.188,4.5,10.7,.425,1.6,2.5,.640,2.3,4.4,6.8,1.0,0.7,1.1,1.6,3.1,11.6
15,Rolando Blackman,SG,34,NYK,6,0,34,3.2,11.6,.273,2.1,4.2,.500,1.1,7.4,.143,0.0,0.0,,1.1,2.1,3.2,3.2,0.0,0.0,1.1,6.4,8.5
16,Mookie Blaylock,PG,26,ATL,11,11,415,4.2,12.2,.340,1.9,5.6,.344,2.3,6.7,.338,2.2,2.6,.833,1.4,3.4,4.8,8.5,2.1,0.4,2.8,1.9,12.4
17,Walter Bond,SG,24,UTA,4,0,13,0.0,5.5,.000,0.0,2.8,.000,0.0,2.8,.000,2.8,5.5,.500,0.0,2.8,2.8,0.0,2.8,0.0,0.0,11.1,2.8
18,Anthony Bonner,SF,25,NYK,13,7,118,3.1,6.7,.455,0.0,0.0,,3.1,6.7,.455,2.1,4.0,.538,4.6,4.0,8.5,0.6,1.5,0.0,4.0,6.7,8.2
19,Anthony Bowie,SG,30,ORL,2,0,13,0.0,2.8,.000,0.0,0.0,,0.0,2.8,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Terrell Brandon,PG,23,CLE,3,0,56,7.7,12.2,.632,0.0,0.0,,7.7,12.2,.632,1.3,1.9,.667,0.6,1.9,2.6,3.2,0.6,0.0,0.6,0.6,16.7
22,Kevin Brooks,SF,24,DEN,2,0,5,14.4,50.4,.286,0.0,7.2,.000,14.4,43.2,.333,7.2,14.4,.500,7.2,7.2,14.4,0.0,0.0,0.0,0.0,0.0,36.0
23,Scott Brooks,PG,28,HOU,5,0,23,7.8,9.4,.833,1.6,1.6,1.000,6.3,7.8,.800,0.0,1.6,.000,1.6,1.6,3.1,4.7,0.0,0.0,0.0,4.7,17.2
24,P.J. Brown,C,24,NJN,4,1,56,1.3,5.8,.222,0.0,0.0,,1.3,5.8,.222,5.1,5.1,1.000,2.6,2.6,5.1,1.9,0.0,1.3,1.9,8.4,7.7
