,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
85,Kelvin Cato,C,28.0,HOU,73.0,5.0,17.1,1.8,3.5,0.52,0.0,0.1,0.0,1.8,3.5,0.528,0.52,0.9,1.7,0.532,1.8,4.1,5.9,0.3,0.5,1.2,0.8,2.4,4.5,2003
86,Tyson Chandler,C,20.0,CHI,75.0,68.0,24.4,3.4,6.5,0.531,0.0,0.0,,3.4,6.5,0.531,0.531,2.4,3.9,0.608,2.3,4.6,6.9,1.0,0.5,1.4,1.8,2.9,9.2,2003
87,Calbert Cheaney,SG,31.0,UTA,81.0,74.0,29.0,4.0,8.0,0.499,0.1,0.3,0.4,3.9,7.7,0.503,0.507,0.5,0.9,0.58,0.9,2.6,3.5,2.0,0.8,0.2,1.3,2.8,8.6,2003
88,Chris Childs,PG,35.0,NJN,12.0,0.0,8.8,0.5,1.7,0.3,0.1,0.5,0.16699999999999998,0.4,1.2,0.35700000000000004,0.325,0.2,0.3,0.667,0.3,0.2,0.4,1.3,0.7,0.1,0.5,1.4,1.3,2003
89,Doug Christie,SG,32.0,SAC,80.0,80.0,33.9,3.3,7.0,0.479,0.9,2.3,0.395,2.4,4.7,0.522,0.545,1.8,2.2,0.81,0.8,3.5,4.3,4.7,2.3,0.5,1.8,2.3,9.4,2003
90,Keon Clark,C,27.0,SAC,80.0,11.0,22.3,2.8,5.6,0.501,0.0,0.1,0.0,2.8,5.6,0.506,0.501,1.1,1.6,0.6559999999999999,1.7,3.9,5.6,1.0,0.5,1.9,1.2,2.8,6.7,2003
91,Speedy Claxton,PG,24.0,SAS,30.0,0.0,15.7,2.2,4.8,0.462,0.0,0.4,0.0,2.2,4.5,0.5,0.462,1.3,1.9,0.684,0.7,1.1,1.9,2.5,0.7,0.2,1.2,1.4,5.8,2003
92,Mateen Cleaves,PG,25.0,SAC,12.0,0.0,4.6,0.5,1.9,0.261,0.1,0.1,1.0,0.4,1.8,0.22699999999999998,0.28300000000000003,0.3,0.3,0.75,0.1,0.6,0.7,0.8,0.2,0.0,1.2,0.5,1.3,2003
93,Derrick Coleman,C,35.0,PHI,64.0,35.0,27.2,3.5,7.8,0.44799999999999995,0.3,1.0,0.32799999999999996,3.1,6.7,0.466,0.47,2.1,2.7,0.784,2.4,4.7,7.0,1.4,0.8,1.1,1.5,2.7,9.4,2003
94,Bimbo Coles,PG,34.0,TOT,35.0,11.0,19.7,1.6,4.8,0.33299999999999996,0.2,0.9,0.21899999999999997,1.4,3.9,0.36,0.354,1.0,1.2,0.833,0.3,1.4,1.7,2.1,0.5,0.1,0.8,1.7,4.4,2003
