,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Alex Acker,SG,26.0,TOT,25.0,0.0,8.0,1.2,3.0,0.395,0.3,0.8,0.35,0.9,2.2,0.41100000000000003,0.441,0.2,0.4,0.5,0.3,0.6,1.0,0.5,0.2,0.2,0.3,0.4,2.9,2009
3,Hassan Adams,SG,24.0,TOR,12.0,0.0,4.3,0.3,1.1,0.308,0.0,0.0,,0.3,1.1,0.308,0.308,0.3,0.5,0.5,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9,2009
4,Arron Afflalo,SG,23.0,DET,74.0,8.0,16.7,1.8,4.1,0.43700000000000006,0.6,1.4,0.402,1.2,2.6,0.456,0.508,0.8,1.0,0.8170000000000001,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,2009
5,Maurice Ager,SG,24.0,NJN,20.0,0.0,4.9,0.8,2.2,0.349,0.0,0.3,0.0,0.8,1.9,0.405,0.349,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7,2009
6,Blake Ahearn,PG,24.0,SAS,3.0,0.0,6.3,0.7,2.0,0.33299999999999996,0.7,1.3,0.5,0.0,0.7,0.0,0.5,0.7,0.7,1.0,0.0,0.3,0.3,0.7,0.3,0.0,0.3,1.0,2.7,2009
7,Alexis Ajinça,PF,20.0,CHA,31.0,4.0,5.9,0.8,2.2,0.36200000000000004,0.0,0.1,0.0,0.8,2.2,0.373,0.36200000000000004,0.6,0.9,0.7140000000000001,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3,2009
8,LaMarcus Aldridge,PF,23.0,POR,81.0,81.0,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15.0,0.489,0.486,3.2,4.1,0.7809999999999999,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1,2009
9,Joe Alexander,SF,22.0,MIL,59.0,0.0,12.1,1.7,4.2,0.41600000000000004,0.3,0.8,0.348,1.5,3.4,0.43200000000000005,0.449,1.0,1.4,0.6990000000000001,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,2009
10,Malik Allen,PF,30.0,MIL,49.0,3.0,11.8,1.5,3.5,0.429,0.0,0.0,0.0,1.5,3.4,0.43200000000000005,0.429,0.2,0.4,0.47600000000000003,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2,2009
11,Ray Allen,SG,33.0,BOS,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.9520000000000001,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2,2009
12,Tony Allen,SG,27.0,BOS,46.0,2.0,19.3,3.0,6.2,0.48200000000000004,0.1,0.6,0.222,2.8,5.6,0.51,0.493,1.7,2.4,0.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8,2009
13,Morris Almond,SG,23.0,UTA,25.0,1.0,10.2,1.3,3.2,0.40700000000000003,0.2,0.7,0.294,1.1,2.6,0.43799999999999994,0.43799999999999994,0.8,1.0,0.8079999999999999,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7,2009
14,Rafer Alston,PG,32.0,TOT,77.0,76.0,31.8,4.1,10.6,0.385,1.5,4.3,0.33799999999999997,2.6,6.4,0.41700000000000004,0.45399999999999996,2.0,2.7,0.75,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7,2009
17,Lou Amundson,PF,26.0,PHO,76.0,0.0,13.7,1.8,3.3,0.536,0.0,0.0,0.0,1.8,3.3,0.5379999999999999,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2,2009
18,Chris Andersen,C,30.0,DEN,71.0,1.0,20.6,2.3,4.1,0.5479999999999999,0.0,0.1,0.2,2.2,4.0,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,2009
19,Ryan Anderson,PF,20.0,NJN,66.0,30.0,19.9,2.4,6.2,0.39299999999999996,1.0,2.9,0.365,1.4,3.3,0.41700000000000004,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,2009
20,Carmelo Anthony,SF,24.0,DEN,66.0,66.0,34.5,8.1,18.3,0.44299999999999995,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.7929999999999999,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,2009
21,Joel Anthony,C,26.0,MIA,65.0,28.0,16.1,0.9,1.8,0.483,0.0,0.0,,0.9,1.8,0.483,0.483,0.5,0.7,0.652,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2,2009
22,Gilbert Arenas,PG,27.0,WAS,2.0,2.0,31.5,3.0,11.5,0.261,1.0,3.5,0.28600000000000003,2.0,8.0,0.25,0.304,6.0,8.0,0.75,0.5,4.0,4.5,10.0,0.0,0.5,0.5,2.0,13.0,2009
23,Trevor Ariza,SF,23.0,LAL,82.0,20.0,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9,2009
25,Hilton Armstrong,C,24.0,NOH,70.0,29.0,15.6,2.0,3.5,0.561,0.0,0.0,0.0,2.0,3.5,0.5660000000000001,0.561,0.9,1.4,0.633,1.2,1.6,2.8,0.4,0.4,0.6,1.1,2.6,4.8,2009
26,Darrell Arthur,PF,20.0,MEM,76.0,64.0,19.3,2.5,5.7,0.43799999999999994,0.0,0.0,0.0,2.5,5.7,0.44,0.43799999999999994,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6,2009
27,Chucky Atkins,PG,34.0,TOT,33.0,0.0,12.5,1.0,3.4,0.301,0.5,1.7,0.263,0.6,1.7,0.33899999999999997,0.36700000000000005,0.5,0.5,0.938,0.2,0.6,0.7,1.8,0.3,0.1,0.7,0.8,3.0,2009
30,D.J. Augustin,PG,21.0,CHA,72.0,12.0,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.2,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,1.9,11.8,2009
31,Kelenna Azubuike,SF,25.0,GSW,74.0,51.0,32.1,5.3,11.4,0.46399999999999997,1.3,2.8,0.44799999999999995,4.0,8.6,0.469,0.52,2.5,3.1,0.8079999999999999,1.5,3.5,5.0,1.6,0.8,0.7,1.3,2.5,14.4,2009
32,Renaldo Balkman,PF,24.0,DEN,53.0,10.0,14.7,2.1,3.7,0.5579999999999999,0.0,0.1,0.28600000000000003,2.0,3.6,0.568,0.563,0.8,1.2,0.6459999999999999,1.6,2.2,3.8,0.6,0.9,0.4,0.7,1.8,5.0,2009
33,Marcus Banks,PG,27.0,TOT,22.0,0.0,9.4,1.0,2.6,0.368,0.1,0.9,0.158,0.8,1.7,0.474,0.395,0.5,0.8,0.611,0.0,0.8,0.8,1.3,0.5,0.1,0.6,1.2,2.5,2009
36,Leandro Barbosa,SG,26.0,PHO,70.0,11.0,24.4,5.2,10.8,0.48200000000000004,1.3,3.4,0.375,3.9,7.4,0.532,0.542,2.4,2.8,0.8809999999999999,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2,2009
37,J.J. Barea,SG,24.0,DAL,79.0,15.0,20.3,3.1,7.1,0.442,0.7,1.9,0.35700000000000004,2.4,5.1,0.474,0.491,0.9,1.2,0.753,0.5,1.8,2.2,3.4,0.5,0.1,1.3,1.5,7.8,2009
38,Andrea Bargnani,PF,23.0,TOR,78.0,59.0,31.4,5.5,12.3,0.45,1.5,3.7,0.409,4.0,8.6,0.46799999999999997,0.512,2.8,3.4,0.831,0.9,4.4,5.3,1.2,0.4,1.2,1.7,3.1,15.4,2009
39,Matt Barnes,PF,28.0,PHO,77.0,40.0,27.0,3.7,8.8,0.423,1.5,4.4,0.34299999999999997,2.2,4.3,0.505,0.51,1.3,1.8,0.743,1.0,4.4,5.5,2.8,0.7,0.3,1.7,2.7,10.2,2009
40,Brent Barry,SG,37.0,HOU,56.0,1.0,15.3,1.3,3.1,0.40700000000000003,0.9,2.3,0.374,0.4,0.7,0.512,0.5489999999999999,0.3,0.4,0.95,0.3,1.4,1.7,1.4,0.4,0.1,0.9,0.8,3.7,2009
41,Brandon Bass,C,23.0,DAL,81.0,0.0,19.4,3.1,6.3,0.496,0.0,0.1,0.0,3.1,6.2,0.502,0.496,2.2,2.6,0.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5,2009
42,Maceo Baston,PF,33.0,IND,27.0,0.0,8.0,0.9,1.7,0.5429999999999999,0.0,0.0,0.0,0.9,1.7,0.556,0.5429999999999999,0.6,1.0,0.63,0.8,1.1,1.9,0.3,0.2,0.4,0.4,1.4,2.5,2009
43,Tony Battie,PF,32.0,ORL,77.0,3.0,15.6,2.1,4.2,0.489,0.0,0.1,0.222,2.0,4.1,0.49700000000000005,0.49200000000000005,0.7,1.1,0.659,1.2,2.4,3.6,0.4,0.3,0.3,0.6,1.5,4.8,2009
44,Shane Battier,SG,30.0,HOU,60.0,59.0,33.9,2.4,5.9,0.41,1.5,4.0,0.384,0.9,2.0,0.462,0.5379999999999999,0.9,1.1,0.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3,2009
45,Nicolas Batum,SF,20.0,POR,79.0,76.0,18.4,2.0,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.8079999999999999,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4,2009
46,Jerryd Bayless,PG,20.0,POR,53.0,0.0,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.38299999999999995,0.384,1.6,1.9,0.8059999999999999,0.2,0.9,1.1,1.5,0.3,0.0,1.1,1.5,4.3,2009
47,Michael Beasley,PF,20.0,MIA,81.0,19.0,24.8,5.6,11.8,0.47200000000000003,0.4,1.0,0.40700000000000003,5.2,10.8,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9,2009
