,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,22,POR,5,0,2.6,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8
1,Mark Aguirre,SF,31,DET,15,2,26.5,6.0,11.9,.506,0.8,2.2,.364,5.2,9.7,.538,.539,2.8,3.4,.824,1.1,2.9,4.1,1.9,0.8,0.1,1.3,2.7,15.6
2,Danny Ainge,SG,31,POR,16,0,17.3,2.9,6.6,.448,0.7,2.3,.306,2.3,4.3,.522,.500,1.4,1.8,.821,0.1,1.7,1.8,1.9,0.8,0.3,1.5,2.1,8.0
3,Ron Anderson,SF,32,PHI,8,0,27.9,4.4,11.0,.398,0.1,0.6,.200,4.3,10.4,.410,.403,2.1,2.4,.895,1.1,1.5,2.6,2.4,0.8,0.0,1.5,3.0,11.0
4,Willie Anderson,SG,24,SAS,4,4,39.8,8.3,17.0,.485,0.5,2.5,.200,7.8,14.5,.534,.500,2.0,3.3,.615,0.5,4.3,4.8,4.8,1.5,0.5,3.3,4.0,19.0
5,B.J. Armstrong,PG,23,CHI,17,0,16.1,2.1,4.1,.500,0.2,0.3,.600,1.9,3.8,.492,.521,1.2,1.5,.800,0.3,1.3,1.6,2.5,1.1,0.1,0.8,0.8,5.5
6,Vincent Askew,SG,24,GSW,6,0,6.8,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,0.5,1.0,.500,0.8,1.0,1.8,0.3,0.3,0.0,0.0,1.0,2.5
7,Thurl Bailey,PF,29,UTA,9,0,25.3,2.6,7.1,.359,0.0,0.0,,2.6,7.1,.359,.359,2.4,2.8,.880,1.2,2.3,3.6,1.0,0.3,0.7,1.3,3.0,7.6
8,Charles Barkley*,SF,27,PHI,8,8,40.8,9.3,15.6,.592,0.3,2.5,.100,9.0,13.1,.686,.600,6.1,9.4,.653,3.9,6.6,10.5,6.0,1.9,0.4,3.1,2.9,24.9
9,Dana Barros,PG,23,SEA,3,0,8.3,3.0,4.3,.692,0.7,1.7,.400,2.3,2.7,.875,.769,1.0,1.3,.750,0.3,1.0,1.3,1.7,1.0,0.0,1.0,0.3,7.7
10,John Battle,SG,28,ATL,5,0,21.4,3.2,8.8,.364,0.4,1.0,.400,2.8,7.8,.359,.386,4.8,5.0,.960,0.8,1.2,2.0,2.2,0.2,0.0,1.8,2.2,11.6
11,William Bedford,C,27,DET,8,3,8.1,0.6,3.0,.208,0.0,0.3,.000,0.6,2.8,.227,.208,1.1,1.8,.643,1.1,1.6,2.8,0.5,0.3,0.5,0.5,1.8,2.4
12,Benoit Benjamin,C,26,SEA,5,5,32.6,4.0,8.2,.488,0.0,0.0,,4.0,8.2,.488,.488,5.8,6.4,.906,1.4,5.2,6.6,0.2,0.6,2.6,2.2,3.4,13.8
13,Larry Bird*,SF,34,BOS,10,10,39.6,6.2,15.2,.408,0.3,2.1,.143,5.9,13.1,.450,.418,4.4,5.1,.863,0.8,6.4,7.2,6.5,1.3,0.3,1.9,2.8,17.1
14,Manute Bol,C,28,PHI,8,0,13.6,1.1,2.3,.500,0.0,0.0,,1.1,2.3,.500,.500,0.8,1.1,.667,0.5,1.9,2.4,0.1,0.1,1.5,0.6,1.8,3.0
15,Frank Brickowski,PF,31,MIL,3,3,36.7,8.0,15.0,.533,0.0,0.7,.000,8.0,14.3,.558,.533,2.3,4.7,.500,1.7,7.0,8.7,1.0,0.3,0.7,2.0,5.3,18.3
16,Dee Brown,PG,22,BOS,11,0,25.8,4.8,9.8,.491,0.0,0.5,.000,4.8,9.4,.515,.491,2.5,3.1,.824,0.8,3.3,4.1,3.7,1.0,0.5,2.0,2.9,12.2
17,Mike Brown,C,27,UTA,9,0,24.8,3.0,6.2,.482,0.0,0.0,,3.0,6.2,.482,.482,3.6,4.2,.842,2.2,5.1,7.3,0.6,0.3,0.1,1.3,4.0,9.6
18,Tony Brown,SG,30,UTA,4,0,7.3,1.0,2.0,.500,0.3,0.5,.500,0.8,1.5,.500,.563,0.0,0.0,,0.5,0.3,0.8,0.3,0.0,0.0,0.3,0.5,2.3
19,Mark Bryant,PF,25,POR,14,0,9.8,0.7,1.6,.455,0.0,0.0,,0.7,1.6,.455,.455,1.0,1.1,.875,1.0,1.3,2.3,0.1,0.1,0.1,0.3,1.8,2.4
