,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,24,BOS,4,4,17.0,2.8,6.0,.458,0.0,0.0,,2.8,6.0,.458,.458,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5
1,Rafael Addison,SF,28,NJN,5,0,10.6,1.4,4.2,.333,0.0,0.0,,1.4,4.2,.333,.333,0.6,0.6,1.000,0.6,0.6,1.2,1.0,0.6,0.0,0.6,0.6,3.4
2,Danny Ainge,SG,33,PHO,24,0,24.6,2.7,7.1,.376,1.4,3.3,.413,1.3,3.8,.344,.474,1.4,1.6,.872,0.8,1.7,2.5,2.3,0.5,0.1,0.9,2.5,8.1
3,Eric Anderson,PF,22,NYK,2,0,3.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0
4,Willie Anderson,SG,26,SAS,10,0,21.9,3.7,8.2,.451,0.6,1.1,.545,3.1,7.1,.437,.488,1.5,1.7,.882,0.4,1.9,2.3,2.8,0.9,0.2,1.2,2.3,9.5
5,Greg Anthony,PG,25,NYK,15,0,16.0,1.6,4.0,.400,0.2,0.9,.214,1.4,3.1,.457,.425,0.5,0.9,.571,0.3,1.7,2.0,3.5,0.9,0.1,0.7,1.7,3.9
6,B.J. Armstrong,PG,25,CHI,19,19,33.8,4.6,8.8,.524,1.1,2.2,.512,3.5,6.7,.528,.586,1.1,1.2,.909,0.3,1.2,1.5,3.3,1.0,0.1,0.7,2.6,11.4
7,Vincent Askew,SG,26,SEA,12,0,8.6,1.9,3.4,.561,0.0,0.0,,1.9,3.4,.561,.561,1.3,1.9,.696,0.8,0.8,1.6,0.8,0.1,0.1,0.6,1.0,5.2
8,Stacey Augmon,SG,24,ATL,3,3,31.0,4.7,10.3,.452,0.0,0.0,,4.7,10.3,.452,.452,2.7,4.0,.667,1.0,1.7,2.7,1.7,1.3,0.0,1.3,2.3,12.0
9,Isaac Austin,C,23,UTA,1,0,3.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
10,Charles Barkley*,PF,29,PHO,24,24,42.8,9.6,20.1,.477,0.4,1.9,.222,9.2,18.2,.503,.488,7.0,9.1,.771,3.9,9.7,13.6,4.3,1.6,1.0,2.1,3.0,26.6
11,Dana Barros,PG,25,SEA,16,0,8.5,1.4,2.9,.468,0.3,1.0,.313,1.1,1.9,.548,.521,0.4,0.5,.750,0.0,0.8,0.8,0.8,0.3,0.0,0.5,0.4,3.4
12,John Battle,SG,30,CLE,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0
13,Tony Bennett,PG,23,CHH,8,0,10.8,1.5,3.1,.480,0.5,1.0,.500,1.0,2.1,.471,.560,0.3,0.3,1.000,0.1,1.0,1.1,1.6,0.3,0.1,0.6,1.0,3.8
