,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Hassan Adams,SG,22,NJN,6,0,1.5,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3
1,Maurice Ager,SG,22,DAL,3,0,8.0,1.7,3.0,.556,0.7,1.0,.667,1.0,2.0,.500,.667,1.0,2.0,.500,0.3,0.7,1.0,0.0,0.0,0.0,0.0,1.0,5.0
2,Malik Allen,PF,28,CHI,5,0,6.8,0.4,2.4,.167,0.0,0.0,,0.4,2.4,.167,.167,0.0,0.0,,0.8,0.6,1.4,0.2,0.2,0.2,0.6,1.4,0.8
3,Rafer Alston,PG,30,HOU,7,7,44.1,3.6,10.6,.338,2.3,7.1,.320,1.3,3.4,.375,.446,1.4,1.9,.769,0.9,6.0,6.9,5.0,1.9,0.4,2.4,3.3,10.9
4,Carmelo Anthony,SF,22,DEN,5,5,42.0,9.4,19.6,.480,1.8,3.6,.500,7.6,16.0,.475,.526,6.2,7.8,.795,3.6,5.0,8.6,1.2,1.0,0.0,3.8,2.4,26.8
5,Rafael Araújo,C,26,UTA,5,0,5.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,1.0,2.4,.417,0.6,1.6,2.2,0.2,0.2,0.0,0.0,1.6,2.2
6,Trevor Ariza,SG,21,ORL,4,0,11.8,1.3,4.0,.313,0.0,0.0,,1.3,4.0,.313,.313,0.3,1.0,.250,1.3,1.0,2.3,1.3,0.3,0.0,1.0,2.3,2.8
7,Carlos Arroyo,PG,27,ORL,3,0,13.3,1.7,4.7,.357,0.0,0.7,.000,1.7,4.0,.417,.357,0.7,0.7,1.000,0.7,1.0,1.7,2.0,0.3,0.0,0.3,1.3,4.0
8,Kelenna Azubuike,SG,23,GSW,6,0,2.5,0.2,0.5,.333,0.0,0.2,.000,0.2,0.3,.500,.333,0.3,0.3,1.000,0.2,0.5,0.7,0.0,0.2,0.0,0.0,0.2,0.7
9,Marcus Banks,PG,25,PHO,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
10,Leandro Barbosa,SG,24,PHO,11,1,31.7,5.8,14.4,.405,1.6,5.4,.305,4.2,9.0,.465,.462,2.5,3.5,.718,0.6,2.8,3.5,2.2,1.1,0.2,2.0,2.7,15.8
11,J.J. Barea,PG,22,DAL,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
