,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Adams,PG,27,DEN,3,3,35.0,4.3,11.3,.382,2.0,6.7,.300,2.3,4.7,.500,.471,2.3,2.7,.875,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0
1,Mark Aguirre,SF,30,DET,20,3,22.0,4.3,9.2,.467,0.4,1.2,.333,3.9,8.0,.488,.489,2.0,2.6,.750,1.6,3.0,4.6,1.4,0.5,0.2,1.5,2.6,11.0
2,Steve Alford,PG,25,DAL,3,0,14.0,2.7,6.0,.444,0.7,2.0,.333,2.0,4.0,.500,.500,1.7,1.7,1.000,0.3,0.7,1.0,2.7,0.3,0.0,1.0,1.3,7.7
3,Greg Anderson,PF,25,MIL,4,0,25.3,3.3,4.8,.684,0.0,0.0,,3.3,4.8,.684,.684,1.8,3.5,.500,1.5,4.5,6.0,0.0,0.3,1.0,1.0,4.8,8.3
4,Ron Anderson,SF,31,PHI,10,0,25.6,4.0,9.3,.430,0.3,0.5,.600,3.7,8.8,.420,.446,2.9,3.0,.967,0.6,3.1,3.7,1.4,0.4,0.0,1.5,2.2,11.2
5,Willie Anderson,SG,23,SAS,10,10,37.5,8.7,16.8,.518,0.2,0.5,.400,8.5,16.3,.521,.524,2.9,3.6,.806,1.6,3.8,5.4,5.2,0.9,0.4,2.6,4.0,20.5
6,B.J. Armstrong,PG,22,CHI,16,0,13.6,1.3,3.9,.339,0.0,0.3,.000,1.3,3.6,.362,.339,1.4,1.5,.917,0.2,1.1,1.3,1.8,0.6,0.0,0.8,1.4,4.0
7,John Bagley,PG,29,BOS,5,0,14.0,1.6,3.0,.533,0.0,0.2,.000,1.6,2.8,.571,.533,0.6,0.8,.750,0.6,0.2,0.8,3.4,0.8,0.2,1.8,1.8,3.8
8,Thurl Bailey,SF,28,UTA,5,5,38.0,8.6,17.6,.489,0.0,0.0,,8.6,17.6,.489,.489,3.8,4.8,.792,1.6,4.8,6.4,1.4,1.0,1.2,1.0,3.8,21.0
9,Charles Barkley*,SF,26,PHI,10,10,41.9,8.8,16.2,.543,0.6,1.8,.333,8.2,14.4,.569,.562,6.5,10.8,.602,6.6,8.9,15.5,4.3,0.8,0.7,3.0,3.6,24.7
10,Kenny Battle,SG,25,PHO,8,0,4.3,0.5,1.6,.308,0.0,0.0,,0.5,1.6,.308,.308,0.1,0.1,1.000,0.1,0.5,0.6,0.0,0.0,0.0,0.3,0.6,1.1
11,William Bedford,C,26,DET,5,0,3.8,0.2,1.2,.167,0.0,0.0,,0.2,1.2,.167,.167,0.4,0.4,1.000,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.8,0.8
12,Winston Bennett,SF,24,CLE,5,5,27.0,4.6,9.4,.489,0.0,0.0,,4.6,9.4,.489,.489,0.8,1.2,.667,2.8,1.4,4.2,1.0,0.6,0.2,0.8,2.2,10.0
13,Larry Bird*,SF,33,BOS,5,5,41.4,8.8,19.8,.444,1.0,3.8,.263,7.8,16.0,.488,.470,5.8,6.4,.906,1.4,7.8,9.2,8.8,1.0,1.0,3.6,2.0,24.4
14,Uwe Blab,C,27,SAS,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.5,3.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5
15,Rolando Blackman,SG,30,DAL,3,3,42.3,8.0,18.0,.444,0.7,1.7,.400,7.3,16.3,.449,.463,3.3,3.3,1.000,0.7,2.3,3.0,4.3,2.0,0.7,4.3,2.3,20.0
16,Anthony Bowie,SG,26,HOU,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
17,Frank Brickowski,C,30,SAS,10,0,16.1,3.1,5.4,.574,0.0,0.0,,3.1,5.4,.574,.574,1.7,2.6,.654,1.6,2.8,4.4,1.1,0.8,0.1,1.5,3.1,7.9
18,Scott Brooks,PG,24,PHI,9,0,11.0,0.7,2.1,.316,0.3,0.8,.429,0.3,1.3,.250,.395,0.7,1.0,.667,0.2,0.7,0.9,1.8,0.3,0.0,0.8,1.4,2.3
19,Mike Brown,C,26,UTA,5,0,13.4,1.4,3.0,.467,0.0,0.0,,1.4,3.0,.467,.467,0.8,1.0,.800,1.0,1.0,2.0,0.6,0.2,0.2,1.0,2.2,3.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Raymond Brown,PF,24,UTA,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
22,Tony Brown,SF,29,MIL,2,0,6.5,0.5,1.5,.333,0.5,0.5,1.000,0.0,1.0,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5
23,Mark Bryant,PF,24,POR,13,0,12.3,1.4,2.5,.545,0.0,0.0,,1.4,2.5,.545,.545,0.5,0.6,.750,0.7,1.5,2.2,0.2,0.2,0.2,0.9,2.1,3.2
