,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,24,DEN,12,12,28.3,4.8,12.8,.370,1.0,3.1,.324,3.8,9.8,.385,.409,2.4,2.6,.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9
1,Danny Ainge,SG,34,PHO,10,0,23.0,2.7,5.9,.458,1.7,4.0,.425,1.0,1.9,.526,.602,1.5,2.1,.714,0.7,1.6,2.3,2.1,0.6,0.1,0.5,2.6,8.6
2,Kenny Anderson,PG,23,NJN,4,4,45.3,4.8,13.5,.352,0.8,2.5,.300,4.0,11.0,.364,.380,5.5,8.3,.667,0.5,2.5,3.0,6.8,2.3,0.0,2.3,2.8,15.8
3,Nick Anderson,SG,26,ORL,3,3,40.0,4.3,11.3,.382,2.7,6.7,.400,1.7,4.7,.357,.500,3.0,4.0,.750,0.7,2.7,3.3,3.3,1.7,0.7,1.7,2.7,14.3
4,Willie Anderson,SG,27,SAS,4,4,26.5,3.5,9.3,.378,0.3,0.3,1.000,3.3,9.0,.361,.392,1.0,1.8,.571,0.8,1.3,2.0,3.0,1.3,0.5,1.0,1.8,8.3
5,Greg Anthony,PG,26,NYK,25,3,17.4,1.8,5.1,.352,0.7,2.4,.295,1.1,2.7,.403,.422,0.6,1.0,.583,0.4,0.7,1.1,2.4,0.8,0.3,1.2,2.2,4.9
6,B.J. Armstrong,PG,26,CHI,10,10,36.0,5.5,10.6,.519,0.7,1.2,.583,4.8,9.4,.511,.552,3.6,4.4,.818,0.2,2.2,2.4,2.5,0.8,0.0,0.9,2.1,15.3
7,Vincent Askew,SG,27,SEA,5,0,19.0,2.0,5.6,.357,0.0,0.2,.000,2.0,5.4,.370,.357,3.2,3.8,.842,0.4,0.8,1.2,1.8,0.4,0.0,0.4,2.0,7.2
8,Keith Askins,SF,26,MIA,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
9,Stacey Augmon,SG,25,ATL,11,11,29.5,4.2,8.1,.517,0.0,0.0,,4.2,8.1,.517,.517,2.5,3.5,.711,1.2,1.5,2.6,2.5,0.6,0.2,1.4,2.4,10.8
10,Anthony Avent,PF,24,ORL,2,0,20.0,3.0,6.5,.462,0.0,0.0,,3.0,6.5,.462,.462,3.5,4.0,.875,4.0,1.5,5.5,0.5,0.0,0.0,0.5,1.0,9.5
11,Charles Barkley*,PF,30,PHO,10,10,42.5,11.0,21.6,.509,1.4,4.0,.350,9.6,17.6,.545,.542,4.2,5.5,.764,3.4,9.6,13.0,4.8,2.5,0.9,2.7,2.6,27.6
12,John Battle,SG,31,CLE,1,0,8.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
13,Benoit Benjamin,C,29,NJN,4,4,27.0,1.8,4.3,.412,0.0,0.0,,1.8,4.3,.412,.412,1.8,2.0,.875,1.3,4.0,5.3,0.3,0.5,2.0,1.3,4.0,5.3
14,David Benoit,SF,25,UTA,16,5,22.3,3.0,7.6,.393,0.2,1.0,.188,2.8,6.6,.425,.406,1.0,1.6,.640,1.4,2.8,4.2,0.6,0.4,0.7,1.0,1.9,7.2
15,Rolando Blackman,SG,34,NYK,6,0,5.7,0.5,1.8,.273,0.3,0.7,.500,0.2,1.2,.143,.364,0.0,0.0,,0.2,0.3,0.5,0.5,0.0,0.0,0.2,1.0,1.3
16,Mookie Blaylock,PG,26,ATL,11,11,37.7,4.4,12.8,.340,2.0,5.8,.344,2.4,7.0,.338,.418,2.3,2.7,.833,1.5,3.5,5.0,8.9,2.2,0.5,2.9,2.0,13.0
17,Walter Bond,SG,24,UTA,4,0,3.3,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.3
