,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alaa Abdelnaby,PF,23,POR,8,0,3.1,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.3,0.5,.500,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5
1,Rafael Addison,SF,27,NJN,1,0,9.0,2.0,7.0,.286,1.0,2.0,.500,1.0,5.0,.200,.357,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2,Mark Aguirre,SF,32,DET,5,0,22.6,3.2,9.6,.333,0.2,1.0,.200,3.0,8.6,.349,.344,2.4,3.2,.750,0.8,1.0,1.8,2.4,0.4,0.2,2.6,1.8,9.0
3,Danny Ainge,SG,32,POR,21,0,21.4,3.9,8.0,.479,1.0,2.5,.404,2.9,5.6,.513,.541,1.9,2.2,.830,0.4,1.5,1.9,2.3,0.7,0.0,1.2,2.8,10.6
4,Victor Alexander,C,22,GSW,4,0,6.0,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.3,0.3,1.000,0.3,1.3,1.5,0.3,0.5,0.0,0.5,2.0,1.8
5,Kenny Anderson,PG,21,NJN,3,0,8.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.7,0.7,1.000,0.3,0.7,1.0,1.0,0.3,0.0,0.3,0.3,2.7
6,Greg Anthony,PG,24,NYK,12,0,17.8,1.6,3.8,.413,0.4,1.0,.417,1.2,2.8,.412,.467,1.7,2.8,.606,0.3,1.1,1.4,3.4,1.3,0.1,1.1,2.3,5.3
7,B.J. Armstrong,PG,24,CHI,22,0,19.7,2.9,6.3,.453,0.2,0.8,.294,2.6,5.5,.475,.471,1.4,1.7,.789,0.1,1.0,1.1,2.1,0.6,0.0,0.8,1.5,7.3
8,Vincent Askew,SG,25,GSW,4,0,7.5,0.3,2.0,.125,0.0,0.0,,0.3,2.0,.125,.125,0.0,0.0,,0.8,0.3,1.0,1.3,0.0,0.0,0.5,0.8,0.5
9,Keith Askins,SF,24,MIA,3,0,16.0,1.7,3.7,.455,1.0,1.7,.600,0.7,2.0,.333,.591,0.0,0.7,.000,1.3,1.7,3.0,1.0,0.3,0.0,0.3,2.3,4.3
10,John Bagley,PG,31,BOS,10,10,30.8,4.2,9.5,.442,0.1,0.4,.250,4.1,9.1,.451,.447,2.6,3.7,.703,0.8,1.9,2.7,8.5,0.9,0.1,3.5,1.7,11.1
11,Dana Barros,PG,24,SEA,7,0,13.7,3.0,5.7,.525,1.4,2.4,.588,1.6,3.3,.478,.650,0.0,0.0,,0.1,0.9,1.0,1.1,0.6,0.0,0.9,1.6,7.4
12,John Battle,SG,29,CLE,15,0,13.5,2.3,5.5,.415,0.0,0.1,.000,2.3,5.3,.425,.415,1.4,1.5,.913,0.3,0.5,0.8,1.0,0.3,0.1,1.2,0.7,5.9
13,William Bedford,C,28,DET,1,0,9.0,3.0,6.0,.500,0.0,0.0,,3.0,6.0,.500,.500,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0
14,Benoit Benjamin,C,27,SEA,9,4,17.9,2.6,4.6,.561,0.0,0.1,.000,2.6,4.4,.575,.561,1.0,2.0,.500,1.1,4.0,5.1,0.6,0.6,1.4,0.9,2.2,6.1
15,David Benoit,SF,23,UTA,13,9,19.8,2.8,6.5,.429,0.5,1.0,.462,2.3,5.5,.423,.464,0.8,0.8,1.000,1.4,2.5,3.8,0.5,0.5,0.4,0.8,2.3,6.8
16,Larry Bird*,SF,35,BOS,4,2,26.8,5.3,10.5,.500,0.0,1.3,.000,5.3,9.3,.568,.500,0.8,1.0,.750,0.5,4.0,4.5,5.3,0.3,0.5,1.5,1.8,11.3
17,Lance Blanks,SG,25,DET,1,0,10.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0
18,Mookie Blaylock,PG,24,NJN,4,4,37.0,4.3,13.8,.309,0.3,1.5,.167,4.0,12.3,.327,.318,0.8,1.0,.750,1.3,2.8,4.0,7.8,3.8,0.5,1.8,4.0,9.5
19,Sam Bowie,C,30,NJN,4,4,28.0,3.5,8.3,.424,0.3,0.5,.500,3.3,7.8,.419,.439,2.0,3.0,.667,2.0,2.8,4.8,2.3,0.8,0.8,1.3,4.8,9.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Terrell Brandon,PG,21,CLE,12,0,13.1,1.8,4.6,.400,0.0,0.3,.000,1.8,4.3,.423,.400,0.3,0.3,.750,0.3,1.5,1.8,2.5,0.3,0.1,0.9,1.4,3.9
22,Chucky Brown,SF,23,LAL,3,0,14.7,2.7,6.3,.421,0.0,0.3,.000,2.7,6.0,.444,.421,1.0,2.0,.500,1.0,2.7,3.7,0.7,0.0,0.7,0.3,1.0,6.3
23,Dee Brown,PG,23,BOS,6,0,20.0,3.7,7.3,.500,0.0,0.5,.000,3.7,6.8,.537,.500,0.7,1.0,.667,0.5,1.5,2.0,5.2,0.2,0.7,1.2,2.7,8.0
24,Mike Brown,C,28,UTA,16,0,17.1,1.9,4.7,.400,0.0,0.0,,1.9,4.7,.400,.400,2.0,2.6,.780,1.4,2.7,4.1,0.7,0.1,0.1,1.0,2.7,5.8
25,Tony Brown,SF,31,SEA,5,0,4.4,0.4,1.2,.333,0.2,0.8,.250,0.2,0.4,.500,.417,0.8,1.4,.571,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.6,1.8
26,Mark Bryant,PF,26,POR,12,0,9.7,0.8,2.4,.345,0.0,0.0,,0.8,2.4,.345,.345,0.3,0.3,.750,0.9,1.5,2.4,0.1,0.3,0.0,0.8,1.8,1.9
27,Steve Burtt,SG,29,PHO,8,0,13.0,2.0,4.8,.421,0.0,0.3,.000,2.0,4.5,.444,.421,2.3,2.6,.857,0.4,1.1,1.5,1.8,0.6,0.0,1.0,2.3,6.3
28,Michael Cage,PF,30,SEA,9,4,21.9,2.1,3.8,.559,0.0,0.0,,2.1,3.8,.559,.559,0.1,0.1,1.000,2.0,3.7,5.7,0.4,0.7,0.9,0.9,2.4,4.3
29,Elden Campbell,C,23,LAL,4,2,29.3,3.5,9.3,.378,0.0,0.0,,3.5,9.3,.378,.378,3.0,4.5,.667,2.3,4.0,6.3,1.5,0.8,1.5,1.0,3.5,10.0
30,Antoine Carr,PF,30,SAS,3,3,36.3,8.0,14.7,.545,0.3,0.7,.500,7.7,14.0,.548,.557,3.3,5.3,.625,2.7,5.0,7.7,1.0,0.7,3.7,1.3,4.7,19.7
31,Bill Cartwright,C,34,CHI,22,22,27.8,2.5,5.3,.474,0.0,0.0,,2.5,5.3,.474,.474,0.6,1.4,.419,1.3,3.1,4.5,1.7,0.5,0.2,1.2,3.2,5.6
32,Cedric Ceballos,SF,22,PHO,8,8,23.5,5.5,10.0,.550,0.0,0.0,,5.5,10.0,.550,.550,2.5,3.8,.667,2.5,3.9,6.4,1.5,0.8,0.8,1.4,1.8,13.5
33,Tom Chambers,PF,32,PHO,7,0,27.7,5.6,12.1,.459,0.6,1.0,.571,5.0,11.1,.449,.482,3.9,4.6,.844,1.1,3.3,4.4,2.7,0.3,0.7,2.1,3.6,15.6
34,Derrick Coleman,PF,24,NJN,4,4,40.5,9.0,18.5,.486,0.3,1.5,.167,8.8,17.0,.515,.493,4.0,5.3,.762,3.3,8.0,11.3,5.3,1.8,1.0,2.8,3.0,22.3
35,Bimbo Coles,PG,23,MIA,3,0,15.0,2.3,3.3,.700,0.3,0.3,1.000,2.0,3.0,.667,.750,2.7,3.3,.800,0.7,1.7,2.3,2.0,1.0,0.0,1.7,1.7,7.7
36,Marty Conlon,C,24,SEA,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
37,Wayne Cooper,C,35,POR,3,0,9.0,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.0,0.0,,0.3,2.3,2.7,0.0,0.0,1.0,0.3,1.3,1.3
38,Tyrone Corbin,SF,29,UTA,16,0,27.9,4.3,8.6,.504,0.0,0.1,.000,4.3,8.4,.511,.504,2.6,3.4,.778,2.4,3.1,5.5,1.1,0.8,0.2,1.1,2.8,11.3
39,Corey Crowder,SF,22,UTA,4,0,3.0,1.3,2.3,.556,0.0,0.5,.000,1.3,1.8,.714,.556,0.0,0.3,.000,0.3,0.3,0.5,0.3,0.3,0.0,0.5,0.3,2.5
40,Terry Cummings,PF,30,SAS,3,3,40.7,11.3,22.0,.515,0.0,0.3,.000,11.3,21.7,.523,.515,3.3,6.7,.500,5.0,6.3,11.3,2.3,1.3,1.3,2.3,3.0,26.0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Brad Daugherty,C,26,CLE,17,17,40.4,7.3,13.8,.528,0.0,0.1,.000,7.3,13.8,.530,.528,6.9,8.5,.814,2.2,8.1,10.2,3.4,0.6,1.0,2.2,2.8,21.5
43,Dale Davis,PF,22,IND,3,0,23.0,1.3,3.3,.400,0.0,0.0,,1.3,3.3,.400,.400,0.0,0.0,,1.7,4.7,6.3,0.7,0.0,1.7,0.3,2.7,2.7
44,Vlade Divac*,C,23,LAL,4,4,35.8,3.8,10.8,.349,0.0,0.5,.000,3.8,10.3,.366,.349,2.3,2.5,.900,1.5,4.0,5.5,3.8,1.3,0.8,4.5,4.3,9.8
