,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shareef Abdur-Rahim,PF,29,SAC,6,0,21.5,3.8,7.2,.535,0.0,0.5,.000,3.8,6.7,.575,.535,1.5,2.5,.600,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2
1,Malik Allen,PF,27,CHI,6,6,19.3,2.3,5.0,.467,0.0,0.0,,2.3,5.0,.467,.467,0.0,0.2,.000,0.8,2.2,3.0,1.2,0.3,1.0,1.7,2.7,4.7
2,Derek Anderson,SG,31,MIA,8,0,8.3,0.8,2.5,.300,0.6,1.8,.357,0.1,0.8,.167,.425,0.9,1.0,.875,0.0,1.1,1.1,0.6,0.3,0.0,0.4,1.6,3.0
3,Shandon Anderson,SF,32,MIA,13,0,6.9,0.3,1.0,.308,0.1,0.2,.333,0.2,0.8,.300,.346,0.3,0.5,.667,0.2,0.7,0.9,0.3,0.0,0.1,0.5,0.6,1.0
4,Carmelo Anthony,SF,21,DEN,5,5,38.6,6.6,19.8,.333,0.0,0.8,.000,6.6,19.0,.347,.333,7.8,10.4,.750,2.4,4.2,6.6,2.8,0.8,0.2,3.0,4.0,21.0
5,Gilbert Arenas,PG,24,WAS,6,6,47.3,10.8,23.3,.464,3.3,7.7,.435,7.5,15.7,.479,.536,9.0,11.7,.771,1.2,4.3,5.5,5.3,2.2,0.7,3.3,3.5,34.0
6,Darrell Armstrong,PG,37,DAL,11,0,4.3,0.3,1.4,.200,0.0,0.6,.000,0.3,0.7,.375,.200,0.2,0.2,1.000,0.1,0.5,0.6,0.2,0.3,0.1,0.1,0.8,0.7
7,Chucky Atkins,PG,31,MEM,4,4,25.8,3.8,9.3,.405,1.0,2.8,.364,2.8,6.5,.423,.459,1.3,2.0,.625,0.0,0.8,0.8,3.0,0.5,0.0,1.0,3.8,9.8
8,Leandro Barbosa,SG,23,PHO,20,3,31.6,5.2,11.0,.470,1.4,3.5,.391,3.8,7.5,.507,.532,2.5,2.9,.862,0.3,1.4,1.6,2.7,0.8,0.2,1.5,3.3,14.2
9,Brent Barry,SG,34,SAS,13,2,23.2,2.6,4.7,.557,1.3,2.6,.500,1.3,2.1,.630,.697,1.2,1.6,.762,0.2,2.2,2.5,1.7,0.7,0.2,0.7,2.2,7.8
10,Shane Battier,SF,27,MEM,4,4,32.3,2.5,5.0,.500,0.5,1.8,.286,2.0,3.3,.615,.550,0.5,1.5,.333,1.8,4.0,5.8,0.5,1.0,0.5,2.0,4.0,6.0
11,Charlie Bell,SG,26,MIL,5,0,21.6,3.4,8.6,.395,1.0,2.2,.455,2.4,6.4,.375,.453,1.4,1.4,1.000,0.4,0.2,0.6,1.4,0.6,0.4,0.8,3.0,9.2
12,Raja Bell,SG,29,PHO,17,17,39.6,4.6,9.7,.479,2.4,5.1,.465,2.3,4.6,.494,.600,2.0,2.4,.829,0.5,2.4,2.8,2.2,0.6,0.2,0.6,4.1,13.6
13,Mike Bibby,PG,27,SAC,6,6,42.5,5.3,15.3,.348,1.5,4.3,.346,3.8,11.0,.348,.397,4.5,5.0,.900,1.0,2.8,3.8,5.2,1.5,0.0,3.0,2.8,16.7
14,Chauncey Billups,PG,29,DET,18,18,39.2,5.2,12.7,.406,1.8,5.2,.340,3.4,7.5,.452,.476,5.8,6.4,.905,0.4,3.0,3.4,6.5,1.2,0.1,2.4,2.4,17.9
15,Andrew Bogut,PF,21,MIL,5,5,34.4,4.0,9.2,.435,0.0,0.0,,4.0,9.2,.435,.435,0.6,1.6,.375,1.8,4.4,6.2,3.4,0.6,0.0,1.6,4.2,8.6
16,Bruce Bowen,SF,34,SAS,13,13,34.0,2.5,4.7,.525,1.2,2.3,.500,1.3,2.4,.548,.648,0.1,0.2,.500,0.5,1.7,2.2,1.2,0.8,0.6,0.7,3.2,6.2
17,Earl Boykins,PG,29,DEN,5,0,28.0,3.8,11.8,.322,0.8,3.8,.211,3.0,8.0,.375,.356,2.6,3.4,.765,0.6,0.8,1.4,4.0,0.8,0.0,0.6,1.2,11.0
18,Elton Brand,PF,26,LAC,12,12,43.1,10.3,18.8,.551,0.0,0.1,.000,10.3,18.7,.554,.551,4.8,6.3,.750,4.3,6.0,10.3,4.0,0.9,2.6,2.4,2.8,25.4
19,Kwame Brown,C,23,LAL,7,7,32.1,4.9,9.3,.523,0.0,0.0,,4.9,9.3,.523,.523,3.1,4.4,.710,2.4,4.1,6.6,1.0,0.3,0.9,1.7,3.0,12.9
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kobe Bryant*,SG,27,LAL,7,7,44.9,10.3,20.7,.497,2.0,5.0,.400,8.3,15.7,.527,.545,5.3,6.9,.771,0.6,5.7,6.3,5.1,1.1,0.4,4.7,3.6,27.9
