,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Victor Alexander,C,32,DET,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Derek Anderson,SG,27,POR,3,0,25.3,4.3,10.0,.433,0.7,2.0,.333,3.7,8.0,.458,.467,5.3,6.0,.889,1.0,1.3,2.3,2.3,0.7,0.0,2.0,0.3,14.7
2,Kenny Anderson,PG,31,BOS,16,16,35.0,5.1,12.3,.416,0.0,0.0,,5.1,12.3,.416,.416,1.8,2.2,.800,0.8,2.3,3.1,4.8,1.3,0.0,1.8,3.6,12.0
3,Darrell Armstrong,PG,33,ORL,4,4,39.5,5.0,10.5,.476,1.0,4.3,.235,4.0,6.3,.640,.524,4.3,5.3,.810,0.8,2.0,2.8,3.3,1.3,0.0,1.8,3.5,15.3
4,Chucky Atkins,PG,27,DET,10,10,29.4,4.3,11.8,.364,1.4,3.9,.359,2.9,7.9,.367,.424,1.3,1.7,.765,0.5,1.9,2.4,3.4,0.6,0.1,1.4,2.5,11.3
5,Stacey Augmon,SG,33,CHH,9,0,16.9,1.8,4.6,.390,0.0,0.0,,1.8,4.6,.390,.390,1.8,2.3,.762,0.8,2.2,3.0,1.4,1.1,0.1,1.3,2.3,5.3
6,Vin Baker,C,30,SEA,5,4,28.8,5.8,11.6,.500,0.2,0.2,1.000,5.6,11.4,.491,.509,1.4,1.8,.778,2.2,2.8,5.0,0.8,0.6,1.2,0.8,4.6,13.2
7,Dana Barros,PG,34,DET,4,0,1.5,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.5
8,Brent Barry,SG,30,SEA,5,5,29.8,2.8,6.8,.412,1.4,3.2,.438,1.4,3.6,.389,.515,0.8,0.8,1.000,1.2,3.4,4.6,2.8,0.6,0.8,1.8,2.4,7.8
9,Jon Barry,SG,32,DET,10,0,17.7,2.9,6.1,.475,1.7,3.8,.447,1.2,2.3,.522,.615,0.5,0.8,.625,0.4,1.6,2.0,2.1,0.5,0.1,1.9,1.4,8.0
10,Tony Battie,C,25,BOS,16,16,27.7,2.6,5.4,.488,0.0,0.0,,2.6,5.4,.488,.488,0.8,1.3,.619,2.4,5.1,7.6,0.8,0.6,1.9,0.7,3.2,6.1
11,Raja Bell,SG,25,PHI,3,0,2.7,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
12,Jonathan Bender,SF,21,IND,5,0,9.0,0.6,1.2,.500,0.0,0.2,.000,0.6,1.0,.600,.500,0.0,0.0,,0.0,0.8,0.8,0.4,0.4,0.6,1.0,1.2,1.2
