,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
97,Royal Ivey,SG,28,MIL,3,0,3.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.3,1.3
98,Stephen Jackson,SG,31,CHA,4,4,39.0,6.0,16.8,.358,0.8,4.5,.167,5.3,12.3,.429,.381,5.3,6.5,.808,1.5,3.5,5.0,3.8,1.3,0.3,4.3,3.3,18.0
99,LeBron James,SF,25,CLE,11,11,41.8,9.6,19.2,.502,1.8,4.5,.400,7.8,14.6,.534,.550,8.0,10.9,.733,1.4,7.9,9.3,7.6,1.7,1.8,3.8,2.1,29.1
100,Antawn Jamison,PF,33,CLE,11,11,34.1,5.8,12.5,.467,0.9,3.5,.256,4.9,8.9,.551,.504,2.7,3.7,.732,1.5,5.9,7.4,1.3,0.6,1.0,1.6,3.5,15.3
101,Othyus Jeffers,SG,24,UTA,6,0,1.7,0.2,1.0,.167,0.0,0.0,,0.2,1.0,.167,.167,0.0,0.2,.000,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.3
102,Richard Jefferson,SF,29,SAS,10,10,33.4,3.4,7.0,.486,0.1,0.5,.200,3.3,6.5,.508,.493,2.5,3.3,.758,0.8,4.5,5.3,1.8,0.6,0.6,1.5,2.0,9.4
103,Brandon Jennings,PG,20,MIL,7,7,35.6,7.0,17.1,.408,1.7,5.9,.293,5.3,11.3,.468,.458,3.0,3.7,.808,0.7,2.3,3.0,3.6,1.1,0.6,1.1,2.7,18.7
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Anthony Johnson,PG,35,ORL,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
106,James Johnson,PF,22,CHI,4,0,5.0,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.5,2.8,0.0
