,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tariq Abdul-Wahad,SG,24,SAC,5,5,19.8,3.0,6.6,.455,0.0,0.2,.000,3.0,6.4,.469,.455,2.6,3.2,.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6
1,Ray Allen*,SG,23,MIL,3,3,40.0,8.3,15.7,.532,3.0,6.3,.474,5.3,9.3,.571,.628,2.7,4.3,.615,2.7,4.7,7.3,4.3,1.0,0.3,3.7,3.0,22.3
2,Nick Anderson,SF,31,ORL,4,4,38.0,7.3,19.8,.367,2.8,10.5,.262,4.5,9.3,.486,.437,3.5,4.8,.737,1.8,5.0,6.8,2.3,2.3,0.0,2.5,3.0,20.8
3,Shandon Anderson,SG,25,UTA,11,0,27.0,3.4,7.0,.481,0.5,1.3,.429,2.8,5.7,.492,.519,2.2,3.1,.706,0.7,3.0,3.7,1.2,0.5,0.3,1.3,3.1,9.5
4,Greg Anthony,PG,31,POR,13,0,17.3,1.4,4.2,.327,0.6,2.4,.258,0.8,1.8,.417,.400,1.8,2.6,.676,0.3,0.8,1.1,2.5,1.0,0.1,0.7,1.9,5.2
5,B.J. Armstrong,PG,31,ORL,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0
6,Darrell Armstrong,PG,30,ORL,4,4,40.8,4.3,11.5,.370,2.3,6.0,.375,2.0,5.5,.364,.467,4.0,4.0,1.000,1.5,3.5,5.0,6.3,2.3,0.0,6.3,4.0,14.8
7,Keith Askins,SF,31,MIA,4,0,6.8,0.0,1.0,.000,0.0,0.8,.000,0.0,0.3,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.3,0.0,1.3,0.0
8,Stacey Augmon,SF,30,POR,13,0,13.5,0.8,2.2,.357,0.0,0.1,.000,0.8,2.1,.370,.357,1.2,1.4,.833,0.8,1.8,2.5,0.4,0.6,0.2,0.2,1.2,2.7
9,Isaac Austin,C,29,ORL,4,4,28.0,2.3,5.8,.391,0.0,0.5,.000,2.3,5.3,.429,.391,2.0,3.0,.667,1.8,2.3,4.0,2.0,1.0,0.8,2.0,3.5,6.5
10,Thurl Bailey,PF,37,UTA,11,0,10.5,1.5,3.0,.515,0.0,0.0,,1.5,3.0,.515,.515,0.3,0.4,.750,0.5,0.9,1.4,0.2,0.3,0.5,0.7,1.7,3.4
11,Charles Barkley*,PF,35,HOU,4,4,39.3,9.0,17.0,.529,0.5,1.8,.286,8.5,15.3,.557,.544,5.0,7.5,.667,3.3,10.5,13.8,3.8,1.5,0.5,2.0,3.0,23.5
12,Jon Barry,SG,29,SAC,5,0,22.4,2.4,6.8,.353,1.0,3.8,.263,1.4,3.0,.467,.426,2.2,2.4,.917,0.6,1.4,2.0,1.8,1.2,0.2,1.8,1.8,8.0
13,Travis Best,PG,26,IND,11,0,13.6,1.5,4.2,.348,0.2,0.9,.200,1.3,3.3,.389,.370,1.1,1.2,.923,0.6,0.9,1.5,1.9,0.4,0.1,1.3,3.1,4.2
14,Mookie Blaylock,PG,31,ATL,9,9,39.8,4.9,15.0,.326,2.0,5.7,.353,2.9,9.3,.310,.393,0.8,1.7,.467,0.7,3.3,4.0,4.0,2.0,0.2,3.3,1.2,12.6
15,Terrell Brandon,PG,28,MIN,4,4,40.3,7.8,17.3,.449,0.8,1.3,.600,7.0,16.0,.438,.471,3.0,3.3,.923,0.5,7.0,7.5,7.0,2.3,0.5,3.5,2.8,19.3
16,Gerald Brown,SG,23,PHO,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17,P.J. Brown,PF,29,MIA,5,5,28.8,4.2,9.0,.467,0.0,0.2,.000,4.2,8.8,.477,.467,1.8,2.0,.900,2.8,3.4,6.2,1.0,0.4,0.4,0.6,3.4,10.2
18,Rick Brunson,PG,26,NYK,9,0,2.0,0.2,0.6,.400,0.0,0.0,,0.2,0.6,.400,.400,0.2,0.2,1.000,0.1,0.0,0.1,0.2,0.0,0.0,0.4,0.3,0.7
19,Kobe Bryant*,SG,20,LAL,8,8,39.4,7.6,17.8,.430,1.0,2.9,.348,6.6,14.9,.445,.458,3.5,4.4,.800,1.6,5.3,6.9,4.6,1.9,1.3,3.9,3.0,19.8
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jud Buechler,SF,30,DET,5,0,16.8,0.6,3.0,.200,0.4,1.6,.250,0.2,1.4,.143,.267,0.0,0.0,,0.8,1.8,2.6,0.6,0.6,0.2,0.6,1.2,1.6
22,Matt Bullard,PF,31,HOU,2,0,4.0,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.5
23,Marcus Camby,C,24,NYK,20,3,25.5,4.1,7.2,.566,0.0,0.1,.000,4.1,7.1,.570,.566,2.3,3.7,.616,2.6,5.1,7.7,0.3,1.2,1.9,0.8,3.8,10.4
24,Antoine Carr,PF,37,HOU,4,0,9.3,1.0,2.8,.364,0.0,0.0,,1.0,2.8,.364,.364,0.0,0.0,,0.8,1.0,1.8,1.0,0.0,0.3,1.0,4.8,2.0
25,Sam Cassell,PG,29,MIL,3,3,34.0,5.3,10.7,.500,0.0,0.3,.000,5.3,10.3,.516,.500,4.7,5.3,.875,0.0,2.0,2.0,8.7,1.0,0.0,2.3,4.7,15.3
26,Kelvin Cato,C,24,POR,8,0,5.4,0.1,1.1,.111,0.0,0.0,,0.1,1.1,.111,.111,0.5,1.3,.400,0.8,0.1,0.9,0.3,0.1,0.1,0.3,1.6,0.8
27,Duane Causwell,C,30,MIA,4,0,5.0,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,1.0,1.5,.667,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.5,1.5
28,Rex Chapman,SG,31,PHO,3,3,19.0,2.0,7.0,.286,0.7,2.0,.333,1.3,5.0,.267,.333,1.0,1.3,.750,0.7,1.3,2.0,2.0,0.3,0.0,1.3,3.0,5.7
29,Chris Childs,PG,31,NYK,20,0,24.7,1.7,4.7,.355,0.5,1.4,.321,1.2,3.3,.369,.403,1.0,1.3,.731,0.4,2.0,2.4,3.7,0.7,0.1,1.5,3.2,4.7
30,Tyrone Corbin,SF,36,ATL,9,4,29.8,3.3,8.0,.417,0.7,2.6,.261,2.7,5.4,.490,.458,0.3,0.4,.750,0.8,2.9,3.7,1.8,0.7,0.0,0.9,2.2,7.7
31,Chris Crawford,PF,23,ATL,6,5,20.8,2.7,8.0,.333,0.7,2.3,.286,2.0,5.7,.353,.375,3.8,4.3,.885,1.0,2.2,3.2,0.8,0.2,0.2,1.0,3.2,9.8
32,Austin Croshere,PF,23,IND,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
33,Dell Curry,SG,34,MIL,3,0,16.3,0.7,5.0,.133,0.3,2.7,.125,0.3,2.3,.143,.167,1.3,1.3,1.000,0.0,1.3,1.3,0.3,1.0,0.0,0.0,1.7,3.0
34,Michael Curry,SF,30,MIL,3,0,19.7,2.3,4.0,.583,0.0,0.3,.000,2.3,3.7,.636,.583,2.0,2.0,1.000,0.3,1.0,1.3,1.0,0.7,0.3,0.7,2.7,6.7
35,Antonio Daniels,PG,23,SAS,15,0,7.1,0.6,1.4,.429,0.3,0.4,.667,0.3,1.0,.333,.524,0.3,0.4,.833,0.1,0.6,0.7,1.1,0.3,0.0,0.7,0.5,1.8
36,Antonio Davis,PF,30,IND,13,0,25.1,2.4,5.8,.413,0.0,0.0,,2.4,5.8,.413,.413,3.2,4.8,.661,1.8,5.3,7.1,0.6,0.4,1.1,1.5,3.0,7.9
37,Dale Davis,PF,29,IND,13,13,30.3,3.5,5.9,.584,0.0,0.0,,3.5,5.9,.584,.584,2.2,3.8,.560,3.5,6.7,10.2,0.8,0.8,1.4,1.6,3.2,9.1
38,Bison Dele,C,29,DET,5,5,24.4,4.8,8.0,.600,0.0,0.0,,4.8,8.0,.600,.600,1.0,1.8,.556,2.4,4.0,6.4,0.2,0.6,0.4,1.4,5.0,10.6
39,Michael Dickerson,SG,23,HOU,4,4,20.5,1.5,5.5,.273,0.8,2.0,.375,0.8,3.5,.214,.341,0.5,1.0,.500,0.5,0.5,1.0,0.8,0.5,0.8,0.5,2.0,4.3
40,Vlade Divac*,C,30,SAC,5,5,39.6,5.0,11.2,.446,0.2,1.0,.200,4.8,10.2,.471,.455,6.0,7.2,.833,1.8,8.2,10.0,4.6,1.6,0.8,3.8,3.4,16.2
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Michael Doleac,C,21,ORL,4,0,10.8,1.3,4.5,.278,0.0,0.3,.000,1.3,4.3,.294,.278,1.8,2.3,.778,1.3,1.8,3.0,0.0,0.0,0.3,0.8,1.5,4.3
43,Bryce Drew,PG,24,HOU,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,2.0,.000,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0
44,Chris Dudley,C,33,NYK,18,6,16.3,0.9,2.1,.421,0.0,0.0,,0.9,2.1,.421,.421,0.6,1.6,.393,1.5,3.1,4.6,0.3,0.5,0.4,0.5,3.5,2.4
45,Joe Dumars*,SG,35,DET,5,5,30.6,3.8,7.8,.487,2.0,3.8,.526,1.8,4.0,.450,.615,0.6,0.6,1.000,0.2,1.2,1.4,2.6,0.4,0.0,1.8,1.8,10.2
46,Tim Duncan*,PF,22,SAS,17,17,43.1,8.5,16.6,.511,0.0,0.2,.000,8.5,16.4,.516,.511,6.3,8.4,.748,3.2,8.2,11.5,2.8,0.8,2.6,3.1,2.9,23.2
47,Howard Eisley,PG,26,UTA,11,0,21.9,2.4,6.5,.366,0.5,2.2,.208,1.9,4.3,.447,.401,2.2,2.6,.828,0.3,1.5,1.8,2.9,0.6,0.3,1.8,2.5,7.4
48,Mario Elie,SG,35,SAS,17,17,30.9,2.5,6.6,.384,0.5,1.8,.267,2.1,4.8,.427,.420,2.4,2.9,.837,0.5,2.9,3.5,2.9,1.3,0.1,1.5,2.5,7.9
49,Sean Elliott,SF,30,SAS,17,17,33.8,4.0,9.0,.444,1.3,3.2,.400,2.7,5.8,.469,.516,2.6,3.5,.763,0.6,2.8,3.4,2.6,0.5,0.2,1.2,2.9,11.9
50,Patrick Ewing*,C,36,NYK,11,11,31.5,5.3,12.3,.430,0.0,0.0,,5.3,12.3,.430,.430,2.5,3.3,.778,1.3,7.5,8.7,0.5,0.6,0.7,0.9,3.2,13.1
51,Derek Fisher,PG,24,LAL,8,8,29.8,3.5,8.4,.418,1.3,3.6,.345,2.3,4.8,.474,.493,1.5,1.9,.800,0.8,2.9,3.6,4.9,1.0,0.0,1.4,2.5,9.8
52,Greg Foster,PF,30,UTA,8,0,8.8,1.0,2.4,.421,0.0,0.0,,1.0,2.4,.421,.421,0.0,0.0,,0.1,0.9,1.0,0.1,0.1,0.0,0.4,1.4,2.0
53,Rick Fox,SF,29,LAL,8,1,22.6,3.0,7.5,.400,0.5,2.6,.190,2.5,4.9,.513,.433,0.1,0.1,1.000,1.1,1.6,2.8,1.5,0.5,0.6,1.8,3.3,6.6
