,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,25,DEN,3,2,25.3,4.0,11.0,.364,0.7,4.0,.167,3.3,7.0,.476,.394,4.7,4.7,1.000,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3
1,Michael Adams,PG,32,CHH,1,0,11.0,2.0,5.0,.400,0.0,2.0,.000,2.0,3.0,.667,.400,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
2,Danny Ainge,SG,35,PHO,10,0,13.7,1.9,3.8,.500,1.2,2.6,.462,0.7,1.2,.583,.658,1.0,1.1,.909,0.2,0.8,1.0,1.0,0.5,0.0,0.6,1.5,6.0
3,Greg Anderson,PF,30,ATL,3,0,13.0,0.3,1.7,.200,0.0,0.0,,0.3,1.7,.200,.200,1.0,1.3,.750,0.3,4.0,4.3,0.7,0.7,0.7,0.0,3.0,1.7
4,Nick Anderson,SG,27,ORL,21,21,38.8,5.1,11.4,.448,2.0,5.1,.383,3.1,6.3,.500,.533,2.0,3.0,.683,1.0,3.8,4.8,3.1,1.6,0.5,1.4,2.3,14.2
5,Willie Anderson,SG,28,SAS,11,0,8.8,0.8,1.8,.450,0.0,0.1,.000,0.8,1.7,.474,.450,0.2,0.3,.667,0.5,0.6,1.1,0.9,0.5,0.0,0.7,1.1,1.8
6,Greg Anthony,PG,27,NYK,11,0,12.3,1.4,3.5,.395,0.6,2.1,.304,0.7,1.4,.533,.487,0.9,1.0,.909,0.2,0.7,0.9,1.4,0.2,0.2,0.5,2.5,4.3
7,B.J. Armstrong,PG,27,CHI,10,10,28.8,3.6,7.9,.456,1.3,2.9,.448,2.3,5.0,.460,.538,1.8,2.2,.818,0.4,1.4,1.8,2.7,0.6,0.0,0.6,2.1,10.3
8,Vincent Askew,SG,28,SEA,4,0,23.3,3.0,7.3,.414,1.0,1.3,.800,2.0,6.0,.333,.483,0.5,0.8,.667,2.8,1.0,3.8,2.0,0.8,0.0,0.8,3.5,7.5
9,Stacey Augmon,SG,26,ATL,3,1,17.3,2.0,4.7,.429,0.0,0.0,,2.0,4.7,.429,.429,3.0,4.0,.750,1.0,1.3,2.3,1.7,1.0,0.0,0.7,2.7,7.0
10,Anthony Avent,PF,25,ORL,7,0,5.7,0.4,1.0,.429,0.0,0.1,.000,0.4,0.9,.500,.429,0.4,0.6,.750,0.6,0.6,1.1,0.0,0.0,0.1,0.3,1.6,1.3
11,Charles Barkley*,PF,31,PHO,10,10,39.0,9.1,18.2,.500,0.9,3.5,.257,8.2,14.7,.558,.525,6.6,9.0,.733,3.9,9.5,13.4,3.2,1.3,1.1,2.5,2.8,25.7
12,John Battle,SG,32,CLE,2,0,3.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0
