,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Derek Anderson,SF,23,CLE,4,0,25.8,2.5,5.5,.455,0.0,0.0,,2.5,5.5,.455,.455,5.8,6.5,.885,0.0,2.3,2.3,2.8,1.3,0.3,3.0,2.5,10.8
1,Greg Anderson,C,33,ATL,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,.000,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
2,Shandon Anderson,SG,24,UTA,20,0,18.9,2.7,5.2,.515,0.2,0.6,.273,2.5,4.6,.543,.529,1.3,1.9,.676,1.3,1.9,3.2,1.0,0.3,0.1,1.5,1.5,6.7
3,Greg Anthony,PG,30,SEA,9,0,13.1,1.3,4.4,.300,0.6,2.1,.263,0.8,2.3,.333,.363,0.3,0.9,.375,0.3,0.8,1.1,1.1,0.6,0.1,1.2,1.9,3.6
4,B.J. Armstrong,PG,30,CHH,9,0,16.2,1.8,4.7,.381,0.2,0.6,.400,1.6,4.1,.378,.405,0.3,0.4,.750,0.2,0.9,1.1,2.0,0.7,0.0,0.7,1.2,4.1
5,Keith Askins,SF,30,MIA,4,0,14.5,0.5,1.8,.286,0.3,1.3,.200,0.3,0.5,.500,.357,0.0,0.0,,0.3,1.5,1.8,0.3,0.5,0.0,0.3,2.3,1.3
6,Stacey Augmon,SG,29,POR,4,0,7.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.3,0.5,.500,0.3,0.5,0.8,0.3,0.5,0.3,0.5,0.5,1.3
7,Vin Baker,C,26,SEA,10,10,37.1,7.1,13.4,.530,0.0,0.0,,7.1,13.4,.530,.530,1.6,3.8,.421,4.1,5.3,9.4,1.8,1.8,1.5,2.2,3.8,15.8
8,Charles Barkley*,PF,34,HOU,4,0,21.8,3.0,5.8,.522,0.0,0.5,.000,3.0,5.3,.571,.522,3.0,5.3,.571,1.3,4.0,5.3,1.0,1.3,0.0,1.5,3.0,9.0
9,Drew Barry,PG,24,ATL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,Jon Barry,SG,28,LAL,7,0,2.6,0.0,1.1,.000,0.0,0.7,.000,0.0,0.4,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.1,0.0
11,Corey Beck,PG,26,CHH,6,0,4.3,1.0,2.0,.500,0.2,0.3,.500,0.8,1.7,.500,.542,0.3,0.3,1.000,0.2,0.0,0.2,0.0,0.7,0.0,0.5,0.7,2.5
