,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,41,LAL,15,15,23.4,4.5,9.8,.463,0.0,0.0,,4.5,9.8,.463,.463,2.1,2.9,.721,0.9,3.1,3.9,1.3,0.3,0.7,1.5,2.9,11.1
1,Mark Acres,C,26,BOS,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,Michael Adams,PG,26,DEN,2,1,37.5,7.5,18.0,.417,5.0,11.0,.455,2.5,7.0,.357,.556,3.5,4.0,.875,2.5,6.0,8.5,4.5,1.5,0.0,4.0,3.0,23.5
3,Mark Aguirre,SF,29,DET,17,17,27.2,5.2,10.7,.489,0.5,1.7,.276,4.8,9.0,.529,.511,1.6,2.2,.737,1.5,2.9,4.4,1.6,0.5,0.2,1.2,2.2,12.6
4,Steve Alford,PG,24,GSW,6,0,8.7,1.5,3.7,.409,0.7,1.5,.444,0.8,2.2,.385,.500,0.5,0.7,.750,0.3,0.3,0.7,0.8,0.3,0.0,0.2,1.2,4.2
5,Richard Anderson,PF,28,POR,3,0,11.7,0.7,2.0,.333,0.3,1.3,.250,0.3,0.7,.500,.417,0.0,0.0,,0.0,1.0,1.0,1.3,0.0,0.3,0.0,0.7,1.7
6,Ron Anderson,SF,30,PHI,3,0,36.3,9.7,17.0,.569,0.0,0.3,.000,9.7,16.7,.580,.569,1.3,1.7,.800,2.3,3.0,5.3,4.3,0.3,0.7,0.7,3.3,20.7
7,Thurl Bailey,SF,27,UTA,3,2,40.7,4.0,11.3,.353,0.0,0.0,,4.0,11.3,.353,.353,4.0,5.0,.800,3.3,5.0,8.3,1.0,0.3,1.3,3.0,3.7,12.0
8,Charles Barkley*,PF,25,PHI,3,3,45.0,9.7,15.0,.644,0.3,1.7,.200,9.3,13.3,.700,.656,7.3,10.3,.710,2.7,9.0,11.7,5.3,1.7,0.7,3.7,3.0,27.0
9,John Battle,SG,26,ATL,5,0,23.6,4.0,9.2,.435,0.0,1.2,.000,4.0,8.0,.500,.435,1.8,2.4,.750,1.0,1.6,2.6,3.2,0.4,0.0,1.0,2.6,9.8
10,Walter Berry,PF,24,HOU,4,0,14.3,3.3,6.5,.500,0.0,0.0,,3.3,6.5,.500,.500,1.8,2.0,.875,0.8,1.5,2.3,1.3,0.5,0.3,1.5,2.0,8.3
11,Otis Birdsong,SG,33,BOS,3,1,6.7,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.3,1.0,1.0,0.7
12,Manute Bol,C,26,GSW,8,0,18.5,0.9,4.5,.194,0.3,2.8,.091,0.6,1.8,.357,.222,0.3,0.9,.286,0.6,3.3,3.9,0.1,0.3,3.6,0.4,2.6,2.3
13,Sam Bowie,C,27,POR,3,1,22.3,4.0,9.3,.429,0.3,0.7,.500,3.7,8.7,.423,.446,2.0,2.7,.750,3.3,3.3,6.7,1.0,0.0,2.3,1.0,2.7,10.3
14,Adrian Branch,SF,25,POR,1,0,5.0,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
15,Randy Breuer,C,28,MIL,9,1,18.0,1.9,3.6,.531,0.0,0.0,,1.9,3.6,.531,.531,0.6,1.4,.385,1.0,3.4,4.4,0.6,0.2,0.7,0.2,1.9,4.3
16,Scott Brooks,PG,23,PHI,3,0,7.0,0.3,2.0,.167,0.3,0.7,.500,0.0,1.3,.000,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.7,0.0,0.0,0.3,1.3,1.7
17,Mike Brown,C,25,UTA,2,1,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0
18,Tony Brown,SF,28,MIL,6,0,11.5,0.7,1.8,.364,0.0,0.2,.000,0.7,1.7,.400,.364,0.5,0.7,.750,0.3,0.8,1.2,1.0,0.3,0.0,0.2,1.5,1.8
