,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Alaa Abdelnaby,PF,24.0,TOT,75.0,52.0,1311.0,6.7,13.0,0.518,0.0,0.0,0.0,6.7,13.0,0.519,2.4,3.2,0.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9,1993
3,Mahmoud Abdul-Rauf,PG,23.0,DEN,81.0,81.0,2710.0,8.4,18.7,0.45,0.9,2.6,0.355,7.5,16.1,0.465,2.9,3.1,0.935,0.7,2.3,3.0,4.6,1.1,0.1,2.5,2.4,20.6,1993
4,Mark Acres,C,30.0,TOT,18.0,7.0,269.0,3.5,6.6,0.531,0.1,0.3,0.5,3.3,6.3,0.532,1.5,2.1,0.688,3.5,5.5,9.0,0.7,0.4,0.8,1.7,4.6,8.6,1993
7,Michael Adams,PG,30.0,WSB,70.0,70.0,2499.0,5.3,12.0,0.439,1.0,3.1,0.321,4.3,8.9,0.48,3.4,4.0,0.856,0.7,2.7,3.5,7.6,1.4,0.1,2.5,2.1,14.9,1993
8,Rafael Addison,SF,28.0,NJN,68.0,15.0,1164.0,5.6,12.7,0.44299999999999995,0.2,1.1,0.20600000000000002,5.4,11.7,0.46399999999999997,1.8,2.2,0.8140000000000001,1.4,2.7,4.1,1.6,0.7,0.3,2.0,3.9,13.2,1993
9,Mark Aguirre,SF,33.0,DET,51.0,15.0,1056.0,6.4,14.4,0.44299999999999995,1.0,2.8,0.361,5.4,11.6,0.46299999999999997,3.4,4.4,0.767,1.5,3.7,5.2,3.6,0.5,0.2,2.3,3.4,17.1,1993
10,Danny Ainge,SG,33.0,PHO,80.0,0.0,2163.0,5.6,12.1,0.462,2.5,6.2,0.40299999999999997,3.1,6.0,0.522,2.0,2.4,0.848,0.8,2.7,3.6,4.3,1.1,0.1,1.9,2.9,15.8,1993
11,Victor Alexander,C,23.0,GSW,72.0,59.0,1753.0,7.1,13.7,0.516,0.2,0.5,0.455,6.9,13.2,0.518,2.3,3.3,0.685,2.7,5.9,8.6,1.9,0.7,1.1,2.5,4.5,16.6,1993
12,Eric Anderson,PF,22.0,NYK,16.0,0.0,44.0,4.1,14.7,0.278,0.0,0.0,,4.1,14.7,0.278,9.0,10.6,0.846,4.9,6.5,11.5,2.5,2.5,0.8,4.1,11.5,17.2,1993
13,Kenny Anderson,PG,22.0,NJN,55.0,55.0,2010.0,6.6,15.2,0.435,0.1,0.4,0.28,6.5,14.8,0.44,3.2,4.2,0.7759999999999999,0.9,3.1,4.0,8.0,1.7,0.2,2.7,2.5,16.6,1993
14,Nick Anderson,SG,25.0,ORL,79.0,76.0,2920.0,7.3,16.3,0.449,1.1,3.1,0.353,6.2,13.3,0.47100000000000003,3.7,5.0,0.741,1.5,4.4,5.9,3.3,1.6,0.7,2.0,2.5,19.4,1993
15,Ron Anderson,SF,34.0,PHI,69.0,0.0,1263.0,6.4,15.5,0.414,1.1,3.4,0.325,5.3,12.1,0.439,2.1,2.5,0.809,1.8,3.5,5.2,2.7,0.9,0.1,1.8,2.1,16.0,1993
16,Willie Anderson,SG,26.0,SAS,38.0,7.0,560.0,5.1,12.0,0.43,0.1,0.5,0.125,5.1,11.4,0.444,1.4,1.8,0.7859999999999999,0.5,3.2,3.7,5.1,0.9,0.4,2.8,3.3,11.8,1993
17,Greg Anthony,PG,25.0,NYK,70.0,35.0,1699.0,3.7,8.9,0.415,0.1,0.6,0.133,3.6,8.2,0.43700000000000006,2.3,3.4,0.6729999999999999,0.9,2.7,3.6,8.4,2.4,0.3,2.2,3.0,9.7,1993
18,B.J. Armstrong,PG,25.0,CHI,82.0,74.0,2492.0,5.9,11.8,0.499,0.9,2.0,0.45299999999999996,5.0,9.8,0.508,1.9,2.2,0.861,0.4,1.8,2.2,4.8,1.0,0.1,1.2,2.4,14.6,1993
19,Vincent Askew,SG,26.0,TOT,73.0,4.0,1129.0,4.8,9.9,0.49200000000000005,0.1,0.2,0.33299999999999996,4.8,9.7,0.495,3.3,4.8,0.705,2.0,3.2,5.1,3.9,1.3,0.6,2.2,4.3,13.1,1993
22,Keith Askins,SF,25.0,MIA,69.0,1.0,935.0,3.4,8.2,0.413,0.8,2.5,0.33799999999999997,2.5,5.7,0.446,1.1,1.5,0.725,2.8,4.8,7.6,1.2,1.2,1.1,1.4,5.4,8.7,1993
23,Stacey Augmon,SG,24.0,ATL,73.0,66.0,2112.0,6.8,13.5,0.501,0.0,0.1,0.0,6.8,13.4,0.504,3.9,5.2,0.7390000000000001,2.4,2.5,4.9,2.9,1.6,0.3,2.7,2.4,17.4,1993
24,Isaac Austin,C,23.0,UTA,46.0,3.0,306.0,5.9,13.2,0.446,0.0,0.1,0.0,5.9,13.1,0.45,3.4,5.2,0.659,4.5,4.8,9.3,0.7,0.9,1.6,2.7,7.1,15.2,1993
25,Anthony Avent,PF,23.0,MIL,82.0,78.0,2285.0,5.5,12.6,0.433,0.0,0.0,0.0,5.5,12.6,0.434,1.8,2.7,0.6509999999999999,2.8,5.2,8.1,1.4,0.9,1.2,2.2,3.7,12.7,1993
27,John Bagley,PG,32.0,BOS,10.0,0.0,97.0,3.3,9.3,0.36,0.0,0.4,0.0,3.3,8.9,0.375,1.9,2.2,0.833,0.4,2.2,2.6,7.4,0.7,0.0,6.3,4.1,8.5,1993
28,Thurl Bailey,PF,31.0,MIN,70.0,3.0,1276.0,5.7,12.6,0.455,0.0,0.0,,5.7,12.6,0.455,3.4,4.0,0.838,1.5,4.6,6.1,1.7,0.6,1.3,1.7,2.5,14.8,1993
29,Steve Bardo,SG,24.0,DAL,23.0,0.0,175.0,3.9,12.8,0.306,0.2,1.2,0.16699999999999998,3.7,11.5,0.321,2.5,3.5,0.706,2.1,5.6,7.6,6.0,1.6,0.6,3.5,5.8,10.5,1993
30,Charles Barkley,PF,29.0,PHO,76.0,76.0,2859.0,9.0,17.3,0.52,0.8,2.8,0.305,8.2,14.6,0.561,5.6,7.3,0.765,3.0,8.7,11.7,4.8,1.5,0.9,2.9,2.5,24.5,1993
31,Dana Barros,PG,25.0,SEA,69.0,2.0,1243.0,6.2,13.7,0.451,1.9,4.9,0.379,4.3,8.8,0.49200000000000005,1.4,1.7,0.831,0.5,2.6,3.1,4.4,1.8,0.1,1.7,2.3,15.7,1993
32,Jon Barry,SG,23.0,MIL,47.0,0.0,552.0,5.0,13.4,0.369,1.4,4.1,0.33299999999999996,3.6,9.3,0.385,2.2,3.2,0.6729999999999999,0.7,2.2,2.8,4.4,2.3,0.2,2.7,3.7,13.4,1993
33,John Battle,SG,30.0,CLE,41.0,0.0,497.0,6.0,14.5,0.415,0.1,0.4,0.16699999999999998,5.9,14.1,0.423,4.1,5.2,0.778,0.3,1.8,2.1,3.9,0.7,0.4,1.6,2.8,16.2,1993
34,Kenny Battle,SG,28.0,BOS,3.0,1.0,29.0,7.4,16.1,0.462,0.0,1.2,0.0,7.4,14.9,0.5,2.5,2.5,1.0,8.7,5.0,13.7,2.5,1.2,0.0,2.5,2.5,17.4,1993
35,William Bedford,C,29.0,SAS,16.0,0.0,66.0,4.9,14.7,0.33299999999999996,0.5,0.5,1.0,4.4,14.2,0.308,3.3,6.5,0.5,0.5,4.9,5.5,0.0,0.0,0.5,0.5,8.2,13.6,1993
36,Benoit Benjamin,C,28.0,TOT,59.0,6.0,754.0,6.4,12.9,0.491,0.0,0.0,,6.4,12.9,0.491,3.3,5.0,0.6629999999999999,2.4,7.5,10.0,1.1,1.5,2.3,3.7,6.4,16.0,1993
39,Tony Bennett,PG,23.0,CHH,75.0,2.0,857.0,4.6,10.9,0.423,1.1,3.4,0.325,3.5,7.6,0.467,1.3,1.7,0.732,0.5,2.1,2.6,5.7,1.3,0.0,2.1,4.6,11.6,1993
40,David Benoit,SF,24.0,UTA,82.0,27.0,1712.0,5.4,12.4,0.436,0.7,2.1,0.34700000000000003,4.7,10.4,0.45299999999999996,2.4,3.2,0.75,2.4,5.8,8.2,0.9,0.9,0.9,1.9,4.2,14.0,1993
41,Rolando Blackman,SG,33.0,NYK,60.0,33.0,1434.0,6.0,13.5,0.44299999999999995,0.8,1.8,0.425,5.2,11.7,0.446,1.8,2.3,0.789,0.6,2.0,2.6,3.9,0.6,0.3,1.6,3.2,14.6,1993
42,Alex Blackwell,SF,22.0,LAL,27.0,0.0,109.0,4.6,13.9,0.33299999999999996,0.0,1.0,0.0,4.6,12.9,0.359,2.0,2.6,0.75,3.3,4.3,7.6,2.3,1.3,0.7,1.7,4.6,11.2,1993
43,Lance Blanks,SG,26.0,MIN,61.0,2.0,642.0,3.6,8.4,0.433,0.6,2.4,0.256,3.0,6.0,0.505,1.1,1.8,0.625,1.0,2.8,3.8,4.0,0.9,0.3,1.7,3.4,9.0,1993
44,Ricky Blanton,SF,26.0,CHI,2.0,0.0,13.0,8.3,19.4,0.429,0.0,0.0,,8.3,19.4,0.429,0.0,0.0,,5.5,2.8,8.3,2.8,5.5,0.0,2.8,2.8,16.6,1993
45,Mookie Blaylock,PG,25.0,ATL,80.0,78.0,2820.0,5.3,12.3,0.429,1.5,4.0,0.375,3.8,8.3,0.456,1.6,2.2,0.728,1.1,2.4,3.6,8.6,2.6,0.3,2.4,2.0,13.6,1993
46,Muggsy Bogues,PG,28.0,CHH,81.0,80.0,2833.0,4.2,9.3,0.45299999999999996,0.1,0.3,0.231,4.1,8.9,0.462,1.8,2.1,0.833,0.6,3.1,3.8,9.0,2.0,0.1,2.0,2.3,10.3,1993
