,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Shareef Abdur-Rahim,PF,28.0,POR,54.0,49.0,1867.0,6.5,12.9,0.503,0.3,0.8,0.385,6.2,12.2,0.51,4.2,4.9,0.866,2.4,5.2,7.6,2.1,0.9,0.5,2.3,2.9,17.5,2005
1,Cory Alexander,SG,31.0,CHA,16.0,1.0,201.0,2.9,8.8,0.327,1.4,3.4,0.42100000000000004,1.4,5.4,0.267,1.6,2.1,0.75,1.4,3.8,5.2,6.6,1.6,0.2,3.4,5.2,8.8,2005
2,Malik Allen,PF,26.0,TOT,36.0,1.0,519.0,5.8,12.3,0.475,0.0,0.0,,5.8,12.3,0.475,1.8,1.9,0.929,2.8,4.1,6.9,1.2,0.6,1.5,1.2,3.7,13.5,2005
5,Ray Allen,SG,29.0,SEA,78.0,78.0,3064.0,7.5,17.6,0.428,2.5,6.5,0.376,5.1,11.0,0.45899999999999996,4.4,5.0,0.883,0.9,3.1,4.1,3.4,1.0,0.1,2.0,2.0,21.9,2005
6,Tony Allen,SG,23.0,BOS,77.0,34.0,1262.0,5.2,11.0,0.475,0.3,0.9,0.387,4.9,10.2,0.483,3.2,4.3,0.737,2.4,3.9,6.3,1.8,2.2,0.7,2.2,4.5,14.0,2005
7,Rafer Alston,PG,28.0,TOR,80.0,78.0,2717.0,5.3,12.9,0.414,1.8,5.2,0.35700000000000004,3.5,7.8,0.451,2.5,3.4,0.74,0.6,3.1,3.7,6.8,1.6,0.1,2.3,2.8,15.1,2005
8,Chris Andersen,C,26.0,NOH,67.0,2.0,1430.0,4.8,9.0,0.534,0.0,0.1,0.0,4.8,8.9,0.5379999999999999,3.3,4.8,0.6890000000000001,3.4,6.9,10.3,1.8,0.4,2.5,1.6,3.6,12.9,2005
9,Derek Anderson,SG,30.0,POR,47.0,32.0,1239.0,4.4,11.4,0.389,1.7,4.4,0.384,2.7,7.0,0.392,2.0,2.5,0.805,0.7,3.0,3.7,4.2,1.0,0.1,2.0,2.6,12.6,2005
10,Kenny Anderson,PG,34.0,TOT,43.0,20.0,743.0,4.1,9.7,0.423,0.3,0.6,0.462,3.8,9.1,0.42,1.3,1.8,0.73,1.2,3.1,4.3,5.0,1.6,0.0,2.4,4.2,9.8,2005
13,Shandon Anderson,SF-SG,31.0,TOT,66.0,5.0,1171.0,3.0,6.7,0.452,0.2,0.9,0.172,2.9,5.8,0.495,1.7,2.0,0.818,1.3,4.6,5.9,2.2,1.2,0.4,1.5,4.2,7.8,2005
16,Carmelo Anthony,SF,20.0,DEN,75.0,75.0,2608.0,7.3,17.0,0.431,0.6,2.2,0.266,6.7,14.8,0.455,6.3,7.9,0.7959999999999999,1.9,3.9,5.9,2.7,0.9,0.4,3.1,3.2,21.5,2005
17,Rafael Araújo,C,24.0,TOR,59.0,41.0,736.0,3.7,8.6,0.434,0.0,0.1,0.33299999999999996,3.7,8.4,0.436,2.1,2.7,0.782,2.9,6.2,9.0,0.8,1.0,0.4,2.5,7.7,9.6,2005
18,Gilbert Arenas,PG,23.0,WAS,80.0,80.0,3274.0,7.2,16.7,0.431,2.3,6.2,0.365,5.0,10.6,0.469,5.7,7.0,0.8140000000000001,0.9,3.2,4.2,4.5,1.5,0.3,2.7,2.7,22.4,2005
19,Trevor Ariza,SF,19.0,NYK,80.0,12.0,1382.0,4.5,10.1,0.442,0.1,0.3,0.231,4.4,9.8,0.449,3.2,4.5,0.695,2.3,4.0,6.3,2.2,1.8,0.5,1.9,3.9,12.2,2005
20,Darrell Armstrong,PG,36.0,TOT,66.0,16.0,988.0,3.2,10.1,0.321,1.0,4.0,0.252,2.2,6.0,0.36700000000000005,2.1,2.5,0.853,1.3,2.9,4.2,6.5,1.6,0.3,2.4,3.4,9.6,2005
23,Carlos Arroyo,PG,25.0,TOT,70.0,16.0,1448.0,4.2,10.7,0.389,0.2,0.7,0.267,4.0,9.9,0.39799999999999996,3.0,3.7,0.799,0.6,1.9,2.6,7.0,1.1,0.1,2.7,3.6,11.5,2005
26,Chucky Atkins,PG,30.0,LAL,82.0,82.0,2903.0,4.8,11.3,0.426,2.2,5.6,0.387,2.6,5.6,0.466,2.0,2.5,0.8029999999999999,0.4,2.1,2.4,4.4,0.9,0.0,1.9,2.2,13.8,2005
27,Stacey Augmon,SF,36.0,ORL,55.0,7.0,663.0,3.7,9.1,0.40700000000000003,0.0,0.0,,3.7,9.1,0.40700000000000003,3.1,4.2,0.74,2.4,2.9,5.4,2.0,1.2,0.4,1.7,4.5,10.5,2005
28,Maurice Baker,PG,25.0,TOT,5.0,0.0,19.0,0.0,1.9,0.0,0.0,0.0,,0.0,1.9,0.0,0.0,0.0,,1.9,1.9,3.8,1.9,1.9,0.0,1.9,5.7,0.0,2005
31,Vin Baker,PF-C,33.0,TOT,27.0,0.0,204.0,2.3,7.4,0.31,0.0,0.2,0.0,2.3,7.2,0.317,1.6,3.0,0.529,3.0,3.9,6.9,1.8,0.4,0.7,3.0,6.7,6.2,2005
35,Marcus Banks,PG,23.0,BOS,81.0,2.0,1145.0,3.6,9.0,0.402,0.7,1.9,0.35600000000000004,3.0,7.1,0.414,3.8,5.1,0.742,0.9,3.0,4.0,4.9,2.0,0.4,2.5,4.6,11.7,2005
36,Leandro Barbosa,PG,22.0,PHO,63.0,6.0,1087.0,5.6,11.7,0.475,1.7,4.6,0.36700000000000005,3.9,7.1,0.544,1.8,2.3,0.797,1.1,3.2,4.3,4.2,1.0,0.2,2.9,4.2,14.6,2005
