,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Shareef Abdur-Rahim,PF,31.0,SAC,6.0,0.0,51.0,2.1,9.9,0.214,0.0,0.0,,2.1,9.9,0.214,2.8,2.8,1.0,4.2,2.8,7.1,2.8,0.7,0.0,0.7,6.4,7.1,2008
1,Arron Afflalo,SG,22.0,DET,75.0,9.0,970.0,3.7,8.9,0.41100000000000003,0.4,1.8,0.20800000000000002,3.3,7.2,0.461,2.5,3.2,0.782,1.3,3.7,5.1,1.9,1.2,0.3,1.3,3.1,10.2,2008
2,Maurice Ager,SG,23.0,TOT,26.0,3.0,165.0,4.6,14.2,0.32299999999999995,0.7,4.1,0.158,3.9,10.0,0.391,1.3,2.6,0.5,0.9,2.0,2.8,1.7,0.0,0.2,1.3,3.7,11.1,2008
5,Blake Ahearn,PG,23.0,MIA,12.0,0.0,177.0,3.1,11.6,0.263,2.0,6.9,0.294,1.0,4.7,0.217,6.1,6.3,0.968,0.2,3.7,3.9,3.9,1.2,0.0,3.3,4.1,14.2,2008
6,LaMarcus Aldridge,PF,22.0,POR,76.0,76.0,2649.0,7.6,15.8,0.484,0.0,0.1,0.14300000000000002,7.6,15.7,0.486,3.1,4.0,0.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3,2008
7,Malik Allen,PF,29.0,TOT,73.0,16.0,1096.0,5.2,10.7,0.48,0.0,0.1,0.5,5.1,10.7,0.48,0.8,0.8,0.92,2.2,4.3,6.4,1.4,0.6,1.0,1.5,4.9,11.1,2008
10,Ray Allen,SG,32.0,BOS,73.0,73.0,2624.0,6.0,13.5,0.445,2.5,6.2,0.39799999999999996,3.6,7.3,0.485,2.9,3.3,0.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.5,2008
11,Tony Allen,SG,26.0,BOS,75.0,11.0,1373.0,4.4,10.2,0.434,0.5,1.5,0.316,4.0,8.7,0.455,3.6,4.7,0.762,0.9,3.5,4.4,3.0,1.6,0.6,2.9,4.4,13.0,2008
12,Lance Allred,C,26.0,CLE,3.0,0.0,10.0,3.6,14.4,0.25,0.0,0.0,,3.6,14.4,0.25,3.6,7.2,0.5,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8,2008
13,Morris Almond,SG,22.0,UTA,9.0,0.0,39.0,3.7,13.8,0.267,0.9,3.7,0.25,2.8,10.2,0.273,3.7,5.5,0.667,0.0,1.8,1.8,2.8,0.9,0.0,1.8,4.6,12.0,2008
14,Rafer Alston,PG,31.0,HOU,74.0,74.0,2526.0,5.2,13.2,0.39399999999999996,2.0,5.8,0.35100000000000003,3.1,7.4,0.42700000000000005,1.4,2.0,0.715,0.4,3.3,3.7,5.6,1.4,0.3,2.3,2.0,13.8,2008
15,Lou Amundson,PF,25.0,PHI,16.0,0.0,64.0,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,1.1,3.9,0.28600000000000003,3.9,2.8,6.8,0.0,0.6,0.6,1.1,7.3,10.1,2008
16,Chris Andersen,C,29.0,NOH,5.0,0.0,34.0,2.1,7.4,0.28600000000000003,0.0,0.0,,2.1,7.4,0.28600000000000003,2.1,4.2,0.5,2.1,7.4,9.5,0.0,0.0,4.2,1.1,6.4,6.4,2008
17,Derek Anderson,SG,33.0,CHA,28.0,0.0,396.0,4.3,11.4,0.376,1.7,4.7,0.365,2.5,6.6,0.384,2.5,3.5,0.737,0.8,3.9,4.7,4.0,1.1,0.1,2.3,4.5,12.8,2008
18,Carmelo Anthony,SF,23.0,DEN,77.0,77.0,2806.0,9.3,19.0,0.49200000000000005,0.7,2.1,0.354,8.6,16.9,0.509,6.0,7.6,0.7859999999999999,2.3,5.0,7.3,3.3,1.3,0.5,3.2,3.2,25.4,2008
19,Joel Anthony,PF,25.0,MIA,24.0,1.0,498.0,2.0,4.3,0.467,0.0,0.0,,2.0,4.3,0.467,2.1,3.5,0.5920000000000001,2.7,4.0,6.7,0.2,0.7,2.2,1.2,4.0,6.1,2008
20,Gilbert Arenas,PG,26.0,WAS,13.0,8.0,425.0,6.6,16.6,0.39799999999999996,1.9,6.6,0.282,4.7,10.0,0.475,6.3,8.1,0.7709999999999999,0.5,3.8,4.3,5.6,1.9,0.1,4.2,2.5,21.3,2008
21,Trevor Ariza,SF,22.0,TOT,35.0,3.0,546.0,4.5,9.0,0.507,0.3,1.2,0.278,4.2,7.8,0.542,3.2,4.9,0.653,2.0,5.1,7.1,2.9,2.0,0.7,1.5,3.0,12.7,2008
24,Darrell Armstrong,PG,39.0,NJN,50.0,2.0,549.0,2.6,7.2,0.364,1.5,4.5,0.33299999999999996,1.1,2.7,0.415,1.3,2.0,0.667,1.1,3.3,4.4,4.8,1.8,0.1,2.7,3.5,8.1,2008
25,Hilton Armstrong,C,23.0,NOH,65.0,3.0,732.0,3.3,7.3,0.45299999999999996,0.0,0.0,,3.3,7.3,0.45299999999999996,2.2,3.4,0.629,3.2,4.8,8.0,1.1,0.7,1.7,2.9,6.4,8.8,2008
27,Carlos Arroyo,PG,28.0,ORL,62.0,20.0,1269.0,4.5,9.9,0.451,0.8,2.4,0.345,3.6,7.5,0.485,2.5,2.9,0.853,0.3,2.9,3.2,6.2,0.7,0.1,2.2,2.4,12.2,2008
28,Chucky Atkins,SG,33.0,DEN,24.0,0.0,352.0,4.3,12.5,0.344,2.6,8.1,0.316,1.7,4.4,0.395,0.4,0.9,0.444,0.3,2.9,3.2,4.8,0.9,0.1,1.0,2.8,11.6,2008
