,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
239,Roy Hibbert,C,23.0,IND,81.0,69.0,2035.0,6.8,13.8,0.495,0.1,0.1,0.5,6.8,13.7,0.495,3.0,4.0,0.754,3.1,5.1,8.2,2.8,0.5,2.3,2.6,5.0,16.7,2010
240,J.J. Hickson,PF,21.0,CLE,81.0,73.0,1691.0,6.2,11.1,0.5539999999999999,0.0,0.0,0.0,6.2,11.1,0.555,2.4,3.5,0.6809999999999999,2.3,6.2,8.5,0.9,0.8,0.8,2.0,2.8,14.7,2010
241,Nenê,C,27.0,DEN,82.0,82.0,2755.0,5.5,9.4,0.5870000000000001,0.0,0.0,0.0,5.5,9.3,0.589,3.8,5.4,0.7040000000000001,2.2,6.0,8.2,2.7,1.5,1.1,1.6,3.7,14.8,2010
242,George Hill,PG,23.0,SAS,78.0,43.0,2276.0,5.6,11.7,0.478,1.2,3.0,0.39899999999999997,4.4,8.7,0.505,2.9,3.7,0.772,0.7,2.6,3.2,3.6,1.1,0.4,1.6,3.5,15.2,2010
243,Grant Hill,SF,37.0,PHO,81.0,81.0,2430.0,5.0,10.4,0.478,0.5,1.2,0.43799999999999994,4.5,9.2,0.483,3.0,3.7,0.8170000000000001,1.1,5.5,6.6,2.9,0.9,0.5,1.6,2.4,13.5,2010
244,Jordan Hill,PF,22.0,TOT,47.0,0.0,624.0,5.7,11.6,0.493,0.0,0.1,0.0,5.7,11.5,0.49700000000000005,2.7,3.9,0.6759999999999999,4.4,5.7,10.1,1.2,0.8,1.2,1.7,5.3,14.1,2010
247,Kirk Hinrich,SG,29.0,CHI,74.0,53.0,2481.0,4.5,10.9,0.409,1.5,4.1,0.371,3.0,6.9,0.431,1.2,1.6,0.752,0.3,3.4,3.8,4.8,1.2,0.3,1.6,3.0,11.7,2010
248,Jrue Holiday,PG,19.0,PHI,73.0,51.0,1767.0,4.7,10.6,0.442,1.3,3.2,0.39,3.4,7.4,0.465,1.3,1.8,0.7559999999999999,1.1,2.8,3.9,5.7,1.6,0.4,3.2,3.1,12.0,2010
249,Ryan Hollins,C,25.0,MIN,73.0,27.0,1223.0,5.0,8.9,0.5579999999999999,0.0,0.0,0.0,5.0,8.9,0.56,3.2,4.7,0.69,2.3,3.8,6.1,1.5,0.6,1.1,2.8,5.9,13.2,2010
250,Al Horford,C,23.0,ATL,81.0,81.0,2845.0,5.9,10.7,0.551,0.0,0.0,1.0,5.9,10.7,0.551,2.7,3.4,0.789,3.0,7.1,10.1,2.4,0.7,1.2,1.5,2.8,14.5,2010
251,Eddie House,PG-SG,31.0,TOT,68.0,0.0,1217.0,5.1,13.5,0.38,2.3,6.7,0.348,2.8,6.7,0.41200000000000003,1.4,1.5,0.9229999999999999,0.4,2.8,3.2,2.5,1.2,0.2,1.4,2.4,14.0,2010
255,Dwight Howard,C,24.0,ORL,82.0,82.0,2843.0,6.5,10.6,0.612,0.0,0.1,0.0,6.5,10.5,0.617,6.1,10.3,0.5920000000000001,3.6,10.1,13.7,1.8,0.9,2.9,3.5,3.6,19.0,2010
256,Josh Howard,SF,29.0,TOT,35.0,12.0,918.0,6.2,15.2,0.405,0.9,3.4,0.267,5.3,11.8,0.444,4.3,5.5,0.784,1.2,3.7,4.9,1.9,1.0,0.4,1.8,3.6,17.5,2010
259,Juwan Howard,C,36.0,POR,73.0,27.0,1632.0,4.2,8.3,0.509,0.0,0.0,0.0,4.2,8.2,0.511,1.2,1.5,0.7859999999999999,2.4,5.0,7.4,1.3,0.6,0.2,1.6,4.2,9.6,2010
260,Lester Hudson,PG,25.0,TOT,25.0,0.0,131.0,5.8,14.6,0.396,1.4,4.4,0.313,4.4,10.2,0.43200000000000005,3.0,3.6,0.846,1.9,3.0,4.9,3.6,2.2,0.8,3.8,3.3,15.9,2010
263,Larry Hughes,SG,31.0,TOT,45.0,16.0,1115.0,4.4,12.5,0.355,1.4,4.5,0.309,3.0,8.0,0.381,3.0,3.6,0.8320000000000001,0.7,3.8,4.6,4.4,1.7,0.5,2.4,2.3,13.3,2010
266,Kris Humphries,PF,24.0,TOT,69.0,0.0,1221.0,5.3,12.0,0.441,0.0,0.0,0.0,5.3,12.0,0.442,3.7,5.6,0.6679999999999999,3.5,7.6,11.1,0.9,1.1,1.4,1.9,4.3,14.4,2010
269,Chris Hunter,C,25.0,GSW,60.0,9.0,783.0,5.0,10.0,0.502,0.0,0.2,0.0,5.0,9.8,0.512,2.4,3.2,0.754,2.6,5.1,7.7,1.7,0.6,1.6,1.4,6.1,12.4,2010
270,Lindsey Hunter,PG,39.0,CHI,13.0,0.0,122.0,1.5,8.9,0.16699999999999998,0.3,3.8,0.077,1.2,5.0,0.235,0.6,0.6,1.0,0.3,3.8,4.1,2.7,0.3,0.0,1.2,3.5,3.8,2010
271,Othello Hunter,SF,23.0,ATL,7.0,0.0,33.0,4.4,13.1,0.33299999999999996,0.0,0.0,,4.4,13.1,0.33299999999999996,3.3,4.4,0.75,6.5,6.5,13.1,0.0,0.0,1.1,3.3,5.5,12.0,2010
