,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Álex Abrines,SG,23.0,OKC,68.0,6.0,1055.0,4.6,11.6,0.39299999999999996,3.2,8.4,0.381,1.4,3.2,0.426,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9,2017
1,Quincy Acy,PF,26.0,TOT,38.0,1.0,558.0,4.5,11.0,0.41200000000000003,2.4,5.8,0.41100000000000003,2.1,5.2,0.413,2.9,3.9,0.75,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3,2017
4,Steven Adams,C,23.0,OKC,80.0,80.0,2389.0,5.6,9.9,0.5710000000000001,0.0,0.0,0.0,5.6,9.9,0.5720000000000001,2.4,3.9,0.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6,2017
5,Arron Afflalo,SG,31.0,SAC,61.0,45.0,1580.0,4.2,9.6,0.44,1.4,3.4,0.41100000000000003,2.8,6.1,0.457,1.9,2.1,0.892,0.2,2.6,2.8,1.8,0.5,0.1,1.0,2.4,11.7,2017
6,Alexis Ajinça,C,28.0,NOP,39.0,15.0,584.0,5.5,11.0,0.5,0.0,0.2,0.0,5.5,10.7,0.511,1.8,2.5,0.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8,2017
7,Cole Aldrich,C,28.0,MIN,62.0,0.0,531.0,3.1,5.8,0.523,0.0,0.0,,3.1,5.8,0.523,1.0,1.5,0.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1,2017
8,LaMarcus Aldridge,PF,31.0,SAS,72.0,72.0,2335.0,7.7,16.2,0.47700000000000004,0.4,0.9,0.41100000000000003,7.4,15.3,0.48,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,2017
9,Lavoy Allen,PF,27.0,IND,61.0,5.0,871.0,3.2,6.9,0.45799999999999996,0.0,0.0,0.0,3.2,6.9,0.461,1.0,1.4,0.6970000000000001,4.3,4.7,9.1,2.4,0.7,1.0,1.2,3.2,7.3,2017
10,Tony Allen,SG,35.0,MEM,71.0,66.0,1914.0,5.2,11.2,0.461,0.3,1.0,0.278,4.9,10.2,0.479,1.5,2.4,0.615,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1,2017
11,Al-Farouq Aminu,PF,26.0,POR,61.0,25.0,1773.0,3.7,9.5,0.39299999999999996,1.4,4.3,0.33,2.3,5.2,0.445,1.9,2.8,0.706,1.6,7.6,9.2,2.0,1.2,0.9,1.9,2.1,10.8,2017
