,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Mark Acres,C,27.0,ORL,80.0,50.0,1691.0,2.9,6.1,0.484,0.1,0.1,0.75,2.9,6.0,0.48,1.8,2.6,0.6920000000000001,3.3,5.9,9.2,1.4,0.8,0.5,1.5,5.3,7.7,1990
1,Michael Adams,PG,27.0,DEN,79.0,74.0,2690.0,5.3,13.2,0.402,2.1,5.8,0.366,3.2,7.5,0.431,3.6,4.2,0.85,0.7,2.4,3.0,6.6,1.6,0.0,1.9,1.8,16.3,1990
2,Mark Aguirre,SF,30.0,DET,78.0,40.0,2005.0,7.9,16.1,0.488,0.6,1.7,0.33299999999999996,7.3,14.5,0.506,3.4,4.6,0.7559999999999999,2.1,3.4,5.5,2.6,0.6,0.3,2.2,3.6,19.7,1990
3,Danny Ainge,PG,30.0,SAC,75.0,68.0,2727.0,6.7,15.2,0.43799999999999994,1.4,3.8,0.374,5.3,11.4,0.46,2.9,3.5,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.4,3.1,17.7,1990
4,Mark Alarie,PF,26.0,WSB,82.0,10.0,1893.0,7.1,14.9,0.473,0.2,0.9,0.204,6.9,14.0,0.49,2.1,2.5,0.812,2.9,4.2,7.1,2.7,1.1,0.7,1.9,4.2,16.4,1990
5,Steve Alford,PG,25.0,DAL,41.0,0.0,302.0,7.5,16.5,0.457,0.8,2.6,0.318,6.7,13.8,0.483,4.2,4.4,0.946,0.2,2.7,3.0,4.6,1.8,0.4,1.9,2.6,20.0,1990
6,Randy Allen,SG,25.0,SAC,63.0,6.0,746.0,5.1,11.5,0.444,0.0,0.3,0.0,5.1,11.2,0.457,1.1,2.1,0.535,2.4,4.3,6.7,1.1,0.8,0.9,1.4,4.9,11.3,1990
7,Greg Anderson,PF,25.0,MIL,60.0,28.0,1291.0,6.1,12.0,0.507,0.0,0.0,,6.1,12.0,0.507,2.5,4.7,0.535,3.1,7.3,10.4,0.7,0.9,1.5,2.2,4.9,14.8,1990
8,Nick Anderson,SG,22.0,ORL,81.0,9.0,1785.0,7.5,15.2,0.494,0.0,0.3,0.059000000000000004,7.5,14.8,0.504,3.8,5.3,0.705,2.2,4.2,6.4,2.5,1.4,0.7,2.8,2.8,18.8,1990
9,Richard Anderson,PF,29.0,CHH,54.0,2.0,604.0,5.2,12.6,0.41700000000000004,2.2,6.0,0.37,3.0,6.6,0.45899999999999996,1.1,1.4,0.7829999999999999,2.0,5.6,7.6,3.3,1.2,0.5,1.5,3.8,13.8,1990
